,c,h,l,o,s,t,v
0,4646.6,4674.3,4618.6,4656.3,ok,1287435600,736
1,4645.9,4646.9,4569.9,4617.7,ok,1287522000,571
2,4634.2,4651.9,4606.2,4640.0,ok,1287608400,547
3,4635.5,4640.3,4610.4,4614.4,ok,1287694800,275
4,4695.2,4716.0,4630.2,4645.2,ok,1287954000,539
5,4670.6,4702.3,4648.6,4691.3,ok,1288040400,440
6,4641.1,4688.6,4596.1,4671.7,ok,1288126800,659
7,4653.3,4687.0,4635.1,4635.1,ok,1288213200,499
8,4640.6,4676.3,4621.6,4662.3,ok,1288299600,434
9,4682.4,4701.3,4654.3,4654.3,ok,1288558800,450
10,4704.6,4704.6,4661.6,4673.5,ok,1288645200,345
11,4696.0,4721.7,4684.8,4700.7,ok,1288731600,441
12,4811.0,4814.0,4725.0,4725.0,ok,1288818000,546
13,4803.3,4814.1,4784.3,4812.1,ok,1288904400,360
14,4771.4,4819.0,4764.3,4819.0,ok,1289167200,462
15,4756.7,4788.4,4734.6,4786.4,ok,1289253600,527
16,4719.1,4755.8,4687.0,4735.8,ok,1289340000,546
17,4718.4,4744.2,4703.4,4708.2,ok,1289426400,539
18,4704.7,4741.5,4656.7,4719.5,ok,1289512800,525
19,4716.6,4725.4,4682.6,4691.5,ok,1289772000,473
20,4640.1,4717.7,4630.1,4695.8,ok,1289858400,600
21,4623.4,4650.2,4608.4,4643.2,ok,1289944800,609
22,4681.6,4683.6,4617.5,4635.5,ok,1290031200,457
23,4622.0,4680.7,4620.0,4664.7,ok,1290117600,391
24,4605.0,4679.6,4604.0,4661.7,ok,1290376800,478
25,4539.4,4641.0,4526.4,4631.0,ok,1290463200,668
26,4607.6,4609.6,4544.4,4544.4,ok,1290549600,560
27,4584.9,4616.6,4581.8,4599.7,ok,1290636000,382
28,4573.2,4619.9,4555.2,4604.0,ok,1290722400,365
29,4585.1,4630.9,4560.9,4581.9,ok,1290981600,771
30,4586.4,4620.2,4557.4,4608.2,ok,1291068000,677
31,4649.6,4654.6,4559.6,4583.5,ok,1291154400,652
32,4736.9,4738.9,4633.7,4645.7,ok,1291240800,626
33,4719.1,4729.0,4685.0,4727.0,ok,1291327200,434
34,4696.1,4713.9,4678.1,4703.9,ok,1291586400,403
35,4749.4,4770.4,4695.2,4699.2,ok,1291672800,476
36,4709.7,4728.5,4687.6,4726.5,ok,1291759200,545
37,4734.0,4760.9,4712.8,4719.8,ok,1291845600,463
