,c,h,l,o,s,t,v
0,1.00076,1.01205,0.99774,1.00547,ok,1287435600,48351
1,1.0075,1.01154,0.99959,1.00071,ok,1287522000,41913
2,1.00306,1.01006,1.00274,1.00758,ok,1287608400,42912
3,1.00668,1.00861,1.00284,1.00302,ok,1287694800,30052
4,1.00697,1.00697,1.00656,1.00656,ok,1287781200,2
5,1.01093,1.01112,1.0064,1.0064,ok,1287867600,889
6,1.00988,1.01554,1.00855,1.01112,ok,1287954000,33535
7,1.0085,1.01123,1.00659,1.00993,ok,1288040400,36728
8,0.99891,1.00992,0.99674,1.00846,ok,1288126800,41388
9,0.99922,1.00601,0.99508,0.99896,ok,1288213200,35514
10,1.00116,1.00278,0.99093,0.9993,ok,1288299600,32989
11,1.00136,1.00136,1.0011,1.0011,ok,1288386000,2
12,1.00342,1.0047,1.0007,1.00174,ok,1288472400,833
13,1.00181,1.0095,0.99984,1.00335,ok,1288558800,27565
14,1.00736,1.01218,0.99903,1.00177,ok,1288645200,32918
15,1.01107,1.01146,1.0031,1.00731,ok,1288731600,39770
16,1.01682,1.01981,1.00954,1.0111,ok,1288818000,35506
17,1.01459,1.02055,1.01305,1.01678,ok,1288904400,38568
18,1.01432,1.01432,1.01432,1.01432,ok,1288990800,1
19,1.01434,1.01518,1.01211,1.0139,ok,1289077200,875
20,1.01681,1.01713,1.01153,1.01427,ok,1289167200,31922
21,1.01128,1.01803,1.00901,1.01676,ok,1289253600,43040
22,1.00585,1.01261,1.00221,1.01124,ok,1289340000,48782
23,1.00074,1.00853,0.99963,1.00588,ok,1289426400,35909
24,0.99531,1.00412,0.99156,1.00078,ok,1289512800,49529
25,0.99516,0.99541,0.99516,0.99541,ok,1289599200,2
26,0.99837,1.00047,0.99225,0.99225,ok,1289685600,1063
27,0.99452,0.99969,0.99236,0.99828,ok,1289772000,33802
28,0.99805,1.00018,0.99035,0.99456,ok,1289858400,42284
29,1.00339,1.00386,0.99562,0.99801,ok,1289944800,33185
30,1.00832,1.01064,1.00167,1.00346,ok,1290031200,34088
31,1.00164,1.00934,1.00053,1.00829,ok,1290117600,31618
32,1.00172,1.00172,1.00161,1.00161,ok,1290204000,3
33,1.00326,1.00448,1.00129,1.00208,ok,1290290400,1059
34,1.0068,1.00875,1.00265,1.00333,ok,1290376800,33752
35,0.996,1.00716,0.99411,1.00673,ok,1290463200,44691
36,0.99099,0.99974,0.99047,0.99588,ok,1290549600,37980
37,0.98942,0.99475,0.98564,0.99092,ok,1290636000,23036
38,0.98356,0.99082,0.98035,0.98938,ok,1290722400,34152
39,0.98371,0.98371,0.98371,0.98371,ok,1290808800,1
40,0.98364,0.9854,0.97951,0.98379,ok,1290895200,2026
41,0.98015,0.98657,0.97912,0.98357,ok,1290981600,34802
42,0.98347,0.98702,0.97713,0.98004,ok,1291068000,41329
43,0.98446,0.98606,0.97904,0.98359,ok,1291154400,36463
44,0.97928,0.98526,0.97318,0.98452,ok,1291240800,37036
45,0.99564,0.99608,0.97809,0.97939,ok,1291327200,30490
46,0.99582,0.99582,0.99555,0.99555,ok,1291413600,4
47,0.99213,0.99502,0.99187,0.99425,ok,1291500000,652
48,0.99512,0.99588,0.99135,0.99218,ok,1291586400,25705
49,0.99473,0.99928,0.99317,0.99508,ok,1291672800,31112
50,0.99016,0.99536,0.986,0.99446,ok,1291759200,31109
51,0.99371,0.9974,0.98791,0.99,ok,1291845600,29132
52,0.99276,0.99858,0.99246,0.99355,ok,1291932000,20526
53,0.99339,0.99447,0.99207,0.99251,ok,1292104800,400
54,1.00316,1.00516,0.99239,0.99334,ok,1292191200,20203
55,1.00473,1.00788,1.00193,1.00305,ok,1292277600,28166
56,0.99146,1.00504,0.98784,1.00485,ok,1292364000,30735
57,0.99592,0.99619,0.98938,0.99154,ok,1292450400,23733
58,1.00044,1.00168,0.99318,0.99584,ok,1292536800,22458
59,1.00053,1.00053,1.00038,1.00038,ok,1292623200,3
60,1.00034,1.0007,0.99693,1.0007,ok,1292709600,660
61,1.00973,1.01285,0.99822,1.00039,ok,1292796000,24308
62,1.0146,1.01754,1.00914,1.0098,ok,1292882400,23316
63,1.01171,1.01672,1.01054,1.01488,ok,1292968800,21025
64,1.01324,1.01963,1.01081,1.01175,ok,1293055200,17806
65,1.01165,1.01508,1.00808,1.01319,ok,1293141600,11792
66,1.00754,1.00915,1.00485,1.00915,ok,1293314400,593
67,1.01105,1.01283,1.00764,1.00771,ok,1293400800,11111
68,1.0107,1.01525,1.00852,1.01079,ok,1293487200,19786
69,1.01826,1.01858,1.00965,1.01074,ok,1293573600,19089
70,1.01692,1.02016,1.01148,1.01831,ok,1293660000,16969
71,1.01964,1.02013,1.01385,1.01686,ok,1293746400,18782
72,1.01942,1.01972,1.01942,1.01972,ok,1293832800,2
