,c,h,l,o,s,t,v
0,0.94109,0.95428,0.93755,0.94862,ok,1287435600,18456
1,0.94917,0.95081,0.93875,0.94103,ok,1287522000,14710
2,0.94556,0.95224,0.9418,0.94888,ok,1287608400,16342
3,0.95921,0.96075,0.94563,0.94572,ok,1287694800,11543
4,0.95943,0.95959,0.95943,0.95959,ok,1287781200,2
5,0.96124,0.96329,0.95844,0.95869,ok,1287867600,918
6,0.96144,0.9674,0.96038,0.96138,ok,1287954000,10270
7,0.9697,0.97285,0.95966,0.9615,ok,1288040400,11412
8,0.96238,0.97105,0.95686,0.96961,ok,1288126800,13403
9,0.96236,0.9686,0.95886,0.9623,ok,1288213200,10450
10,0.96522,0.96674,0.95654,0.96246,ok,1288299600,12775
11,0.96543,0.96548,0.96517,0.96517,ok,1288386000,7
12,0.96722,0.96726,0.96401,0.96494,ok,1288472400,345
13,0.97886,0.98374,0.96647,0.96731,ok,1288558800,10739
14,0.9787,0.99079,0.97551,0.97873,ok,1288645200,10379
15,0.97648,0.98033,0.96885,0.97891,ok,1288731600,15566
16,0.97244,0.98262,0.96997,0.97658,ok,1288818000,12275
17,0.97561,0.97842,0.96555,0.97238,ok,1288904400,14805
18,0.97696,0.97696,0.97539,0.97545,ok,1288990800,5
19,0.9759,0.97681,0.97281,0.97651,ok,1289077200,884
20,0.97884,0.97978,0.97222,0.9758,ok,1289167200,11103
21,0.97139,0.97929,0.96928,0.97811,ok,1289253600,13746
22,0.97567,0.97767,0.96929,0.97129,ok,1289340000,16058
23,0.97272,0.97858,0.96962,0.97556,ok,1289426400,13488
24,0.96487,0.97512,0.9575,0.97281,ok,1289512800,19250
25,0.96463,0.96463,0.96463,0.96463,ok,1289599200,1
26,0.96721,0.96763,0.96287,0.9641,ok,1289685600,1383
27,0.96989,0.97489,0.96296,0.96712,ok,1289772000,13021
28,0.97242,0.97327,0.96257,0.9698,ok,1289858400,15285
29,0.97111,0.97467,0.96872,0.97252,ok,1289944800,11845
