,c,h,l,o,s,t,v
0,7.5151,7.72361,7.49611,7.66932,ok,1287435600,33466
1,7.66221,7.67677,7.49887,7.5152,ok,1287522000,29331
2,7.58607,7.67896,7.56464,7.66174,ok,1287608400,29469
3,7.62128,7.65118,7.57758,7.58723,ok,1287694800,19736
4,7.62423,7.62423,7.62423,7.62423,ok,1287781200,1
5,7.65743,7.66205,7.61919,7.62501,ok,1287867600,687
6,7.68236,7.7399,7.62499,7.65829,ok,1287954000,21690
7,7.64454,7.70138,7.61511,7.68205,ok,1288040400,22161
8,7.53919,7.65592,7.48825,7.64423,ok,1288126800,27021
9,7.59057,7.61696,7.53627,7.53966,ok,1288213200,21743
10,7.6182,7.62042,7.50683,7.5901,ok,1288299600,24134
11,7.61967,7.61967,7.61774,7.61774,ok,1288386000,2
12,7.63488,7.63581,7.60781,7.6158,ok,1288472400,486
13,7.65195,7.68583,7.60841,7.63472,ok,1288558800,18537
14,7.74656,7.7687,7.64781,7.65172,ok,1288645200,21362
15,7.79746,7.79873,7.66727,7.74722,ok,1288731600,26042
16,7.86478,7.88594,7.76196,7.79793,ok,1288818000,21916
17,7.86826,7.89323,7.81868,7.86207,ok,1288904400,26583
18,7.86607,7.86755,7.84319,7.8633,ok,1289077200,502
19,7.85447,7.87879,7.81248,7.86631,ok,1289167200,21167
20,7.77815,7.885,7.74925,7.85476,ok,1289253600,27360
21,7.79096,7.80682,7.73144,7.77784,ok,1289340000,31680
22,7.73309,7.81735,7.71616,7.78809,ok,1289426400,25713
23,7.62693,7.75412,7.61615,7.73336,ok,1289512800,34779
24,7.62499,7.62499,7.62499,7.62499,ok,1289599200,1
25,7.66233,7.66295,7.6208,7.6208,ok,1289685600,836
26,7.63713,7.68919,7.60663,7.66124,ok,1289772000,24991
27,7.57514,7.66955,7.54115,7.63682,ok,1289858400,30682
28,7.59831,7.62803,7.54272,7.57592,ok,1289944800,24169
29,7.67479,7.67921,7.59105,7.59862,ok,1290031200,20592
30,7.64425,7.68497,7.60864,7.67515,ok,1290117600,20245
31,7.64471,7.64471,7.64471,7.64471,ok,1290204000,1
32,7.65273,7.66444,7.63547,7.64161,ok,1290290400,788
33,7.66633,7.71859,7.61768,7.65316,ok,1290376800,22138
34,7.54214,7.6695,7.53098,7.66586,ok,1290463200,32231
35,7.61642,7.64412,7.53865,7.54129,ok,1290549600,27481
