,c,h,l,o,s,t,v
0,79.004,80.852,78.778,80.349,ok,1287435600,62726
1,80.025,80.165,78.689,79.007,ok,1287522000,55127
2,79.461,80.302,79.191,80.018,ok,1287608400,61237
3,79.891,79.992,79.32,79.463,ok,1287694800,40423
4,79.919,79.919,79.919,79.919,ok,1287781200,1
5,80.177,80.236,79.741,80.014,ok,1287867600,1239
6,80.025,80.559,79.901,80.166,ok,1287954000,46597
7,80.223,80.346,79.871,80.023,ok,1288040400,51603
8,79.45,80.324,78.902,80.228,ok,1288126800,62903
9,79.294,79.738,79.027,79.452,ok,1288213200,48524
10,79.009,79.34,78.179,79.3,ok,1288299600,53307
11,79.0,79.013,78.992,78.993,ok,1288386000,5
12,79.081,79.117,78.742,78.949,ok,1288472400,1321
13,79.441,80.166,79.002,79.088,ok,1288558800,43453
14,80.56,81.004,79.411,79.445,ok,1288645200,45113
15,81.561,81.601,80.312,80.564,ok,1288731600,54927
16,81.925,82.144,81.029,81.558,ok,1288818000,53124
17,82.477,82.648,81.452,81.927,ok,1288904400,56293
18,82.482,82.482,82.482,82.482,ok,1288990800,1
19,82.419,82.477,82.29,82.437,ok,1289077200,1203
20,82.26,82.549,81.755,82.409,ok,1289167200,46965
21,81.964,82.385,81.408,82.258,ok,1289253600,62753
22,82.697,82.843,81.747,81.961,ok,1289340000,75171
23,82.29,82.812,82.107,82.664,ok,1289426400,56304
24,81.184,82.393,80.338,82.294,ok,1289512800,71994
25,81.163,81.163,81.163,81.163,ok,1289599200,1
26,81.529,81.531,81.095,81.135,ok,1289685600,1857
27,81.835,82.142,81.185,81.543,ok,1289772000,61097
28,81.326,82.016,81.143,81.843,ok,1289858400,70779
29,81.476,81.706,81.143,81.329,ok,1289944800,52035
30,82.664,82.771,81.403,81.452,ok,1290031200,50382
31,82.334,82.803,81.705,82.661,ok,1290117600,45786
32,82.332,82.332,82.332,82.332,ok,1290204000,1
33,82.413,82.537,82.122,82.537,ok,1290290400,1914
34,82.352,82.994,81.94,82.42,ok,1290376800,51229
35,80.843,82.4,80.448,82.356,ok,1290463200,74347
36,81.987,82.137,80.775,80.839,ok,1290549600,66547
37,81.978,82.283,81.477,81.977,ok,1290636000,38266
38,81.049,82.04,80.554,81.983,ok,1290722400,59524
39,80.98,81.049,80.98,81.037,ok,1290808800,3
40,81.352,81.404,81.0,81.03,ok,1290895200,2597
41,81.13,81.464,80.633,81.346,ok,1290981600,61647
42,80.214,81.369,79.833,81.133,ok,1291068000,73673
43,81.507,81.652,79.746,80.218,ok,1291154400,69193
44,81.872,81.923,80.839,81.51,ok,1291240800,53898
45,81.88,82.275,81.123,81.875,ok,1291327200,53067
46,81.9,81.904,81.893,81.893,ok,1291413600,3
47,81.78,82.009,81.678,81.754,ok,1291500000,878
48,81.803,82.148,81.502,81.795,ok,1291586400,47445
49,82.046,82.461,81.402,81.79,ok,1291672800,55707
50,82.291,82.616,81.982,82.022,ok,1291759200,61937
51,82.357,82.819,82.13,82.275,ok,1291845600,55646
52,82.647,82.815,82.216,82.364,ok,1291932000,40982
53,82.61,82.694,82.36,82.606,ok,1292104800,809
54,83.052,83.331,82.569,82.621,ok,1292191200,41856
55,83.556,83.674,82.874,83.031,ok,1292277600,47145
56,83.13,83.592,82.982,83.551,ok,1292364000,54349
57,83.069,83.259,82.946,83.142,ok,1292450400,49445
58,82.915,83.262,82.744,83.066,ok,1292536800,40957
59,82.899,82.913,82.899,82.913,ok,1292623200,5
60,82.951,83.071,82.731,82.956,ok,1292709600,928
61,83.208,83.346,82.729,82.957,ok,1292796000,37900
62,83.545,83.578,83.068,83.203,ok,1292882400,31650
63,83.405,83.63,83.272,83.536,ok,1292968800,34033
64,83.241,83.527,83.119,83.417,ok,1293055200,28288
65,83.204,83.418,83.126,83.238,ok,1293141600,19669
66,82.789,83.154,82.672,83.154,ok,1293314400,986
67,83.182,83.235,82.763,82.769,ok,1293400800,20462
68,83.191,83.347,82.94,83.178,ok,1293487200,33074
69,83.018,83.263,82.975,83.18,ok,1293573600,29344
70,82.905,83.104,82.63,83.016,ok,1293660000,28806
71,82.941,83.191,82.645,82.916,ok,1293746400,22450
72,82.994,83.004,82.931,82.931,ok,1293832800,5
73,82.799,83.265,82.723,82.934,ok,1293919200,974
74,83.084,83.263,82.67,82.804,ok,1294005600,26457
75,82.435,83.14,81.965,83.082,ok,1294092000,51772
76,83.193,83.369,81.948,82.441,ok,1294178400,57552
77,82.826,83.36,82.55,83.188,ok,1294264800,46735
78,82.721,83.089,82.207,82.829,ok,1294351200,52127
79,82.735,82.735,82.735,82.735,ok,1294437600,1
80,82.593,82.958,82.535,82.761,ok,1294524000,1361
81,82.32,82.849,81.871,82.606,ok,1294610400,41607
82,82.155,82.379,81.57,82.324,ok,1294696800,48728
83,82.695,82.861,81.709,82.149,ok,1294783200,48578
84,82.598,82.961,82.267,82.693,ok,1294869600,47224
85,81.858,82.744,81.684,82.59,ok,1294956000,46183
86,81.861,81.861,81.861,81.861,ok,1295042400,1
87,81.993,82.055,81.721,81.913,ok,1295128800,1108
88,82.145,82.322,81.765,82.001,ok,1295215200,33258
89,82.487,82.56,81.803,82.141,ok,1295301600,44056
90,82.073,82.78,81.94,82.491,ok,1295388000,46556
91,81.909,82.107,81.49,82.047,ok,1295474400,54466
92,81.648,82.071,81.588,81.902,ok,1295560800,43591
93,81.653,81.653,81.645,81.65,ok,1295647200,4
94,81.533,81.771,81.507,81.656,ok,1295733600,990
95,82.286,82.489,81.457,81.536,ok,1295820000,37310
96,81.955,82.392,81.472,82.298,ok,1295906400,49313
97,82.086,82.194,81.689,81.959,ok,1295992800,40206
98,82.237,82.433,81.652,82.091,ok,1296079200,45963
99,81.555,82.254,81.307,82.225,ok,1296165600,44385
100,81.581,81.581,81.541,81.541,ok,1296252000,18
101,81.076,81.581,81.013,81.581,ok,1296338400,2689
102,81.812,81.9,80.966,81.073,ok,1296424800,38603
103,82.239,82.568,81.744,81.809,ok,1296511200,44293
104,82.37,82.548,81.995,82.244,ok,1296597600,34896
105,82.854,82.946,82.251,82.365,ok,1296684000,35009
106,83.242,83.502,82.424,82.856,ok,1296770400,36597
107,83.252,83.252,83.236,83.236,ok,1296856800,14
108,83.22,83.263,83.08,83.252,ok,1296943200,864
109,83.416,83.7,82.97,83.225,ok,1297029600,29250
110,83.55,83.719,83.106,83.414,ok,1297116000,33963
111,83.336,83.561,83.079,83.547,ok,1297202400,34741
112,83.559,83.725,82.932,83.339,ok,1297288800,39142
113,83.518,83.7,83.185,83.564,ok,1297375200,34367
114,83.511,83.511,83.511,83.511,ok,1297461600,4
115,83.313,83.737,83.311,83.511,ok,1297548000,1881
116,83.543,83.769,83.274,83.322,ok,1297634400,30082
117,83.451,83.885,83.361,83.546,ok,1297720800,36739
118,83.932,83.999,83.407,83.453,ok,1297807200,39498
119,84.281,84.394,83.685,83.928,ok,1297893600,32943
120,84.319,84.468,84.172,84.276,ok,1297980000,28569
121,84.319,84.319,84.319,84.319,ok,1298066400,12
122,84.193,84.32,84.015,84.319,ok,1298152800,865
123,83.904,84.37,83.776,84.197,ok,1298239200,20896
124,82.652,84.222,82.469,83.902,ok,1298325600,50024
125,82.677,83.173,82.238,82.657,ok,1298412000,39179
126,82.598,82.853,81.893,82.675,ok,1298498400,44473
127,83.046,83.155,82.553,82.601,ok,1298584800,30672
128,83.047,83.052,83.047,83.052,ok,1298671200,17
129,82.881,83.112,82.837,83.047,ok,1298757600,1047
130,83.285,83.456,82.63,82.886,ok,1298844000,26767
131,82.936,83.718,82.925,83.282,ok,1298930400,29662
132,83.242,83.325,82.618,82.94,ok,1299016800,27986
133,83.625,83.694,82.992,83.23,ok,1299103200,27672
134,83.374,83.953,83.082,83.628,ok,1299189600,30667
135,83.388,83.388,83.371,83.371,ok,1299276000,2
136,83.5,83.509,83.19,83.388,ok,1299362400,1104
137,83.195,83.608,82.931,83.497,ok,1299448800,25041
138,83.462,83.651,83.112,83.191,ok,1299535200,27155
139,83.615,83.745,83.374,83.466,ok,1299621600,25653
140,83.026,83.745,82.844,83.611,ok,1299708000,37554
141,82.934,83.301,81.945,83.028,ok,1299794400,47235
142,82.909,82.92,82.909,82.92,ok,1299880800,17
143,82.806,83.238,82.714,82.909,ok,1299967200,3044
144,82.406,83.206,81.407,82.801,ok,1300050000,55000
145,79.969,82.647,79.267,82.403,ok,1300136400,78526
146,78.292,80.747,77.993,79.971,ok,1300222800,71604
147,77.311,78.289,74.596,78.289,ok,1300309200,126722
148,80.167,81.434,77.262,77.309,ok,1300395600,88031
149,80.177,80.177,80.174,80.174,ok,1300482000,14
150,80.526,80.54,80.116,80.177,ok,1300568400,1338
151,81.523,81.831,80.253,80.521,ok,1300654800,34602
152,81.779,82.121,81.261,81.52,ok,1300741200,28556
153,81.954,82.159,81.339,81.771,ok,1300827600,32175
154,82.669,82.817,81.832,81.928,ok,1300914000,28877
155,83.401,83.614,82.505,82.662,ok,1301000400,29941
156,83.401,83.401,83.401,83.401,ok,1301086800,12
157,83.306,83.455,83.188,83.401,ok,1301173200,1677
158,83.669,84.224,83.198,83.342,ok,1301259600,26269
159,84.856,84.888,83.416,83.671,ok,1301346000,29385
160,85.596,85.787,84.719,84.859,ok,1301432400,32536
161,85.843,86.111,85.161,85.593,ok,1301518800,34414
162,87.231,87.584,85.811,85.84,ok,1301605200,37369
163,87.231,87.233,87.231,87.233,ok,1301691600,12
164,87.504,87.613,87.216,87.231,ok,1301778000,1045
165,87.089,87.677,86.695,87.507,ok,1301864400,24530
166,87.641,87.781,86.789,87.085,ok,1301950800,32753
167,89.24,89.272,87.642,87.644,ok,1302037200,38027
168,88.877,89.584,88.079,89.236,ok,1302123600,44257
169,89.464,89.926,88.719,88.88,ok,1302210000,37112
170,89.44,89.46,89.44,89.46,ok,1302296400,14
171,89.627,89.848,89.44,89.44,ok,1302382800,1301
172,88.776,90.019,88.707,89.629,ok,1302469200,32422
173,87.213,89.075,86.862,88.772,ok,1302555600,58201
174,88.066,88.522,87.192,87.21,ok,1302642000,44798
175,88.017,88.23,86.945,88.06,ok,1302728400,47293
176,87.766,88.322,87.222,88.014,ok,1302814800,36192
177,87.766,87.766,87.766,87.766,ok,1302901200,11
178,87.809,87.888,87.439,87.766,ok,1302987600,564
179,86.844,87.909,85.987,87.811,ok,1303074000,44075
180,86.909,86.973,86.073,86.846,ok,1303160400,37991
181,88.434,88.583,86.823,86.907,ok,1303246800,41297
182,87.944,88.564,87.564,88.431,ok,1303333200,37552
183,87.837,88.166,87.731,87.951,ok,1303419600,16360
184,87.837,87.837,87.837,87.837,ok,1303506000,13
185,87.83,87.842,87.712,87.837,ok,1303592400,181
186,87.708,88.501,87.541,87.833,ok,1303678800,26546
187,87.928,88.379,87.213,87.705,ok,1303765200,33032
188,89.245,89.292,87.686,87.921,ok,1303851600,47191
189,89.043,89.587,88.609,89.237,ok,1303938000,43989
190,88.967,89.23,88.684,89.047,ok,1304024400,27114
191,88.967,88.967,88.967,88.967,ok,1304110800,12
192,88.824,89.063,88.796,88.967,ok,1304197200,560
193,88.823,89.302,88.746,88.829,ok,1304283600,37167
194,87.718,88.912,87.508,88.825,ok,1304370000,38883
195,86.585,88.108,86.383,87.723,ok,1304456400,43484
196,84.702,86.814,84.314,86.59,ok,1304542800,58675
197,86.215,87.034,84.692,84.705,ok,1304629200,81988
198,86.215,86.215,86.215,86.215,ok,1304715600,12
199,86.364,86.424,86.21,86.215,ok,1304802000,825
200,86.832,87.001,86.236,86.368,ok,1304888400,45637
201,87.628,87.654,86.237,86.828,ok,1304974800,45292
202,86.71,88.096,86.103,87.624,ok,1305061200,51705
203,86.404,86.918,85.329,86.712,ok,1305147600,57784
