,c,h,l,o,s,t,v
0,1.30112,1.31211,1.29752,1.30863,ok,1287435600,35855
1,1.30662,1.30935,1.29985,1.30119,ok,1287522000,26969
2,1.30995,1.31362,1.30649,1.30676,ok,1287608400,27770
3,1.31447,1.31454,1.30822,1.31,ok,1287694800,18567
4,1.31498,1.31498,1.31498,1.31498,ok,1287781200,1
5,1.31541,1.31719,1.31218,1.31413,ok,1287867600,750
6,1.31636,1.3218,1.31367,1.31588,ok,1287954000,21202
7,1.31472,1.31824,1.31264,1.3163,ok,1288040400,22875
8,1.30334,1.31808,1.29996,1.31486,ok,1288126800,31403
9,1.29776,1.30521,1.29592,1.30364,ok,1288213200,22930
10,1.28175,1.30207,1.27988,1.29805,ok,1288299600,26705
11,1.28202,1.28202,1.28169,1.28169,ok,1288386000,2
12,1.28555,1.28735,1.28232,1.28232,ok,1288472400,777
13,1.28606,1.29281,1.2837,1.28574,ok,1288558800,19288
14,1.29518,1.30704,1.28454,1.28611,ok,1288645200,23864
15,1.28918,1.29623,1.2812,1.29525,ok,1288731600,28469
16,1.27682,1.29125,1.27137,1.28927,ok,1288818000,23583
17,1.27539,1.28265,1.27152,1.27689,ok,1288904400,23919
18,1.27774,1.27948,1.27249,1.27439,ok,1289077200,702
19,1.28556,1.28662,1.2769,1.27785,ok,1289167200,19275
20,1.29006,1.29328,1.28241,1.28566,ok,1289253600,29393
21,1.28312,1.29601,1.2805,1.28994,ok,1289340000,34673
22,1.27821,1.2881,1.2756,1.2832,ok,1289426400,23399
23,1.27173,1.28195,1.2706,1.27829,ok,1289512800,33812
24,1.2714,1.2714,1.2714,1.2714,ok,1289599200,1
25,1.27138,1.2758,1.26916,1.27117,ok,1289685600,1453
26,1.2744,1.28015,1.27025,1.27145,ok,1289772000,25773
27,1.27141,1.27747,1.2685,1.27448,ok,1289858400,31593
28,1.27092,1.27543,1.26928,1.27146,ok,1289944800,22874
29,1.27135,1.27472,1.26992,1.27108,ok,1290031200,19484
30,1.26526,1.2721,1.2628,1.2717,ok,1290117600,20037
31,1.26528,1.26541,1.26528,1.26541,ok,1290204000,2
32,1.26535,1.26799,1.26426,1.26799,ok,1290290400,1039
33,1.28006,1.28499,1.26528,1.26547,ok,1290376800,27018
34,1.28109,1.28263,1.27338,1.28017,ok,1290463200,32606
35,1.2913,1.29147,1.28037,1.2812,ok,1290549600,29026
36,1.28985,1.29516,1.28725,1.29149,ok,1290636000,19677
37,1.28483,1.29095,1.27984,1.28991,ok,1290722400,28458
38,1.28479,1.28491,1.28475,1.28475,ok,1290808800,3
39,1.28626,1.28977,1.27974,1.28562,ok,1290895200,1689
40,1.29066,1.29136,1.28404,1.28631,ok,1290981600,30365
41,1.29057,1.29397,1.28725,1.29085,ok,1291068000,30969
42,1.29225,1.29384,1.28633,1.29071,ok,1291154400,27365
43,1.29318,1.29424,1.28174,1.29238,ok,1291240800,25730
44,1.29482,1.29857,1.28998,1.29324,ok,1291327200,23417
45,1.29517,1.29517,1.29505,1.29505,ok,1291413600,2
46,1.29355,1.29677,1.28931,1.29367,ok,1291500000,813
47,1.29912,1.30071,1.29238,1.29347,ok,1291586400,19758
48,1.29777,1.30286,1.29627,1.29921,ok,1291672800,26656
49,1.30966,1.3143,1.29637,1.29786,ok,1291759200,27503
50,1.31347,1.32115,1.30718,1.30989,ok,1291845600,24651
51,1.31764,1.3184,1.31203,1.31355,ok,1291932000,16956
52,1.31709,1.31784,1.31449,1.31716,ok,1292104800,938
53,1.32576,1.32843,1.31391,1.31717,ok,1292191200,16638
54,1.32853,1.32897,1.32135,1.32606,ok,1292277600,21999
55,1.33357,1.3358,1.32331,1.32866,ok,1292364000,25768
56,1.3369,1.34293,1.33184,1.33378,ok,1292450400,22138
57,1.33952,1.34066,1.33442,1.33701,ok,1292536800,17126
58,1.34239,1.34283,1.33641,1.33745,ok,1292709600,808
59,1.33829,1.34389,1.33592,1.34231,ok,1292796000,18173
60,1.34026,1.34225,1.33137,1.33837,ok,1292882400,17172
61,1.34826,1.35059,1.33917,1.3401,ok,1292968800,15604
62,1.3432,1.34948,1.34012,1.34844,ok,1293055200,13244
63,1.34115,1.34361,1.33819,1.34329,ok,1293141600,7099
64,1.33768,1.34065,1.33502,1.34065,ok,1293314400,524
65,1.33803,1.34324,1.3367,1.33791,ok,1293400800,10712
66,1.33598,1.34293,1.32694,1.33823,ok,1293487200,15359
67,1.32328,1.33841,1.32259,1.33612,ok,1293573600,14796
68,1.31931,1.32665,1.31367,1.32336,ok,1293660000,14933
69,1.30973,1.31983,1.30617,1.31941,ok,1293746400,15648
70,1.31049,1.31049,1.31049,1.31049,ok,1293832800,1
71,1.31289,1.31583,1.30944,1.31086,ok,1293919200,496
72,1.3142,1.31661,1.31025,1.31304,ok,1294005600,11573
73,1.31059,1.31622,1.30784,1.31428,ok,1294092000,23571
74,1.31934,1.32099,1.30673,1.31064,ok,1294178400,23976
75,1.31363,1.32037,1.31162,1.31947,ok,1294264800,20068
76,1.30909,1.31508,1.30667,1.31353,ok,1294351200,21903
77,1.30805,1.30805,1.30805,1.30805,ok,1294437600,1
78,1.30854,1.31165,1.30724,1.31105,ok,1294524000,892
79,1.30333,1.31139,1.3005,1.30849,ok,1294610400,19698
80,1.29746,1.30349,1.29407,1.30328,ok,1294696800,24481
81,1.30333,1.30874,1.29215,1.29741,ok,1294783200,23694
82,1.29321,1.30781,1.29256,1.30389,ok,1294869600,23520
83,1.28901,1.29878,1.285,1.29295,ok,1294956000,21227
84,1.28843,1.29094,1.28618,1.28801,ok,1295128800,619
85,1.28601,1.28952,1.28372,1.28858,ok,1295215200,16526
86,1.29416,1.29587,1.28355,1.28608,ok,1295301600,19493
87,1.30055,1.30057,1.2909,1.29426,ok,1295388000,20528
88,1.30305,1.30515,1.29363,1.30075,ok,1295474400,31264
89,1.3023,1.30793,1.30131,1.30313,ok,1295560800,21533
90,1.3005,1.30099,1.3005,1.30099,ok,1295647200,2
91,1.3022,1.30441,1.29801,1.3,ok,1295733600,554
92,1.30634,1.30895,1.29986,1.3023,ok,1295820000,17812
93,1.29611,1.30721,1.29514,1.30651,ok,1295906400,23803
94,1.29217,1.30126,1.29016,1.29606,ok,1295992800,19612
95,1.28392,1.29302,1.28024,1.2921,ok,1296079200,22429
96,1.28301,1.28665,1.27781,1.28398,ok,1296165600,19189
97,1.28334,1.28334,1.28334,1.28334,ok,1296252000,13
98,1.28417,1.28633,1.28016,1.28334,ok,1296338400,1442
99,1.28985,1.29237,1.28232,1.28411,ok,1296424800,18398
100,1.2934,1.2999,1.28749,1.28993,ok,1296511200,20577
101,1.30523,1.30695,1.28846,1.29358,ok,1296597600,16639
102,1.31233,1.31399,1.302,1.30567,ok,1296684000,18080
103,1.31512,1.32061,1.31023,1.31239,ok,1296770400,16613
104,1.31512,1.31512,1.31512,1.31512,ok,1296856800,12
105,1.31553,1.31829,1.3129,1.31512,ok,1296943200,545
106,1.31588,1.32019,1.31037,1.31564,ok,1297029600,13743
107,1.30856,1.3162,1.30402,1.31602,ok,1297116000,17748
108,1.31008,1.31513,1.30606,1.30873,ok,1297202400,15625
109,1.31356,1.31625,1.30578,1.31018,ok,1297288800,18126
110,1.3158,1.32051,1.31155,1.31365,ok,1297375200,18786
111,1.31612,1.31612,1.31592,1.31606,ok,1297461600,7
112,1.31974,1.32094,1.31503,1.31612,ok,1297548000,1295
113,1.32475,1.32805,1.3194,1.31981,ok,1297634400,13525
114,1.32472,1.33033,1.32337,1.3247,ok,1297720800,17298
115,1.3282,1.32928,1.32158,1.32495,ok,1297807200,19480
116,1.33287,1.33416,1.32743,1.32808,ok,1297893600,15158
117,1.3306,1.3342,1.32555,1.33293,ok,1297980000,13585
118,1.3306,1.3306,1.3306,1.3306,ok,1298066400,12
119,1.3277,1.3306,1.32577,1.3306,ok,1298152800,539
120,1.32097,1.33034,1.32038,1.32761,ok,1298239200,11080
121,1.33764,1.34029,1.31903,1.32108,ok,1298325600,30283
122,1.34325,1.34715,1.33502,1.33769,ok,1298412000,24389
123,1.34927,1.34996,1.34247,1.34337,ok,1298498400,23529
124,1.35238,1.35541,1.34467,1.34937,ok,1298584800,17250
125,1.35238,1.35238,1.35238,1.35238,ok,1298671200,14
126,1.35141,1.35326,1.34937,1.35238,ok,1298757600,786
127,1.35313,1.35498,1.3471,1.35136,ok,1298844000,17867
128,1.35564,1.35723,1.34948,1.35328,ok,1298930400,19620
129,1.3674,1.36922,1.35468,1.35575,ok,1299016800,24169
130,1.36869,1.37145,1.36049,1.36789,ok,1299103200,19474
131,1.37242,1.37654,1.3671,1.36876,ok,1299189600,20807
132,1.37269,1.37269,1.37269,1.37269,ok,1299276000,1
133,1.37484,1.37757,1.3707,1.37269,ok,1299362400,1398
134,1.37258,1.37927,1.37083,1.37492,ok,1299448800,17147
135,1.36501,1.3733,1.36178,1.37267,ok,1299535200,19131
136,1.3711,1.37564,1.35877,1.3651,ok,1299621600,19453
137,1.36022,1.3732,1.35947,1.37098,ok,1299708000,25418
138,1.36359,1.36573,1.35475,1.36032,ok,1299794400,26045
139,1.36359,1.36359,1.36359,1.36359,ok,1299880800,14
140,1.36567,1.36687,1.3605,1.36359,ok,1299967200,1394
141,1.36515,1.37272,1.36163,1.36546,ok,1300050000,23115
142,1.3536,1.36738,1.34979,1.36521,ok,1300136400,47548
143,1.35021,1.35874,1.34386,1.35369,ok,1300222800,44271
144,1.36483,1.37191,1.34849,1.3503,ok,1300309200,57127
145,1.36094,1.36673,1.35734,1.36498,ok,1300395600,33651
146,1.36094,1.36094,1.36094,1.36094,ok,1300482000,12
147,1.36104,1.36225,1.35901,1.36094,ok,1300568400,727
148,1.36736,1.37165,1.35994,1.3611,ok,1300654800,19964
149,1.36437,1.36868,1.35889,1.36752,ok,1300741200,21082
150,1.36696,1.36861,1.3608,1.36454,ok,1300827600,21035
151,1.36256,1.36859,1.35524,1.36711,ok,1300914000,22338
152,1.36035,1.36364,1.35638,1.36277,ok,1301000400,19960
153,1.36035,1.36035,1.36035,1.36035,ok,1301086800,12
154,1.35863,1.36277,1.35745,1.36035,ok,1301173200,874
155,1.36303,1.37269,1.35835,1.35919,ok,1301259600,17850
156,1.36034,1.36571,1.35624,1.3631,ok,1301346000,18171
157,1.3541,1.36176,1.35184,1.36041,ok,1301432400,18322
158,1.35596,1.36064,1.35247,1.35424,ok,1301518800,18239
159,1.35126,1.3606,1.35051,1.35603,ok,1301605200,18817
160,1.35126,1.35126,1.35091,1.35091,ok,1301691600,12
161,1.35295,1.35438,1.35027,1.35126,ok,1301778000,560
162,1.34856,1.35315,1.34781,1.35301,ok,1301864400,14831
163,1.34361,1.35048,1.33933,1.3485,ok,1301950800,19045
164,1.3385,1.34644,1.3369,1.34368,ok,1302037200,20305
165,1.34349,1.35019,1.33582,1.33858,ok,1302123600,22891
166,1.34801,1.35172,1.34316,1.3436,ok,1302210000,19753
167,1.34801,1.34801,1.34801,1.34801,ok,1302296400,10
168,1.3482,1.35286,1.34509,1.34801,ok,1302382800,743
169,1.34555,1.35244,1.34469,1.34826,ok,1302469200,16860
170,1.33199,1.34633,1.33096,1.34563,ok,1302555600,31530
