,c,h,l,o,s,t,v
0,1.2715,1.29263,1.2681,1.28377,ok,1287435600,19783
1,1.28557,1.28583,1.271,1.2716,ok,1287522000,16050
2,1.27184,1.28645,1.26869,1.28546,ok,1287608400,16438
3,1.27324,1.28066,1.26994,1.27197,ok,1287694800,11084
4,1.27373,1.27373,1.27373,1.27373,ok,1287781200,1
5,1.27786,1.2789,1.27349,1.27349,ok,1287867600,554
6,1.28007,1.28776,1.27487,1.278,ok,1287954000,10755
7,1.27714,1.28337,1.275,1.28017,ok,1288040400,11549
8,1.2664,1.28042,1.26105,1.27722,ok,1288126800,15043
9,1.2679,1.27405,1.26586,1.26652,ok,1288213200,11396
10,1.27114,1.27149,1.25772,1.26783,ok,1288299600,11892
11,1.27138,1.27138,1.27106,1.27106,ok,1288386000,2
12,1.27337,1.27428,1.26976,1.27074,ok,1288472400,297
13,1.27477,1.27974,1.26963,1.27345,ok,1288558800,9948
14,1.28707,1.29064,1.27405,1.27504,ok,1288645200,10100
15,1.29321,1.29345,1.27456,1.28715,ok,1288731600,13658
16,1.3008,1.30443,1.28736,1.29332,ok,1288818000,10992
17,1.30466,1.30668,1.29739,1.30035,ok,1288904400,13208
18,1.30398,1.30566,1.30079,1.30566,ok,1289077200,393
19,1.30507,1.30611,1.29712,1.30409,ok,1289167200,10915
20,1.29454,1.30554,1.29046,1.30498,ok,1289253600,13527
21,1.29441,1.29651,1.28573,1.29445,ok,1289340000,15457
22,1.2862,1.29776,1.28378,1.29394,ok,1289426400,12831
23,1.27661,1.29099,1.27487,1.2861,ok,1289512800,20044
24,1.27629,1.27629,1.27629,1.27629,ok,1289599200,1
25,1.28298,1.28305,1.27559,1.27559,ok,1289685600,625
26,1.28338,1.29049,1.27905,1.28285,ok,1289772000,14107
27,1.27405,1.28474,1.26854,1.28346,ok,1289858400,16514
28,1.27431,1.28006,1.27024,1.27418,ok,1289944800,12383
29,1.28241,1.28333,1.27304,1.27408,ok,1290031200,11264
30,1.27713,1.28358,1.27109,1.28247,ok,1290117600,10561
31,1.27697,1.2772,1.27697,1.2772,ok,1290204000,3
32,1.27876,1.28067,1.27545,1.27645,ok,1290290400,630
33,1.28194,1.28822,1.27546,1.27883,ok,1290376800,11083
34,1.27765,1.28712,1.27515,1.28178,ok,1290463200,18061
35,1.28545,1.288,1.27709,1.27753,ok,1290549600,15950
36,1.28101,1.28773,1.27842,1.28532,ok,1290636000,9483
37,1.27165,1.28228,1.26937,1.28093,ok,1290722400,15488
38,1.27451,1.28015,1.27185,1.27185,ok,1290895200,1158
39,1.26973,1.27654,1.26391,1.27439,ok,1290981600,15554
40,1.26524,1.27265,1.2634,1.26985,ok,1291068000,17446
41,1.26836,1.26916,1.26012,1.26532,ok,1291154400,15635
42,1.27621,1.27673,1.2602,1.26822,ok,1291240800,14613
43,1.29262,1.29391,1.27478,1.27606,ok,1291327200,13208
44,1.29217,1.29263,1.29217,1.29255,ok,1291413600,3
45,1.28794,1.29206,1.28716,1.29167,ok,1291500000,429
46,1.29156,1.29196,1.28557,1.28804,ok,1291586400,11277
47,1.28778,1.29776,1.28576,1.29149,ok,1291672800,13435
48,1.28686,1.29311,1.28369,1.2877,ok,1291759200,15731
49,1.28856,1.29549,1.28553,1.28627,ok,1291845600,13642
50,1.28681,1.29356,1.28646,1.28863,ok,1291932000,9959
51,1.28762,1.2883,1.28432,1.28629,ok,1292104800,350
52,1.29777,1.30146,1.28592,1.28837,ok,1292191200,8303
53,1.30082,1.30379,1.295,1.2977,ok,1292277600,11347
54,1.30026,1.30699,1.29482,1.30076,ok,1292364000,14253
55,1.30061,1.30231,1.29533,1.30019,ok,1292450400,10989
56,1.29697,1.30261,1.29251,1.30055,ok,1292536800,9892
57,1.29895,1.30021,1.29543,1.29811,ok,1292709600,490
58,1.30764,1.3097,1.29547,1.29903,ok,1292796000,10092
59,1.3087,1.31194,1.3059,1.3077,ok,1292882400,8818
60,1.30481,1.31092,1.30382,1.30841,ok,1292968800,7913
61,1.31043,1.31409,1.30428,1.30441,ok,1293055200,6578
62,1.30422,1.31045,1.3025,1.31032,ok,1293141600,4217
63,1.30095,1.30383,1.29916,1.30383,ok,1293314400,458
64,1.30448,1.30561,1.2996,1.30113,ok,1293400800,5634
65,1.31236,1.31564,1.30377,1.30454,ok,1293487200,6763
66,1.31467,1.31738,1.31006,1.31253,ok,1293573600,6443
67,1.30994,1.31849,1.30324,1.31476,ok,1293660000,6602
68,1.3123,1.31418,1.30224,1.31001,ok,1293746400,7952
69,1.31213,1.31213,1.31213,1.31213,ok,1293832800,1
70,1.30882,1.31565,1.3081,1.31201,ok,1293919200,411
71,1.30572,1.3123,1.30419,1.30894,ok,1294005600,6030
72,1.29311,1.30664,1.29233,1.30582,ok,1294092000,10621
73,1.29131,1.297,1.28769,1.29302,ok,1294178400,11272
74,1.28724,1.29324,1.28572,1.29138,ok,1294264800,10444
75,1.28718,1.29308,1.28463,1.28716,ok,1294351200,11011
76,1.28508,1.29046,1.28501,1.28724,ok,1294524000,663
77,1.29147,1.29377,1.28469,1.28519,ok,1294610400,9962
78,1.27612,1.29179,1.27297,1.29138,ok,1294696800,11276
79,1.28203,1.28324,1.26912,1.27619,ok,1294783200,11898
80,1.28196,1.28804,1.27355,1.2821,ok,1294869600,10366
81,1.27222,1.28474,1.27128,1.28203,ok,1294956000,10739
82,1.27248,1.27248,1.27248,1.27248,ok,1295042400,1
83,1.27464,1.27597,1.27216,1.27216,ok,1295128800,378
84,1.27931,1.28204,1.27276,1.27473,ok,1295215200,7923
85,1.28133,1.28366,1.27623,1.27925,ok,1295301600,9651
86,1.28346,1.28925,1.27843,1.28126,ok,1295388000,10232
87,1.27086,1.28344,1.26863,1.28312,ok,1295474400,12940
88,1.2693,1.27311,1.26609,1.27075,ok,1295560800,11071
89,1.26899,1.26946,1.26899,1.26923,ok,1295647200,4
90,1.26677,1.27053,1.26641,1.26887,ok,1295733600,341
91,1.27709,1.28303,1.26485,1.2667,ok,1295820000,7940
92,1.27474,1.27804,1.2671,1.2772,ok,1295906400,11334
93,1.2775,1.27906,1.27056,1.27483,ok,1295992800,8960
94,1.26797,1.27814,1.26449,1.27744,ok,1296079200,10163
95,1.27601,1.27717,1.26523,1.26782,ok,1296165600,9741
96,1.27636,1.27636,1.27636,1.27636,ok,1296252000,13
97,1.27047,1.27647,1.26961,1.27636,ok,1296338400,667
98,1.27567,1.27894,1.26859,1.27059,ok,1296424800,8761
99,1.28448,1.28968,1.27389,1.27576,ok,1296511200,11027
100,1.28471,1.29039,1.27918,1.28441,ok,1296597600,7949
101,1.29322,1.29452,1.28269,1.28461,ok,1296684000,7434
102,1.29141,1.29869,1.28868,1.29331,ok,1296770400,6766
103,1.29164,1.29164,1.29164,1.29164,ok,1296856800,13
104,1.29095,1.29164,1.28816,1.29164,ok,1296943200,210
105,1.29,1.29527,1.28612,1.29105,ok,1297029600,6710
106,1.2916,1.29616,1.28664,1.28991,ok,1297116000,7253
107,1.28974,1.29235,1.28422,1.29154,ok,1297202400,7224
108,1.28333,1.29047,1.28014,1.28966,ok,1297288800,8814
109,1.28355,1.28523,1.27707,1.28326,ok,1297375200,9172
110,1.28342,1.28342,1.28342,1.28342,ok,1297461600,4
111,1.28007,1.28727,1.28001,1.28342,ok,1297548000,666
