,c,h,l,o,s,t,v
0,0.9685,0.99567,0.96608,0.98874,ok,1287435600,32948
1,0.987,0.98889,0.9663,0.96854,ok,1287522000,28695
2,0.97713,0.98911,0.97421,0.98694,ok,1287608400,28601
3,0.98225,0.98531,0.97576,0.97728,ok,1287694800,18950
4,0.98263,0.98263,0.98263,0.98263,ok,1287781200,1
5,0.98677,0.98739,0.98188,0.98188,ok,1287867600,681
6,0.99032,0.99732,0.98238,0.98688,ok,1287954000,20813
7,0.98523,0.99261,0.98141,0.99028,ok,1288040400,21334
8,0.97183,0.9867,0.96508,0.98519,ok,1288126800,26254
9,0.97879,0.98195,0.97145,0.97189,ok,1288213200,21076
10,0.98307,0.98336,0.96783,0.97873,ok,1288299600,23101
11,0.98326,0.98326,0.98301,0.98301,ok,1288386000,2
12,0.98506,0.98518,0.98171,0.98276,ok,1288472400,461
13,0.98701,0.99141,0.98138,0.98502,ok,1288558800,18088
14,0.99942,1.00228,0.98648,0.98698,ok,1288645200,21064
15,1.00605,1.00622,0.98918,0.9995,ok,1288731600,25668
16,1.01474,1.01747,1.00145,1.00611,ok,1288818000,21470
17,1.01536,1.01821,1.00854,1.01439,ok,1288904400,26055
18,1.01501,1.0152,1.01206,1.01472,ok,1289077200,500
19,1.01344,1.01648,1.0078,1.01504,ok,1289167200,20925
20,1.00347,1.01727,0.9998,1.01348,ok,1289253600,26988
21,1.00515,1.00714,0.99748,1.00343,ok,1289340000,31376
22,0.99772,1.00853,0.99557,1.00478,ok,1289426400,25477
23,0.98415,1.00033,0.98246,0.99776,ok,1289512800,34375
24,0.9839,0.9839,0.9839,0.9839,ok,1289599200,1
25,0.9887,0.98878,0.98336,0.98336,ok,1289685600,829
26,0.98518,0.99189,0.98123,0.98856,ok,1289772000,24610
27,0.97651,0.98923,0.97242,0.98514,ok,1289858400,29945
28,0.97954,0.9834,0.97257,0.97661,ok,1289944800,23630
29,0.98975,0.99047,0.9786,0.97958,ok,1290031200,20114
30,0.98595,0.99111,0.98125,0.9898,ok,1290117600,19720
31,0.98601,0.98601,0.98601,0.98601,ok,1290204000,1
32,0.98708,0.98859,0.98483,0.98561,ok,1290290400,769
33,0.98852,0.99533,0.98226,0.98713,ok,1290376800,21279
34,0.97218,0.98888,0.97078,0.98846,ok,1290463200,31212
35,0.98159,0.98522,0.97173,0.97207,ok,1290549600,26760
36,0.98069,0.98496,0.97608,0.98152,ok,1290636000,16192
37,0.96407,0.98166,0.96121,0.98065,ok,1290722400,26149
38,0.96806,0.97087,0.96417,0.96418,ok,1290895200,1440
