,c,h,l,o,s,t,v
0,80.721,84.354,80.711,84.074,ok,1287435600,9946
1,83.561,83.561,80.671,80.711,ok,1287522000,9187
2,81.906,83.783,81.366,83.611,ok,1287608400,9410
3,83.128,83.168,81.748,81.916,ok,1287694800,7791
4,83.108,83.108,83.098,83.108,ok,1287781200,3
5,83.278,84.126,82.628,83.075,ok,1287954000,8792
6,83.471,83.82,82.9,83.318,ok,1288040400,7365
7,83.214,83.601,81.785,83.451,ok,1288126800,8268
8,83.357,83.786,82.907,83.194,ok,1288213200,6925
9,83.071,83.53,82.171,83.308,ok,1288299600,7310
10,83.081,83.081,83.081,83.081,ok,1288386000,1
11,84.49,85.488,82.768,83.078,ok,1288558800,8473
12,85.803,85.842,84.47,84.51,ok,1288645200,7163
13,86.536,86.845,85.195,85.823,ok,1288731600,8548
14,88.088,88.248,86.496,86.556,ok,1288818000,7167
15,88.261,88.759,87.281,88.098,ok,1288904400,6760
16,88.432,88.681,88.282,88.282,ok,1288990800,11
17,88.292,88.689,87.291,88.269,ok,1289167200,6833
18,87.916,88.994,87.146,88.202,ok,1289253600,7624
19,89.129,89.288,87.708,88.006,ok,1289340000,9039
20,88.772,89.68,88.601,89.069,ok,1289426400,6479
21,86.096,88.772,85.756,88.752,ok,1289512800,6965
22,86.026,86.096,86.026,86.086,ok,1289599200,3
23,86.531,87.365,86.344,86.433,ok,1289772000,956
24,84.696,86.601,84.396,86.491,ok,1289858400,9308
25,83.101,84.958,82.861,84.686,ok,1289944800,9442
26,85.342,85.402,83.062,83.111,ok,1290031200,7872
27,84.207,86.053,83.777,85.392,ok,1290117600,9021
28,84.037,84.267,84.037,84.267,ok,1290204000,5
29,83.677,85.364,83.037,84.254,ok,1290376800,7844
30,82.951,83.919,82.351,83.727,ok,1290463200,9033
31,86.012,86.022,82.921,82.921,ok,1290549600,8322
32,85.974,86.273,85.324,85.992,ok,1290636000,2211
33,84.908,85.877,84.678,85.816,ok,1290722400,3127
34,87.368,87.427,85.436,85.436,ok,1290981600,8443
35,85.542,87.488,85.372,87.408,ok,1291068000,8817
36,88.884,88.954,85.353,85.513,ok,1291154400,8628
37,90.626,90.786,88.355,88.924,ok,1291240800,8333
38,91.589,91.799,90.049,90.666,ok,1291327200,8340
39,91.629,91.629,91.629,91.629,ok,1291413600,1
40,90.95,91.988,90.82,91.417,ok,1291586400,6850
41,90.904,92.822,90.683,90.94,ok,1291672800,8433
42,91.078,91.696,90.117,90.794,ok,1291759200,8021
43,91.271,91.599,90.25,91.008,ok,1291845600,7356
44,90.505,91.543,89.844,91.251,ok,1291932000,6300
45,90.815,92.264,90.312,90.632,ok,1292191200,5746
46,91.269,91.718,90.668,90.746,ok,1292277600,4650
47,92.023,92.412,90.332,91.339,ok,1292364000,3651
48,91.92,92.273,91.654,92.043,ok,1292450400,759
49,91.794,92.577,91.084,91.94,ok,1292536800,6524
50,91.934,91.934,91.854,91.854,ok,1292623200,3
51,92.788,93.069,91.196,91.822,ok,1292796000,5710
52,93.643,93.663,92.533,92.768,ok,1292882400,5347
53,93.958,94.1,93.409,93.653,ok,1292968800,4487
54,94.563,94.694,93.444,93.928,ok,1293055200,3818
55,94.851,94.881,94.472,94.483,ok,1293141600,181
56,93.797,94.642,93.208,93.893,ok,1293400800,3151
57,94.332,94.543,93.777,93.777,ok,1293487200,2770
58,94.066,94.5,93.738,94.461,ok,1293573600,3597
59,92.808,94.533,92.449,94.166,ok,1293660000,4457
60,92.453,93.227,92.283,92.768,ok,1293746400,2062
61,94.926,96.239,94.611,94.842,ok,1294005600,5550
62,93.359,95.813,92.67,94.936,ok,1294092000,8302
63,95.624,95.885,92.444,93.338,ok,1294178400,8914
64,94.497,96.191,94.088,95.644,ok,1294264800,9139
65,93.781,94.647,92.651,94.447,ok,1294351200,8855
66,95.794,95.905,93.656,93.848,ok,1294610400,8339
67,97.538,97.859,95.12,95.743,ok,1294696800,6555
68,98.242,98.883,97.314,97.528,ok,1294783200,5274
69,98.476,98.697,97.327,98.292,ok,1294869600,3159
70,98.77,99.221,97.762,98.426,ok,1294956000,871
71,98.629,98.779,98.629,98.779,ok,1295042400,6
72,97.831,98.951,97.642,98.581,ok,1295215200,3146
73,97.812,98.609,96.833,97.841,ok,1295301600,8061
74,98.165,98.82,97.762,97.762,ok,1295388000,7259
75,96.543,98.364,95.663,98.155,ok,1295474400,9173
76,97.686,98.048,96.471,96.532,ok,1295560800,8319
77,97.797,97.807,97.797,97.807,ok,1295647200,2
78,96.579,98.328,96.42,97.779,ok,1295820000,8467
79,95.538,96.856,94.921,96.659,ok,1295906400,8979
80,98.365,98.505,95.438,95.548,ok,1295992800,8615
81,97.455,99.1,97.375,98.335,ok,1296079200,9914
82,99.419,99.871,97.298,97.445,ok,1296165600,10599
83,99.479,99.529,99.419,99.479,ok,1296252000,5
84,100.624,101.827,98.626,99.742,ok,1296424800,10847
85,101.667,102.179,100.328,100.674,ok,1296511200,9322
86,102.469,102.679,101.429,101.727,ok,1296597600,8429
87,101.949,103.437,101.51,102.438,ok,1296684000,8924
88,100.028,102.564,99.57,101.909,ok,1296770400,8303
89,100.188,100.188,100.048,100.048,ok,1296856800,8
90,99.212,100.967,98.863,99.9,ok,1297029600,7227
91,100.203,100.476,97.565,99.291,ok,1297116000,8492
92,102.095,102.296,100.082,100.243,ok,1297202400,5859
93,101.656,102.921,100.517,102.135,ok,1297288800,5222
94,101.88,102.06,100.579,101.666,ok,1297375200,1181
95,101.689,101.94,101.689,101.94,ok,1297461600,10
96,103.572,104.761,101.4,101.627,ok,1297634400,9880
97,102.22,104.509,101.77,103.491,ok,1297720800,9478
98,104.384,104.99,102.197,102.25,ok,1297807200,10382
99,103.333,104.795,102.813,104.474,ok,1297893600,10048
100,103.388,103.938,101.193,103.273,ok,1297980000,10103
101,103.247,103.297,103.247,103.297,ok,1298066400,2
102,108.419,109.103,103.325,103.385,ok,1298239200,7200
103,106.927,108.954,105.938,108.399,ok,1298325600,15052
104,112.59,112.67,106.343,106.837,ok,1298412000,13817
105,111.178,119.877,110.005,112.529,ok,1298498400,20210
106,112.656,114.271,110.874,111.218,ok,1298584800,12421
107,112.776,112.776,112.665,112.665,ok,1298671200,7
108,112.193,114.813,111.63,112.811,ok,1298844000,11634
109,116.887,117.048,112.105,112.122,ok,1298930400,11490
110,116.729,118.065,114.814,116.847,ok,1299016800,13143
111,114.857,117.167,113.756,116.608,ok,1299103200,12907
112,116.282,116.717,114.837,114.837,ok,1299189600,10481
113,116.221,116.442,116.221,116.322,ok,1299276000,6
114,114.967,118.691,114.677,116.316,ok,1299448800,11281
115,112.927,115.458,112.29,114.776,ok,1299535200,12348
116,116.243,116.298,112.309,113.047,ok,1299621600,10693
117,115.375,116.691,113.657,116.203,ok,1299708000,12058
118,113.445,115.801,112.361,115.224,ok,1299794400,11710
119,113.545,113.545,113.405,113.465,ok,1299880800,8
120,113.854,114.149,111.226,113.67,ok,1300050000,8979
121,108.155,113.874,107.971,113.774,ok,1300136400,5578
122,110.85,111.783,107.38,108.144,ok,1300222800,1681
123,115.26,115.4,109.46,110.87,ok,1300309200,10378
124,114.2,117.29,113.09,115.28,ok,1300395600,12919
125,114.5,114.52,114.12,114.18,ok,1300482000,17
126,114.759,116.229,114.699,114.759,ok,1300654800,10050
127,115.858,116.088,114.168,114.659,ok,1300741200,9381
128,115.378,116.408,115.088,115.898,ok,1300827600,8701
129,115.708,115.928,114.508,115.358,ok,1300914000,9643
130,116.007,116.138,115.217,115.728,ok,1301000400,7536
131,116.027,116.027,115.937,116.027,ok,1301086800,5
132,114.696,115.987,114.556,115.757,ok,1301259600,8813
133,115.156,115.646,113.556,114.796,ok,1301346000,9101
134,115.096,115.706,114.506,115.186,ok,1301432400,7900
135,117.065,117.705,115.106,115.216,ok,1301518800,9309
136,118.985,119.005,116.795,117.085,ok,1301605200,8901
137,119.105,119.115,118.985,119.115,ok,1301691600,10
138,121.004,121.294,118.754,119.054,ok,1301864400,8516
139,121.464,122.894,119.994,121.084,ok,1301950800,10415
140,122.103,123.363,121.454,121.534,ok,1302037200,9283
141,122.453,122.883,121.383,122.073,ok,1302123600,8517
142,126.803,126.913,122.283,122.523,ok,1302210000,8659
143,126.693,126.903,126.663,126.773,ok,1302296400,13
144,123.482,126.992,123.482,126.582,ok,1302469200,9635
145,121.001,125.361,120.001,123.232,ok,1302555600,10181
146,122.981,123.261,120.201,121.071,ok,1302642000,5503
147,122.69,123.401,121.901,123.041,ok,1302728400,1281
148,123.893,124.356,121.933,122.63,ok,1302814800,9403
149,123.993,123.993,123.993,123.993,ok,1302901200,1
150,122.077,123.821,121.298,123.46,ok,1303074000,9953
151,121.576,122.56,119.354,122.147,ok,1303160400,12857
152,124.172,124.514,121.384,121.446,ok,1303246800,10325
153,124.181,125.09,123.472,124.232,ok,1303333200,9291
154,124.311,124.522,124.271,124.271,ok,1303419600,14
155,123.879,124.985,122.94,124.23,ok,1303678800,6170
156,123.959,124.624,123.026,123.869,ok,1303765200,8868
157,125.802,126.003,123.46,124.049,ok,1303851600,10423
158,125.0,126.865,124.29,125.772,ok,1303938000,10315
159,126.161,126.272,124.96,124.96,ok,1304024400,5126
160,126.221,126.271,126.221,126.271,ok,1304110800,2
161,124.658,126.693,121.849,126.27,ok,1304283600,10864
162,122.394,125.166,121.895,124.818,ok,1304370000,10592
163,120.853,123.17,120.624,122.344,ok,1304456400,10447
164,110.462,122.089,109.131,120.832,ok,1304542800,17348
165,110.172,114.339,105.252,110.602,ok,1304629200,21565
166,109.341,110.132,109.341,110.132,ok,1304715600,7
167,116.209,116.6,109.352,110.284,ok,1304888400,15242
168,117.45,118.022,113.654,116.329,ok,1304974800,14961
169,113.098,118.496,112.038,117.56,ok,1305061200,14718
170,112.888,114.61,110.2,113.118,ok,1305147600,15420
171,114.039,114.943,111.79,113.058,ok,1305234000,9613
172,113.879,113.879,113.879,113.879,ok,1305320400,1
173,112.085,114.013,112.015,113.579,ok,1305493200,1777
174,112.28,113.575,109.804,112.043,ok,1305579600,12871
175,113.806,114.828,112.135,112.32,ok,1305666000,11326
176,113.098,114.706,112.818,113.907,ok,1305752400,10575
177,113.982,114.489,110.154,113.066,ok,1305838800,12603
178,114.009,114.009,113.88,113.88,ok,1305925200,3
179,111.263,113.693,110.007,113.587,ok,1306098000,12316
180,113.573,114.026,110.87,111.191,ok,1306184400,11709
181,116.326,116.386,112.457,113.553,ok,1306270800,11801
182,116.215,116.789,115.386,116.306,ok,1306357200,11319
183,116.165,116.903,115.643,116.184,ok,1306443600,8907
184,116.204,116.205,116.154,116.205,ok,1306530000,4
185,115.569,116.065,115.294,115.946,ok,1306702800,1665
186,117.598,118.482,115.512,115.533,ok,1306789200,15956
187,114.936,118.252,114.782,117.698,ok,1306875600,11802
188,116.75,116.751,114.633,115.027,ok,1306962000,11594
189,116.871,117.048,114.193,116.72,ok,1307048400,12063
190,116.689,116.861,116.689,116.861,ok,1307134800,4
191,114.81,116.807,114.562,116.627,ok,1307307600,10145
192,117.523,117.991,114.381,114.799,ok,1307394000,12394
193,118.225,119.101,116.303,117.503,ok,1307480400,12135
194,120.131,120.278,117.842,118.245,ok,1307566800,9974
195,118.775,120.499,118.019,120.06,ok,1307653200,10172
196,118.963,118.963,118.754,118.754,ok,1307739600,11
197,118.97,120.457,117.318,118.709,ok,1307912400,10448
198,120.4,120.899,118.739,119.02,ok,1307998800,6451
199,118.219,121.593,116.873,120.36,ok,1308085200,2053
200,118.323,119.177,116.673,118.177,ok,1308171600,13936
201,117.185,118.429,115.027,118.146,ok,1308258000,13256
202,117.025,117.184,117.025,117.184,ok,1308344400,9
203,114.869,117.027,114.727,116.614,ok,1308517200,10374
204,113.987,116.559,113.229,114.972,ok,1308603600,12249
205,116.687,117.773,113.572,113.997,ok,1308690000,11734
206,111.469,116.707,108.673,116.656,ok,1308776400,16763
207,108.338,111.735,106.403,111.479,ok,1308862800,13475
208,108.387,108.388,108.315,108.388,ok,1308949200,3
209,109.014,109.117,104.661,107.841,ok,1309122000,12357
210,111.117,111.388,107.655,108.983,ok,1309208400,11911
211,114.826,114.906,110.357,111.086,ok,1309294800,13695
212,114.075,115.382,112.872,114.815,ok,1309381200,11818
213,113.407,114.555,111.464,114.074,ok,1309467600,16349
214,113.167,113.482,113.167,113.405,ok,1309554000,7
215,112.991,113.772,112.576,112.951,ok,1309726800,4075
216,115.06,115.879,111.899,113.054,ok,1309813200,16485
217,115.425,115.681,113.215,115.13,ok,1309899600,17935
218,119.546,119.894,114.97,115.505,ok,1309986000,20305
219,119.248,120.966,117.945,119.555,ok,1310072400,20626
220,119.323,119.348,119.155,119.348,ok,1310158800,3
221,117.847,119.024,115.832,118.76,ok,1310331600,16642
222,117.442,118.291,115.471,117.836,ok,1310418000,14305
223,119.133,120.159,117.056,117.391,ok,1310504400,7115
224,118.213,119.599,117.971,119.033,ok,1310590800,1633
225,119.428,119.551,116.938,118.426,ok,1310677200,14632
226,119.446,119.446,119.286,119.347,ok,1310763600,4
227,117.805,119.479,116.258,119.327,ok,1310936400,14883
228,118.886,120.048,117.682,117.815,ok,1311022800,15827
229,119.713,120.414,118.577,118.937,ok,1311109200,14968
230,119.264,120.747,118.095,119.703,ok,1311195600,17582
231,119.898,120.215,118.772,119.233,ok,1311282000,12091
232,119.927,120.029,119.927,120.019,ok,1311368400,7
233,118.946,119.754,118.175,119.351,ok,1311541200,12614
234,119.325,120.255,117.725,118.935,ok,1311627600,17076
235,118.534,119.678,118.326,119.346,ok,1311714000,16189
236,118.329,119.815,118.133,118.634,ok,1311800400,15952
237,117.791,118.771,116.779,118.298,ok,1311886800,17014
238,117.869,117.871,117.74,117.74,ok,1311973200,7
239,117.569,121.217,115.646,117.913,ok,1312146000,25401
240,116.811,119.232,116.367,117.579,ok,1312232400,21694
241,114.07,117.076,113.571,116.78,ok,1312318800,22403
242,108.143,114.453,107.645,114.11,ok,1312405200,31546
243,110.145,110.887,104.905,108.113,ok,1312491600,34016
244,110.455,110.606,110.185,110.185,ok,1312578000,5
245,104.321,108.998,103.13,108.998,ok,1312750800,24939
246,105.639,106.328,99.261,104.432,ok,1312837200,36731
247,106.102,107.478,103.757,105.649,ok,1312923600,27967
248,108.28,108.523,104.747,106.112,ok,1313010000,24627
249,108.081,109.431,107.135,108.19,ok,1313096400,16293
250,108.05,108.05,108.05,108.05,ok,1313182800,1
251,109.854,110.11,107.524,108.25,ok,1313355600,6910
252,109.91,110.031,108.3,109.804,ok,1313442000,1596
253,110.902,112.1,109.447,109.93,ok,1313528400,17089
254,106.988,111.098,106.598,110.952,ok,1313614800,25225
255,109.464,109.718,105.388,106.868,ok,1313701200,26752
256,109.544,109.544,109.504,109.504,ok,1313787600,22
257,108.768,109.04,105.435,108.799,ok,1313960400,23981
258,110.04,110.481,107.476,108.808,ok,1314046800,22418
259,110.449,111.273,108.982,110.13,ok,1314133200,17863
260,110.618,111.714,109.258,110.479,ok,1314219600,23466
261,111.338,111.95,109.547,110.658,ok,1314306000,20935
262,111.348,111.388,111.308,111.388,ok,1314392400,4
263,112.334,112.948,110.75,110.993,ok,1314565200,10495
264,114.276,114.459,111.365,112.524,ok,1314651600,17543
265,114.815,115.388,113.717,114.266,ok,1314738000,17480
266,114.292,115.536,113.827,114.805,ok,1314824400,17353
267,112.888,114.76,111.529,114.332,ok,1314910800,20447
268,112.687,112.697,112.687,112.697,ok,1314997200,2
269,110.05,112.643,110.03,112.643,ok,1315170000,6537
270,113.271,113.462,109.971,110.017,ok,1315256400,19620
271,116.552,116.602,112.824,113.19,ok,1315342800,16663
272,114.238,116.703,114.198,116.492,ok,1315429200,16937
273,112.584,115.263,111.017,114.248,ok,1315515600,20158
274,112.614,112.614,112.504,112.534,ok,1315602000,4
275,112.889,113.812,110.474,112.49,ok,1315774800,15913
276,111.636,113.347,111.319,112.899,ok,1315861200,14834
277,112.185,112.728,110.867,111.686,ok,1315947600,7343
278,115.119,116.117,111.77,112.305,ok,1316034000,1633
279,114.926,117.134,114.32,115.098,ok,1316120400,17096
280,114.717,114.842,114.717,114.842,ok,1316206800,6
281,111.788,114.692,111.175,114.319,ok,1316379600,15454
282,112.894,114.042,111.133,111.839,ok,1316466000,17609
283,111.396,114.818,111.296,112.812,ok,1316552400,20208
