,c,h,l,o,s,t,v
0,131.19,131.48,130.672,131.189,ok,1287435600,9959
1,130.672,131.193,130.545,131.133,ok,1287522000,9167
2,130.174,130.766,130.106,130.595,ok,1287608400,8481
3,130.431,130.548,130.106,130.208,ok,1287694800,8165
4,130.416,130.651,130.223,130.384,ok,1287954000,6134
5,129.868,130.439,129.833,130.389,ok,1288040400,8315
6,129.27,129.962,129.143,129.862,ok,1288126800,10605
7,129.466,129.755,129.21,129.485,ok,1288213200,7982
8,130.014,130.077,129.45,129.52,ok,1288299600,9795
9,130.209,130.585,129.715,129.786,ok,1288558800,9404
10,130.305,130.631,130.112,130.243,ok,1288645200,8018
11,130.521,130.844,130.208,130.218,ok,1288731600,10071
12,131.048,131.261,129.84,130.675,ok,1288818000,14305
13,130.761,131.371,130.446,131.091,ok,1288904400,15286
14,130.897,131.202,130.722,130.875,ok,1289167200,7940
15,130.36,131.392,130.3,131.051,ok,1289253600,10075
16,130.626,130.951,129.979,130.444,ok,1289340000,15186
17,130.54,131.091,130.354,130.74,ok,1289426400,10008
18,129.512,131.036,129.465,130.835,ok,1289512800,19135
19,128.776,129.515,128.686,129.145,ok,1289772000,10892
20,128.751,129.217,128.303,128.89,ok,1289858400,13408
21,128.596,129.024,128.423,128.654,ok,1289944800,10029
22,127.859,128.469,127.601,128.369,ok,1290031200,14507
23,127.734,128.072,127.597,127.933,ok,1290117600,8168
24,128.311,128.412,127.367,127.488,ok,1290376800,9038
25,128.887,129.161,128.303,128.455,ok,1290463200,10873
26,127.67,129.41,127.67,128.821,ok,1290549600,16533
27,127.566,128.094,127.398,127.774,ok,1290636000,8287
28,127.481,128.249,127.334,127.66,ok,1290722400,10673
29,127.256,127.593,126.824,127.365,ok,1290981600,11284
30,128.012,128.165,127.3,127.4,ok,1291068000,11930
31,126.857,128.046,126.728,127.956,ok,1291154400,15905
32,126.452,127.107,126.359,127.001,ok,1291240800,14537
33,126.197,126.636,125.9,126.616,ok,1291327200,11501
34,126.603,126.706,126.291,126.392,ok,1291586400,6490
35,125.38,126.69,125.269,126.58,ok,1291672800,7394
36,125.232,125.686,124.844,124.935,ok,1291759200,10823
37,125.808,125.969,125.068,125.179,ok,1291845600,11499
38,125.328,125.956,125.318,125.925,ok,1291932000,7585
39,125.588,125.599,124.957,125.15,ok,1292191200,7069
40,124.466,125.575,124.346,125.565,ok,1292277600,9089
41,124.58,124.943,124.342,124.654,ok,1292364000,8239
42,124.904,124.927,124.353,124.577,ok,1292450400,8873
43,125.47,125.561,124.77,125.052,ok,1292536800,7415
44,125.529,125.892,125.22,125.463,ok,1292796000,7902
45,125.813,125.843,125.305,125.315,ok,1292882400,4828
46,125.977,126.15,125.538,125.639,ok,1292968800,5373
47,125.678,126.213,125.599,125.943,ok,1293055200,4829
48,125.439,125.724,124.86,125.674,ok,1293400800,3842
49,124.97,125.956,124.91,125.557,ok,1293487200,4525
50,125.796,125.877,125.048,125.068,ok,1293573600,4196
51,125.981,126.062,125.592,125.833,ok,1293660000,4724
52,126.293,126.445,125.713,125.795,ok,1294005600,7734
53,126.456,126.628,125.938,126.34,ok,1294092000,7638
54,125.737,126.964,125.637,126.503,ok,1294178400,11553
55,126.271,126.373,125.502,125.824,ok,1294264800,10400
56,126.645,126.807,125.765,126.339,ok,1294351200,10656
57,126.614,126.869,126.386,126.708,ok,1294610400,7713
58,126.326,126.871,126.097,126.471,ok,1294696800,8571
59,125.125,126.333,124.956,126.333,ok,1294783200,14167
60,125.309,125.361,124.649,125.112,ok,1294869600,13710
61,125.021,125.544,124.864,125.225,ok,1294956000,11231
62,125.05,125.343,124.823,124.933,ok,1295215200,6403
63,124.581,125.097,124.312,125.097,ok,1295301600,12215
64,124.645,124.725,124.196,124.378,ok,1295388000,9122
65,124.046,124.832,123.807,124.802,ok,1295474400,12418
66,124.039,124.183,123.69,124.023,ok,1295560800,9332
67,124.118,124.34,123.801,123.852,ok,1295820000,8895
68,124.412,124.636,124.005,124.065,ok,1295906400,9674
69,123.793,124.419,123.754,124.249,ok,1295992800,8613
70,123.746,124.071,123.507,123.851,ok,1296079200,13296
71,124.03,124.151,123.441,123.804,ok,1296165600,8591
72,123.738,124.193,123.699,123.963,ok,1296424800,7522
73,123.291,123.755,123.122,123.685,ok,1296511200,10097
74,123.053,123.526,122.914,123.338,ok,1296597600,9612
75,123.327,123.559,122.86,123.01,ok,1296684000,11319
76,122.869,123.382,122.8,123.254,ok,1296770400,9927
77,122.998,123.119,122.622,122.652,ok,1297029600,6401
78,122.801,123.316,122.741,122.956,ok,1297116000,7785
79,122.774,123.068,122.485,122.688,ok,1297202400,7653
80,122.527,123.161,122.467,122.791,ok,1297288800,9116
81,122.76,123.183,122.634,122.644,ok,1297375200,7437
82,122.73,123.033,122.573,122.654,ok,1297634400,7059
83,122.943,122.943,122.485,122.657,ok,1297720800,8221
84,123.376,123.579,122.78,122.79,ok,1297807200,10166
85,123.94,123.971,123.263,123.374,ok,1297893600,9400
86,123.423,124.017,123.124,123.857,ok,1297980000,9326
87,123.952,123.952,123.376,123.426,ok,1298239200,6912
88,124.315,124.459,123.987,124.049,ok,1298325600,9355
89,124.258,124.54,124.081,124.242,ok,1298412000,7728
90,124.391,124.685,124.243,124.366,ok,1298498400,9029
91,124.434,124.465,124.058,124.379,ok,1298584800,7333
92,124.223,124.577,124.016,124.458,ok,1298844000,6437
93,124.316,124.369,123.838,124.1,ok,1298930400,9017
94,123.729,124.533,123.719,124.413,ok,1299016800,7216
95,122.772,123.706,122.693,123.676,ok,1299103200,11064
96,123.335,123.355,122.587,122.679,ok,1299189600,7067
97,123.119,123.34,122.729,123.31,ok,1299448800,4363
98,122.831,123.28,122.802,123.042,ok,1299535200,5916
99,123.048,123.14,122.804,122.834,ok,1299621600,5382
100,123.538,123.638,123.102,123.183,ok,1299708000,8852
101,123.654,123.997,123.535,123.592,ok,1299794400,9023
102,123.497,123.849,123.009,123.708,ok,1300050000,9322
103,124.199,125.007,124.126,124.188,ok,1300136400,13426
104,125.012,125.216,123.95,124.122,ok,1300222800,13050
105,124.239,124.884,123.989,124.854,ok,1300309200,9939
106,123.951,124.474,123.784,124.041,ok,1300395600,8929
107,123.44,123.762,123.292,123.712,ok,1300654800,6834
108,123.293,123.434,122.978,123.373,ok,1300741200,7074
109,123.591,123.737,123.225,123.317,ok,1300827600,8531
110,123.232,123.907,123.162,123.645,ok,1300914000,7239
111,122.935,123.312,122.856,123.105,ok,1301000400,5311
112,122.91,122.982,122.554,122.767,ok,1301259600,5893
113,122.319,122.943,122.28,122.883,ok,1301346000,6229
114,122.526,122.546,122.222,122.232,ok,1301432400,5805
115,122.198,122.659,122.101,122.55,ok,1301518800,9082
116,122.173,122.183,121.754,122.131,ok,1301605200,7314
117,122.077,122.179,121.82,122.096,ok,1301864400,5149
118,121.87,122.198,121.78,121.949,ok,1301950800,5748
119,121.482,121.912,121.452,121.753,ok,1302037200,7220
120,121.558,121.752,121.23,121.486,ok,1302123600,9857
121,120.978,121.48,120.862,121.39,ok,1302210000,7815
122,120.802,121.042,120.725,120.871,ok,1302469200,5012
123,121.361,121.425,120.937,120.957,ok,1302555600,6872
124,121.608,121.64,121.039,121.194,ok,1302642000,6412
125,121.402,121.941,121.391,121.511,ok,1302728400,7837
126,122.031,122.062,121.404,121.506,ok,1302814800,6741
127,123.203,123.377,121.903,122.014,ok,1303074000,13676
128,122.866,123.418,122.609,123.418,ok,1303160400,8058
129,122.619,122.813,122.413,122.748,ok,1303246800,7495
130,122.986,123.131,122.4,122.472,ok,1303333200,6374
131,123.231,123.233,122.896,123.089,ok,1303765200,4259
132,122.753,123.194,122.524,123.164,ok,1303851600,6759
133,123.2,123.414,122.745,122.898,ok,1303938000,6610
134,123.557,123.59,123.092,123.204,ok,1304024400,3903
135,123.441,123.503,123.074,123.409,ok,1304283600,4378
136,123.335,123.515,123.096,123.515,ok,1304370000,5792
137,122.908,123.359,122.681,123.338,ok,1304456400,8848
138,123.806,123.907,122.588,122.821,ok,1304542800,11489
139,124.283,124.455,123.508,123.669,ok,1304629200,12714
140,124.678,124.902,124.014,124.145,ok,1304888400,9878
141,124.341,124.682,124.301,124.632,ok,1304974800,8243
142,124.657,124.749,124.01,124.285,ok,1305061200,9205
143,124.381,124.909,124.312,124.631,ok,1305147600,8592
144,124.817,125.03,124.223,124.394,ok,1305234000,8652
145,124.57,124.979,124.383,124.93,ok,1305493200,7658
146,124.725,124.818,124.21,124.543,ok,1305579600,8655
147,124.428,124.825,124.369,124.588,ok,1305666000,7372
148,124.503,124.536,124.036,124.362,ok,1305752400,7838
149,124.959,125.122,124.414,124.507,ok,1305838800,7739
150,125.383,125.58,125.122,125.182,ok,1306098000,7382
151,125.207,125.406,124.94,125.346,ok,1306184400,6951
152,125.182,125.45,125.077,125.341,ok,1306270800,9572
153,125.767,125.787,124.944,125.005,ok,1306357200,9123
154,125.761,125.975,125.516,125.78,ok,1306443600,8258
155,125.785,125.909,125.652,125.824,ok,1306702800,2602
156,125.399,125.627,125.144,125.538,ok,1306789200,7943
157,125.963,125.994,125.071,125.262,ok,1306875600,8160
158,125.487,126.076,125.399,125.857,ok,1306962000,5785
159,125.252,126.117,125.104,125.561,ok,1307048400,9761
160,125.595,125.726,125.234,125.254,ok,1307307600,5514
161,125.006,125.61,124.726,125.57,ok,1307394000,5642
162,125.323,125.354,124.884,125.025,ok,1307480400,6676
163,125.379,125.792,125.05,125.281,ok,1307566800,9694
164,126.268,126.349,125.498,125.508,ok,1307653200,7640
165,126.176,126.449,126.098,126.218,ok,1307912400,5273
166,125.971,126.274,125.651,126.134,ok,1307998800,8196
167,126.609,126.68,125.799,125.94,ok,1308085200,8177
168,126.856,126.948,126.457,126.768,ok,1308171600,12960
169,126.511,126.884,126.252,126.814,ok,1308258000,8617
170,126.419,126.902,126.289,126.612,ok,1308517200,7098
171,126.145,126.547,126.035,126.367,ok,1308603600,7352
172,126.431,126.683,126.002,126.083,ok,1308690000,9437
173,127.249,127.521,126.48,126.5,ok,1308776400,9604
174,127.777,127.837,127.027,127.177,ok,1308862800,10195
175,127.133,127.857,127.063,127.837,ok,1309122000,7574
176,126.488,127.352,126.438,127.252,ok,1309208400,9341
177,126.123,126.606,125.874,126.546,ok,1309294800,11401
178,125.829,126.351,125.529,126.081,ok,1309381200,10515
179,125.775,126.086,125.485,125.867,ok,1309467600,8992
180,125.823,126.025,125.674,125.835,ok,1309726800,3874
181,126.11,126.23,125.66,125.871,ok,1309813200,5893
182,126.597,126.888,125.887,125.958,ok,1309899600,9064
183,126.312,126.774,126.032,126.415,ok,1309986000,11208
184,127.681,127.742,126.09,126.27,ok,1310072400,10682
185,129.352,129.593,127.591,127.731,ok,1310331600,13977
186,129.238,131.143,128.818,129.5,ok,1310418000,27832
187,128.773,129.536,128.433,129.316,ok,1310504400,14741
188,128.669,129.091,128.41,128.811,ok,1310590800,11680
189,129.236,129.507,128.647,128.717,ok,1310677200,9891
190,129.554,129.947,129.216,129.226,ok,1310936400,8086
191,129.44,129.733,128.821,129.602,ok,1311022800,11205
192,128.514,129.268,128.275,129.248,ok,1311109200,9981
193,127.178,128.432,127.069,128.162,ok,1311195600,15881
194,127.745,128.007,126.576,127.187,ok,1311282000,13037
195,128.264,128.625,127.736,127.796,ok,1311541200,7447
196,128.651,128.722,127.932,128.172,ok,1311627600,8754
197,129.428,129.649,128.479,128.549,ok,1311714000,9761
198,129.754,130.036,129.295,129.516,ok,1311800400,11135
199,130.831,130.861,129.822,130.023,ok,1311886800,11391
200,131.37,131.521,130.041,130.201,ok,1312146000,11154
201,132.337,132.387,131.328,131.418,ok,1312232400,13791
202,131.822,132.775,131.573,132.325,ok,1312318800,14579
