,c,h,l,o,s,t,v
0,0.93983,0.94525,0.93701,0.94299,ok,1287435600,15195
1,0.94157,0.94223,0.93345,0.93992,ok,1287522000,12279
2,0.94228,0.94693,0.9382,0.94138,ok,1287608400,14835
3,0.95146,0.95457,0.94176,0.94238,ok,1287694800,11273
4,0.9514,0.95157,0.9514,0.95157,ok,1287781200,2
5,0.94945,0.9523,0.94856,0.95113,ok,1287867600,606
6,0.95166,0.95473,0.94853,0.94933,ok,1287954000,9169
7,0.96102,0.9652,0.95073,0.95175,ok,1288040400,10951
8,0.96298,0.96387,0.95733,0.96089,ok,1288126800,11958
9,0.96276,0.96512,0.95733,0.96292,ok,1288213200,10051
10,0.96269,0.97039,0.96072,0.96268,ok,1288299600,11894
11,0.96271,0.9629,0.96269,0.9629,ok,1288386000,5
12,0.96286,0.9636,0.96067,0.96284,ok,1288472400,403
13,0.97663,0.98127,0.96284,0.96296,ok,1288558800,10331
14,0.97108,0.98076,0.96692,0.97647,ok,1288645200,9414
15,0.96527,0.97458,0.96166,0.97116,ok,1288731600,15145
16,0.95598,0.96723,0.95388,0.96534,ok,1288818000,12304
17,0.96011,0.96193,0.94738,0.95582,ok,1288904400,13116
18,0.96163,0.96163,0.95995,0.95995,ok,1288990800,6
19,0.96053,0.96122,0.95894,0.96118,ok,1289077200,780
20,0.96225,0.96557,0.95843,0.96043,ok,1289167200,9550
21,0.96009,0.9651,0.95688,0.96148,ok,1289253600,12027
22,0.9695,0.97357,0.95887,0.96,ok,1289340000,14374
23,0.97155,0.97281,0.96534,0.96942,ok,1289426400,10946
24,0.96797,0.97347,0.95983,0.97147,ok,1289512800,16297
25,0.96788,0.96788,0.96788,0.96788,ok,1289599200,1
26,0.96729,0.96911,0.9652,0.96671,ok,1289685600,992
27,0.97464,0.97863,0.96605,0.96684,ok,1289772000,11214
28,0.97383,0.97736,0.96566,0.9737,ok,1289858400,13683
29,0.96735,0.9761,0.9667,0.97375,ok,1289944800,10858
30,0.97692,0.98134,0.9666,0.96742,ok,1290031200,10455
31,0.97487,0.98059,0.96899,0.97679,ok,1290117600,9062
32,0.97504,0.97504,0.97477,0.97477,ok,1290204000,3
33,0.97512,0.97552,0.97104,0.97489,ok,1290290400,611
34,0.97097,0.98004,0.96974,0.97503,ok,1290376800,9317
35,0.97301,0.97436,0.96609,0.97147,ok,1290463200,13971
36,0.98576,0.98622,0.97294,0.97294,ok,1290549600,12097
37,0.9911,0.99235,0.98392,0.98567,ok,1290636000,8307
38,0.98141,0.99144,0.9783,0.99092,ok,1290722400,10837
39,0.9815,0.98166,0.9815,0.9816,ok,1290808800,3
40,0.98559,0.9871,0.98068,0.98125,ok,1290895200,1843
41,0.98194,0.98594,0.97634,0.98549,ok,1290981600,10935
42,0.97729,0.9829,0.96745,0.98201,ok,1291068000,14607
43,0.98524,0.98892,0.97591,0.9772,ok,1291154400,12904
44,0.9898,0.99278,0.98381,0.98535,ok,1291240800,14048
45,0.9687,0.99267,0.96834,0.98974,ok,1291327200,12378
46,0.96824,0.96871,0.96824,0.96863,ok,1291413600,7
47,0.97111,0.97117,0.96806,0.96806,ok,1291500000,546
48,0.97575,0.98098,0.96844,0.97117,ok,1291586400,9564
49,0.97515,0.97851,0.97261,0.97554,ok,1291672800,10368
50,0.97483,0.97978,0.97444,0.97522,ok,1291759200,11010
51,0.97279,0.97831,0.97214,0.97517,ok,1291845600,11282
52,0.97133,0.9747,0.96907,0.9729,ok,1291932000,7407
53,0.97126,0.97126,0.97126,0.97126,ok,1292018400,1
54,0.9733,0.97405,0.97009,0.97134,ok,1292104800,316
55,0.96028,0.97568,0.95859,0.97337,ok,1292191200,7267
56,0.95331,0.962,0.9508,0.96021,ok,1292277600,10861
57,0.96304,0.96589,0.95181,0.95338,ok,1292364000,11594
58,0.95803,0.96759,0.95772,0.96289,ok,1292450400,9825
59,0.95445,0.9606,0.94929,0.9581,ok,1292536800,10156
60,0.95447,0.95447,0.95426,0.95436,ok,1292623200,3
61,0.95503,0.95766,0.95465,0.95465,ok,1292709600,403
62,0.94859,0.95917,0.94502,0.95512,ok,1292796000,7994
63,0.9417,0.94926,0.93874,0.9484,ok,1292882400,8622
64,0.93928,0.94245,0.9363,0.9416,ok,1292968800,8081
65,0.9495,0.95736,0.93799,0.93919,ok,1293055200,8176
66,0.95328,0.95744,0.94592,0.94929,ok,1293141600,6370
67,0.95262,0.95328,0.95262,0.95313,ok,1293228000,6
68,0.95275,0.95461,0.9525,0.95418,ok,1293314400,117
69,0.95284,0.95771,0.95112,0.95296,ok,1293400800,5316
70,0.95126,0.9538,0.94007,0.95335,ok,1293487200,9133
71,0.94457,0.95518,0.94424,0.95114,ok,1293573600,7181
72,0.93473,0.94569,0.93471,0.9445,ok,1293660000,7315
73,0.93547,0.94256,0.93344,0.93497,ok,1293746400,8486
74,0.93573,0.93573,0.93573,0.93573,ok,1293832800,1
75,0.93849,0.93895,0.93364,0.93605,ok,1293919200,365
76,0.93876,0.94606,0.93747,0.93858,ok,1294005600,6298
77,0.94969,0.95364,0.93855,0.93868,ok,1294092000,10062
78,0.9697,0.97264,0.94763,0.94954,ok,1294178400,11863
79,0.9684,0.97624,0.9641,0.96978,ok,1294264800,10084
80,0.97254,0.97606,0.96214,0.96834,ok,1294351200,12574
81,0.97261,0.97261,0.97261,0.97261,ok,1294437600,1
82,0.97444,0.97498,0.97162,0.97324,ok,1294524000,549
83,0.97354,0.97601,0.96684,0.97452,ok,1294610400,9418
84,0.98276,0.98579,0.9728,0.97362,ok,1294696800,10864
85,0.98033,0.98816,0.9772,0.98263,ok,1294783200,12688
86,0.974,0.98854,0.97225,0.98021,ok,1294869600,11927
87,0.97135,0.97632,0.96626,0.97382,ok,1294956000,11953
88,0.97109,0.97127,0.97109,0.97127,ok,1295042400,3
89,0.97322,0.9753,0.97007,0.9706,ok,1295128800,545
90,0.97682,0.97908,0.97328,0.97329,ok,1295215200,7813
91,0.9715,0.9776,0.96602,0.97671,ok,1295301600,10815
92,0.95847,0.97339,0.9566,0.97163,ok,1295388000,10655
93,0.96957,0.97041,0.95422,0.95856,ok,1295474400,13236
94,0.96391,0.97128,0.96148,0.96969,ok,1295560800,10444
95,0.96398,0.96398,0.96398,0.96398,ok,1295647200,1
96,0.96135,0.96494,0.96069,0.96432,ok,1295733600,403
97,0.95502,0.96714,0.95204,0.96148,ok,1295820000,8545
98,0.94499,0.95849,0.94198,0.95492,ok,1295906400,10846
99,0.94669,0.95065,0.94352,0.94505,ok,1295992800,10293
100,0.95125,0.95389,0.94348,0.9466,ok,1296079200,11188
101,0.93985,0.95207,0.93955,0.95133,ok,1296165600,9788
102,0.93995,0.93995,0.93995,0.93995,ok,1296252000,13
103,0.93871,0.94193,0.93849,0.93995,ok,1296338400,600
104,0.94271,0.94485,0.93637,0.93879,ok,1296424800,9476
105,0.94383,0.94922,0.9412,0.94279,ok,1296511200,9746
106,0.9512,0.95397,0.94313,0.94377,ok,1296597600,8637
107,0.95358,0.96277,0.9503,0.95108,ok,1296684000,9041
108,0.96642,0.97109,0.94781,0.95351,ok,1296770400,10497
109,0.96642,0.96642,0.96642,0.96642,ok,1296856800,12
110,0.96842,0.96926,0.96477,0.96642,ok,1296943200,638
111,0.96391,0.97156,0.96353,0.96849,ok,1297029600,8360
112,0.96759,0.96975,0.96175,0.96403,ok,1297116000,9257
113,0.96336,0.97117,0.96158,0.96768,ok,1297202400,8077
114,0.97329,0.9744,0.96234,0.96343,ok,1297288800,8450
115,0.98447,0.98723,0.97145,0.97337,ok,1297375200,8422
116,0.98461,0.98461,0.98461,0.98461,ok,1297461600,4
117,0.98429,0.98599,0.98411,0.98461,ok,1297548000,793
118,0.98023,0.98955,0.97918,0.98419,ok,1297634400,7189
119,0.9767,0.98671,0.97583,0.98012,ok,1297720800,7789
120,0.97383,0.98607,0.96937,0.97678,ok,1297807200,9215
121,0.96443,0.97537,0.96311,0.97374,ok,1297893600,8260
122,0.95617,0.97004,0.95567,0.96449,ok,1297980000,7624
123,0.95617,0.95617,0.95617,0.95617,ok,1298066400,12
124,0.95617,0.9569,0.95423,0.95617,ok,1298152800,349
125,0.96272,0.96523,0.95623,0.95623,ok,1298239200,4723
126,0.94711,0.96432,0.9459,0.96265,ok,1298325600,10863
127,0.94247,0.94968,0.93584,0.94721,ok,1298412000,8484
128,0.94237,0.9442,0.93673,0.94254,ok,1298498400,10636
129,0.94863,0.9496,0.93949,0.94243,ok,1298584800,7559
130,0.94871,0.94871,0.94871,0.94871,ok,1298671200,15
131,0.94772,0.94923,0.94644,0.94871,ok,1298757600,518
132,0.95551,0.95687,0.94701,0.94779,ok,1298844000,7349
133,0.95213,0.95986,0.95161,0.95544,ok,1298930400,7586
134,0.94828,0.95331,0.94651,0.95207,ok,1299016800,7052
135,0.95794,0.95881,0.94795,0.94839,ok,1299103200,7346
136,0.94883,0.95865,0.94836,0.95786,ok,1299189600,7474
137,0.94885,0.94885,0.94875,0.94875,ok,1299276000,2
138,0.94984,0.95123,0.94885,0.94885,ok,1299362400,271
139,0.95143,0.95545,0.94951,0.94994,ok,1299448800,4787
140,0.96205,0.96344,0.95095,0.95137,ok,1299535200,6084
141,0.95911,0.96472,0.95634,0.96197,ok,1299621600,5148
142,0.95426,0.96358,0.95336,0.95905,ok,1299708000,7291
143,0.95431,0.96056,0.94889,0.95439,ok,1299794400,8305
144,0.95431,0.95431,0.95431,0.95431,ok,1299880800,14
145,0.95195,0.95487,0.9501,0.95431,ok,1299967200,1291
146,0.94867,0.95742,0.9459,0.95202,ok,1300050000,7240
147,0.9291,0.94933,0.9227,0.94874,ok,1300136400,14692
148,0.91548,0.93637,0.91088,0.92918,ok,1300222800,13187
149,0.91202,0.91849,0.8996,0.91555,ok,1300309200,20513
150,0.91395,0.92426,0.90899,0.91193,ok,1300395600,12537
151,0.91424,0.91425,0.91419,0.91419,ok,1300482000,14
152,0.91275,0.91483,0.91195,0.91424,ok,1300568400,363
153,0.92447,0.92899,0.91248,0.91283,ok,1300654800,6832
154,0.92069,0.92733,0.92008,0.92453,ok,1300741200,6752
155,0.92509,0.92737,0.91463,0.92063,ok,1300827600,6736
156,0.93128,0.93286,0.92443,0.92503,ok,1300914000,7678
157,0.93739,0.93909,0.92899,0.93117,ok,1301000400,7037
158,0.9372,0.9372,0.9372,0.9372,ok,1301086800,13
159,0.93929,0.94016,0.93679,0.9372,ok,1301173200,426
160,0.93707,0.942,0.93553,0.93923,ok,1301259600,5825
161,0.94387,0.94568,0.936,0.93701,ok,1301346000,6208
162,0.94538,0.9547,0.94379,0.94394,ok,1301432400,6689
163,0.94656,0.94738,0.94008,0.94544,ok,1301518800,6677
164,0.95816,0.96781,0.94619,0.94669,ok,1301605200,9369
165,0.95815,0.95933,0.95769,0.95806,ok,1301691600,18
166,0.95789,0.95912,0.95678,0.95815,ok,1301778000,210
167,0.9542,0.9611,0.94968,0.95796,ok,1301864400,5431
168,0.95966,0.96108,0.9498,0.95409,ok,1301950800,6582
169,0.95606,0.96514,0.95235,0.95976,ok,1302037200,7140
170,0.95574,0.95923,0.95156,0.95596,ok,1302123600,7571
171,0.9477,0.96016,0.94719,0.95583,ok,1302210000,7958
172,0.94741,0.9477,0.94714,0.9477,ok,1302296400,13
173,0.94829,0.95023,0.94482,0.94741,ok,1302382800,761
174,0.9474,0.95247,0.94627,0.9484,ok,1302469200,5537
175,0.93059,0.94872,0.92692,0.94731,ok,1302555600,9951
176,0.93114,0.93541,0.92669,0.93081,ok,1302642000,8005
