,c,h,l,o,s,t,v
0,7.50531,7.63188,7.47866,7.62396,ok,1287435600,26913
1,7.60152,7.60432,7.49754,7.50575,ok,1287522000,21330
2,7.55973,7.63397,7.53625,7.60174,ok,1287608400,23470
3,7.5598,7.59434,7.53692,7.5601,ok,1287694800,17396
4,7.56068,7.56068,7.56068,7.56068,ok,1287781200,1
5,7.56382,7.57004,7.5576,7.56146,ok,1287867600,222
6,7.604,7.6408,7.55657,7.56359,ok,1287954000,15935
7,7.5764,7.61888,7.55543,7.60355,ok,1288040400,18127
8,7.54386,7.58651,7.50365,7.57662,ok,1288126800,21842
9,7.59309,7.61734,7.54078,7.54357,ok,1288213200,19243
10,7.59819,7.62449,7.56715,7.59272,ok,1288299600,20340
11,7.60049,7.60243,7.57754,7.5995,ok,1288472400,404
12,7.63455,7.65402,7.59695,7.60032,ok,1288558800,15502
13,7.68619,7.68657,7.6191,7.63418,ok,1288645200,17485
14,7.70802,7.71227,7.6303,7.68657,ok,1288731600,26049
15,7.73183,7.7418,7.65081,7.70856,ok,1288818000,22558
16,7.74326,7.75583,7.67038,7.73221,ok,1288904400,24725
17,7.74481,7.74481,7.74481,7.74481,ok,1288990800,1
18,7.74216,7.74386,7.73434,7.74257,ok,1289077200,414
19,7.72103,7.75392,7.70819,7.74162,ok,1289167200,17613
20,7.6879,7.76555,7.6774,7.72087,ok,1289253600,24491
21,7.7419,7.75526,7.67846,7.68729,ok,1289340000,28511
22,7.72319,7.76754,7.69394,7.74207,ok,1289426400,21804
23,7.65144,7.72897,7.63939,7.7225,ok,1289512800,27712
24,7.65068,7.65068,7.65068,7.65068,ok,1289599200,1
25,7.66247,7.66535,7.64704,7.65131,ok,1289685600,325
26,7.6745,7.70776,7.64477,7.65906,ok,1289772000,18726
27,7.58614,7.69814,7.56197,7.66751,ok,1289858400,23545
28,7.56893,7.61771,7.55715,7.5851,ok,1289944800,17887
29,7.60782,7.63348,7.56778,7.56859,ok,1290031200,16145
30,7.62087,7.62754,7.57587,7.60742,ok,1290117600,13750
31,7.6202,7.6202,7.6202,7.6202,ok,1290204000,1
32,7.62165,7.62435,7.60956,7.61988,ok,1290290400,259
33,7.61098,7.6597,7.5894,7.6214,ok,1290376800,14682
34,7.56942,7.62563,7.55846,7.61076,ok,1290463200,20794
35,7.68138,7.68746,7.57038,7.57038,ok,1290549600,19238
36,7.68629,7.69858,7.66326,7.68079,ok,1290636000,11389
37,7.59677,7.69246,7.5757,7.68645,ok,1290722400,16359
38,7.5958,7.5958,7.5955,7.5955,ok,1290808800,2
39,7.63098,7.64545,7.59231,7.59357,ok,1290895200,770
40,7.6263,7.63382,7.569,7.63076,ok,1290981600,17609
41,7.56371,7.63192,7.5513,7.62682,ok,1291068000,22458
42,7.63628,7.65773,7.55936,7.56305,ok,1291154400,19249
43,7.74323,7.74371,7.62175,7.63602,ok,1291240800,24347
44,7.72731,7.76112,7.7007,7.74354,ok,1291327200,22117
45,7.72638,7.72777,7.72638,7.72715,ok,1291413600,5
46,7.73024,7.74033,7.72275,7.725,ok,1291500000,220
47,7.71551,7.74442,7.69783,7.73109,ok,1291586400,16767
48,7.66534,7.75277,7.66367,7.71474,ok,1291672800,19147
49,7.67867,7.71902,7.65901,7.66367,ok,1291759200,19197
50,7.68976,7.71657,7.67154,7.68133,ok,1291845600,18304
51,7.69854,7.70836,7.68091,7.69065,ok,1291932000,12800
52,7.6918,7.69915,7.69009,7.69915,ok,1292104800,79
53,7.719,7.75458,7.6898,7.69199,ok,1292191200,12741
54,7.7227,7.74915,7.68683,7.71877,ok,1292277600,17580
55,7.73581,7.77263,7.69996,7.72178,ok,1292364000,20703
56,7.72667,7.75033,7.71872,7.73496,ok,1292450400,15787
57,7.66534,7.74504,7.66341,7.72844,ok,1292536800,14930
58,7.66613,7.66613,7.66447,7.66568,ok,1292623200,4
59,7.67351,7.68035,7.66749,7.66764,ok,1292709600,143
60,7.64419,7.69787,7.61808,7.67277,ok,1292796000,11327
61,7.64133,7.65761,7.60766,7.64259,ok,1292882400,10416
62,7.67461,7.68897,7.63624,7.63795,ok,1292968800,9586
63,7.70287,7.72029,7.65151,7.67423,ok,1293055200,9166
64,7.71144,7.73938,7.68821,7.70322,ok,1293141600,7883
65,7.71375,7.72,7.70814,7.71541,ok,1293314400,105
66,7.72698,7.73422,7.69483,7.71407,ok,1293400800,5638
67,7.77012,7.79781,7.72358,7.72669,ok,1293487200,12462
68,7.77423,7.80047,7.73723,7.7696,ok,1293573600,12247
69,7.77954,7.7888,7.76355,7.77384,ok,1293660000,9869
70,7.78356,7.82604,7.76946,7.77986,ok,1293746400,12091
71,7.78575,7.78575,7.78575,7.78575,ok,1293832800,1
72,7.80725,7.81274,7.7884,7.7884,ok,1293919200,375
73,7.81618,7.85403,7.8062,7.80764,ok,1294005600,11246
