,c,h,l,o,s,t,v
0,78.915,79.97,78.741,79.876,ok,1287435600,51339
1,79.401,79.433,78.665,78.918,ok,1287522000,44162
2,79.192,79.706,78.89,79.383,ok,1287608400,52520
3,79.267,79.519,78.835,79.194,ok,1287694800,34634
4,79.272,79.277,79.272,79.277,ok,1287781200,2
5,79.218,79.356,79.069,79.232,ok,1287867600,713
6,79.212,79.424,78.895,79.229,ok,1287954000,40407
7,79.519,79.613,79.127,79.225,ok,1288040400,48544
8,79.507,79.802,78.927,79.525,ok,1288126800,57048
9,79.322,79.577,78.841,79.514,ok,1288213200,47321
10,78.825,79.512,78.669,79.327,ok,1288299600,49436
11,78.8,78.819,78.8,78.813,ok,1288386000,4
12,78.74,78.834,78.496,78.76,ok,1288472400,1129
13,79.278,79.954,78.713,78.735,ok,1288558800,41538
14,79.95,80.147,79.161,79.283,ok,1288645200,40821
15,80.641,80.864,79.841,79.954,ok,1288731600,52863
16,80.541,80.793,80.089,80.645,ok,1288818000,48274
17,81.194,81.399,79.925,80.543,ok,1288904400,45720
18,81.22,81.22,81.22,81.22,ok,1288990800,1
19,81.159,81.275,81.076,81.195,ok,1289077200,1091
20,80.873,81.265,80.634,81.144,ok,1289167200,39889
21,81.023,81.473,80.196,80.869,ok,1289253600,55944
22,82.186,82.552,80.898,81.029,ok,1289340000,57625
23,82.196,82.376,81.838,82.183,ok,1289426400,44972
24,81.467,82.27,80.6,82.199,ok,1289512800,66467
25,81.459,81.459,81.459,81.459,ok,1289599200,1
26,81.537,81.627,81.341,81.614,ok,1289685600,1251
27,82.252,82.489,81.405,81.545,ok,1289772000,52027
28,81.457,82.598,81.337,82.248,ok,1289858400,62085
29,81.168,81.745,81.142,81.46,ok,1289944800,44088
30,81.942,82.255,81.161,81.161,ok,1290031200,46462
31,82.111,82.138,81.535,81.945,ok,1290117600,38757
32,82.107,82.107,82.107,82.107,ok,1290204000,1
33,82.111,82.141,81.81,82.114,ok,1290290400,1285
34,81.782,82.427,81.63,82.108,ok,1290376800,34884
35,81.136,82.144,80.704,81.784,ok,1290463200,54608
36,82.701,82.721,81.131,81.138,ok,1290549600,57270
37,82.822,82.988,82.45,82.696,ok,1290636000,31917
38,82.3,83.123,81.707,82.827,ok,1290722400,40185
39,82.222,82.314,82.222,82.306,ok,1290808800,6
40,82.634,82.694,82.365,82.365,ok,1290895200,1821
41,82.748,82.787,82.181,82.63,ok,1290981600,51889
42,81.518,82.777,81.16,82.752,ok,1291068000,62377
43,82.763,83.046,81.353,81.521,ok,1291154400,61728
44,83.579,83.706,82.521,82.758,ok,1291240800,60380
45,82.146,83.662,81.954,83.575,ok,1291327200,53459
46,82.145,82.164,82.145,82.16,ok,1291413600,5
47,82.279,82.339,82.079,82.095,ok,1291500000,567
48,82.173,82.6,82.022,82.285,ok,1291586400,43128
49,82.449,82.778,81.807,82.161,ok,1291672800,48153
50,83.075,83.467,82.454,82.473,ok,1291759200,53829
51,82.845,83.229,82.725,83.072,ok,1291845600,51666
52,83.146,83.197,82.579,82.848,ok,1291932000,36102
53,83.091,83.138,82.864,83.138,ok,1292104800,455
54,82.751,83.665,82.585,83.1,ok,1292191200,40906
55,83.133,83.254,82.289,82.745,ok,1292277600,47885
56,83.81,84.189,83.026,83.121,ok,1292364000,50329
57,83.376,83.989,83.349,83.818,ok,1292450400,46920
58,82.77,83.606,82.743,83.383,ok,1292536800,39152
59,82.76,82.775,82.758,82.775,ok,1292623200,7
60,82.875,82.985,82.758,82.799,ok,1292709600,586
61,82.372,83.039,81.984,82.88,ok,1292796000,29975
62,82.312,82.462,81.827,82.385,ok,1292882400,28571
63,82.448,82.525,82.017,82.316,ok,1292968800,33835
64,82.127,82.513,81.688,82.44,ok,1293055200,28232
65,82.152,82.486,81.97,82.132,ok,1293141600,17754
66,82.087,82.194,82.028,82.187,ok,1293314400,499
67,82.241,82.311,82.024,82.083,ok,1293400800,15199
68,82.277,82.479,81.8,82.221,ok,1293487200,25726
69,81.53,82.408,81.523,82.274,ok,1293573600,22944
70,81.512,81.852,81.201,81.536,ok,1293660000,21449
71,81.252,81.742,81.252,81.508,ok,1293746400,20888
72,81.32,81.33,81.237,81.243,ok,1293832800,6
73,81.601,81.799,81.325,81.325,ok,1293919200,935
74,82.227,82.504,81.384,81.607,ok,1294005600,23606
75,82.15,82.852,81.419,82.23,ok,1294092000,43781
76,83.594,83.805,81.877,82.153,ok,1294178400,48855
77,83.585,83.775,83.142,83.591,ok,1294264800,42677
78,83.642,84.358,83.157,83.582,ok,1294351200,53112
79,83.657,83.657,83.657,83.657,ok,1294437600,1
80,83.737,83.883,83.549,83.7,ok,1294524000,876
81,83.24,83.831,82.933,83.75,ok,1294610400,38533
82,84.034,84.259,83.185,83.25,ok,1294696800,43677
83,84.183,84.683,83.808,84.031,ok,1294783200,37538
84,83.698,84.27,83.432,84.18,ok,1294869600,42291
85,83.575,83.986,82.901,83.7,ok,1294956000,35102
86,83.572,83.578,83.572,83.578,ok,1295042400,2
87,83.74,83.832,83.391,83.565,ok,1295128800,795
88,83.741,84.024,83.262,83.748,ok,1295215200,26848
89,83.267,83.882,83.145,83.734,ok,1295301600,32254
90,82.35,83.444,82.178,83.27,ok,1295388000,32631
91,83.206,83.293,82.189,82.347,ok,1295474400,39456
92,83.086,83.499,82.88,83.21,ok,1295560800,36183
93,83.078,83.089,83.078,83.089,ok,1295647200,3
94,83.047,83.196,83.005,83.005,ok,1295733600,628
95,83.044,83.402,82.821,83.05,ok,1295820000,32842
96,82.498,83.183,82.035,83.046,ok,1295906400,38853
97,82.645,82.924,82.243,82.491,ok,1295992800,32863
98,83.428,83.552,82.437,82.653,ok,1296079200,46130
99,81.963,83.45,81.922,83.433,ok,1296165600,36488
100,81.972,81.972,81.948,81.948,ok,1296252000,18
101,81.819,82.056,81.601,81.972,ok,1296338400,2057
102,81.95,82.397,81.463,81.816,ok,1296424800,33916
103,82.108,82.263,81.603,81.947,ok,1296511200,30859
104,82.541,82.807,82.086,82.106,ok,1296597600,31249
105,82.334,82.945,82.176,82.545,ok,1296684000,30627
106,83.187,83.352,81.613,82.339,ok,1296770400,35084
107,83.197,83.197,83.182,83.182,ok,1296856800,14
108,83.109,83.212,83.031,83.197,ok,1296943200,931
109,83.069,83.56,83.021,83.111,ok,1297029600,28059
110,82.74,83.199,82.351,83.072,ok,1297116000,31398
111,82.845,83.099,82.628,82.736,ok,1297202400,30898
112,83.597,83.721,82.751,82.85,ok,1297288800,33154
113,84.444,84.599,83.579,83.594,ok,1297375200,25248
114,84.444,84.444,84.444,84.444,ok,1297461600,3
115,84.329,84.492,84.314,84.444,ok,1297548000,1225
116,84.223,84.613,84.112,84.337,ok,1297634400,27829
117,84.617,85.117,84.157,84.22,ok,1297720800,34821
118,84.946,85.084,84.548,84.62,ok,1297807200,25340
119,84.606,85.118,84.404,84.949,ok,1297893600,23488
120,84.247,84.884,84.118,84.61,ok,1297980000,23069
121,84.247,84.247,84.247,84.247,ok,1298066400,12
122,84.239,84.295,84.08,84.247,ok,1298152800,395
123,84.559,84.663,84.166,84.242,ok,1298239200,14555
124,83.523,84.947,83.423,84.557,ok,1298325600,39454
125,83.364,83.867,82.854,83.525,ok,1298412000,30759
126,83.318,83.415,82.647,83.367,ok,1298498400,38743
127,83.51,83.583,83.159,83.322,ok,1298584800,26838
128,83.514,83.519,83.514,83.519,ok,1298671200,17
129,83.41,83.54,83.312,83.514,ok,1298757600,692
130,84.152,84.264,83.407,83.412,ok,1298844000,25029
131,83.966,84.694,83.917,84.155,ok,1298930400,27507
132,84.112,84.34,83.788,83.962,ok,1299016800,22437
133,84.792,84.812,83.88,84.108,ok,1299103200,23289
134,84.508,85.361,84.487,84.796,ok,1299189600,26885
135,84.517,84.517,84.505,84.505,ok,1299276000,3
136,84.551,84.605,84.438,84.517,ok,1299362400,576
137,84.477,84.736,84.246,84.554,ok,1299448800,20570
138,85.081,85.165,84.445,84.474,ok,1299535200,24635
139,85.409,85.519,85.071,85.077,ok,1299621600,22001
140,84.995,85.599,84.877,85.404,ok,1299708000,29717
141,84.082,85.379,83.597,85.0,ok,1299794400,40408
142,84.057,84.068,84.057,84.068,ok,1299880800,17
143,83.797,84.328,83.789,84.057,ok,1299967200,2404
144,83.805,84.621,82.818,83.8,ok,1300050000,47018
145,81.856,84.099,80.969,83.803,ok,1300136400,66572
146,80.267,82.532,80.157,81.825,ok,1300222800,58301
147,80.087,80.484,77.201,80.264,ok,1300309200,112572
148,81.814,83.52,79.954,80.081,ok,1300395600,78191
149,81.823,81.823,81.819,81.819,ok,1300482000,14
150,82.099,82.108,81.773,81.823,ok,1300568400,871
151,82.836,83.358,81.91,82.097,ok,1300654800,30737
152,82.534,83.163,82.435,82.851,ok,1300741200,29215
153,82.412,82.646,82.133,82.53,ok,1300827600,28663
154,83.014,83.093,82.323,82.408,ok,1300914000,25962
155,82.944,83.471,82.776,83.016,ok,1301000400,25338
156,82.924,82.94,82.924,82.94,ok,1301086800,14
157,82.983,83.17,82.894,82.924,ok,1301173200,1349
158,83.516,83.858,82.719,82.988,ok,1301259600,22516
159,84.62,84.647,83.357,83.519,ok,1301346000,25064
160,85.357,85.781,84.502,84.623,ok,1301432400,29962
161,85.626,85.802,84.966,85.354,ok,1301518800,31220
162,87.212,87.735,85.629,85.629,ok,1301605200,35792
163,87.212,87.221,87.21,87.21,ok,1301691600,16
164,87.295,87.331,87.13,87.212,ok,1301778000,580
165,86.912,87.552,86.63,87.298,ok,1301864400,21890
166,88.029,88.111,86.867,86.915,ok,1301950800,28020
167,88.962,89.272,88.029,88.033,ok,1302037200,34290
168,88.578,89.052,87.919,88.966,ok,1302123600,37758
169,88.668,89.522,88.439,88.585,ok,1302210000,34677
170,88.643,88.664,88.643,88.664,ok,1302296400,13
171,88.794,88.883,88.643,88.643,ok,1302382800,791
172,88.419,89.114,88.32,88.797,ok,1302469200,27193
173,86.725,88.677,86.544,88.414,ok,1302555600,51021
174,87.105,87.736,86.663,86.721,ok,1302642000,40735
175,86.85,87.174,85.874,87.102,ok,1302728400,43522
176,86.614,87.208,86.115,86.845,ok,1302814800,31863
177,86.614,86.614,86.614,86.614,ok,1302901200,11
178,86.736,86.775,86.513,86.614,ok,1302987600,340
179,85.705,86.742,84.582,86.741,ok,1303074000,37515
180,86.355,86.584,85.252,85.7,ok,1303160400,33530
181,86.644,87.148,86.174,86.349,ok,1303246800,34074
