,c,h,l,o,s,t,v
0,1.26985,1.28013,1.26259,1.27603,ok,1287435600,4739
1,1.27538,1.27538,1.26735,1.27,ok,1287522000,3992
2,1.26743,1.27578,1.26392,1.27516,ok,1287608400,4240
3,1.26297,1.27182,1.26097,1.26758,ok,1287694800,3103
4,1.26312,1.26312,1.26312,1.26312,ok,1287781200,1
5,1.2621,1.26428,1.2618,1.26287,ok,1287867600,95
6,1.26704,1.27123,1.26201,1.26229,ok,1287954000,2676
7,1.26571,1.2708,1.26455,1.26723,ok,1288040400,3041
8,1.26716,1.2702,1.26168,1.26555,ok,1288126800,3784
9,1.26843,1.27269,1.26114,1.26741,ok,1288213200,3056
10,1.2678,1.27368,1.26461,1.26826,ok,1288299600,3117
11,1.26763,1.27047,1.26518,1.27047,ok,1288472400,147
12,1.27192,1.2747,1.26622,1.26795,ok,1288558800,2605
13,1.277,1.277,1.27005,1.2721,ok,1288645200,2275
14,1.2784,1.27922,1.2686,1.27721,ok,1288731600,3904
15,1.27888,1.28198,1.26852,1.2782,ok,1288818000,3068
16,1.28384,1.28655,1.2733,1.27864,ok,1288904400,3226
17,1.28419,1.28419,1.28419,1.28419,ok,1288990800,1
18,1.28357,1.28518,1.28245,1.28518,ok,1289077200,118
19,1.28283,1.28622,1.27985,1.28335,ok,1289167200,2450
20,1.27956,1.28581,1.27774,1.28263,ok,1289253600,3202
21,1.28626,1.28825,1.27772,1.27941,ok,1289340000,4013
22,1.28466,1.28779,1.2801,1.28604,ok,1289426400,2897
23,1.28068,1.28798,1.27751,1.28441,ok,1289512800,4838
24,1.28049,1.28049,1.28049,1.28049,ok,1289599200,1
25,1.28288,1.28338,1.28043,1.28272,ok,1289685600,127
26,1.28977,1.29477,1.28051,1.28238,ok,1289772000,3197
27,1.27584,1.29264,1.27089,1.28851,ok,1289858400,4053
28,1.26939,1.27865,1.2673,1.27633,ok,1289944800,3070
29,1.27122,1.275,1.26735,1.2696,ok,1290031200,2900
30,1.27324,1.2742,1.2685,1.27105,ok,1290117600,2272
31,1.27299,1.27299,1.27299,1.27299,ok,1290204000,1
32,1.27357,1.27407,1.27176,1.27274,ok,1290290400,111
33,1.27271,1.27998,1.27093,1.27342,ok,1290376800,2228
34,1.28224,1.28905,1.27186,1.27289,ok,1290463200,3806
35,1.29634,1.29635,1.28154,1.28246,ok,1290549600,3509
36,1.29393,1.2983,1.29237,1.29619,ok,1290636000,1906
37,1.29102,1.3008,1.28888,1.29373,ok,1290722400,3250
38,1.2908,1.2908,1.2908,1.2908,ok,1290808800,1
39,1.29441,1.29899,1.29026,1.29048,ok,1290895200,267
40,1.29473,1.29671,1.28872,1.29423,ok,1290981600,3150
41,1.28571,1.29714,1.28474,1.29508,ok,1291068000,3858
42,1.28771,1.2916,1.28375,1.28555,ok,1291154400,3356
43,1.30258,1.30258,1.28596,1.28753,ok,1291240800,3492
44,1.29632,1.30538,1.29289,1.30293,ok,1291327200,3365
45,1.29581,1.29651,1.29581,1.29651,ok,1291413600,5
46,1.29589,1.29762,1.29439,1.29531,ok,1291500000,79
47,1.29722,1.29876,1.29486,1.29606,ok,1291586400,2598
48,1.29396,1.30023,1.29013,1.29705,ok,1291672800,2778
49,1.2989,1.30678,1.29363,1.29363,ok,1291759200,3509
50,1.29605,1.30167,1.29516,1.29935,ok,1291845600,2890
51,1.29426,1.29779,1.29304,1.29621,ok,1291932000,1904
52,1.29527,1.29595,1.29296,1.29436,ok,1292104800,54
53,1.29301,1.30197,1.29142,1.29602,ok,1292191200,1653
54,1.29397,1.29664,1.28707,1.29318,ok,1292277600,2546
55,1.31081,1.31365,1.29351,1.29378,ok,1292364000,3493
56,1.30525,1.31153,1.30457,1.31062,ok,1292450400,2357
57,1.29454,1.30782,1.29379,1.30555,ok,1292536800,2369
58,1.29474,1.29474,1.29474,1.29474,ok,1292623200,1
59,1.29686,1.29881,1.29462,1.295,ok,1292709600,94
60,1.2944,1.30569,1.28986,1.29575,ok,1292796000,2019
61,1.28935,1.29571,1.28494,1.29414,ok,1292882400,1838
62,1.28901,1.29434,1.28583,1.28878,ok,1292968800,1773
63,1.29276,1.29542,1.28479,1.28926,ok,1293055200,1571
64,1.28731,1.29325,1.28462,1.29253,ok,1293141600,1789
65,1.28974,1.29116,1.28798,1.28798,ok,1293314400,60
66,1.28957,1.29193,1.28662,1.28946,ok,1293400800,1106
67,1.29778,1.30073,1.28699,1.2893,ok,1293487200,1777
68,1.29032,1.29924,1.2896,1.29798,ok,1293573600,1430
69,1.28749,1.2932,1.28626,1.2905,ok,1293660000,1221
70,1.28504,1.29152,1.28129,1.28767,ok,1293746400,2244
71,1.28531,1.28531,1.28531,1.28531,ok,1293832800,1
72,1.28915,1.28995,1.28516,1.28575,ok,1293919200,135
73,1.29202,1.29805,1.28788,1.28937,ok,1294005600,1626
74,1.28833,1.29641,1.28404,1.29181,ok,1294092000,2276
75,1.29736,1.30025,1.28746,1.28853,ok,1294178400,2390
76,1.29865,1.30348,1.29543,1.29758,ok,1294264800,2380
77,1.30092,1.30902,1.29633,1.2985,ok,1294351200,2894
78,1.30272,1.30553,1.30104,1.30177,ok,1294524000,224
79,1.30564,1.30872,1.30089,1.30291,ok,1294610400,2162
80,1.30515,1.30845,1.30345,1.30498,ok,1294696800,2295
81,1.30485,1.31059,1.30216,1.30496,ok,1294783200,2538
82,1.2989,1.30739,1.2972,1.30505,ok,1294869600,2169
83,1.29852,1.30228,1.29257,1.29875,ok,1294956000,2620
84,1.30195,1.30223,1.29701,1.29773,ok,1295128800,55
85,1.30413,1.30715,1.29981,1.30215,ok,1295215200,1608
86,1.29324,1.30657,1.29132,1.30396,ok,1295301600,2120
87,1.28774,1.29555,1.28666,1.29344,ok,1295388000,2182
88,1.29091,1.29319,1.28343,1.28792,ok,1295474400,2918
89,1.29132,1.2951,1.28637,1.29074,ok,1295560800,2434
90,1.29135,1.29135,1.29117,1.29117,ok,1295647200,2
91,1.29006,1.2928,1.28942,1.2928,ok,1295733600,83
92,1.28874,1.29246,1.28529,1.28976,ok,1295820000,1563
93,1.28304,1.29102,1.28044,1.28855,ok,1295906400,2138
94,1.28602,1.28722,1.28265,1.28321,ok,1295992800,2046
95,1.28673,1.28911,1.28178,1.28587,ok,1296079200,2224
96,1.28229,1.28704,1.28172,1.28646,ok,1296165600,2004
97,1.28229,1.28229,1.28229,1.28229,ok,1296252000,12
98,1.28183,1.28342,1.28048,1.28229,ok,1296338400,131
99,1.27754,1.28506,1.27201,1.282,ok,1296424800,2273
100,1.28228,1.28367,1.27593,1.27769,ok,1296511200,2141
101,1.28721,1.28983,1.28163,1.28213,ok,1296597600,1634
102,1.28507,1.28981,1.28426,1.28741,ok,1296684000,1476
103,1.2902,1.295,1.27713,1.28476,ok,1296770400,2002
104,1.29043,1.29043,1.29043,1.29043,ok,1296856800,13
105,1.28885,1.29043,1.28697,1.29043,ok,1296943200,132
106,1.28439,1.29321,1.28389,1.28902,ok,1297029600,1614
107,1.279,1.28856,1.27454,1.28465,ok,1297116000,1832
108,1.28154,1.28377,1.27787,1.2787,ok,1297202400,1458
