,c,h,l,o,s,t,v
0,7.98337,8.09868,7.95185,8.08234,ok,1287435600,23229
1,8.07037,8.10787,7.98272,7.98313,ok,1287522000,20325
2,8.0206,8.07554,8.01768,8.07238,ok,1287608400,26588
3,7.93719,8.03523,7.91505,8.02027,ok,1287694800,20516
4,7.93857,7.93857,7.93857,7.93857,ok,1287781200,1
5,7.95777,7.96679,7.92933,7.93939,ok,1287867600,831
6,7.98807,8.03128,7.93166,7.95792,ok,1287954000,17192
7,7.8813,7.99517,7.85138,7.98749,ok,1288040400,20323
8,7.83166,7.88541,7.81238,7.8817,ok,1288126800,20990
9,7.88467,7.91016,7.82929,7.83214,ok,1288213200,15687
10,7.88462,7.88912,7.82583,7.88427,ok,1288299600,21482
11,7.88446,7.88462,7.88293,7.88293,ok,1288386000,6
12,7.88528,7.88745,7.8746,7.88342,ok,1288472400,330
13,7.81487,7.89958,7.77372,7.8848,ok,1288558800,18722
14,7.91239,7.94228,7.80362,7.81581,ok,1288645200,15650
15,7.98287,7.99522,7.88936,7.91102,ok,1288731600,24406
16,8.08552,8.1003,7.95923,7.98246,ok,1288818000,20634
17,8.05659,8.11864,8.03847,8.08527,ok,1288904400,23351
18,8.04504,8.05843,8.04504,8.05793,ok,1288990800,6
19,8.05395,8.05875,8.04086,8.04086,ok,1289077200,948
20,8.02141,8.07013,8.00629,8.05445,ok,1289167200,18502
21,8.00501,8.08409,7.99307,8.02175,ok,1289253600,20674
22,7.98303,8.01193,7.93473,8.00559,ok,1289340000,24332
23,7.94713,8.01412,7.91902,7.98368,ok,1289426400,19535
24,7.89655,7.97157,7.89263,7.94681,ok,1289512800,29150
25,7.91525,7.93031,7.89877,7.90606,ok,1289685600,1456
26,7.87182,7.93898,7.85272,7.91581,ok,1289772000,21852
27,7.78765,7.88704,7.77235,7.87222,ok,1289858400,24152
28,7.82202,7.8478,7.77363,7.78734,ok,1289944800,19687
29,7.78533,7.86735,7.75377,7.82198,ok,1290031200,19633
30,7.80956,7.85037,7.75547,7.78565,ok,1290117600,18116
31,7.80752,7.80917,7.80752,7.80917,ok,1290204000,2
32,7.81011,7.8369,7.80661,7.80703,ok,1290290400,1064
33,7.83583,7.85032,7.79934,7.81058,ok,1290376800,19140
34,7.77702,7.87634,7.77617,7.83211,ok,1290463200,27613
35,7.78996,7.83698,7.7658,7.77741,ok,1290549600,23522
36,7.75323,7.80118,7.74236,7.79005,ok,1290636000,17628
37,7.73292,7.77447,7.71985,7.75327,ok,1290722400,19819
38,7.731,7.73146,7.731,7.73146,ok,1290808800,2
39,7.7364,7.76305,7.73108,7.73415,ok,1290895200,2770
40,7.764,7.77254,7.72729,7.73717,ok,1290981600,23772
41,7.73719,7.8223,7.73021,7.76423,ok,1291068000,28676
42,7.74809,7.77547,7.71508,7.73743,ok,1291154400,26598
43,7.82066,7.8538,7.72505,7.74813,ok,1291240800,27900
44,7.96839,7.9756,7.80511,7.82114,ok,1291327200,23188
