,c,h,l,o,s,t,v
0,83.934,84.969,83.794,84.672,ok,1287435600,34819
1,84.292,84.592,83.794,83.929,ok,1287522000,23653
2,84.016,84.639,83.84,84.296,ok,1287608400,33803
3,83.205,84.141,82.944,84.013,ok,1287694800,23789
4,83.217,83.217,83.212,83.212,ok,1287781200,2
5,83.328,83.519,82.971,83.006,ok,1287867600,942
6,83.216,83.509,82.873,83.324,ok,1287954000,21886
7,82.714,83.511,82.367,83.21,ok,1288040400,25620
8,82.537,83.04,82.246,82.723,ok,1288126800,28223
9,82.368,82.66,82.139,82.543,ok,1288213200,21565
10,81.777,82.398,81.431,82.373,ok,1288299600,26412
11,81.75,81.764,81.746,81.764,ok,1288386000,6
12,81.671,81.794,81.505,81.718,ok,1288472400,1062
13,81.15,82.606,80.944,81.682,ok,1288558800,25582
14,82.296,82.7,81.097,81.156,ok,1288645200,19911
15,83.506,83.685,82.123,82.305,ok,1288731600,33794
16,84.219,84.245,82.956,83.513,ok,1288818000,33432
17,84.482,84.939,84.098,84.222,ok,1288904400,38763
18,84.353,84.489,84.353,84.486,ok,1288990800,5
19,84.399,84.623,84.313,84.437,ok,1289077200,1344
20,84.018,84.586,83.735,84.384,ok,1289167200,24510
21,84.346,84.607,83.539,84.024,ok,1289253600,30686
22,84.737,85.027,84.026,84.363,ok,1289340000,38144
23,84.572,84.979,84.295,84.74,ok,1289426400,27877
24,84.057,84.651,83.7,84.576,ok,1289512800,38702
25,84.196,84.374,84.04,84.084,ok,1289685600,2040
26,84.352,84.677,84.004,84.212,ok,1289772000,31297
27,83.61,84.629,83.547,84.356,ok,1289858400,33165
28,83.884,84.092,83.56,83.614,ok,1289944800,23329
29,83.853,84.53,83.715,83.888,ok,1290031200,32637
30,84.126,84.251,83.407,83.856,ok,1290117600,22851
31,84.104,84.104,84.087,84.087,ok,1290204000,3
32,84.121,84.263,83.965,84.12,ok,1290290400,1924
33,84.197,84.507,83.961,84.133,ok,1290376800,27859
34,83.356,84.751,83.099,84.194,ok,1290463200,42400
35,83.86,84.106,83.127,83.359,ok,1290549600,38653
36,83.528,83.999,83.446,83.854,ok,1290636000,25361
37,83.759,83.982,83.412,83.532,ok,1290722400,33057
38,83.684,83.766,83.684,83.766,ok,1290808800,2
39,83.752,83.896,83.556,83.717,ok,1290895200,4143
40,84.234,84.363,83.62,83.755,ok,1290981600,32954
41,83.379,84.533,83.279,84.231,ok,1291068000,35269
42,83.967,84.123,83.107,83.383,ok,1291154400,39350
43,84.414,84.625,83.629,83.976,ok,1291240800,32549
44,84.7,84.94,83.836,84.402,ok,1291327200,37092
45,84.73,84.733,84.693,84.693,ok,1291413600,5
46,84.636,84.808,84.468,84.613,ok,1291500000,1200
47,84.182,85.149,83.758,84.647,ok,1291586400,30572
48,84.517,84.824,83.932,84.167,ok,1291672800,36632
49,85.192,85.303,84.467,84.511,ok,1291759200,37989
50,85.135,85.367,84.922,85.202,ok,1291845600,37581
51,85.497,85.638,84.982,85.138,ok,1291932000,25346
52,85.5,85.5,85.5,85.5,ok,1292018400,1
53,85.277,85.522,85.186,85.475,ok,1292104800,870
54,86.145,86.542,85.274,85.274,ok,1292191200,23591
55,87.171,87.255,86.068,86.149,ok,1292277600,36148
56,87.002,87.574,86.934,87.161,ok,1292364000,31347
