,c,h,l,o,s,t,v
0,7.15773,7.22132,7.12606,7.15436,ok,1287435600,16182
1,7.20708,7.22956,7.15021,7.15721,ok,1287522000,13237
2,7.20407,7.2255,7.13164,7.20536,ok,1287608400,16293
3,7.04373,7.21695,7.0221,7.20263,ok,1287694800,13821
4,7.04496,7.04496,7.04496,7.04496,ok,1287781200,1
5,7.065,7.07295,7.03603,7.03603,ok,1287867600,644
6,7.11959,7.14011,7.04665,7.06548,ok,1287954000,10205
7,7.05323,7.127,7.01857,7.12005,ok,1288040400,12213
8,7.12624,7.15397,7.02821,7.05381,ok,1288126800,14844
9,7.11259,7.16318,7.08817,7.12688,ok,1288213200,10500
10,7.06652,7.13448,7.03631,7.11184,ok,1288299600,14045
11,7.06638,7.06652,7.06501,7.06501,ok,1288386000,6
12,7.06071,7.06545,7.05191,7.06545,ok,1288472400,184
13,7.02358,7.1226,7.0121,7.06001,ok,1288558800,11015
14,7.02783,7.09905,7.0173,7.02443,ok,1288645200,8939
15,7.06023,7.0987,7.01297,7.0269,ok,1288731600,14888
16,7.08665,7.10862,6.99931,7.05958,ok,1288818000,12875
17,6.99203,7.15189,6.98026,7.08708,ok,1288904400,14954
18,6.9823,6.99392,6.9823,6.99348,ok,1288990800,6
19,7.00259,7.00587,6.97149,6.97865,ok,1289077200,748
20,7.05188,7.13259,7.00011,7.00302,ok,1289167200,11633
21,7.09811,7.13722,7.048,7.05111,ok,1289253600,13282
22,7.07911,7.1347,7.05194,7.09892,ok,1289340000,15742
23,7.10055,7.14321,7.06719,7.07976,ok,1289426400,12974
24,7.04923,7.19879,7.04098,7.10019,ok,1289512800,20277
25,7.04197,7.06884,7.03163,7.03831,ok,1289685600,1148
26,7.0866,7.13512,7.03111,7.04247,ok,1289772000,13233
27,7.0565,7.14976,7.05081,7.08696,ok,1289858400,15474
28,7.06623,7.1061,7.05057,7.05586,ok,1289944800,12820
29,6.99048,7.09765,6.98191,7.06573,ok,1290031200,13546
30,7.00241,7.04384,6.98002,6.99148,ok,1290117600,11057
31,7.00058,7.00206,7.00058,7.00206,ok,1290204000,2
32,7.01855,7.02393,6.99521,6.99521,ok,1290290400,621
33,7.06305,7.09494,6.99697,7.01891,ok,1290376800,11366
34,7.12098,7.16415,7.05773,7.06266,ok,1290463200,16418
35,7.08602,7.15095,7.07879,7.12056,ok,1290549600,13944
36,7.02315,7.09899,7.01375,7.08443,ok,1290636000,9215
37,7.07518,7.1503,7.02044,7.02277,ok,1290722400,13312
38,7.07342,7.07384,7.07342,7.07384,ok,1290808800,2
39,7.04523,7.09131,7.04154,7.07631,ok,1290895200,1907
40,7.09665,7.15985,7.04126,7.04593,ok,1290981600,14587
41,7.06762,7.17603,7.05388,7.09572,ok,1291068000,16734
42,6.99596,7.08122,6.96499,7.06724,ok,1291154400,14507
43,6.93391,7.01764,6.91938,6.99633,ok,1291240800,15214
44,6.98827,7.04787,6.91576,6.9346,ok,1291327200,13279
45,6.98096,6.99188,6.98096,6.98886,ok,1291413600,5
46,6.98639,6.99752,6.97689,6.98995,ok,1291500000,595
47,6.99617,7.06657,6.98081,6.98697,ok,1291586400,11317
48,6.99586,7.05399,6.98162,6.99752,ok,1291672800,10862
49,7.00347,7.06816,6.98406,6.99534,ok,1291759200,13090
50,6.97621,7.04951,6.96387,7.00291,ok,1291845600,13086
51,6.94421,7.04472,6.93607,6.97678,ok,1291932000,9824
