,c,h,l,o,s,t,v
0,8485.0,8620.0,8420.0,8615.0,ok,1314651600,380
1,8555.0,8555.0,8255.0,8255.0,ok,1314738000,267
2,8470.0,8580.0,8425.0,8565.0,ok,1314824400,261
3,8305.0,8490.0,8305.0,8455.0,ok,1314910800,310
4,8095.0,8320.0,8080.0,8310.0,ok,1315170000,337
5,8200.0,8230.0,8100.0,8100.0,ok,1315256400,189
6,8345.0,8345.0,8175.0,8210.0,ok,1315342800,272
7,8280.0,8415.0,8260.0,8415.0,ok,1315429200,180
8,8240.0,8400.0,8220.0,8355.0,ok,1315515600,275
9,8060.0,8100.0,8060.0,8100.0,ok,1315774800,7
10,8180.0,8190.0,8080.0,8105.0,ok,1315861200,238
11,8200.0,8220.0,8030.0,8190.0,ok,1315947600,406
12,8250.0,8275.0,8165.0,8260.0,ok,1316034000,324
13,8265.0,8305.0,8225.0,8295.0,ok,1316120400,293
14,8045.0,8215.0,8040.0,8215.0,ok,1316379600,261
15,8155.0,8155.0,8020.0,8040.0,ok,1316466000,506
16,8285.0,8360.0,8070.0,8110.0,ok,1316552400,416
17,7920.0,8255.0,7920.0,8205.0,ok,1316638800,482
18,8030.0,8100.0,7880.0,7990.0,ok,1316725200,823
19,7815.0,8035.0,7755.0,8010.0,ok,1316984400,598
20,7960.0,7960.0,7780.0,7825.0,ok,1317070800,652
21,7815.0,7940.0,7795.0,7890.0,ok,1317157200,278
22,7775.2,7850.0,7740.1,7760.1,ok,1317243600,402
23,7720.3,7815.2,7700.3,7780.2,ok,1317330000,535
24,7827.0,7827.0,7662.0,7786.9,ok,1318194000,681
25,7767.2,8052.0,7687.2,7787.1,ok,1318280400,597
26,8112.3,8112.3,7667.3,7702.3,ok,1318366800,579
27,8017.5,8117.3,7987.4,8037.3,ok,1318453200,426
28,8097.6,8097.6,7982.6,8037.5,ok,1318539600,444
29,7998.2,8178.0,7998.2,8133.0,ok,1318798800,325
30,7928.4,8083.2,7878.3,8048.2,ok,1318885200,368
31,7908.5,8018.4,7873.5,8013.4,ok,1318971600,304
32,7718.7,7878.6,7693.7,7878.6,ok,1319058000,391
33,7798.9,7833.8,7743.8,7748.8,ok,1319144400,335
34,8069.4,8069.4,7799.3,7854.3,ok,1319403600,487
35,8034.5,8169.4,7979.4,8049.4,ok,1319490000,370
36,8200.3,8269.6,8084.6,8089.6,ok,1319576400,480
37,8510.2,8624.3,8171.0,8210.8,ok,1319662800,1044
38,8272.4,8475.7,8227.2,8475.7,ok,1319749200,561
39,8176.4,8310.1,8175.8,8305.1,ok,1320008400,282
40,8167.7,8321.3,8147.0,8171.8,ok,1320094800,541
41,8417.7,8477.2,8128.2,8128.2,ok,1320181200,429
42,8458.9,8483.2,8334.0,8418.2,ok,1320267600,710
43,8375.4,8524.4,8370.3,8414.5,ok,1320354000,838
44,8363.9,8443.1,8298.8,8383.2,ok,1320616800,588
45,8345.3,8439.3,8319.9,8374.4,ok,1320703200,366
46,8296.6,8425.5,8296.4,8395.6,ok,1320789600,424
47,8198.1,8282.1,8147.8,8272.1,ok,1320876000,547
48,8244.1,8244.1,8119.0,8198.5,ok,1320962400,301
49,8312.5,8396.9,8276.9,8286.8,ok,1321221600,390
50,8293.6,8352.9,8248.4,8327.9,ok,1321308000,201
51,8100.2,8334.1,8039.9,8319.2,ok,1321394400,364
52,8016.6,8110.9,8011.2,8085.7,ok,1321480800,281
53,7908.0,8012.0,7882.5,7967.1,ok,1321567200,468
54,7811.5,7930.6,7810.7,7810.7,ok,1321826400,408
55,7892.4,7956.7,7851.9,7876.8,ok,1321912800,395
56,7813.7,7942.9,7813.0,7892.9,ok,1321999200,812
57,7814.7,7924.2,7784.1,7794.1,ok,1322085600,608
58,7811.0,7880.2,7780.5,7800.2,ok,1322172000,337
59,7870.2,7903.6,7823.8,7878.5,ok,1322431200,359
60,7960.4,7960.4,7840.5,7865.4,ok,1322517600,490
61,7951.3,7986.1,7666.7,7871.0,ok,1322604000,503
62,7867.1,8066.3,7851.9,7971.5,ok,1322690400,943
63,7902.7,7947.5,7812.6,7927.2,ok,1322776800,406
64,7774.8,7909.2,7774.8,7889.3,ok,1323036000,373
65,7805.4,7835.2,7750.3,7785.1,ok,1323122400,221
66,7826.1,7890.7,7760.8,7760.8,ok,1323208800,272
67,7796.8,7921.2,7761.5,7826.3,ok,1323295200,411
68,7812.2,7837.0,7752.1,7782.0,ok,1323381600,299
69,7674.5,7833.9,7669.5,7833.9,ok,1323640800,242
70,7590.3,7714.7,7580.0,7699.7,ok,1323727200,589
71,7545.9,7630.4,7520.9,7590.5,ok,1323813600,270
72,7401.7,7551.1,7396.5,7551.1,ok,1323900000,528
73,7497.0,7556.9,7387.0,7421.9,ok,1323986400,419
74,7499.0,7533.8,7318.9,7423.7,ok,1324245600,528
75,7584.6,7599.2,7474.6,7484.3,ok,1324332000,586
76,7470.2,7654.8,7435.1,7624.8,ok,1324418400,483
77,7505.9,7525.6,7360.6,7445.5,ok,1324504800,548
78,7496.4,7581.2,7446.2,7526.1,ok,1324591200,412
79,7263.4,7538.0,7263.4,7438.0,ok,1324850400,169
80,7394.0,7473.6,7354.0,7413.6,ok,1324936800,268
81,7330.3,7404.3,7309.3,7369.2,ok,1325023200,368
82,7395.7,7410.4,7320.5,7325.5,ok,1325109600,296
83,7465.9,7505.8,7415.9,7425.9,ok,1325196000,399
84,7374.5,7608.5,7359.3,7583.6,ok,1325628000,339
85,7390.0,7484.5,7354.7,7399.6,ok,1325714400,423
86,7425.6,7455.1,7365.3,7420.2,ok,1325800800,407
87,7682.0,7696.7,7372.1,7412.0,ok,1326060000,592
88,7882.2,7882.2,7627.3,7687.2,ok,1326146400,557
89,7813.0,7857.5,7767.8,7847.5,ok,1326232800,291
90,7823.6,7893.2,7768.3,7793.3,ok,1326319200,473
91,7729.4,7868.8,7709.1,7843.8,ok,1326405600,801
92,7661.4,7750.9,7631.3,7725.9,ok,1326664800,464
93,7996.7,8016.6,7616.7,7701.6,ok,1326751200,989
94,7937.4,8011.9,7852.2,7981.9,ok,1326837600,659
95,8033.0,8067.5,7887.7,7972.6,ok,1326924000,1012
96,8118.3,8158.2,7983.3,8003.2,ok,1327010400,812
97,7963.0,8189.4,7937.6,8125.0,ok,1327874400,985
98,7960.7,8018.6,7919.9,7973.9,ok,1327960800,481
99,7928.5,8026.1,7848.1,7946.7,ok,1328047200,887
100,8079.9,8093.8,7879.9,7944.2,ok,1328133600,597
101,8266.0,8275.6,8050.9,8075.7,ok,1328220000,696
102,8209.1,8272.0,8163.3,8207.4,ok,1328479200,553
103,8047.8,8210.0,7997.4,8200.0,ok,1328565600,688
104,8204.3,8248.8,8038.7,8068.5,ok,1328652000,872
105,8211.8,8299.8,8110.8,8160.4,ok,1328738400,918
106,8070.2,8252.7,8070.1,8197.8,ok,1328824800,799
107,8152.5,8171.1,8001.6,8140.8,ok,1329084000,722
108,8045.4,8148.4,8009.6,8148.4,ok,1329170400,552
109,8088.0,8196.2,8016.6,8066.3,ok,1329256800,520
110,8080.5,8133.6,8004.6,8118.6,ok,1329343200,521
111,8088.0,8171.5,8071.5,8126.1,ok,1329429600,500
112,8100.5,8263.6,8079.8,8223.5,ok,1329688800,879
113,8143.1,8172.2,8046.7,8146.3,ok,1329775200,506
114,8240.5,8274.4,8124.0,8138.9,ok,1329861600,442
115,8247.9,8286.4,8191.4,8206.3,ok,1329948000,401
116,8381.1,8410.6,8229.0,8278.8,ok,1330034400,473
117,8408.9,8541.3,8363.5,8387.2,ok,1330293600,831
118,8450.9,8465.0,8370.3,8414.6,ok,1330380000,473
119,8384.4,8466.8,8319.9,8432.1,ok,1330466400,727
120,8406.8,8439.8,8361.0,8380.2,ok,1330552800,671
121,8523.5,8558.0,8382.9,8392.8,ok,1330639200,660
122,8402.3,8564.4,8396.7,8554.5,ok,1330898400,314
123,8147.0,8398.4,8142.0,8388.4,ok,1330984800,609
124,8184.3,8208.1,8118.0,8157.7,ok,1331071200,881
125,8241.4,8280.3,8165.3,8185.1,ok,1331157600,579
126,8263.8,8307.4,8232.5,8252.2,ok,1331244000,437
127,8212.1,8299.8,8166.1,8299.8,ok,1331499600,254
128,8304.0,8327.8,8227.8,8237.7,ok,1331586000,443
129,8132.6,8404.5,8116.9,8364.7,ok,1331672400,756
130,8075.5,8188.2,8045.2,8143.4,ok,1331758800,546
131,8162.5,8180.9,8031.8,8076.2,ok,1331845200,1144
132,8105.3,8193.5,8059.7,8143.6,ok,1332104400,611
133,7958.3,8121.2,7937.5,8091.3,ok,1332190800,489
134,7995.8,8069.1,7944.5,7989.1,ok,1332277200,589
135,7968.1,8057.0,7961.9,7986.7,ok,1332363600,416
136,7950.9,8004.3,7914.9,7979.2,ok,1332450000,414
137,7998.3,8008.1,7937.3,7956.7,ok,1332709200,341
138,7970.9,8039.2,7954.9,8009.2,ok,1332795600,204
139,7710.0,7971.7,7700.0,7956.7,ok,1332882000,489
140,7665.0,7815.0,7655.0,7725.0,ok,1332968400,657
141,7750.0,7785.0,7655.0,7655.0,ok,1333054800,747
142,7900.0,7940.0,7710.0,7740.0,ok,1333573200,624
143,7895.0,7955.0,7865.0,7920.0,ok,1333659600,174
144,7830.0,7925.0,7825.0,7925.0,ok,1333918800,191
145,7850.0,7945.0,7780.0,7835.0,ok,1334005200,470
146,7935.0,7990.0,7845.0,7855.0,ok,1334091600,562
