,c,h,l,o,s,t,v
0,5.364,5.516,5.328,5.468,ok,1287435600,4597
1,5.624,5.656,5.34,5.36,ok,1287522000,5158
2,5.542,5.691,5.518,5.627,ok,1287608400,4621
3,5.503,5.61,5.498,5.54,ok,1287694800,3181
4,5.572,5.66,5.511,5.516,ok,1287954000,3480
5,5.618,5.679,5.529,5.577,ok,1288040400,3680
6,5.674,5.699,5.526,5.626,ok,1288126800,3880
7,5.701,5.762,5.662,5.67,ok,1288213200,3600
8,5.734,5.742,5.623,5.701,ok,1288299600,3160
9,5.701,5.823,5.683,5.766,ok,1288558800,3806
10,5.686,5.749,5.644,5.696,ok,1288645200,2869
11,5.719,5.744,5.611,5.683,ok,1288731600,3253
12,5.82,5.879,5.73,5.732,ok,1288818000,4013
13,5.79,5.842,5.757,5.823,ok,1288904400,3070
14,5.788,5.85,5.776,5.804,ok,1289167200,3337
15,5.672,5.965,5.647,5.786,ok,1289253600,5540
16,5.607,5.737,5.587,5.684,ok,1289340000,4108
17,5.579,5.68,5.515,5.607,ok,1289426400,3725
18,5.284,5.604,5.284,5.579,ok,1289512800,6107
19,5.5,5.614,5.338,5.365,ok,1289772000,5233
20,5.229,5.51,5.207,5.498,ok,1289858400,5280
21,5.204,5.312,5.046,5.227,ok,1289944800,6418
22,5.367,5.416,5.224,5.224,ok,1290031200,3947
23,5.175,5.437,5.143,5.382,ok,1290117600,4690
24,5.123,5.283,5.081,5.114,ok,1290376800,4803
25,5.249,5.279,5.028,5.148,ok,1290463200,4177
26,5.353,5.357,5.249,5.249,ok,1290549600,2592
27,5.341,5.402,5.279,5.367,ok,1290722400,1787
28,5.359,5.423,5.326,5.397,ok,1290981600,2391
29,5.279,5.384,5.271,5.364,ok,1291068000,1082
30,5.484,5.502,5.266,5.284,ok,1291154400,907
31,5.394,5.511,5.384,5.477,ok,1291240800,503
32,5.568,5.57,5.39,5.39,ok,1291327200,389
33,5.521,5.59,5.471,5.574,ok,1291586400,337
