,c,h,l,o,s,t,v
0,2538.0,2562.0,2529.0,2552.0,ok,1287435600,282
1,2554.0,2558.0,2533.0,2534.0,ok,1287522000,226
2,2545.0,2564.0,2534.0,2555.0,ok,1287608400,297
3,2545.0,2556.0,2539.0,2553.0,ok,1287694800,374
4,2537.0,2563.0,2537.0,2562.0,ok,1287954000,248
5,2545.0,2549.0,2527.0,2538.0,ok,1288040400,200
6,2534.0,2547.0,2517.0,2537.0,ok,1288126800,200
7,2541.0,2553.0,2527.0,2536.0,ok,1288213200,161
8,2538.0,2542.0,2520.0,2526.0,ok,1288299600,221
9,2526.0,2559.0,2511.0,2559.0,ok,1288558800,242
10,2553.0,2554.0,2525.0,2525.0,ok,1288645200,220
11,2555.0,2565.0,2534.0,2552.0,ok,1288731600,282
12,2594.0,2595.0,2557.0,2557.0,ok,1288818000,291
13,2602.0,2606.0,2573.0,2587.0,ok,1288904400,281
14,2605.0,2607.0,2588.0,2594.0,ok,1289167200,184
15,2600.0,2623.0,2593.0,2599.0,ok,1289253600,299
16,2602.0,2610.0,2584.0,2605.0,ok,1289340000,368
17,2597.0,2604.0,2581.0,2604.0,ok,1289426400,301
18,2577.0,2591.0,2546.0,2567.0,ok,1289512800,362
19,2597.0,2608.0,2560.0,2567.0,ok,1289772000,170
20,2541.0,2586.0,2529.0,2586.0,ok,1289858400,346
21,2545.0,2557.0,2534.0,2539.0,ok,1289944800,205
22,2588.0,2596.0,2563.0,2574.0,ok,1290031200,206
23,2572.0,2594.0,2545.0,2594.0,ok,1290117600,315
24,2549.0,2595.0,2528.0,2592.0,ok,1290376800,245
25,2510.0,2538.0,2506.0,2531.0,ok,1290463200,251
26,2539.0,2541.0,2499.0,2513.0,ok,1290549600,322
27,2537.0,2545.0,2526.0,2541.0,ok,1290636000,140
28,2515.0,2537.0,2503.0,2525.0,ok,1290722400,554
29,2505.0,2550.0,2480.0,2520.0,ok,1290981600,485
30,2483.0,2500.0,2467.0,2496.0,ok,1291068000,411
31,2534.0,2537.0,2492.0,2495.0,ok,1291154400,299
32,2575.0,2575.0,2517.0,2533.0,ok,1291240800,362
33,2562.0,2573.0,2542.0,2568.0,ok,1291327200,224
34,2555.0,2564.0,2544.0,2559.0,ok,1291586400,335
35,2574.0,2593.0,2557.0,2566.0,ok,1291672800,239
36,2597.0,2607.0,2564.0,2569.0,ok,1291759200,250
37,2618.0,2619.0,2601.0,2610.0,ok,1291845600,240
38,2622.0,2625.0,2605.0,2622.0,ok,1291932000,162
39,2620.0,2627.0,2614.0,2624.0,ok,1292191200,169
40,2626.0,2632.0,2607.0,2617.0,ok,1292277600,166
41,2612.0,2625.0,2606.0,2610.0,ok,1292364000,207
42,2628.0,2630.0,2608.0,2613.0,ok,1292450400,180
43,2594.9,2622.0,2588.9,2618.0,ok,1292536800,364
44,2622.8,2623.9,2592.8,2598.8,ok,1292796000,132
45,2643.8,2643.8,2618.8,2626.8,ok,1292882400,275
46,2638.8,2645.8,2632.8,2639.8,ok,1292968800,216
47,2630.7,2647.8,2630.7,2647.8,ok,1293055200,189
48,2612.5,2634.6,2600.5,2631.6,ok,1293400800,127
49,2615.5,2618.5,2593.5,2616.5,ok,1293487200,169
50,2619.4,2632.5,2616.5,2616.5,ok,1293573600,90
51,2582.4,2631.4,2578.3,2621.4,ok,1293660000,134
52,2603.2,2624.2,2595.2,2616.2,ok,1294005600,120
53,2608.2,2629.2,2601.2,2602.2,ok,1294092000,144
54,2632.1,2632.2,2589.1,2612.1,ok,1294178400,263
55,2636.1,2661.2,2629.1,2629.1,ok,1294264800,205
56,2629.1,2642.1,2616.1,2633.1,ok,1294351200,343
57,2602.9,2624.9,2598.9,2623.9,ok,1294610400,167
58,2623.9,2631.9,2609.9,2610.9,ok,1294696800,134
59,2681.9,2681.9,2629.9,2630.9,ok,1294783200,216
60,2654.8,2687.9,2651.8,2674.9,ok,1294869600,217
61,2677.8,2677.8,2634.8,2653.8,ok,1294956000,217
62,2669.7,2674.7,2664.7,2671.7,ok,1295215200,87
63,2699.6,2702.6,2672.6,2682.7,ok,1295301600,380
64,2660.6,2713.6,2658.6,2713.6,ok,1295388000,158
65,2642.5,2664.5,2631.5,2664.5,ok,1295474400,273
66,2652.5,2681.5,2635.5,2646.5,ok,1295560800,331
67,2681.4,2681.4,2648.3,2665.4,ok,1295820000,175
68,2653.3,2680.3,2648.3,2680.3,ok,1295906400,130
69,2671.3,2681.3,2655.3,2663.3,ok,1295992800,265
70,2670.2,2681.2,2656.2,2664.2,ok,1296079200,168
71,2629.1,2669.2,2629.1,2661.2,ok,1296165600,193
72,2647.0,2654.0,2616.0,2633.0,ok,1296424800,168
73,2693.0,2694.0,2646.0,2649.0,ok,1296511200,190
74,2692.0,2704.0,2686.0,2687.0,ok,1296597600,311
75,2710.9,2710.9,2680.9,2696.9,ok,1296684000,409
76,2708.9,2713.9,2694.9,2706.9,ok,1296770400,192
77,2719.8,2733.8,2710.8,2710.8,ok,1297029600,235
78,2733.7,2733.7,2712.7,2729.7,ok,1297116000,156
79,2708.7,2729.7,2708.7,2729.7,ok,1297202400,202
80,2708.6,2712.6,2684.6,2707.6,ok,1297288800,171
81,2713.6,2719.6,2682.6,2702.6,ok,1297375200,110
82,2725.4,2732.5,2714.4,2724.5,ok,1297634400,146
83,2730.4,2732.4,2710.4,2711.4,ok,1297720800,111
84,2741.4,2756.4,2735.4,2736.4,ok,1297807200,125
85,2760.3,2760.3,2745.3,2745.3,ok,1297893600,271
86,2750.3,2769.3,2744.3,2764.3,ok,1297980000,228
87,2719.1,2751.2,2712.1,2742.2,ok,1298239200,110
88,2696.1,2711.1,2681.1,2699.1,ok,1298325600,335
89,2667.0,2702.0,2663.0,2675.0,ok,1298412000,220
90,2657.0,2670.0,2646.0,2669.0,ok,1298498400,285
91,2686.9,2694.9,2661.9,2661.9,ok,1298584800,199
92,2706.8,2716.8,2670.8,2691.8,ok,1298844000,162
93,2678.7,2726.8,2675.8,2718.8,ok,1298930400,151
94,2672.7,2680.7,2655.7,2662.7,ok,1299016800,187
95,2687.7,2701.7,2668.7,2686.7,ok,1299103200,232
96,2638.6,2693.6,2635.6,2679.6,ok,1299189600,189
97,2634.5,2674.5,2630.5,2630.5,ok,1299448800,175
98,2649.4,2656.4,2625.4,2641.4,ok,1299535200,298
99,2642.4,2659.4,2633.4,2652.4,ok,1299621600,184
100,2599.3,2628.4,2597.3,2611.4,ok,1299708000,251
101,2596.3,2604.3,2575.3,2575.3,ok,1299794400,249
102,2560.2,2595.2,2559.2,2579.2,ok,1300050000,374
103,2505.1,2527.1,2468.1,2523.1,ok,1300136400,536
104,2447.1,2529.1,2436.1,2516.1,ok,1300222800,629
105,2506.0,2524.0,2472.0,2484.0,ok,1300309200,297
106,2489.6,2519.1,2488.6,2505.0,ok,1300395600,239
107,2541.2,2543.2,2505.9,2505.9,ok,1300654800,194
108,2538.7,2557.1,2528.6,2542.0,ok,1300741200,189
109,2548.5,2552.6,2527.3,2531.4,ok,1300827600,175
110,2579.5,2583.6,2541.2,2544.2,ok,1300914000,235
111,2585.2,2589.4,2575.1,2584.3,ok,1301000400,140
112,2583.0,2593.3,2578.1,2578.1,ok,1301259600,132
113,2581.6,2588.8,2563.4,2588.8,ok,1301346000,139
114,2598.4,2605.6,2594.4,2598.6,ok,1301432400,119
115,2580.7,2605.2,2566.6,2600.2,ok,1301518800,139
116,2605.6,2611.8,2579.5,2597.8,ok,1301605200,182
117,2601.5,2615.7,2600.6,2603.6,ok,1301864400,130
118,2616.2,2616.2,2598.2,2604.3,ok,1301950800,195
119,2622.8,2627.0,2598.8,2608.9,ok,1302037200,152
120,2631.6,2644.8,2621.5,2631.7,ok,1302123600,153
121,2616.0,2639.4,2610.9,2636.4,ok,1302210000,129
122,2619.8,2635.1,2616.8,2619.0,ok,1302469200,198
123,2584.0,2613.5,2579.1,2612.6,ok,1302555600,171
124,2589.7,2609.0,2582.8,2591.9,ok,1302642000,174
125,2593.3,2596.6,2573.2,2590.5,ok,1302728400,206
126,2596.0,2596.0,2579.0,2585.1,ok,1302814800,120
127,2555.4,2589.9,2537.3,2582.9,ok,1303074000,339
128,2549.0,2566.2,2547.0,2558.3,ok,1303160400,153
129,2592.0,2600.2,2573.0,2573.0,ok,1303246800,176
130,2610.8,2619.9,2600.8,2600.8,ok,1303333200,122
131,2622.8,2622.8,2602.9,2602.9,ok,1303765200,100
132,2635.6,2642.7,2610.5,2624.7,ok,1303851600,117
133,2645.2,2675.6,2628.2,2675.6,ok,1303938000,161
134,2650.9,2650.9,2635.9,2645.0,ok,1304024400,64
135,2644.6,2668.9,2644.6,2662.9,ok,1304283600,98
136,2643.2,2652.4,2628.2,2648.4,ok,1304370000,144
137,2604.5,2642.9,2600.5,2617.8,ok,1304456400,181
138,2594.0,2613.4,2579.1,2613.4,ok,1304542800,174
139,2609.7,2637.0,2593.8,2597.9,ok,1304629200,286
140,2629.7,2639.9,2611.6,2627.8,ok,1304888400,158
141,2646.4,2650.5,2609.3,2609.3,ok,1304974800,157
142,2632.8,2664.2,2626.8,2646.1,ok,1305061200,128
143,2631.5,2637.7,2612.5,2637.7,ok,1305147600,191
144,2614.9,2646.3,2606.9,2640.3,ok,1305234000,146
145,2614.7,2622.8,2597.8,2603.9,ok,1305493200,156
146,2596.3,2626.6,2593.3,2597.5,ok,1305579600,150
147,2619.0,2619.0,2596.0,2608.1,ok,1305666000,101
148,2627.6,2637.7,2599.7,2599.7,ok,1305752400,128
149,2616.1,2644.4,2614.2,2625.4,ok,1305838800,102
150,2581.8,2631.2,2574.8,2631.2,ok,1306098000,217
151,2574.4,2594.5,2571.4,2583.6,ok,1306184400,116
152,2606.1,2611.2,2552.1,2562.2,ok,1306270800,266
153,2625.7,2626.7,2595.7,2608.9,ok,1306357200,144
154,2616.4,2629.5,2615.4,2623.5,ok,1306443600,98
155,2612.1,2627.3,2612.1,2623.3,ok,1306702800,71
156,2643.8,2646.8,2627.8,2633.0,ok,1306789200,173
157,2584.2,2686.7,2584.2,2686.7,ok,1306875600,203
158,2577.8,2590.0,2561.8,2586.0,ok,1306962000,157
159,2566.4,2571.6,2534.4,2571.6,ok,1307048400,191
160,2528.1,2553.4,2528.1,2545.4,ok,1307307600,153
161,2541.8,2556.0,2531.0,2531.0,ok,1307394000,123
162,2522.4,2533.6,2510.5,2523.6,ok,1307480400,141
163,2551.0,2551.0,2513.1,2516.2,ok,1307566800,143
164,2510.6,2542.8,2503.6,2538.8,ok,1307653200,92
165,2509.4,2527.5,2504.4,2513.6,ok,1307912400,167
166,2540.0,2549.0,2522.2,2522.2,ok,1307998800,169
167,2500.7,2538.8,2497.7,2532.8,ok,1308085200,75
168,2486.3,2514.3,2485.3,2494.4,ok,1308171600,139
169,2514.0,2531.1,2486.0,2486.0,ok,1308258000,176
170,2510.8,2515.8,2488.8,2502.8,ok,1308517200,132
171,2542.8,2546.8,2518.8,2522.8,ok,1308603600,186
172,2533.7,2548.8,2523.7,2541.8,ok,1308690000,113
173,2511.6,2522.6,2488.5,2518.6,ok,1308776400,119
174,2485.4,2526.6,2481.4,2526.6,ok,1308862800,223
175,2495.2,2501.2,2473.2,2473.2,ok,1309122000,176
176,2508.2,2513.2,2485.1,2491.2,ok,1309208400,103
177,2541.2,2543.2,2504.1,2504.1,ok,1309294800,135
178,2566.2,2571.2,2532.1,2545.1,ok,1309381200,95
179,2587.1,2589.1,2555.1,2567.1,ok,1309467600,152
180,2588.9,2593.9,2575.9,2593.9,ok,1309726800,109
181,2586.8,2598.9,2579.8,2584.8,ok,1309813200,92
182,2583.7,2600.8,2572.7,2600.8,ok,1309899600,115
183,2599.7,2619.7,2586.7,2601.7,ok,1309986000,157
184,2575.5,2612.7,2571.6,2612.7,ok,1310072400,150
185,2537.2,2568.3,2531.2,2563.3,ok,1310331600,168
186,2521.1,2533.1,2480.1,2512.1,ok,1310418000,548
187,2519.0,2543.1,2513.1,2519.1,ok,1310504400,243
188,2509.9,2535.0,2503.9,2520.0,ok,1310590800,168
189,2516.9,2528.9,2505.9,2513.9,ok,1310677200,178
190,2470.5,2507.7,2467.6,2504.7,ok,1310936400,285
191,2501.5,2504.5,2478.5,2478.5,ok,1311022800,171
192,2521.5,2524.5,2499.5,2503.5,ok,1311109200,138
193,2565.5,2565.5,2501.4,2527.5,ok,1311195600,301
194,2565.4,2575.5,2550.4,2567.5,ok,1311282000,138
195,2551.2,2562.2,2540.2,2551.2,ok,1311541200,228
196,2545.1,2555.1,2534.1,2549.1,ok,1311627600,208
197,2496.9,2543.0,2496.9,2539.0,ok,1311714000,168
198,2509.8,2532.9,2493.9,2494.9,ok,1311800400,147
199,2495.7,2522.8,2479.7,2491.8,ok,1311886800,227
200,2475.5,2547.6,2458.5,2543.6,ok,1312146000,286
201,2429.4,2478.5,2429.4,2459.4,ok,1312232400,369
202,2414.3,2441.3,2384.2,2410.3,ok,1312318800,432
203,2286.0,2428.2,2283.0,2428.2,ok,1312405200,738
204,2307.0,2338.0,2240.9,2282.0,ok,1312491600,1093
205,2141.6,2305.8,2133.5,2220.7,ok,1312750800,874
206,2224.6,2235.6,2080.4,2137.5,ok,1312837200,1230
207,2112.4,2267.6,2108.4,2230.6,ok,1312923600,1306
208,2198.4,2210.4,2067.3,2158.4,ok,1313010000,1157
209,2254.4,2260.4,2141.3,2185.4,ok,1313096400,323
210,2254.2,2265.3,2236.2,2264.3,ok,1313355600,285
211,2245.1,2274.2,2204.1,2233.2,ok,1313442000,379
212,2247.1,2276.1,2229.1,2249.1,ok,1313528400,270
213,2155.9,2240.0,2139.9,2239.0,ok,1313614800,361
214,2102.8,2155.9,2083.8,2149.9,ok,1313701200,428
215,2137.6,2181.7,2089.6,2089.6,ok,1313960400,191
216,2171.6,2187.6,2140.6,2156.6,ok,1314046800,134
217,2198.5,2204.6,2151.5,2182.6,ok,1314133200,157
218,2156.4,2207.5,2148.5,2202.5,ok,1314219600,229
219,2149.4,2161.4,2100.4,2160.4,ok,1314306000,166
220,2194.2,2194.2,2154.2,2177.2,ok,1314565200,206
221,2190.1,2210.2,2161.1,2196.2,ok,1314651600,241
222,2228.1,2247.1,2180.1,2197.1,ok,1314738000,265
223,2235.0,2269.0,2224.0,2245.1,ok,1314824400,293
224,2179.9,2238.0,2173.9,2231.0,ok,1314910800,431
225,2097.7,2162.7,2087.7,2162.7,ok,1315170000,215
226,2120.6,2123.7,2067.6,2108.7,ok,1315256400,340
227,2148.6,2150.6,2123.6,2124.6,ok,1315342800,193
228,2159.5,2172.5,2136.5,2151.5,ok,1315429200,167
229,2093.4,2167.5,2091.4,2152.5,ok,1315515600,290
230,2080.2,2080.2,2034.2,2064.3,ok,1315774800,336
231,2100.2,2100.2,2028.2,2090.2,ok,1315861200,247
232,2133.1,2136.1,2048.1,2052.1,ok,1315947600,255
233,2160.0,2170.1,2116.1,2127.1,ok,1316034000,275
234,2157.0,2176.0,2141.0,2159.0,ok,1316120400,303
235,2112.9,2144.0,2096.9,2144.0,ok,1316379600,184
236,2134.9,2150.9,2092.9,2105.9,ok,1316466000,225
237,2082.9,2149.9,2082.9,2145.9,ok,1316552400,200
238,2014.9,2068.9,2001.9,2060.9,ok,1316638800,353
239,2042.9,2047.9,1978.8,2031.9,ok,1316725200,460
240,2073.9,2103.9,2015.8,2022.8,ok,1316984400,311
241,2171.9,2181.9,2122.9,2135.9,ok,1317070800,245
242,2130.9,2188.9,2130.9,2150.9,ok,1317157200,209
243,2143.8,2191.9,2142.8,2144.9,ok,1317243600,232
244,2126.8,2168.9,2124.8,2168.9,ok,1317330000,258
245,2099.8,2137.8,2095.8,2118.8,ok,1317589200,302
246,2117.8,2117.8,2053.8,2106.8,ok,1317675600,246
247,2157.8,2157.8,2102.8,2125.8,ok,1317762000,165
248,2206.8,2206.8,2148.8,2158.8,ok,1317848400,303
249,2207.8,2233.8,2192.8,2199.8,ok,1317934800,196
250,2244.8,2250.8,2210.8,2243.8,ok,1318194000,157
251,2237.7,2250.8,2219.7,2248.8,ok,1318280400,146
252,2271.7,2276.7,2221.7,2228.7,ok,1318366800,151
253,2260.7,2269.7,2235.7,2263.7,ok,1318453200,166
254,2271.7,2280.7,2240.7,2267.7,ok,1318539600,206
255,2238.7,2294.7,2238.7,2276.7,ok,1318798800,152
256,2263.7,2273.7,2215.7,2225.7,ok,1318885200,208
257,2229.7,2260.7,2228.7,2256.7,ok,1318971600,207
258,2236.6,2252.7,2217.6,2226.6,ok,1319058000,277
259,2274.6,2276.6,2230.6,2240.6,ok,1319144400,145
260,2292.6,2292.6,2267.6,2286.6,ok,1319403600,184
261,2273.6,2298.6,2260.6,2275.6,ok,1319490000,225
262,2300.6,2300.6,2262.6,2277.6,ok,1319576400,151
263,2374.6,2378.6,2320.6,2325.6,ok,1319662800,262
264,2353.6,2375.6,2345.6,2375.6,ok,1319749200,201
265,2305.5,2340.5,2305.5,2310.5,ok,1320008400,206
266,2258.5,2282.5,2215.5,2281.5,ok,1320094800,371
267,2261.5,2266.5,2226.5,2262.5,ok,1320181200,252
268,2310.5,2310.5,2221.5,2222.5,ok,1320267600,356
269,2285.5,2313.5,2264.5,2308.5,ok,1320354000,306
270,2263.4,2277.4,2233.4,2260.4,ok,1320616800,160
271,2316.4,2316.4,2262.4,2262.4,ok,1320703200,232
272,2219.4,2311.4,2217.4,2310.4,ok,1320789600,298
273,2246.4,2268.4,2212.4,2212.4,ok,1320876000,196
274,2286.4,2290.4,2237.4,2250.4,ok,1320962400,140
275,2260.4,2301.4,2259.4,2292.4,ok,1321221600,141
276,2278.4,2278.4,2233.4,2251.4,ok,1321308000,146
277,2260.3,2286.3,2249.3,2254.3,ok,1321394400,159
278,2216.3,2265.3,2214.3,2250.3,ok,1321480800,202
279,2223.3,2249.3,2222.3,2222.3,ok,1321567200,141
280,2170.3,2213.3,2156.3,2211.3,ok,1321826400,203
281,2164.3,2183.3,2145.3,2180.3,ok,1321912800,193
282,2122.2,2153.3,2117.2,2130.3,ok,1321999200,257
283,2111.2,2142.2,2101.2,2133.2,ok,1322085600,287
284,2116.2,2145.2,2093.2,2110.2,ok,1322172000,102
285,2201.2,2212.2,2149.2,2171.2,ok,1322431200,200
286,2225.2,2228.2,2190.2,2200.2,ok,1322517600,152
287,2315.2,2315.2,2202.2,2203.2,ok,1322604000,236
288,2288.2,2312.2,2285.2,2306.2,ok,1322690400,158
289,2302.2,2328.2,2301.2,2305.2,ok,1322776800,111
290,2313.1,2337.1,2313.1,2321.1,ok,1323036000,157
291,2327.1,2339.1,2303.1,2310.1,ok,1323122400,155
292,2328.1,2352.1,2302.1,2345.1,ok,1323208800,178
293,2285.1,2351.1,2284.1,2342.1,ok,1323295200,256
294,2333.1,2333.1,2274.1,2274.1,ok,1323381600,157
295,2284.0,2317.0,2280.0,2312.0,ok,1323640800,104
296,2280.0,2316.0,2279.0,2286.0,ok,1323727200,187
297,2267.0,2302.0,2261.0,2286.0,ok,1323813600,170
298,2286.0,2295.0,2265.0,2265.0,ok,1323900000,84
299,2256.7,2296.1,2256.7,2287.0,ok,1323986400,152
300,2264.2,2282.4,2251.2,2251.2,ok,1324245600,155
301,2310.4,2310.4,2253.1,2260.1,ok,1324332000,125
302,2299.1,2331.4,2285.1,2314.3,ok,1324418400,218
303,2328.1,2328.1,2304.1,2306.1,ok,1324504800,114
304,2340.1,2342.1,2329.0,2336.1,ok,1324591200,92
305,2342.3,2354.5,2333.3,2351.5,ok,1324936800,135
306,2323.1,2355.3,2323.1,2339.2,ok,1325023200,86
307,2348.0,2351.0,2318.9,2323.0,ok,1325109600,168
308,2366.0,2366.0,2344.9,2366.0,ok,1325196000,87
309,2402.6,2414.7,2363.5,2365.5,ok,1325455200,164
310,2418.5,2426.6,2392.4,2419.6,ok,1325541600,197
311,2414.3,2421.4,2401.3,2416.4,ok,1325628000,109
312,2398.0,2413.2,2385.0,2413.2,ok,1325714400,155
313,2385.8,2413.0,2381.8,2405.0,ok,1325800800,131
314,2381.2,2396.4,2371.2,2382.3,ok,1326060000,151
315,2416.2,2420.2,2391.1,2394.2,ok,1326146400,276
316,2404.9,2420.1,2391.9,2415.1,ok,1326232800,228
317,2392.7,2416.9,2385.7,2405.9,ok,1326319200,120
318,2384.5,2408.7,2365.4,2405.7,ok,1326405600,221
319,2412.1,2412.1,2377.0,2380.0,ok,1326664800,131
320,2429.0,2435.1,2400.9,2415.0,ok,1326751200,145
321,2434.8,2434.8,2408.8,2420.8,ok,1326837600,152
322,2446.7,2449.7,2424.6,2438.7,ok,1326924000,139
323,2443.5,2453.6,2435.5,2453.6,ok,1327010400,140
324,2439.9,2455.0,2435.9,2440.0,ok,1327269600,94
325,2434.7,2442.8,2421.7,2442.8,ok,1327356000,125
326,2434.5,2448.6,2409.5,2448.6,ok,1327442400,144
327,2440.3,2448.4,2424.3,2443.4,ok,1327528800,206
328,2419.1,2448.2,2419.1,2437.2,ok,1327615200,116
329,2404.5,2412.5,2396.4,2411.6,ok,1327874400,100
330,2415.3,2425.4,2410.4,2413.4,ok,1327960800,123
331,2454.2,2459.3,2423.2,2424.2,ok,1328047200,112
332,2455.1,2460.2,2446.1,2459.2,ok,1328133600,127
333,2493.0,2493.0,2448.9,2460.0,ok,1328220000,101
334,2488.4,2492.5,2474.4,2489.5,ok,1328479200,101
335,2481.2,2497.3,2469.2,2492.3,ok,1328565600,85
336,2478.0,2498.1,2474.0,2487.1,ok,1328652000,114
337,2486.8,2494.9,2469.9,2486.9,ok,1328738400,160
338,2454.6,2477.7,2450.6,2477.7,ok,1328824800,128
339,2479.1,2479.1,2466.1,2473.1,ok,1329084000,68
340,2472.9,2481.9,2461.8,2471.9,ok,1329170400,81
341,2485.7,2494.8,2480.7,2494.8,ok,1329256800,99
342,2497.5,2497.5,2464.5,2473.6,ok,1329343200,104
343,2509.3,2510.4,2495.3,2505.4,ok,1329429600,102
344,2509.8,2515.9,2506.8,2509.9,ok,1329688800,42
345,2497.5,2514.7,2496.6,2507.7,ok,1329775200,70
346,2480.3,2510.5,2474.3,2509.5,ok,1329861600,71
347,2477.1,2491.2,2468.2,2478.2,ok,1329948000,72
348,2478.9,2490.1,2475.0,2482.0,ok,1330034400,80
349,2474.4,2480.4,2458.4,2472.5,ok,1330293600,74
350,2480.2,2487.2,2464.2,2475.3,ok,1330380000,100
351,2479.0,2496.1,2469.0,2484.1,ok,1330466400,110
352,2503.8,2508.8,2467.9,2471.9,ok,1330552800,399
353,2496.6,2506.7,2492.7,2502.7,ok,1330639200,80
354,2495.0,2498.1,2480.1,2489.1,ok,1330898400,97
355,2426.8,2484.9,2418.8,2484.9,ok,1330984800,137
356,2440.6,2446.7,2430.7,2434.7,ok,1331071200,215
357,2478.4,2480.5,2448.5,2448.5,ok,1331157600,153
358,2493.3,2497.3,2474.3,2483.4,ok,1331244000,166
359,2484.7,2493.8,2478.7,2481.8,ok,1331499600,79
360,2532.5,2532.5,2496.6,2499.6,ok,1331586000,408
361,2535.3,2550.4,2535.3,2537.4,ok,1331672400,99
362,2548.1,2548.1,2527.2,2537.2,ok,1331758800,58
363,2557.9,2561.1,2548.0,2548.0,ok,1331845200,74
364,2553.3,2555.4,2541.2,2549.4,ok,1332104400,59
365,2528.2,2542.7,2522.2,2540.7,ok,1332190800,67
366,2517.4,2541.2,2512.5,2534.0,ok,1332277200,134
367,2496.6,2516.1,2488.6,2514.1,ok,1332363600,182
368,2485.8,2499.3,2465.6,2495.2,ok,1332450000,103
369,2507.6,2507.6,2479.3,2490.6,ok,1332709200,134
370,2488.8,2524.6,2487.8,2516.5,ok,1332795600,109
371,2451.6,2490.5,2447.6,2486.4,ok,1332882000,150
372,2428.7,2464.5,2426.7,2454.4,ok,1332968400,244
373,2455.7,2455.7,2436.5,2445.7,ok,1333054800,107
374,2499.8,2499.8,2443.0,2455.3,ok,1333314000,138
375,2462.6,2494.4,2452.5,2488.3,ok,1333400400,99
376,2417.4,2461.3,2413.4,2461.3,ok,1333486800,199
