,c,h,l,o,s,t,v
0,1.41676,1.422,1.40515,1.40874,ok,1287435600,61033
1,1.41428,1.41879,1.41066,1.41669,ok,1287522000,50276
2,1.42407,1.42713,1.41207,1.41435,ok,1287608400,51812
3,1.41835,1.42401,1.41642,1.424,ok,1287694800,41374
4,1.41804,1.41804,1.41795,1.41795,ok,1287781200,2
5,1.41392,1.42127,1.41354,1.41888,ok,1287867600,1734
6,1.4094,1.4191,1.40473,1.41377,ok,1287954000,42772
7,1.40616,1.41174,1.40498,1.40906,ok,1288040400,46998
8,1.41621,1.42487,1.404,1.40605,ok,1288126800,58862
9,1.4227,1.42621,1.4137,1.41616,ok,1288213200,45972
10,1.41648,1.42682,1.4149,1.42278,ok,1288299600,46799
11,1.41619,1.41655,1.41619,1.41655,ok,1288386000,2
12,1.41614,1.41813,1.41525,1.41608,ok,1288472400,1121
13,1.4071,1.41995,1.40462,1.4162,ok,1288558800,34857
14,1.40358,1.40794,1.39256,1.4072,ok,1288645200,41068
15,1.40488,1.41618,1.40283,1.40364,ok,1288731600,50267
16,1.39954,1.41063,1.39703,1.40483,ok,1288818000,41688
17,1.37984,1.40324,1.37889,1.39959,ok,1288904400,43348
18,1.37988,1.37996,1.37988,1.37996,ok,1288990800,2
19,1.38301,1.38376,1.37986,1.38068,ok,1289077200,1723
20,1.37304,1.38603,1.37232,1.38307,ok,1289167200,38246
21,1.37199,1.37622,1.36761,1.373,ok,1289253600,48220
22,1.37064,1.37866,1.36738,1.37203,ok,1289340000,57040
23,1.36933,1.37763,1.36465,1.37113,ok,1289426400,42579
24,1.38892,1.38951,1.36437,1.36982,ok,1289512800,71594
25,1.38924,1.38924,1.38924,1.38924,ok,1289599200,1
26,1.38439,1.38939,1.38347,1.38819,ok,1289685600,2330
27,1.37864,1.39291,1.37205,1.38456,ok,1289772000,44785
28,1.38081,1.38927,1.37747,1.37869,ok,1289858400,56817
29,1.38059,1.38578,1.37724,1.38102,ok,1289944800,42884
30,1.37786,1.38288,1.3755,1.38087,ok,1290031200,38675
31,1.38448,1.39362,1.37723,1.37772,ok,1290117600,35436
32,1.38439,1.38553,1.38439,1.38441,ok,1290204000,3
33,1.38874,1.39058,1.38384,1.38384,ok,1290290400,2621
34,1.37795,1.38932,1.37674,1.38859,ok,1290376800,42031
35,1.37453,1.38646,1.37188,1.37802,ok,1290463200,61131
36,1.35799,1.37543,1.35605,1.37447,ok,1290549600,60652
37,1.36178,1.36423,1.35446,1.35806,ok,1290636000,35074
38,1.37128,1.37529,1.35907,1.36173,ok,1290722400,53907
39,1.37132,1.37168,1.37132,1.37147,ok,1290808800,4
40,1.3709,1.37652,1.36841,1.37008,ok,1290895200,5521
41,1.36248,1.37596,1.36115,1.37096,ok,1290981600,52842
42,1.35383,1.36472,1.35216,1.36232,ok,1291068000,62385
43,1.35645,1.36148,1.35074,1.35378,ok,1291154400,59082
44,1.35161,1.36467,1.3515,1.35651,ok,1291240800,55372
45,1.34923,1.35574,1.34723,1.35154,ok,1291327200,49172
46,1.34901,1.34915,1.34901,1.34915,ok,1291413600,2
47,1.3496,1.35377,1.34867,1.34943,ok,1291500000,1471
48,1.34397,1.35312,1.3421,1.3495,ok,1291586400,44362
49,1.34881,1.34979,1.34156,1.34434,ok,1291672800,48661
50,1.35344,1.35522,1.34615,1.34919,ok,1291759200,50030
51,1.34551,1.35497,1.33859,1.35372,ok,1291845600,42279
52,1.34076,1.34651,1.33853,1.34545,ok,1291932000,33977
53,1.34082,1.34082,1.34082,1.34082,ok,1292018400,1
54,1.34037,1.34329,1.33951,1.34074,ok,1292104800,1036
55,1.34385,1.3471,1.33676,1.3405,ok,1292191200,32507
56,1.33881,1.35033,1.33823,1.34379,ok,1292277600,41265
57,1.33842,1.3455,1.33804,1.33886,ok,1292364000,45878
58,1.33718,1.34161,1.3368,1.3386,ok,1292450400,39696
59,1.33331,1.35115,1.33106,1.33723,ok,1292536800,36297
60,1.33326,1.33326,1.33326,1.33326,ok,1292623200,1
61,1.33283,1.33463,1.3301,1.33223,ok,1292709600,1295
62,1.32143,1.3349,1.31889,1.33289,ok,1292796000,32809
63,1.31235,1.3242,1.31223,1.32137,ok,1292882400,31143
64,1.31088,1.3191,1.30742,1.3125,ok,1292968800,30708
65,1.30553,1.31295,1.30114,1.31102,ok,1293055200,22373
66,1.30451,1.30942,1.30323,1.30573,ok,1293141600,15379
67,1.3046,1.30471,1.30451,1.30471,ok,1293228000,4
68,1.31056,1.31085,1.3041,1.3041,ok,1293314400,634
69,1.31016,1.31307,1.30659,1.31033,ok,1293400800,18164
70,1.29789,1.31604,1.29561,1.3102,ok,1293487200,26554
71,1.29893,1.30081,1.29263,1.29784,ok,1293573600,24872
72,1.30619,1.3127,1.29799,1.299,ok,1293660000,24830
73,1.3065,1.31699,1.30195,1.30629,ok,1293746400,23510
74,1.30623,1.30623,1.30623,1.30623,ok,1293832800,1
75,1.30664,1.30731,1.29993,1.30651,ok,1293919200,1052
76,1.31376,1.31464,1.3003,1.30672,ok,1294005600,23217
77,1.32359,1.33259,1.31293,1.31371,ok,1294092000,41600
78,1.3152,1.32724,1.31415,1.32363,ok,1294178400,40900
79,1.30729,1.32024,1.30531,1.31514,ok,1294264800,40437
80,1.29467,1.31036,1.29296,1.30734,ok,1294351200,46130
