,c,h,l,o,s,t,v
0,1.41838,1.43116,1.41549,1.41622,ok,1287435600,55406
1,1.42542,1.43327,1.41689,1.41826,ok,1287522000,44457
2,1.42891,1.43291,1.42335,1.42546,ok,1287608400,44590
3,1.43045,1.43228,1.42567,1.42884,ok,1287694800,34931
4,1.43056,1.43056,1.43029,1.43029,ok,1287781200,3
5,1.43197,1.43482,1.43003,1.43052,ok,1287867600,1129
6,1.42396,1.43469,1.42211,1.43182,ok,1287954000,38143
7,1.41862,1.42578,1.41495,1.42343,ok,1288040400,44168
8,1.41518,1.42486,1.41409,1.41858,ok,1288126800,46959
9,1.42216,1.42667,1.41409,1.41524,ok,1288213200,38757
10,1.42076,1.42305,1.41234,1.42225,ok,1288299600,43264
11,1.42207,1.42501,1.42057,1.42057,ok,1288472400,995
12,1.41012,1.42538,1.4068,1.42217,ok,1288558800,33590
13,1.41447,1.41847,1.4057,1.41021,ok,1288645200,33470
14,1.42093,1.42991,1.41153,1.41441,ok,1288731600,49129
15,1.42356,1.43306,1.41998,1.42089,ok,1288818000,37956
16,1.40264,1.42764,1.40231,1.42362,ok,1288904400,43580
17,1.40224,1.40232,1.40224,1.40229,ok,1288990800,4
18,1.40539,1.40539,1.40176,1.40274,ok,1289077200,1648
19,1.39658,1.40787,1.3938,1.40551,ok,1289167200,38574
20,1.38795,1.39737,1.38384,1.39665,ok,1289253600,50096
21,1.37917,1.38937,1.37286,1.38782,ok,1289340000,55026
22,1.37088,1.38186,1.36941,1.37922,ok,1289426400,41476
23,1.38502,1.38805,1.3659,1.37077,ok,1289512800,59042
24,1.38512,1.38512,1.38512,1.38512,ok,1289599200,1
25,1.38471,1.38691,1.37968,1.3825,ok,1289685600,1490
26,1.37167,1.38679,1.36799,1.38465,ok,1289772000,38187
27,1.37853,1.38728,1.36997,1.37171,ok,1289858400,55793
28,1.38588,1.38689,1.37595,1.37847,ok,1289944800,40819
29,1.38987,1.39313,1.38266,1.38581,ok,1290031200,40375
30,1.38935,1.40005,1.38898,1.38981,ok,1290117600,34065
31,1.39425,1.39764,1.38956,1.38956,ok,1290290400,1899
32,1.38787,1.39676,1.38385,1.39417,ok,1290376800,38004
33,1.36942,1.38882,1.3674,1.38796,ok,1290463200,50896
34,1.34628,1.36961,1.34567,1.36935,ok,1290549600,50646
35,1.34785,1.35102,1.34324,1.34636,ok,1290636000,29358
36,1.35141,1.35499,1.34306,1.34781,ok,1290722400,40339
37,1.35149,1.35149,1.35129,1.35129,ok,1290808800,2
38,1.34961,1.35619,1.34582,1.34992,ok,1290895200,4487
39,1.33584,1.3532,1.33519,1.34966,ok,1290981600,39799
40,1.33209,1.33921,1.32579,1.33577,ok,1291068000,53121
41,1.33586,1.33986,1.33074,1.33214,ok,1291154400,47866
42,1.32409,1.33984,1.32052,1.33592,ok,1291240800,48045
43,1.34585,1.34706,1.32351,1.32413,ok,1291327200,40362
44,1.34597,1.34597,1.34573,1.34573,ok,1291413600,4
45,1.34152,1.34794,1.34152,1.3459,ok,1291500000,1267
46,1.33793,1.34656,1.33447,1.34144,ok,1291586400,37375
47,1.34212,1.34522,1.33542,1.33808,ok,1291672800,36447
48,1.34063,1.34228,1.33429,1.34207,ok,1291759200,36820
49,1.33767,1.34524,1.3303,1.3407,ok,1291845600,34606
50,1.3336,1.34032,1.3315,1.33754,ok,1291932000,24124
51,1.33365,1.33365,1.33365,1.33365,ok,1292018400,1
52,1.33232,1.33509,1.33185,1.33384,ok,1292104800,559
