,c,h,l,o,s,t,v
0,1.33379,1.34521,1.33093,1.33679,ok,1287435600,66573
1,1.34286,1.34424,1.33096,1.33386,ok,1287522000,53894
2,1.34707,1.35324,1.33856,1.3431,ok,1287608400,59044
3,1.36281,1.36491,1.34558,1.34704,ok,1287694800,57204
4,1.36143,1.36654,1.35885,1.36556,ok,1287867600,1317
5,1.35575,1.36714,1.35445,1.36134,ok,1287954000,36728
6,1.364,1.36867,1.35448,1.3555,ok,1288040400,44308
7,1.36349,1.37022,1.36068,1.36397,ok,1288126800,53578
8,1.36982,1.3705,1.36137,1.36343,ok,1288213200,39138
9,1.36957,1.37375,1.36439,1.36978,ok,1288299600,59907
10,1.3696,1.36984,1.36956,1.36984,ok,1288386000,5
11,1.37113,1.37174,1.36927,1.36927,ok,1288472400,580
12,1.37775,1.38334,1.37091,1.37117,ok,1288558800,46149
13,1.37439,1.38209,1.36856,1.37766,ok,1288645200,42997
14,1.37235,1.377,1.37023,1.37422,ok,1288731600,64936
15,1.36144,1.38036,1.35845,1.37233,ok,1288818000,57436
16,1.3487,1.3634,1.3438,1.3615,ok,1288904400,57179
17,1.34818,1.34818,1.34818,1.34818,ok,1288990800,1
18,1.35149,1.35169,1.34768,1.34768,ok,1289077200,1525
19,1.34461,1.35284,1.34056,1.35162,ok,1289167200,47711
20,1.33323,1.34503,1.33235,1.34456,ok,1289253600,56979
21,1.33779,1.3427,1.32752,1.3332,ok,1289340000,70521
22,1.33256,1.33983,1.32561,1.33775,ok,1289426400,62344
23,1.34254,1.3437,1.3229,1.33258,ok,1289512800,73266
24,1.34252,1.34252,1.34252,1.34252,ok,1289599200,1
25,1.34064,1.3411,1.33866,1.33922,ok,1289685600,1878
26,1.3377,1.347,1.33622,1.34059,ok,1289772000,53336
27,1.34319,1.3442,1.33657,1.33774,ok,1289858400,66020
28,1.34105,1.34668,1.3385,1.34315,ok,1289944800,47628
29,1.35829,1.35956,1.34074,1.34108,ok,1290031200,51591
30,1.35619,1.36729,1.35366,1.35821,ok,1290117600,43047
31,1.35653,1.35653,1.35611,1.35611,ok,1290204000,3
32,1.3608,1.36166,1.35619,1.35619,ok,1290290400,1413
33,1.3481,1.36572,1.3454,1.36077,ok,1290376800,46901
34,1.33292,1.34855,1.32908,1.34808,ok,1290463200,81885
35,1.32782,1.33464,1.32406,1.3329,ok,1290549600,70512
36,1.33662,1.33881,1.32581,1.32771,ok,1290636000,53819
37,1.32796,1.33689,1.32347,1.33659,ok,1290722400,68848
38,1.32794,1.32794,1.32794,1.32794,ok,1290808800,1
39,1.33167,1.33438,1.32744,1.32782,ok,1290895200,3078
40,1.31256,1.3324,1.31005,1.33171,ok,1290981600,68807
41,1.30262,1.31311,1.29311,1.31253,ok,1291068000,88824
42,1.31665,1.31896,1.30101,1.30269,ok,1291154400,80322
43,1.31116,1.32048,1.30684,1.31668,ok,1291240800,72617
44,1.30563,1.31687,1.30432,1.3112,ok,1291327200,70347
45,1.30495,1.30568,1.30495,1.30568,ok,1291413600,5
46,1.30452,1.30811,1.30429,1.30675,ok,1291500000,887
47,1.3061,1.31167,1.30006,1.30446,ok,1291586400,64473
48,1.30935,1.3122,1.30399,1.30583,ok,1291672800,74310
49,1.30754,1.31043,1.30296,1.30928,ok,1291759200,55174
50,1.30183,1.3098,1.29772,1.30751,ok,1291845600,55248
51,1.29708,1.30322,1.29579,1.30179,ok,1291932000,44493
52,1.29836,1.29888,1.29585,1.2974,ok,1292104800,555
