,c,h,l,o,s,t,v
0,24.5074,24.5433,24.47183,24.485,ok,1287435600,3134
1,24.48742,24.53792,24.47676,24.5075,ok,1287522000,4489
2,24.63162,24.64843,24.46614,24.492,ok,1287608400,6661
3,24.50225,24.70022,24.49486,24.633,ok,1287694800,5006
4,24.51381,24.51521,24.455,24.455,ok,1287867600,42
5,24.49071,24.57193,24.47488,24.515,ok,1287954000,4803
6,24.63537,24.68572,24.48427,24.489,ok,1288040400,6633
7,24.65875,24.69747,24.57976,24.6305,ok,1288126800,5145
8,24.59365,24.68,24.56788,24.653,ok,1288213200,2181
9,24.57874,24.64909,24.57254,24.602,ok,1288299600,3858
10,24.56255,24.573,24.56072,24.573,ok,1288472400,18
11,24.46878,24.66319,24.45243,24.5625,ok,1288558800,4545
12,24.47937,24.54197,24.45576,24.465,ok,1288645200,4544
13,24.43931,24.53618,24.43931,24.481,ok,1288731600,6301
14,24.51031,24.53201,24.3368,24.442,ok,1288818000,10182
15,24.51854,24.59711,24.48,24.50927,ok,1288904400,5537
16,24.523,24.54,24.475,24.54,ok,1289077200,40
17,24.52598,24.58151,24.51737,24.52,ok,1289167200,4263
18,24.55145,24.58113,24.51923,24.527,ok,1289253600,4147
19,24.60818,24.63282,24.52819,24.548,ok,1289340000,5377
20,24.61755,24.65069,24.59462,24.63,ok,1289426400,4363
21,24.5785,24.68786,24.57469,24.61814,ok,1289512800,5509
22,24.56945,24.56945,24.565,24.565,ok,1289685600,17
23,24.5811,24.64241,24.55632,24.57,ok,1289772000,3236
24,24.59863,24.63558,24.57908,24.58064,ok,1289858400,4062
25,24.60544,24.63545,24.55883,24.59898,ok,1289944800,3281
26,24.62212,24.64685,24.57855,24.60672,ok,1290031200,4481
27,24.64898,24.71898,24.60906,24.62143,ok,1290117600,3655
28,24.64919,24.64919,24.64919,24.64919,ok,1290204000,1
29,24.64456,24.6825,24.64,24.6825,ok,1290290400,37
30,24.70007,24.74357,24.645,24.645,ok,1290376800,4395
31,24.68234,24.7275,24.65757,24.70112,ok,1290463200,4460
32,24.70438,24.71036,24.64985,24.68225,ok,1290549600,4307
33,24.68851,24.73101,24.65929,24.70506,ok,1290636000,3257
34,24.6875,24.79332,24.67556,24.68858,ok,1290722400,5342
35,24.67922,24.69,24.66881,24.67,ok,1290895200,38
36,24.90825,24.97767,24.6775,24.6775,ok,1290981600,8308
37,24.92465,24.9824,24.82776,24.90246,ok,1291068000,10059
