,c,h,l,o,s,t,v
0,7.45743,7.45892,7.45662,7.45775,ok,1287435600,803
1,7.4577,7.45919,7.45728,7.4576,ok,1287522000,704
2,7.45806,7.45861,7.45732,7.45775,ok,1287608400,907
3,7.45683,7.45861,7.45669,7.4581,ok,1287694800,829
4,7.45742,7.45783,7.4572,7.4572,ok,1287867600,10
5,7.45771,7.45845,7.45735,7.45735,ok,1287954000,608
6,7.45832,7.45959,7.45692,7.45768,ok,1288040400,1292
7,7.45819,7.4592,7.45749,7.45834,ok,1288126800,1354
8,7.45777,7.45891,7.45703,7.45816,ok,1288213200,744
9,7.4562,7.45862,7.45502,7.4577,ok,1288299600,1447
10,7.45605,7.45609,7.4545,7.4545,ok,1288472400,51
11,7.45656,7.45877,7.45556,7.456,ok,1288558800,901
12,7.45532,7.45695,7.45531,7.45659,ok,1288645200,632
13,7.45391,7.4562,7.45391,7.45535,ok,1288731600,890
14,7.45392,7.45512,7.45372,7.45385,ok,1288818000,794
15,7.4525,7.45494,7.4523,7.45395,ok,1288904400,1351
16,7.45254,7.45268,7.45233,7.45233,ok,1289077200,19
17,7.45235,7.45439,7.45218,7.45271,ok,1289167200,971
18,7.45265,7.45509,7.45235,7.4524,ok,1289253600,1749
19,7.45345,7.45399,7.45168,7.45257,ok,1289340000,1360
20,7.45296,7.45429,7.45273,7.4532,ok,1289426400,1195
21,7.4524,7.45457,7.45229,7.45298,ok,1289512800,1287
22,7.4522,7.4522,7.4522,7.4522,ok,1289599200,1
23,7.45243,7.45303,7.45219,7.45247,ok,1289685600,133
24,7.45379,7.45515,7.4521,7.4524,ok,1289772000,1056
25,7.45531,7.45566,7.45317,7.4543,ok,1289858400,2257
26,7.45507,7.45688,7.45453,7.45536,ok,1289944800,695
27,7.45526,7.45567,7.45437,7.45504,ok,1290031200,815
28,7.45392,7.45588,7.45388,7.45523,ok,1290117600,1154
29,7.45495,7.45495,7.45351,7.45351,ok,1290290400,34
30,7.45514,7.45605,7.45442,7.45485,ok,1290376800,777
31,7.4549,7.45589,7.45417,7.45517,ok,1290463200,1092
32,7.45428,7.45563,7.45428,7.45493,ok,1290549600,846
33,7.45542,7.45632,7.45404,7.45445,ok,1290636000,606
34,7.45326,7.45684,7.45272,7.45545,ok,1290722400,991
35,7.45388,7.45747,7.4523,7.45352,ok,1290895200,91
36,7.45258,7.45539,7.45149,7.45385,ok,1290981600,1997
37,7.453,7.45344,7.45212,7.45254,ok,1291068000,1282
