,c,h,l,o,s,t,v
0,0.87396,0.88244,0.87391,0.87766,ok,1287435600,45115
1,0.88093,0.88218,0.87393,0.87402,ok,1287522000,40839
2,0.88617,0.89068,0.87728,0.88115,ok,1287608400,48196
3,0.88916,0.88954,0.88474,0.88623,ok,1287694800,30481
4,0.88922,0.88922,0.88922,0.88922,ok,1287781200,1
5,0.89063,0.89278,0.88874,0.88874,ok,1287867600,896
6,0.88811,0.89407,0.88623,0.8907,ok,1287954000,31952
7,0.87453,0.88832,0.87283,0.88808,ok,1288040400,32342
8,0.87304,0.87529,0.87125,0.87459,ok,1288126800,32564
9,0.87357,0.87711,0.87018,0.87309,ok,1288213200,30671
10,0.86902,0.87421,0.86696,0.87351,ok,1288299600,28826
11,0.86971,0.86985,0.86863,0.86889,ok,1288472400,481
12,0.86638,0.87221,0.86517,0.86974,ok,1288558800,33259
13,0.87476,0.87672,0.86527,0.86624,ok,1288645200,29400
14,0.8791,0.87916,0.86966,0.87474,ok,1288731600,40022
15,0.87313,0.88173,0.87179,0.87908,ok,1288818000,35144
16,0.86663,0.8776,0.86525,0.87306,ok,1288904400,37788
17,0.86653,0.86658,0.86653,0.86658,ok,1288990800,2
18,0.86731,0.86736,0.86512,0.86736,ok,1289077200,1277
19,0.86235,0.86916,0.86073,0.86727,ok,1289167200,25443
20,0.86154,0.86448,0.85893,0.86248,ok,1289253600,39408
21,0.85487,0.86375,0.85244,0.86158,ok,1289340000,46614
22,0.84759,0.85511,0.84554,0.85502,ok,1289426400,37085
23,0.84916,0.85589,0.84493,0.84755,ok,1289512800,48516
24,0.84914,0.84914,0.84914,0.84914,ok,1289599200,1
25,0.84826,0.85028,0.8469,0.84811,ok,1289685600,1874
26,0.84634,0.85131,0.84532,0.84813,ok,1289772000,29395
27,0.84907,0.8525,0.84542,0.84639,ok,1289858400,39395
28,0.8503,0.85123,0.84742,0.84905,ok,1289944800,33328
29,0.85036,0.85511,0.84871,0.85032,ok,1290031200,30799
30,0.85501,0.85689,0.84953,0.85039,ok,1290117600,26971
31,0.85823,0.85861,0.85511,0.85511,ok,1290290400,843
32,0.85369,0.85947,0.85237,0.85828,ok,1290376800,27675
33,0.84713,0.85409,0.84454,0.85372,ok,1290463200,40960
34,0.84542,0.84982,0.84271,0.8472,ok,1290549600,39108
35,0.84756,0.84868,0.84323,0.84539,ok,1290636000,26397
36,0.84872,0.84992,0.84203,0.84758,ok,1290722400,35197
37,0.84889,0.84889,0.84877,0.84877,ok,1290808800,2
38,0.85133,0.8536,0.84772,0.84895,ok,1290895200,2653
39,0.84282,0.85195,0.84076,0.85149,ok,1290981600,38686
40,0.83419,0.84482,0.83404,0.84279,ok,1291068000,43559
41,0.84094,0.84378,0.83344,0.83428,ok,1291154400,43011
42,0.84665,0.84899,0.83898,0.84096,ok,1291240800,42042
43,0.84976,0.85253,0.84459,0.84735,ok,1291327200,32580
44,0.8483,0.85157,0.84808,0.84993,ok,1291500000,918
45,0.84654,0.85097,0.84538,0.84889,ok,1291586400,33803
46,0.84137,0.84806,0.841,0.84639,ok,1291672800,39468
47,0.8391,0.84282,0.83622,0.84139,ok,1291759200,36433
