,c,h,l,o,s,t,v
0,10.65041,10.86283,10.64187,10.80745,ok,1287435600,89187
1,10.84012,10.85942,10.62969,10.65056,ok,1287522000,70892
2,10.80634,10.90728,10.76948,10.83966,ok,1287608400,77715
3,10.82264,10.84939,10.7613,10.80618,ok,1287694800,60304
4,10.8245,10.8245,10.8238,10.8238,ok,1287781200,2
5,10.83853,10.85556,10.81957,10.82217,ok,1287867600,1630
6,10.83204,10.92801,10.81522,10.83822,ok,1287954000,54701
7,10.75262,10.84739,10.72795,10.8318,ok,1288040400,64342
8,10.68092,10.76868,10.65578,10.75293,ok,1288126800,71784
9,10.80255,10.81618,10.67732,10.68069,ok,1288213200,55887
10,10.80398,10.81988,10.70878,10.80278,ok,1288299600,60677
11,10.80414,10.80414,10.80414,10.80414,ok,1288386000,1
12,10.81879,10.82142,10.79987,10.80104,ok,1288472400,1356
13,10.77,10.86253,10.74709,10.81855,ok,1288558800,55529
14,10.87675,10.89608,10.76142,10.77015,ok,1288645200,52271
15,10.95752,10.99063,10.84525,10.8766,ok,1288731600,72234
16,11.0108,11.06941,10.93046,10.95737,ok,1288818000,67299
17,10.87008,11.04369,10.86645,11.01104,ok,1288904400,68082
18,10.86938,10.86938,10.86938,10.86938,ok,1288990800,1
19,10.89181,10.89181,10.85993,10.87248,ok,1289077200,2283
20,10.78755,10.91723,10.76376,10.89227,ok,1289167200,62066
21,10.67494,10.83067,10.65805,10.78794,ok,1289253600,74968
22,10.68225,10.71612,10.59609,10.67471,ok,1289340000,86556
23,10.59242,10.71281,10.56942,10.6821,ok,1289426400,72052
24,10.60617,10.67873,10.52219,10.59213,ok,1289512800,89526
25,10.60593,10.60593,10.60593,10.60593,ok,1289599200,1
26,10.61868,10.63077,10.56974,10.60748,ok,1289685600,3792
27,10.53211,10.65886,10.51446,10.6193,ok,1289772000,62375
28,10.46336,10.58688,10.42788,10.53227,ok,1289858400,82441
29,10.49416,10.52061,10.44091,10.4632,ok,1289944800,59827
30,10.57822,10.59727,10.49102,10.49377,ok,1290031200,58722
31,10.59666,10.64674,10.55205,10.57849,ok,1290117600,51473
32,10.63442,10.65535,10.59171,10.59278,ok,1290290400,3260
33,10.5673,10.68985,10.5281,10.63463,ok,1290376800,60420
34,10.36907,10.57221,10.36521,10.56753,ok,1290463200,78845
35,10.34675,10.41285,10.30553,10.37039,ok,1290549600,77686
36,10.36497,10.38747,10.30941,10.34652,ok,1290636000,45476
37,10.27433,10.3675,10.24857,10.36476,ok,1290722400,64094
38,10.30679,10.36331,10.27378,10.27471,ok,1290895200,6851
39,10.19254,10.32537,10.14374,10.3071,ok,1290981600,66539
40,10.08051,10.20947,10.07485,10.1923,ok,1291068000,71791
41,10.20534,10.23709,10.07327,10.0809,ok,1291154400,66757
42,10.2573,10.2881,10.14512,10.20558,ok,1291240800,65884
43,10.40878,10.42676,10.24775,10.25785,ok,1291327200,59742
44,10.4105,10.4105,10.40856,10.40856,ok,1291413600,2
45,10.38187,10.43286,10.38141,10.40732,ok,1291500000,2306
46,10.3276,10.42043,10.28519,10.38148,ok,1291586400,60319
47,10.29277,10.40413,10.2904,10.32496,ok,1291672800,60543
48,10.29912,10.31247,10.23961,10.29199,ok,1291759200,63940
49,10.29005,10.35006,10.2328,10.29889,ok,1291845600,57121
50,10.27524,10.32434,10.24625,10.29041,ok,1291932000,43168
51,10.27563,10.27563,10.27563,10.27563,ok,1292018400,1
52,10.25683,10.28478,10.25329,10.2747,ok,1292104800,1019
53,10.41427,10.44849,10.25012,10.25709,ok,1292191200,44756
54,10.3967,10.49406,10.3874,10.41442,ok,1292277600,55259
55,10.27352,10.40103,10.27015,10.39515,ok,1292364000,59739
56,10.29889,10.31591,10.25234,10.27383,ok,1292450400,49677
57,10.25202,10.38785,10.21458,10.30029,ok,1292536800,45642
58,10.25244,10.25244,10.25244,10.25244,ok,1292623200,1
59,10.24903,10.25128,10.23241,10.24956,ok,1292709600,1351
