,c,h,l,o,s,t,v
0,277.136,278.213,274.64,275.795,ok,1287435600,9510
1,275.691,278.151,275.157,277.18,ok,1287522000,15884
2,274.938,276.202,273.833,275.74,ok,1287608400,13076
3,273.48,275.737,273.39,274.95,ok,1287694800,9526
4,273.427,273.775,273.275,273.775,ok,1287867600,12
5,272.604,274.275,272.278,272.925,ok,1287954000,12615
6,274.131,275.26,272.257,272.62,ok,1288040400,10716
7,274.657,275.837,274.025,274.045,ok,1288126800,9804
8,272.845,275.477,272.504,274.73,ok,1288213200,9085
9,269.792,273.837,269.685,272.57,ok,1288299600,13046
10,269.937,269.983,269.768,269.768,ok,1288472400,57
11,270.204,271.995,269.811,269.93,ok,1288558800,9088
12,270.331,271.288,269.919,270.26,ok,1288645200,9561
13,271.617,272.77,270.253,270.43,ok,1288731600,10792
14,272.447,273.012,271.276,271.638,ok,1288818000,10741
15,272.68,274.763,272.228,272.47,ok,1288904400,11634
16,272.798,273.115,272.25,273.115,ok,1289077200,37
17,274.13,275.374,272.35,272.8,ok,1289167200,9682
18,273.577,276.167,273.071,274.12,ok,1289253600,11262
19,274.115,274.327,272.989,273.675,ok,1289340000,11898
20,276.356,277.442,273.421,274.13,ok,1289426400,12953
21,275.405,278.129,275.382,276.35,ok,1289512800,16014
22,275.575,275.575,275.573,275.573,ok,1289599200,2
23,274.88,274.887,274.88,274.883,ok,1289685600,7
24,276.661,276.878,274.022,274.89,ok,1289772000,8121
25,277.159,277.976,276.387,276.667,ok,1289858400,12513
26,275.81,278.752,275.802,277.15,ok,1289944800,12828
27,274.215,276.367,274.167,275.833,ok,1290031200,10169
28,272.523,274.633,272.428,274.22,ok,1290117600,8107
29,272.527,273.325,272.281,273.325,ok,1290290400,92
30,274.412,275.746,272.332,272.515,ok,1290376800,11539
31,275.515,276.355,274.178,274.406,ok,1290463200,14517
32,275.487,276.261,274.368,275.715,ok,1290549600,17248
33,276.911,277.711,274.651,275.497,ok,1290636000,8550
34,278.538,280.886,276.873,276.909,ok,1290722400,16609
35,278.159,278.742,277.275,277.275,ok,1290895200,35
36,283.023,284.43,277.628,278.195,ok,1290981600,19180
37,280.421,284.725,280.222,283.017,ok,1291068000,24852
38,279.469,281.144,278.687,280.416,ok,1291154400,18394
39,276.563,279.76,276.374,279.498,ok,1291240800,23998
40,275.052,278.589,275.046,276.582,ok,1291327200,15257
41,276.05,276.24,274.37,274.37,ok,1291500000,39
42,278.295,280.552,275.585,275.965,ok,1291586400,13579
43,277.875,279.338,277.27,278.297,ok,1291672800,12860
44,277.056,279.644,276.415,277.857,ok,1291759200,13861
45,278.088,278.658,276.325,277.05,ok,1291845600,8762
46,277.631,278.581,276.703,277.91,ok,1291932000,8639
47,276.864,277.05,276.75,276.75,ok,1292104800,12
48,276.526,278.342,276.201,276.875,ok,1292191200,8764
49,274.686,277.191,274.425,276.52,ok,1292277600,12781
50,275.228,275.653,274.387,274.675,ok,1292364000,11395
51,273.253,275.255,273.253,275.24,ok,1292450400,12105
52,271.116,273.672,271.116,273.262,ok,1292536800,11583
53,271.1,271.569,271.1,271.569,ok,1292709600,19
54,276.49,277.033,271.054,271.11,ok,1292796000,13634
55,276.166,276.943,275.068,276.74,ok,1292882400,8994
56,275.845,276.704,275.426,276.159,ok,1292968800,6581
57,277.149,278.538,275.332,275.85,ok,1293055200,8181
58,277.672,278.987,276.801,277.147,ok,1293141600,1824
59,277.094,277.253,276.798,277.253,ok,1293314400,22
60,278.712,279.055,276.727,277.14,ok,1293400800,2242
61,278.625,279.232,277.84,278.725,ok,1293487200,3832
62,279.15,279.854,278.453,278.638,ok,1293573600,3528
63,278.843,280.175,278.218,279.162,ok,1293660000,5790
64,276.65,278.938,276.532,278.825,ok,1293746400,4260
65,275.578,276.65,273.5,275.65,ok,1293919200,36
66,277.27,278.677,275.355,275.58,ok,1294005600,4651
67,275.52,277.689,274.969,277.265,ok,1294092000,9113
68,274.819,277.283,274.76,275.543,ok,1294178400,10780
69,275.891,276.531,274.79,274.823,ok,1294264800,9395
70,276.483,277.942,275.741,275.909,ok,1294351200,13187
71,276.185,276.75,275.455,276.75,ok,1294524000,30
72,279.21,280.708,276.18,276.18,ok,1294610400,17134
73,277.469,279.443,276.445,279.26,ok,1294696800,15222
74,274.723,277.572,274.647,277.491,ok,1294783200,16515
75,274.033,275.559,273.895,274.737,ok,1294869600,16719
76,274.625,276.619,273.96,274.05,ok,1294956000,12233
77,274.563,274.563,274.563,274.563,ok,1295042400,1
78,274.482,274.95,273.988,273.988,ok,1295128800,33
79,273.983,276.447,273.917,274.52,ok,1295215200,8325
80,272.445,274.129,271.903,274.002,ok,1295301600,16562
81,272.001,272.683,271.281,272.441,ok,1295388000,12373
82,274.867,276.251,271.993,271.994,ok,1295474400,19180
83,272.752,276.161,272.549,274.864,ok,1295560800,11218
84,272.812,272.812,272.749,272.749,ok,1295647200,4
85,272.816,272.866,272.808,272.835,ok,1295733600,14
86,274.282,275.391,271.954,272.81,ok,1295820000,12398
87,274.835,275.451,273.564,274.284,ok,1295906400,12432
88,274.858,275.147,273.529,274.85,ok,1295992800,11771
89,271.553,274.863,271.216,274.86,ok,1296079200,18749
90,271.62,273.705,271.034,271.685,ok,1296165600,14274
91,271.41,271.51,271.41,271.51,ok,1296252000,14
92,271.571,272.023,271.41,271.41,ok,1296338400,58
93,272.428,274.558,271.174,271.586,ok,1296424800,14490
94,270.141,272.737,269.987,272.423,ok,1296511200,14837
95,268.01,270.772,267.762,270.15,ok,1296597600,16770
96,268.829,270.045,267.868,268.086,ok,1296684000,13440
97,267.746,270.464,267.514,268.841,ok,1296770400,10827
98,267.76,267.76,267.76,267.76,ok,1296856800,13
99,267.887,267.891,267.705,267.76,ok,1296943200,33
100,268.284,269.986,266.158,267.89,ok,1297029600,10834
101,268.989,269.696,267.413,268.262,ok,1297116000,12128
102,271.349,271.865,268.981,268.985,ok,1297202400,15312
103,272.36,273.397,271.247,271.359,ok,1297288800,15049
104,269.36,273.5,269.336,272.354,ok,1297375200,15614
105,269.36,269.36,269.36,269.36,ok,1297461600,3
106,269.503,270.36,269.15,269.36,ok,1297548000,45
107,271.178,272.536,269.143,269.49,ok,1297634400,15069
108,270.938,272.209,270.458,271.167,ok,1297720800,11383
109,270.031,271.101,269.676,270.94,ok,1297807200,11205
110,269.054,270.335,268.765,270.099,ok,1297893600,13553
111,268.509,270.787,268.503,269.056,ok,1297980000,10080
112,268.509,268.509,268.509,268.509,ok,1298066400,13
113,268.494,268.7,267.943,268.509,ok,1298152800,29
114,270.718,271.639,268.046,268.488,ok,1298239200,7381
115,272.445,273.075,270.707,270.716,ok,1298325600,11668
116,273.981,274.715,271.504,272.441,ok,1298412000,8700
117,273.075,275.088,272.492,273.994,ok,1298498400,19504
118,271.656,273.473,271.479,273.071,ok,1298584800,7938
119,271.653,271.653,271.653,271.653,ok,1298671200,15
120,271.35,271.653,270.5,271.653,ok,1298757600,24
121,270.558,272.406,270.313,271.346,ok,1298844000,13302
122,272.491,273.276,269.474,270.562,ok,1298930400,18885
123,271.031,273.489,270.173,272.475,ok,1299016800,15053
124,271.485,272.843,270.55,271.037,ok,1299103200,12090
125,270.395,272.819,270.021,271.498,ok,1299189600,9976
126,270.054,270.395,270.048,270.395,ok,1299362400,21
127,270.817,272.109,270.058,270.058,ok,1299448800,8949
128,272.056,273.407,270.592,270.808,ok,1299535200,16640
129,271.543,273.216,271.416,272.05,ok,1299621600,7935
130,272.954,273.862,271.418,271.555,ok,1299708000,12391
131,271.058,274.027,270.762,272.95,ok,1299794400,12455
132,271.058,271.058,271.058,271.058,ok,1299880800,14
133,270.599,271.536,269.778,271.058,ok,1299967200,177
134,271.171,273.607,270.575,270.577,ok,1300050000,11132
135,273.76,274.638,271.158,271.181,ok,1300136400,16357
136,273.942,274.318,272.91,273.767,ok,1300222800,15494
137,273.438,274.294,273.361,273.937,ok,1300309200,10655
138,270.62,273.84,270.516,273.436,ok,1300395600,10850
139,270.62,270.62,270.62,270.62,ok,1300482000,12
140,270.92,271.145,270.62,270.62,ok,1300568400,24
141,271.463,272.272,270.501,270.92,ok,1300654800,9963
142,269.822,271.645,269.662,271.47,ok,1300741200,8731
143,268.661,270.497,268.562,269.82,ok,1300827600,8024
144,266.114,269.069,265.976,268.682,ok,1300914000,11706
145,265.22,266.961,265.193,266.111,ok,1301000400,10518
146,265.22,265.22,265.22,265.22,ok,1301086800,12
147,265.118,265.22,265.038,265.22,ok,1301173200,19
148,267.246,267.342,264.907,265.115,ok,1301259600,6779
149,267.492,268.232,266.665,267.248,ok,1301346000,6916
150,265.714,267.755,265.522,267.464,ok,1301432400,6390
151,265.229,267.082,265.191,265.716,ok,1301518800,8914
152,263.768,266.642,263.768,265.226,ok,1301605200,5132
153,263.768,263.795,263.768,263.795,ok,1301691600,12
154,264.101,264.983,263.768,263.768,ok,1301778000,24
155,264.411,266.729,263.688,264.088,ok,1301864400,5238
156,263.37,265.817,263.187,264.392,ok,1301950800,7966
157,263.717,264.267,262.82,263.367,ok,1302037200,9816
158,263.726,265.141,263.564,263.72,ok,1302123600,8529
159,262.541,264.688,261.788,263.73,ok,1302210000,7906
160,262.784,262.784,262.55,262.55,ok,1302296400,17
161,262.438,263.035,262.366,262.784,ok,1302382800,56
162,264.637,265.494,262.418,262.453,ok,1302469200,5431
163,265.986,267.142,264.56,264.632,ok,1302555600,9109
164,265.833,267.137,265.554,265.945,ok,1302642000,7951
165,266.656,267.747,265.661,265.842,ok,1302728400,8946
166,265.733,267.419,265.595,266.679,ok,1302814800,4111
167,265.733,265.733,265.733,265.733,ok,1302901200,11
168,265.25,265.733,265.25,265.733,ok,1302987600,13
169,267.688,268.74,265.25,265.255,ok,1303074000,7211
170,265.504,268.123,265.18,267.691,ok,1303160400,7138
171,263.834,266.106,263.558,265.508,ok,1303246800,8742
172,263.726,264.205,263.238,263.831,ok,1303333200,6344
173,263.101,265.011,263.101,263.724,ok,1303419600,1492
174,263.101,263.101,263.101,263.101,ok,1303506000,13
175,263.2,263.25,263.101,263.101,ok,1303592400,18
176,264.578,265.606,263.137,263.213,ok,1303678800,1158
177,264.231,265.059,264.144,264.58,ok,1303765200,3859
178,263.844,264.826,263.804,264.233,ok,1303851600,4316
179,263.426,264.585,263.065,263.851,ok,1303938000,7501
180,262.76,264.602,262.546,263.424,ok,1304024400,4112
181,262.76,262.76,262.76,262.76,ok,1304110800,12
182,263.044,263.086,262.45,262.76,ok,1304197200,35
183,263.737,264.466,262.686,263.038,ok,1304283600,3541
184,265.211,265.978,263.514,263.697,ok,1304370000,9028
185,265.317,265.837,263.832,265.22,ok,1304456400,8257
186,265.706,266.249,264.492,265.321,ok,1304542800,9330
187,263.05,265.912,262.677,265.753,ok,1304629200,8796
188,263.05,263.05,263.05,263.05,ok,1304715600,12
189,262.832,264.07,262.83,263.05,ok,1304802000,33
190,264.142,265.758,262.667,262.849,ok,1304888400,9041
191,263.129,265.213,263.12,264.138,ok,1304974800,10554
192,265.047,265.391,262.994,263.112,ok,1305061200,12905
193,265.929,267.266,263.996,265.051,ok,1305147600,14254
194,267.208,269.022,265.7,265.939,ok,1305234000,12720
195,267.208,267.208,267.208,267.208,ok,1305320400,13
196,267.06,267.208,266.95,267.208,ok,1305406800,27
197,267.374,268.544,267.042,267.068,ok,1305493200,8164
198,267.136,268.417,267.055,267.37,ok,1305579600,10000
199,268.138,269.776,267.1,267.12,ok,1305666000,11983
200,266.701,268.703,266.427,268.128,ok,1305752400,10177
201,267.25,269.341,266.159,266.691,ok,1305838800,9437
202,267.25,267.25,267.25,267.25,ok,1305925200,12
203,266.85,267.25,266.788,267.25,ok,1306011600,25
204,269.87,271.049,266.808,266.818,ok,1306098000,15450
205,268.71,270.946,268.632,269.866,ok,1306184400,16688
206,269.831,270.9,268.629,268.693,ok,1306270800,12126
207,269.217,270.117,268.593,269.865,ok,1306357200,11740
208,266.377,269.451,266.353,269.231,ok,1306443600,9143
209,266.377,266.377,266.377,266.377,ok,1306530000,12
210,266.566,267.55,266.377,266.377,ok,1306616400,40
211,267.884,268.264,266.248,266.56,ok,1306702800,2797
