,c,h,l,o,s,t,v
0,111.975,113.648,111.802,113.226,ok,1287435600,42588
1,113.218,113.367,111.553,111.984,ok,1287522000,36822
2,113.207,113.926,112.804,113.222,ok,1287608400,49393
3,113.485,113.538,112.587,113.202,ok,1287694800,35231
4,113.564,113.7,113.239,113.585,ok,1287867600,1451
5,112.839,113.777,112.539,113.549,ok,1287954000,32773
6,112.847,113.266,112.407,112.835,ok,1288040400,39734
7,112.551,113.181,112.217,112.831,ok,1288126800,45236
8,112.857,112.967,112.182,112.546,ok,1288213200,34504
9,112.09,112.972,111.523,112.899,ok,1288299600,41589
10,112.057,112.081,112.057,112.072,ok,1288386000,5
11,112.087,112.186,111.811,112.032,ok,1288472400,1494
12,111.834,113.341,111.787,112.091,ok,1288558800,40590
13,113.13,113.471,111.765,111.838,ok,1288645200,30123
14,114.624,114.897,112.821,113.135,ok,1288731600,40871
15,114.695,115.414,114.035,114.627,ok,1288818000,44071
16,113.981,115.036,113.896,114.698,ok,1288904400,43260
17,113.993,113.993,113.993,113.993,ok,1288990800,1
18,114.162,114.169,113.968,113.968,ok,1289077200,1352
19,112.991,114.287,112.657,114.152,ok,1289167200,37563
20,112.496,113.084,111.713,112.996,ok,1289253600,45947
21,113.388,113.785,112.223,112.499,ok,1289340000,54164
22,112.717,113.53,112.512,113.384,ok,1289426400,44281
23,112.942,113.379,111.037,112.7,ok,1289512800,51612
24,113.027,113.139,112.673,112.824,ok,1289685600,2933
25,112.866,113.628,112.595,113.033,ok,1289772000,37584
26,112.359,113.438,112.267,112.87,ok,1289858400,45847
27,112.525,112.782,112.307,112.364,ok,1289944800,32513
28,113.928,114.085,112.501,112.54,ok,1290031200,31518
29,114.19,114.304,113.524,113.932,ok,1290117600,29177
30,114.193,114.193,114.193,114.193,ok,1290204000,1
31,114.553,114.679,114.068,114.143,ok,1290290400,2218
32,113.546,114.936,113.246,114.549,ok,1290376800,35739
33,111.147,113.659,110.74,113.541,ok,1290463200,47398
34,111.38,111.77,110.311,111.143,ok,1290549600,42048
35,111.676,111.916,111.007,111.377,ok,1290636000,29750
36,111.321,111.824,110.554,111.667,ok,1290722400,34430
37,111.225,111.343,111.225,111.335,ok,1290808800,3
38,111.609,111.894,111.262,111.295,ok,1290895200,4838
39,110.582,111.751,110.25,111.616,ok,1290981600,37175
40,108.633,110.685,108.338,110.586,ok,1291068000,46676
41,110.602,110.751,108.412,108.643,ok,1291154400,48710
42,110.712,111.183,109.972,110.606,ok,1291240800,40092
43,110.671,111.098,109.83,110.716,ok,1291327200,42724
44,110.664,110.664,110.664,110.664,ok,1291413600,1
45,110.505,110.935,110.482,110.614,ok,1291500000,1461
46,109.984,111.075,109.621,110.513,ok,1291586400,32773
47,110.702,111.104,109.562,109.981,ok,1291672800,36907
48,111.42,111.468,110.506,110.691,ok,1291759200,39525
49,110.868,111.641,110.577,111.415,ok,1291845600,36873
50,110.984,111.11,110.478,110.853,ok,1291932000,26359
51,110.988,110.988,110.988,110.988,ok,1292018400,1
52,110.805,110.98,110.741,110.975,ok,1292104800,1034
53,111.65,112.063,110.649,110.822,ok,1292191200,28188
54,111.907,112.185,111.526,111.646,ok,1292277600,36574
55,111.302,112.1,111.218,111.889,ok,1292364000,37531
56,111.126,111.613,111.071,111.307,ok,1292450400,31579
57,110.713,111.938,110.392,111.118,ok,1292536800,31666
58,110.707,110.727,110.704,110.727,ok,1292623200,7
59,110.582,110.726,110.439,110.711,ok,1292709600,1058
60,109.991,110.695,109.57,110.585,ok,1292796000,26835
61,109.689,110.482,109.606,109.988,ok,1292882400,27906
62,109.457,110.1,109.19,109.696,ok,1292968800,26477
63,108.722,109.606,108.445,109.46,ok,1293055200,24437
64,108.726,109.037,108.551,108.717,ok,1293141600,16482
65,108.733,108.743,108.726,108.743,ok,1293228000,4
66,108.571,108.689,108.514,108.682,ok,1293314400,509
67,109.004,109.058,108.413,108.583,ok,1293400800,16308
68,108.037,109.512,107.612,108.994,ok,1293487200,28424
69,107.927,108.158,107.616,108.044,ok,1293573600,21258
70,108.347,108.91,107.6,107.924,ok,1293660000,24425
71,108.432,108.908,108.257,108.34,ok,1293746400,23396
72,108.439,108.439,108.439,108.439,ok,1293832800,1
73,108.384,108.542,108.268,108.419,ok,1293919200,1050
74,109.189,109.256,107.788,108.378,ok,1294005600,27079
75,109.158,110.234,108.616,109.203,ok,1294092000,31601
76,109.457,109.745,108.509,109.153,ok,1294178400,36470
77,108.336,109.654,108.101,109.46,ok,1294264800,34020
78,107.281,108.546,106.936,108.332,ok,1294351200,41863
79,107.3,107.3,107.3,107.3,ok,1294437600,1
80,107.134,107.439,106.952,107.25,ok,1294524000,2656
81,107.103,107.665,106.815,107.14,ok,1294610400,28761
82,107.985,108.263,107.043,107.109,ok,1294696800,32419
83,108.975,109.015,107.848,107.981,ok,1294783200,35594
84,110.652,110.668,108.682,108.969,ok,1294869600,36841
85,110.886,110.936,110.063,110.647,ok,1294956000,37582
86,110.88,110.88,110.88,110.88,ok,1295042400,1
87,110.78,110.934,110.761,110.84,ok,1295128800,876
88,109.893,110.929,109.57,110.785,ok,1295215200,23855
89,110.503,111.15,109.584,109.903,ok,1295301600,33646
90,110.485,111.049,110.322,110.506,ok,1295388000,34041
91,111.811,111.908,110.314,110.488,ok,1295474400,39835
92,112.426,112.464,111.623,111.818,ok,1295560800,32324
93,112.423,112.426,112.422,112.422,ok,1295647200,3
94,112.552,112.652,112.263,112.31,ok,1295733600,1650
95,112.526,112.893,112.22,112.558,ok,1295820000,26585
96,112.521,112.815,111.818,112.529,ok,1295906400,36034
97,112.663,112.91,112.149,112.514,ok,1295992800,34422
98,113.874,114.001,112.441,112.673,ok,1296079200,42200
99,111.729,113.893,111.5,113.863,ok,1296165600,29789
100,111.735,111.735,111.712,111.712,ok,1296252000,17
101,111.381,111.761,111.262,111.735,ok,1296338400,2587
102,112.324,112.688,111.363,111.385,ok,1296424800,28694
103,112.492,112.69,111.859,112.327,ok,1296511200,28490
104,112.618,112.908,112.197,112.497,ok,1296597600,25657
105,111.278,112.861,111.036,112.614,ok,1296684000,30686
106,111.568,112.055,110.76,111.281,ok,1296770400,29187
107,111.576,111.58,111.559,111.559,ok,1296856800,15
108,111.421,111.776,111.385,111.576,ok,1296943200,1257
109,111.813,112.188,111.232,111.424,ok,1297029600,24741
110,112.21,112.304,111.586,111.81,ok,1297116000,27069
111,113.08,113.193,112.05,112.206,ok,1297202400,26883
112,113.183,113.395,112.603,113.086,ok,1297288800,26751
113,113.064,113.433,112.764,113.187,ok,1297375200,26919
114,113.017,113.023,113.017,113.017,ok,1297461600,8
115,112.742,113.067,112.694,113.017,ok,1297548000,2511
116,112.381,112.96,112.085,112.752,ok,1297634400,26670
117,112.966,113.39,112.304,112.384,ok,1297720800,28004
118,113.533,113.636,112.891,112.971,ok,1297807200,31041
119,113.362,113.666,113.05,113.53,ok,1297893600,26828
120,113.849,113.902,112.941,113.355,ok,1297980000,23314
121,113.849,113.849,113.849,113.849,ok,1298066400,12
122,113.788,113.928,113.708,113.849,ok,1298152800,1240
123,113.715,113.957,113.557,113.792,ok,1298239200,15782
124,112.976,114.218,112.227,113.711,ok,1298325600,34605
125,113.427,113.819,112.97,112.98,ok,1298412000,32981
126,113.002,113.529,112.186,113.43,ok,1298498400,30849
127,112.296,113.45,112.182,113.006,ok,1298584800,25013
128,112.285,112.292,112.285,112.292,ok,1298671200,17
129,112.333,112.405,112.243,112.285,ok,1298757600,778
130,112.899,113.343,111.953,112.337,ok,1298844000,27456
131,112.757,113.717,112.724,112.896,ok,1298930400,29435
132,113.507,113.561,112.524,112.76,ok,1299016800,26131
133,115.145,115.152,113.096,113.503,ok,1299103200,29610
134,115.084,115.974,114.863,115.141,ok,1299189600,31097
135,115.088,115.088,115.088,115.088,ok,1299276000,1
136,115.168,115.18,114.961,115.088,ok,1299362400,581
137,114.862,115.249,114.549,115.162,ok,1299448800,21531
138,114.928,115.211,114.549,114.865,ok,1299535200,22277
139,115.063,115.248,114.747,114.925,ok,1299621600,21687
140,114.482,115.242,114.199,115.06,ok,1299708000,29737
141,113.783,115.004,112.922,114.476,ok,1299794400,37849
142,113.749,113.764,113.749,113.764,ok,1299880800,17
143,114.011,114.591,113.699,113.749,ok,1299967200,4610
144,114.203,114.836,112.467,114.001,ok,1300050000,49372
145,112.98,114.656,111.955,114.2,ok,1300136400,59240
146,110.607,113.476,110.554,112.983,ok,1300222800,52998
147,110.599,111.254,106.544,110.61,ok,1300309200,111705
148,114.231,115.545,110.506,110.604,ok,1300395600,87111
149,114.251,114.251,114.24,114.24,ok,1300482000,15
150,114.815,114.834,114.19,114.251,ok,1300568400,1528
151,115.237,115.401,114.447,114.812,ok,1300654800,32098
152,114.927,115.535,114.823,115.232,ok,1300741200,26735
153,113.968,115.038,113.848,114.924,ok,1300827600,32619
154,114.776,114.956,113.544,113.964,ok,1300914000,28231
155,114.569,115.207,114.431,114.779,ok,1301000400,27665
156,114.57,114.57,114.563,114.566,ok,1301086800,15
157,114.254,114.57,114.123,114.57,ok,1301173200,1976
158,115.069,115.301,114.137,114.258,ok,1301259600,24366
159,116.377,116.377,114.806,115.065,ok,1301346000,27390
160,117.085,117.269,116.207,116.38,ok,1301432400,32264
161,117.676,117.975,116.732,117.09,ok,1301518800,35153
162,119.624,119.786,117.682,117.685,ok,1301605200,39914
163,119.624,119.624,119.621,119.621,ok,1301691600,12
164,119.755,119.814,119.467,119.624,ok,1301778000,773
165,119.521,120.045,119.179,119.758,ok,1301864400,25737
166,120.688,120.708,119.319,119.524,ok,1301950800,29635
167,122.508,122.607,120.684,120.684,ok,1302037200,35886
168,121.474,122.539,120.745,122.515,ok,1302123600,42854
169,122.727,123.075,121.331,121.471,ok,1302210000,36563
170,122.577,122.73,122.577,122.73,ok,1302296400,23
171,122.782,122.911,122.557,122.577,ok,1302382800,1600
172,122.107,123.315,122.005,122.779,ok,1302469200,31709
173,120.978,122.393,120.152,122.103,ok,1302555600,51431
174,121.074,122.158,120.759,120.972,ok,1302642000,40482
175,120.952,121.358,119.253,121.07,ok,1302728400,45231
176,119.91,121.47,119.681,120.957,ok,1302814800,36554
177,119.91,119.91,119.91,119.91,ok,1302901200,11
178,119.878,119.966,119.717,119.91,ok,1302987600,648
179,117.642,120.051,116.466,119.881,ok,1303074000,44747
180,118.367,118.416,117.082,117.645,ok,1303160400,37856
181,119.881,120.382,118.266,118.361,ok,1303246800,42558
182,119.101,120.256,118.622,119.89,ok,1303333200,40357
183,119.201,119.703,118.82,119.104,ok,1303419600,21620
184,119.201,119.201,119.201,119.201,ok,1303506000,13
185,119.11,119.201,119.045,119.201,ok,1303592400,233
186,119.3,120.027,119.054,119.103,ok,1303678800,26888
187,119.41,119.893,118.495,119.297,ok,1303765200,34950
188,121.448,121.458,119.343,119.407,ok,1303851600,46022
189,120.818,121.827,120.391,121.445,ok,1303938000,41409
190,120.165,121.126,120.01,120.815,ok,1304024400,24370
191,120.165,120.165,120.165,120.165,ok,1304110800,12
