,c,h,l,o,s,t,v
0,8.15325,8.1735,8.14264,8.15225,ok,1287435600,23499
1,8.12673,8.17766,8.12574,8.1535,ok,1287522000,31848
2,8.14074,8.153,8.12254,8.1267,ok,1287608400,30091
3,8.07835,8.16412,8.07622,8.14105,ok,1287694800,30331
4,8.0797,8.0797,8.0797,8.0797,ok,1287781200,1
5,8.08499,8.09188,8.07328,8.09188,ok,1287867600,183
6,8.08699,8.10729,8.06271,8.0845,ok,1287954000,29632
7,8.1248,8.14454,8.06587,8.08675,ok,1288040400,47279
8,8.13007,8.16602,8.11025,8.1245,ok,1288126800,40033
9,8.20133,8.21671,8.11203,8.1303,ok,1288213200,27206
10,8.146,8.25627,8.14013,8.2015,ok,1288299600,48279
11,8.14234,8.16219,8.13506,8.158,ok,1288472400,327
12,8.16421,8.18068,8.12478,8.1425,ok,1288558800,24226
13,8.1871,8.2087,8.13204,8.16325,ok,1288645200,32221
14,8.17918,8.22114,8.17057,8.1875,ok,1288731600,24005
15,8.14551,8.19326,8.12468,8.17934,ok,1288818000,34664
16,8.07185,8.1645,8.07048,8.1445,ok,1288904400,35104
17,8.06718,8.0775,8.06657,8.0775,ok,1289077200,52
18,8.08947,8.10261,8.0669,8.0669,ok,1289167200,31650
19,8.0583,8.09425,8.04103,8.0898,ok,1289253600,37166
20,8.07218,8.08786,8.04574,8.0579,ok,1289340000,38991
21,8.10081,8.12396,8.06294,8.0737,ok,1289426400,27665
22,8.14111,8.15774,8.09558,8.10087,ok,1289512800,37190
23,8.14563,8.14802,8.13964,8.14802,ok,1289685600,249
24,8.12471,8.18256,8.12266,8.14575,ok,1289772000,33143
25,8.18338,8.20578,8.12183,8.12477,ok,1289858400,41291
26,8.15252,8.21222,8.1505,8.18334,ok,1289944800,31817
27,8.15849,8.17476,8.13791,8.1538,ok,1290031200,27733
28,8.18936,8.20209,8.15585,8.15875,ok,1290117600,30916
29,8.18317,8.18481,8.18034,8.1805,ok,1290290400,61
30,8.18751,8.21752,8.16365,8.183,ok,1290376800,26751
31,8.15642,8.20697,8.15494,8.18688,ok,1290463200,33953
32,8.11969,8.17435,8.11493,8.1567,ok,1290549600,38083
33,8.12935,8.14883,8.11322,8.11976,ok,1290636000,22897
34,8.14251,8.18055,8.11958,8.12941,ok,1290722400,28384
35,8.142,8.142,8.142,8.142,ok,1290808800,1
36,8.16029,8.16874,8.13458,8.14987,ok,1290895200,492
37,8.07561,8.1653,8.07377,8.16025,ok,1290981600,40127
38,8.05652,8.09756,8.05439,8.07593,ok,1291068000,37732
39,8.05727,8.09027,8.04436,8.05644,ok,1291154400,33219
40,8.03505,8.08379,8.01826,8.05725,ok,1291240800,27836
41,7.97478,8.03715,7.97418,8.03478,ok,1291327200,30481
42,7.98496,7.99912,7.98077,7.9905,ok,1291500000,56
43,7.97654,8.00134,7.9598,7.9854,ok,1291586400,31696
44,7.96033,7.98594,7.95532,7.97691,ok,1291672800,41598
45,7.96562,7.98714,7.94812,7.9615,ok,1291759200,32879
46,7.98903,7.99386,7.94353,7.9657,ok,1291845600,35450
47,7.9332,7.99247,7.93038,7.98894,ok,1291932000,29079
48,7.93598,7.93795,7.93075,7.93091,ok,1292104800,67
49,7.92362,7.94831,7.92362,7.9352,ok,1292191200,33464
50,7.88448,7.93254,7.88325,7.9237,ok,1292277600,37296
51,7.88771,7.91449,7.85773,7.88505,ok,1292364000,43570
52,7.87472,7.90249,7.87158,7.88855,ok,1292450400,29316
53,7.88493,7.91404,7.86914,7.87449,ok,1292536800,27780
54,7.87607,7.88662,7.87573,7.88662,ok,1292709600,36
55,7.84742,7.88653,7.84412,7.8758,ok,1292796000,24251
56,7.83533,7.86911,7.83389,7.8475,ok,1292882400,25557
57,7.84299,7.87558,7.83227,7.8361,ok,1292968800,23894
58,7.83312,7.85317,7.82472,7.84335,ok,1293055200,16605
59,7.81591,7.84165,7.81448,7.83314,ok,1293141600,6868
60,7.8235,7.8235,7.8235,7.8235,ok,1293228000,1
61,7.8211,7.82925,7.81778,7.82925,ok,1293314400,136
62,7.82136,7.85038,7.82009,7.8209,ok,1293400800,9834
63,7.81189,7.83702,7.80576,7.82193,ok,1293487200,17958
64,7.81349,7.83112,7.80465,7.81212,ok,1293573600,15123
65,7.81378,7.82612,7.8025,7.81357,ok,1293660000,13756
66,7.7833,7.82591,7.77043,7.81375,ok,1293746400,9712
67,7.77328,7.785,7.77328,7.785,ok,1293919200,57
68,7.78073,7.79392,7.76752,7.773,ok,1294005600,18076
69,7.79704,7.83366,7.77596,7.78071,ok,1294092000,38014
70,7.75711,7.81673,7.75711,7.79727,ok,1294178400,31965
71,7.74523,7.78153,7.74164,7.75722,ok,1294264800,34952
72,7.72037,7.76159,7.71462,7.7451,ok,1294351200,34794
73,7.71882,7.73186,7.71859,7.72864,ok,1294524000,91
74,7.73313,7.75001,7.70137,7.7194,ok,1294610400,33749
75,7.7154,7.74076,7.71216,7.733,ok,1294696800,33320
76,7.751,7.75439,7.7042,7.7144,ok,1294783200,34404
77,7.8423,7.84532,7.74269,7.75119,ok,1294869600,43892
78,7.81095,7.88658,7.79993,7.84178,ok,1294956000,42410
79,7.81444,7.8149,7.80113,7.80883,ok,1295128800,45
80,7.78632,7.81993,7.77864,7.81425,ok,1295215200,23909
81,7.7973,7.84191,7.78027,7.7863,ok,1295301600,29322
82,7.83623,7.85092,7.79678,7.79709,ok,1295388000,31918
83,7.90721,7.91224,7.8246,7.83628,ok,1295474400,40827
84,7.91542,7.94417,7.87612,7.90752,ok,1295560800,35989
85,7.91528,7.91552,7.91523,7.91552,ok,1295647200,5
86,7.90628,7.9151,7.89825,7.89825,ok,1295733600,118
87,7.88645,7.92162,7.8709,7.9064,ok,1295820000,30770
88,7.87923,7.89422,7.84629,7.881,ok,1295906400,37179
89,7.8893,7.89911,7.84241,7.8792,ok,1295992800,40594
90,7.96042,7.96225,7.88669,7.88903,ok,1296079200,35858
91,7.90929,7.96947,7.89812,7.96045,ok,1296165600,34811
92,7.91,7.91,7.91,7.91,ok,1296252000,13
93,7.91528,7.91632,7.91,7.91,ok,1296338400,45
94,7.9039,7.9468,7.89822,7.91642,ok,1296424800,32812
95,7.87828,7.91942,7.86539,7.90381,ok,1296511200,48090
96,7.8846,7.91479,7.87331,7.87813,ok,1296597600,35473
97,7.8226,7.9037,7.80538,7.8849,ok,1296684000,32727
98,7.81131,7.83339,7.80323,7.82247,ok,1296770400,28880
99,7.81131,7.81131,7.81131,7.81131,ok,1296856800,12
100,7.8137,7.8174,7.81131,7.81131,ok,1296943200,66
101,7.84832,7.85932,7.81346,7.81346,ok,1297029600,29922
102,7.86271,7.88745,7.83217,7.84803,ok,1297116000,29749
103,7.90185,7.90765,7.85096,7.86263,ok,1297202400,36185
104,7.91914,7.95269,7.88843,7.90168,ok,1297288800,44681
105,7.9195,7.96282,7.91312,7.91865,ok,1297375200,35898
106,7.9195,7.9195,7.9195,7.9195,ok,1297461600,3
107,7.91897,7.92174,7.9175,7.9195,ok,1297548000,45
108,7.86005,7.94894,7.85638,7.919,ok,1297634400,31187
109,7.84907,7.8912,7.8283,7.85985,ok,1297720800,37388
110,7.76347,7.86289,7.76281,7.84934,ok,1297807200,33306
111,7.75794,7.80796,7.74387,7.76353,ok,1297893600,47838
112,7.7507,7.77259,7.74381,7.75801,ok,1297980000,30148
113,7.7507,7.7507,7.7507,7.7507,ok,1298066400,13
