,c,h,l,o,s,t,v
0,1.84372,1.85461,1.84065,1.84468,ok,1287435600,55208
1,1.84912,1.85702,1.84138,1.84455,ok,1287522000,45820
2,1.86616,1.86992,1.84786,1.8498,ok,1287608400,48190
3,1.86566,1.8703,1.85684,1.86606,ok,1287694800,36025
4,1.86599,1.86599,1.86587,1.86587,ok,1287781200,2
5,1.86113,1.87128,1.8576,1.86569,ok,1287867600,1150
6,1.85596,1.86816,1.8529,1.86087,ok,1287954000,35612
7,1.84931,1.85756,1.84693,1.8553,ok,1288040400,41103
8,1.84692,1.85704,1.84423,1.84921,ok,1288126800,50327
9,1.84705,1.84967,1.84099,1.84685,ok,1288213200,38722
10,1.81665,1.85434,1.8146,1.84713,ok,1288299600,45694
11,1.81974,1.82358,1.81694,1.8174,ok,1288472400,1297
12,1.81036,1.82759,1.80749,1.82005,ok,1288558800,33708
13,1.81863,1.8234,1.80731,1.81057,ok,1288645200,41628
14,1.81215,1.82143,1.80527,1.81851,ok,1288731600,50684
15,1.78754,1.8165,1.78435,1.81224,ok,1288818000,44205
16,1.76088,1.79282,1.75705,1.78759,ok,1288904400,43794
17,1.76085,1.76095,1.76085,1.76095,ok,1288990800,2
18,1.76761,1.77027,1.75835,1.75835,ok,1289077200,1624
19,1.76593,1.77783,1.76178,1.76792,ok,1289167200,37125
20,1.77053,1.77639,1.75862,1.76605,ok,1289253600,49104
21,1.75993,1.77763,1.75523,1.77047,ok,1289340000,59893
22,1.75105,1.76708,1.74765,1.76011,ok,1289426400,41608
23,1.76733,1.77202,1.74751,1.75184,ok,1289512800,58532
24,1.76109,1.76965,1.7585,1.76612,ok,1289685600,2265
25,1.75762,1.78026,1.74888,1.7612,ok,1289772000,41917
26,1.75634,1.76738,1.75439,1.7575,ok,1289858400,53823
27,1.75568,1.76639,1.75177,1.75628,ok,1289944800,37904
28,1.75233,1.75946,1.74884,1.75606,ok,1290031200,36929
29,1.75321,1.76448,1.75101,1.75213,ok,1290117600,33873
30,1.75356,1.75356,1.75356,1.75356,ok,1290204000,1
31,1.75654,1.76116,1.75265,1.75567,ok,1290290400,2140
32,1.76481,1.78151,1.75517,1.75665,ok,1290376800,41760
33,1.76135,1.77354,1.75018,1.76489,ok,1290463200,55483
34,1.75456,1.76311,1.74791,1.76128,ok,1290549600,48830
35,1.75733,1.76056,1.74762,1.75449,ok,1290636000,32201
36,1.76284,1.76846,1.75048,1.75703,ok,1290722400,42480
37,1.76301,1.76301,1.76266,1.76266,ok,1290808800,3
38,1.76458,1.7697,1.7611,1.76492,ok,1290895200,3866
39,1.75923,1.7707,1.75496,1.76471,ok,1290981600,45455
40,1.74806,1.76374,1.74297,1.75909,ok,1291068000,54444
41,1.7539,1.75879,1.74382,1.74796,ok,1291154400,49376
42,1.7485,1.75796,1.74139,1.75396,ok,1291240800,47337
43,1.7482,1.75973,1.74377,1.74855,ok,1291327200,41595
44,1.74885,1.75343,1.74456,1.74687,ok,1291500000,1436
45,1.74669,1.75452,1.74342,1.74925,ok,1291586400,37063
46,1.75117,1.75422,1.74411,1.74675,ok,1291672800,46180
47,1.77345,1.78154,1.74956,1.75191,ok,1291759200,47612
48,1.76798,1.77975,1.76384,1.77388,ok,1291845600,43793
49,1.76765,1.77083,1.75901,1.7679,ok,1291932000,28772
50,1.76772,1.76772,1.76772,1.76772,ok,1292018400,1
51,1.76718,1.77101,1.7621,1.76785,ok,1292104800,1348
52,1.78235,1.7838,1.75863,1.7675,ok,1292191200,29375
53,1.77929,1.78814,1.7749,1.78229,ok,1292277600,40014
54,1.7859,1.79399,1.77642,1.77886,ok,1292364000,45351
55,1.78839,1.80045,1.78396,1.78602,ok,1292450400,39003
56,1.78781,1.80502,1.78192,1.78859,ok,1292536800,33830
57,1.79013,1.79102,1.78177,1.78674,ok,1292709600,1127
58,1.76914,1.79054,1.76419,1.79033,ok,1292796000,30654
59,1.75985,1.77293,1.75744,1.76902,ok,1292882400,31933
60,1.76822,1.77258,1.75753,1.75977,ok,1292968800,31338
61,1.75457,1.76944,1.74654,1.76828,ok,1293055200,26325
62,1.74864,1.75736,1.74608,1.75449,ok,1293141600,10915
63,1.74875,1.74891,1.74864,1.74891,ok,1293228000,4
64,1.75384,1.75528,1.75085,1.75225,ok,1293314400,227
65,1.75363,1.76095,1.7506,1.75375,ok,1293400800,16651
66,1.73522,1.76462,1.724,1.75395,ok,1293487200,24218
67,1.72049,1.73758,1.71623,1.73535,ok,1293573600,23949
68,1.72428,1.72993,1.7166,1.7202,ok,1293660000,23922
69,1.71206,1.72831,1.70868,1.7244,ok,1293746400,24661
70,1.71285,1.71311,1.71285,1.71311,ok,1293832800,2
71,1.71657,1.71798,1.70878,1.71376,ok,1293919200,875
72,1.72725,1.72764,1.70789,1.71665,ok,1294005600,23032
73,1.73547,1.75387,1.72396,1.72713,ok,1294092000,41054
74,1.73644,1.74014,1.72415,1.73535,ok,1294178400,45422
75,1.71799,1.73818,1.71471,1.73637,ok,1294264800,39983
76,1.69578,1.71987,1.69176,1.71808,ok,1294351200,46351
77,1.69444,1.69444,1.69444,1.69444,ok,1294437600,1
78,1.69729,1.70098,1.69153,1.70098,ok,1294524000,2006
79,1.69569,1.70489,1.69335,1.69737,ok,1294610400,34238
80,1.70537,1.70987,1.69466,1.6956,ok,1294696800,41206
81,1.71845,1.72594,1.70435,1.70521,ok,1294783200,42428
82,1.73215,1.73876,1.70923,1.71851,ok,1294869600,43131
83,1.7444,1.7504,1.72703,1.73276,ok,1294956000,40364
84,1.7442,1.7442,1.7442,1.7442,ok,1295042400,1
85,1.74123,1.74667,1.73978,1.74667,ok,1295128800,1153
86,1.72073,1.74149,1.71546,1.74145,ok,1295215200,26908
87,1.73386,1.74155,1.71858,1.72094,ok,1295301600,36581
88,1.75183,1.75223,1.73213,1.73391,ok,1295388000,37285
89,1.77883,1.78103,1.75161,1.75178,ok,1295474400,51818
90,1.79135,1.79745,1.77645,1.779,ok,1295560800,37733
91,1.7902,1.79113,1.7902,1.79113,ok,1295647200,6
92,1.7966,1.79758,1.78824,1.78874,ok,1295733600,1477
93,1.78631,1.79678,1.78372,1.79666,ok,1295820000,30628
94,1.7792,1.78945,1.77751,1.7864,ok,1295906400,40627
95,1.77393,1.78963,1.77284,1.77926,ok,1295992800,39262
96,1.77806,1.78313,1.76989,1.77402,ok,1296079200,39241
97,1.75616,1.78148,1.75604,1.77793,ok,1296165600,34402
98,1.75616,1.75616,1.75616,1.75616,ok,1296252000,12
99,1.76191,1.76475,1.75468,1.75616,ok,1296338400,1977
100,1.77112,1.77981,1.75754,1.76199,ok,1296424800,34350
101,1.76927,1.77731,1.76631,1.77121,ok,1296511200,36515
102,1.78541,1.78799,1.76163,1.76935,ok,1296597600,31693
103,1.76245,1.79099,1.7601,1.78567,ok,1296684000,34004
104,1.76083,1.77238,1.75361,1.76239,ok,1296770400,31391
105,1.76076,1.76076,1.76076,1.76076,ok,1296856800,13
106,1.76087,1.76523,1.75902,1.76076,ok,1296943200,1017
107,1.76372,1.77162,1.75509,1.76092,ok,1297029600,27209
108,1.75746,1.7655,1.75033,1.76361,ok,1297116000,33850
109,1.77736,1.78057,1.75587,1.75756,ok,1297202400,32227
110,1.77895,1.78346,1.77175,1.77743,ok,1297288800,32170
111,1.77947,1.79088,1.7768,1.7789,ok,1297375200,35828
112,1.77929,1.77929,1.77868,1.77868,ok,1297461600,9
113,1.78503,1.78503,1.77265,1.77929,ok,1297548000,2046
114,1.78198,1.78933,1.777,1.78512,ok,1297634400,27028
115,1.79325,1.79772,1.78045,1.7821,ok,1297720800,35359
116,1.79721,1.80475,1.79091,1.79319,ok,1297807200,36713
117,1.79262,1.80163,1.7872,1.79726,ok,1297893600,30918
118,1.79481,1.79727,1.77871,1.79255,ok,1297980000,28886
119,1.79481,1.79481,1.79481,1.79481,ok,1298066400,12
120,1.7926,1.79731,1.7907,1.79481,ok,1298152800,1028
121,1.79033,1.7977,1.78584,1.79254,ok,1298239200,21252
122,1.82825,1.83169,1.78854,1.79047,ok,1298325600,54549
123,1.84307,1.84973,1.82305,1.82816,ok,1298412000,44873
124,1.84594,1.84908,1.83709,1.84315,ok,1298498400,40936
125,1.82671,1.848,1.82598,1.84581,ok,1298584800,31344
126,1.82671,1.82671,1.82671,1.82671,ok,1298671200,14
127,1.83018,1.83478,1.82461,1.82671,ok,1298757600,864
128,1.83444,1.84199,1.82204,1.83026,ok,1298844000,32778
129,1.84327,1.84422,1.832,1.83452,ok,1298930400,35683
130,1.86509,1.8693,1.84087,1.8432,ok,1299016800,42277
131,1.88473,1.88643,1.85472,1.86499,ok,1299103200,37249
132,1.89247,1.90092,1.88459,1.88467,ok,1299189600,34734
133,1.8926,1.8926,1.8926,1.8926,ok,1299276000,1
134,1.89512,1.90232,1.89089,1.8926,ok,1299362400,1542
135,1.89507,1.90218,1.89081,1.89494,ok,1299448800,26785
