,c,h,l,o,s,t,v
0,3.9658,3.97426,3.91444,3.92111,ok,1287435600,27067
1,3.94616,3.97216,3.94616,3.96635,ok,1287522000,29429
2,3.97546,3.98512,3.94064,3.9456,ok,1287608400,26862
3,3.9375,3.98025,3.93566,3.97557,ok,1287694800,23841
4,3.94178,3.94178,3.93168,3.93168,ok,1287867600,37
5,3.9232,3.96617,3.9213,3.9421,ok,1287954000,29260
6,3.9283,3.94112,3.92153,3.9236,ok,1288040400,24955
7,3.9562,3.96965,3.92699,3.92745,ok,1288126800,27216
8,3.96929,3.97738,3.94903,3.9561,ok,1288213200,22270
9,3.94216,3.99892,3.94189,3.97,ok,1288299600,29764
10,3.94563,3.94563,3.94,3.94,ok,1288472400,21
11,3.96322,3.97535,3.9455,3.9455,ok,1288558800,11998
12,3.94127,3.96624,3.9398,3.9607,ok,1288645200,23400
13,3.90675,3.94585,3.90514,3.9416,ok,1288731600,24846
14,3.89525,3.92071,3.88904,3.907,ok,1288818000,29357
15,3.88666,3.93011,3.88666,3.8959,ok,1288904400,27360
16,3.8874,3.89563,3.8865,3.89563,ok,1289077200,32
17,3.92707,3.93861,3.8874,3.8875,ok,1289167200,22610
18,3.89811,3.94277,3.88839,3.9277,ok,1289253600,26175
19,3.88827,3.90498,3.87486,3.89813,ok,1289340000,27539
20,3.92539,3.93728,3.87938,3.88851,ok,1289426400,23820
21,3.91862,3.95739,3.91692,3.92595,ok,1289512800,36679
22,3.91936,3.91936,3.91936,3.91936,ok,1289599200,1
23,3.92262,3.92506,3.90725,3.914,ok,1289685600,115
24,3.92193,3.95861,3.92019,3.9231,ok,1289772000,22439
25,3.96205,3.96691,3.92016,3.92191,ok,1289858400,35208
26,3.94823,3.96643,3.9462,3.96163,ok,1289944800,26763
27,3.92812,3.95354,3.92727,3.9482,ok,1290031200,30232
28,3.9109,3.94225,3.91025,3.92815,ok,1290117600,18040
29,3.91139,3.91437,3.90768,3.91344,ok,1290290400,107
30,3.94075,3.95397,3.91109,3.91125,ok,1290376800,19835
31,3.97528,3.98537,3.94135,3.94135,ok,1290463200,38704
32,3.9554,3.98036,3.95348,3.975,ok,1290549600,35157
33,3.97424,3.98051,3.95457,3.95549,ok,1290636000,16839
34,4.01122,4.04769,3.9708,3.97421,ok,1290722400,37808
35,4.01363,4.01367,4.0013,4.0013,ok,1290895200,29
36,4.08253,4.10679,4.01283,4.0138,ok,1290981600,44097
37,4.01818,4.09498,4.01799,4.08239,ok,1291068000,51080
38,3.99412,4.02639,3.99412,4.01775,ok,1291154400,36256
39,3.98016,4.02924,3.9797,3.99443,ok,1291240800,43384
40,3.9532,4.00585,3.95099,3.97991,ok,1291327200,31708
41,3.9533,3.9533,3.9533,3.9533,ok,1291413600,1
42,3.9569,3.95852,3.94428,3.94428,ok,1291500000,33
43,4.00228,4.0271,3.9569,3.95704,ok,1291586400,33015
44,4.0196,4.02658,4.00118,4.0021,ok,1291672800,28520
45,4.02362,4.06396,4.0186,4.01865,ok,1291759200,27733
46,4.02919,4.03791,4.01845,4.0238,ok,1291845600,20280
47,4.002,4.04349,3.99267,4.0289,ok,1291932000,28480
48,4.00575,4.0059,3.9938,3.9938,ok,1292104800,41
49,3.98957,4.03606,3.98951,4.0059,ok,1292191200,15625
50,3.98403,3.99747,3.97814,3.9894,ok,1292277600,25722
51,3.98794,4.00035,3.97079,3.9848,ok,1292364000,23153
52,3.98096,3.99567,3.97607,3.9875,ok,1292450400,24441
53,3.95852,3.99658,3.95761,3.9815,ok,1292536800,20559
54,3.96219,3.96515,3.95774,3.96515,ok,1292709600,62
55,3.9985,4.00236,3.96195,3.96195,ok,1292796000,14223
56,3.99892,4.00748,3.98086,3.9945,ok,1292882400,15015
57,3.98386,4.00178,3.97855,3.9993,ok,1292968800,16221
58,3.95891,3.98639,3.95843,3.98375,ok,1293055200,11343
59,3.94306,3.96867,3.94296,3.959,ok,1293141600,3462
60,3.94241,3.94241,3.94175,3.94175,ok,1293314400,6
61,3.97605,3.98316,3.94244,3.9429,ok,1293400800,6390
62,3.98709,3.99269,3.96862,3.97607,ok,1293487200,7902
63,3.96239,3.99136,3.96055,3.98703,ok,1293573600,10940
64,3.95538,3.97231,3.95386,3.96218,ok,1293660000,11554
65,3.9395,3.97505,3.92491,3.9562,ok,1293746400,10596
66,3.94613,3.94988,3.93988,3.94,ok,1293919200,11
67,3.94529,3.96247,3.94433,3.9458,ok,1294005600,11037
68,3.88356,3.95099,3.88259,3.94553,ok,1294092000,22335
69,3.86614,3.91069,3.86592,3.88369,ok,1294178400,31210
70,3.8695,3.88371,3.84871,3.8663,ok,1294264800,17050
71,3.86195,3.88889,3.86059,3.86969,ok,1294351200,25688
72,3.86007,3.86181,3.86007,3.86142,ok,1294524000,24
73,3.90093,3.9105,3.85992,3.85992,ok,1294610400,25146
74,3.85279,3.90161,3.84904,3.90078,ok,1294696800,34586
75,3.83568,3.86025,3.82764,3.85293,ok,1294783200,16720
76,3.86561,3.87753,3.83396,3.83583,ok,1294869600,28029
77,3.85103,3.88613,3.85047,3.86485,ok,1294956000,20498
78,3.84619,3.85466,3.84597,3.85466,ok,1295128800,44
79,3.86442,3.87494,3.84606,3.84648,ok,1295215200,18550
