,c,h,l,o,s,t,v
0,9.33671,9.35773,9.26247,9.2895,ok,1287435600,34539
1,9.27005,9.35369,9.26563,9.3368,ok,1287522000,47137
2,9.29279,9.29677,9.2477,9.2692,ok,1287608400,36135
3,9.22925,9.29857,9.22172,9.2923,ok,1287694800,37439
4,9.20523,9.2275,9.20397,9.2275,ok,1287867600,130
5,9.19057,9.23015,9.18058,9.20825,ok,1287954000,39760
6,9.32246,9.34122,9.15489,9.19025,ok,1288040400,63614
7,9.32999,9.36113,9.28035,9.3221,ok,1288126800,59211
8,9.37927,9.38251,9.29568,9.3301,ok,1288213200,40560
9,9.29103,9.43249,9.28604,9.3792,ok,1288299600,44778
10,9.26363,9.298,9.24966,9.298,ok,1288472400,395
11,9.29253,9.30997,9.24311,9.2637,ok,1288558800,36185
12,9.3055,9.33573,9.25834,9.2928,ok,1288645200,39263
13,9.30327,9.35796,9.29169,9.3061,ok,1288731600,30500
14,9.26453,9.3038,9.24332,9.3036,ok,1288818000,31576
15,9.27252,9.33913,9.24967,9.26256,ok,1288904400,44914
16,9.27204,9.2745,9.26459,9.27188,ok,1289077200,86
17,9.31975,9.33112,9.25268,9.2683,ok,1289167200,47864
18,9.30167,9.35426,9.27443,9.3193,ok,1289253600,38143
19,9.27601,9.33497,9.26907,9.30065,ok,1289340000,43695
20,9.33682,9.3453,9.2709,9.2756,ok,1289426400,22950
21,9.39155,9.39675,9.32966,9.33684,ok,1289512800,52423
22,9.37629,9.3907,9.36352,9.3907,ok,1289685600,504
23,9.34725,9.41594,9.33584,9.37675,ok,1289772000,42493
24,9.38069,9.42566,9.3351,9.3478,ok,1289858400,51851
25,9.36427,9.42717,9.36386,9.38061,ok,1289944800,39128
26,9.36505,9.38325,9.34362,9.3645,ok,1290031200,38478
27,9.36975,9.39622,9.3547,9.36499,ok,1290117600,39731
28,9.37025,9.37025,9.37025,9.37025,ok,1290204000,1
29,9.37481,9.38015,9.37,9.37,ok,1290290400,67
30,9.37279,9.41429,9.3573,9.37525,ok,1290376800,28993
31,9.3219,9.40752,9.31817,9.37277,ok,1290463200,47617
32,9.25938,9.35038,9.25837,9.32219,ok,1290549600,41159
33,9.28457,9.30485,9.24188,9.25967,ok,1290636000,16834
34,9.26124,9.31693,9.25994,9.2851,ok,1290722400,32781
35,9.26075,9.26075,9.26075,9.26075,ok,1290808800,1
36,9.26263,9.28301,9.2605,9.26663,ok,1290895200,264
37,9.16349,9.27815,9.16117,9.26524,ok,1290981600,47598
38,9.12064,9.18688,9.11796,9.16361,ok,1291068000,50582
39,9.15061,9.17198,9.11703,9.1207,ok,1291154400,43236
40,9.12327,9.16509,9.11659,9.1508,ok,1291240800,40897
41,9.10753,9.14688,9.09955,9.12322,ok,1291327200,43545
42,9.1075,9.1075,9.1075,9.1075,ok,1291413600,1
43,9.11521,9.11943,9.10522,9.10975,ok,1291500000,72
44,9.1053,9.13013,9.09273,9.115,ok,1291586400,27685
45,9.1455,9.14773,9.08523,9.10415,ok,1291672800,44596
46,9.11268,9.1649,9.10459,9.144,ok,1291759200,38629
47,9.12366,9.14377,9.10226,9.1103,ok,1291845600,33687
48,9.13175,9.14345,9.09888,9.12374,ok,1291932000,24140
49,9.13695,9.13995,9.12203,9.12913,ok,1292104800,170
50,9.14415,9.16093,9.11207,9.1372,ok,1292191200,32448
51,9.09787,9.15639,9.09347,9.1443,ok,1292277600,41373
52,9.04228,9.10996,9.04162,9.09895,ok,1292364000,45200
53,9.00735,9.07322,9.00556,9.04215,ok,1292450400,36936
54,9.01363,9.03862,8.99073,9.0076,ok,1292536800,33980
55,9.01019,9.01175,8.99342,8.99342,ok,1292709600,36
56,8.98948,9.02857,8.9789,9.0105,ok,1292796000,37394
57,8.95954,8.99912,8.94605,8.98675,ok,1292882400,38864
58,8.98313,8.99506,8.94831,8.9585,ok,1292968800,34100
59,8.98108,8.99435,8.94845,8.98425,ok,1293055200,23472
60,8.97864,8.99617,8.96633,8.97748,ok,1293141600,6122
61,8.98378,8.98519,8.96684,8.97322,ok,1293314400,96
62,8.96393,8.99825,8.95731,8.9837,ok,1293400800,14556
63,9.00696,9.0144,8.95883,8.96373,ok,1293487200,33147
64,9.00584,9.01259,8.96573,9.00666,ok,1293573600,17877
65,8.96248,9.01759,8.95601,9.00602,ok,1293660000,23347
66,8.9744,9.01616,8.95503,8.96252,ok,1293746400,10291
67,8.97305,8.97305,8.97305,8.97305,ok,1293832800,1
68,8.97246,8.97252,8.97246,8.97249,ok,1293919200,3
69,8.94718,8.97247,8.92995,8.9723,ok,1294005600,19484
70,8.94269,8.97767,8.92611,8.94725,ok,1294092000,38012
71,8.88872,8.95231,8.88793,8.94277,ok,1294178400,43499
72,8.91924,8.94441,8.88582,8.88874,ok,1294264800,39970
73,8.94405,8.96082,8.90677,8.91955,ok,1294351200,47626
74,8.93915,8.94508,8.92475,8.94411,ok,1294524000,118
75,8.90287,8.94781,8.90024,8.939,ok,1294610400,46971
76,8.88892,8.91833,8.86353,8.90228,ok,1294696800,50104
77,8.85794,8.88952,8.82802,8.8884,ok,1294783200,47037
78,8.95698,8.96517,8.84868,8.85816,ok,1294869600,47136
79,8.905,9.01065,8.88895,8.9575,ok,1294956000,48905
80,8.91409,8.91547,8.90617,8.9125,ok,1295128800,69
81,8.92368,8.93457,8.89061,8.9138,ok,1295215200,32480
82,8.89856,8.93419,8.89846,8.92403,ok,1295301600,32678
83,8.91914,8.93674,8.8959,8.8987,ok,1295388000,36727
84,8.96622,8.97331,8.90643,8.919,ok,1295474400,44678
85,8.962,9.0114,8.94563,8.96628,ok,1295560800,39345
86,8.96194,8.96194,8.96135,8.96178,ok,1295647200,4
87,8.96022,8.97026,8.9548,8.96042,ok,1295733600,79
88,8.96964,8.98402,8.94549,8.9599,ok,1295820000,31495
89,8.91097,8.97427,8.90161,8.97012,ok,1295906400,36284
90,8.85852,8.93021,8.85153,8.9252,ok,1295992800,50689
91,8.83037,8.87482,8.81912,8.85857,ok,1296079200,37960
92,8.875,8.89131,8.82757,8.83042,ok,1296165600,30063
93,8.875,8.875,8.875,8.875,ok,1296252000,12
94,8.86772,8.875,8.86551,8.875,ok,1296338400,462
95,8.82379,8.90491,8.81209,8.86798,ok,1296424800,41106
96,8.80206,8.82801,8.78326,8.82356,ok,1296511200,38705
97,8.85971,8.89079,8.79838,8.80183,ok,1296597600,38928
98,8.82322,8.8876,8.81162,8.85957,ok,1296684000,33170
99,8.79065,8.84227,8.79065,8.82382,ok,1296770400,29559
100,8.79065,8.79065,8.79065,8.79065,ok,1296856800,12
101,8.79275,8.79555,8.79065,8.79065,ok,1296943200,57
102,8.77054,8.8271,8.76287,8.79271,ok,1297029600,29450
103,8.7648,8.78664,8.75485,8.77062,ok,1297116000,31783
104,8.83148,8.83588,8.75995,8.76488,ok,1297202400,35084
105,8.78352,8.84713,8.78335,8.83155,ok,1297288800,36218
106,8.77505,8.83773,8.76624,8.7837,ok,1297375200,38086
107,8.77505,8.77505,8.77505,8.77505,ok,1297461600,3
108,8.77744,8.77755,8.77456,8.77505,ok,1297548000,35
109,8.74229,8.79012,8.732,8.7773,ok,1297634400,34650
110,8.73646,8.78409,8.71959,8.74217,ok,1297720800,46623
111,8.70337,8.76757,8.69874,8.73627,ok,1297807200,34577
112,8.70601,8.75175,8.70125,8.70334,ok,1297893600,38143
113,8.73945,8.7644,8.7049,8.70592,ok,1297980000,31039
114,8.73945,8.73945,8.73945,8.73945,ok,1298066400,13
115,8.74732,8.74732,8.73945,8.73945,ok,1298152800,59
116,8.78588,8.78973,8.74153,8.74726,ok,1298239200,21360
117,8.79815,8.83268,8.75974,8.78591,ok,1298325600,34485
118,8.78604,8.8152,8.76844,8.79795,ok,1298412000,27671
119,8.80831,8.83049,8.78265,8.78612,ok,1298498400,41902
120,8.82563,8.85157,8.79841,8.80788,ok,1298584800,28969
121,8.82475,8.826,8.82475,8.826,ok,1298671200,18
122,8.83517,8.84375,8.82475,8.82475,ok,1298757600,128
123,8.72726,8.84057,8.70201,8.83519,ok,1298844000,44558
124,8.72532,8.7345,8.69715,8.72715,ok,1298930400,41203
125,8.74882,8.77353,8.71724,8.72525,ok,1299016800,38296
126,8.82086,8.83856,8.72133,8.7492,ok,1299103200,43672
127,8.86625,8.88557,8.78835,8.82045,ok,1299189600,49828
128,8.86536,8.86625,8.85527,8.86625,ok,1299362400,48
129,8.87482,8.89641,8.85887,8.86554,ok,1299448800,34959
130,8.84732,8.88214,8.83006,8.87486,ok,1299535200,40040
131,8.78655,8.85814,8.78543,8.84724,ok,1299621600,25129
132,8.82935,8.8374,8.7842,8.78648,ok,1299708000,38334
133,8.7965,8.84015,8.79491,8.82926,ok,1299794400,32757
134,8.7965,8.7965,8.7965,8.7965,ok,1299880800,14
135,8.80966,8.81371,8.7965,8.7965,ok,1299967200,163
136,8.86297,8.88597,8.81,8.81,ok,1300050000,32297
137,8.95375,8.97941,8.86046,8.8632,ok,1300136400,64344
138,9.00494,9.02945,8.93658,8.95363,ok,1300222800,58459
139,8.99073,9.03188,8.97346,9.00532,ok,1300309200,53175
140,8.88526,9.01174,8.88141,8.99087,ok,1300395600,56793
141,8.88526,8.88526,8.88526,8.88526,ok,1300482000,12
142,8.88648,8.89075,8.87628,8.88526,ok,1300568400,66
143,8.91196,8.93078,8.8568,8.8866,ok,1300654800,31173
144,8.96127,8.96334,8.89571,8.91125,ok,1300741200,33847
145,8.93551,8.9645,8.92687,8.96125,ok,1300827600,29046
146,8.95902,8.97179,8.91401,8.93562,ok,1300914000,30369
147,8.97775,9.00598,8.94347,8.95913,ok,1301000400,31367
148,8.97775,8.97775,8.97775,8.97775,ok,1301086800,12
149,8.96628,8.97775,8.9575,8.97775,ok,1301173200,91
150,8.99312,9.02232,8.96625,8.96625,ok,1301259600,32803
151,8.93259,9.00877,8.93254,8.99301,ok,1301346000,31568
152,8.93256,8.95335,8.90968,8.93276,ok,1301432400,28056
153,8.94687,8.95627,8.91753,8.93263,ok,1301518800,32265
154,8.9535,8.96834,8.92292,8.94605,ok,1301605200,24984
155,8.9535,8.9535,8.95285,8.95285,ok,1301691600,12
156,8.93503,8.95886,8.93503,8.9535,ok,1301778000,111
157,8.99281,9.00163,8.93475,8.93519,ok,1301864400,19198
158,8.99929,9.03295,8.98416,8.99293,ok,1301950800,30947
159,9.02752,9.03343,8.9906,8.99932,ok,1302037200,31964
160,9.03516,9.07144,9.00999,9.02734,ok,1302123600,34987
161,8.97427,9.04574,8.96298,9.03509,ok,1302210000,34550
162,8.97418,8.97418,8.97418,8.97418,ok,1302296400,11
163,8.97462,8.97765,8.96748,8.97418,ok,1302382800,66
164,9.03482,9.04111,8.9424,8.97472,ok,1302469200,22458
165,9.11567,9.12249,9.02565,9.03475,ok,1302555600,44400
166,9.03509,9.12072,9.01502,9.1155,ok,1302642000,40889
167,9.00057,9.04341,8.98838,9.03505,ok,1302728400,38745
168,8.9165,9.00605,8.91446,9.00044,ok,1302814800,31412
169,8.9165,8.9165,8.9165,8.9165,ok,1302901200,11
170,8.92676,8.92676,8.9165,8.9165,ok,1302987600,40
171,8.96833,8.97966,8.91365,8.92687,ok,1303074000,27714
172,8.91453,8.97876,8.91214,8.96837,ok,1303160400,27817
173,8.89773,8.93642,8.87825,8.91461,ok,1303246800,31031
174,8.87699,8.92327,8.87031,8.89779,ok,1303333200,23437
175,8.88375,8.8981,8.8758,8.878,ok,1303419600,1928
176,8.88375,8.88375,8.88375,8.88375,ok,1303506000,13
177,8.86653,8.88375,8.86626,8.88375,ok,1303592400,61
178,8.8911,8.89182,8.85556,8.86662,ok,1303678800,11518
179,8.94839,8.95469,8.88094,8.89086,ok,1303765200,23578
180,8.92249,8.95162,8.91038,8.94824,ok,1303851600,30635
181,8.90986,8.98751,8.90153,8.92273,ok,1303938000,34618
182,8.937,8.95537,8.88882,8.90983,ok,1304024400,21954
183,8.937,8.937,8.937,8.937,ok,1304110800,12
184,8.93847,8.93904,8.937,8.937,ok,1304197200,26
185,8.91812,8.95139,8.9051,8.93855,ok,1304283600,15817
186,8.96043,8.97389,8.9016,8.91816,ok,1304370000,31602
187,9.03544,9.04267,8.95659,8.96057,ok,1304456400,37528
188,9.05756,9.074,9.01025,9.0357,ok,1304542800,49038
189,9.0205,9.06359,8.99372,9.05736,ok,1304629200,45309
190,9.0205,9.0205,9.0205,9.0205,ok,1304715600,12
191,9.02504,9.04723,9.01882,9.0205,ok,1304802000,304
192,8.98266,9.02945,8.96308,9.02507,ok,1304888400,43925
193,8.95833,9.00074,8.9418,8.98263,ok,1304974800,38462
194,8.98791,8.99149,8.94273,8.95826,ok,1305061200,39685
195,8.96606,9.00789,8.95101,8.98768,ok,1305147600,55526
196,9.00905,9.02179,8.96074,8.96645,ok,1305234000,34692
197,9.00905,9.00905,9.00905,9.00905,ok,1305320400,13
198,9.00468,9.00905,9.00165,9.00905,ok,1305406800,26
199,8.99015,9.02616,8.98016,9.00454,ok,1305493200,30674
200,9.00052,9.01698,8.97406,8.99007,ok,1305579600,36623
201,8.97163,9.00219,8.96541,9.00054,ok,1305666000,28490
202,8.94538,8.99557,8.93371,8.9718,ok,1305752400,33989
203,8.92247,8.95655,8.90803,8.94516,ok,1305838800,41407
204,8.92247,8.92247,8.92247,8.92247,ok,1305925200,12
205,8.91783,8.92247,8.916,8.92247,ok,1306011600,41
206,8.93452,8.94772,8.90381,8.91817,ok,1306098000,47229
207,8.93553,8.94693,8.90814,8.93486,ok,1306184400,42146
208,8.91731,8.94697,8.90007,8.93543,ok,1306270800,38919
209,8.8951,8.92502,8.88788,8.91734,ok,1306357200,35371
210,8.89579,8.91632,8.87919,8.89515,ok,1306443600,30978
211,8.89579,8.89579,8.89579,8.89579,ok,1306530000,12
212,8.89043,8.898,8.8875,8.89579,ok,1306616400,41
213,8.8852,8.9136,8.87989,8.89077,ok,1306702800,13146
214,8.8795,8.90111,8.87451,8.88509,ok,1306789200,31171
215,8.97493,8.98221,8.87477,8.87923,ok,1306875600,33804
216,8.98244,8.99688,8.95841,8.97483,ok,1306962000,31570
217,8.96382,9.03509,8.96098,8.98251,ok,1307048400,41832
218,8.96382,8.96382,8.96382,8.96382,ok,1307134800,12
219,8.96353,8.96382,8.9575,8.96382,ok,1307221200,80
220,9.01721,9.02411,8.9594,8.96235,ok,1307307600,24195
221,9.01782,9.02902,8.9966,9.01714,ok,1307394000,26935
222,9.02736,9.05627,9.00415,9.01788,ok,1307480400,46896
223,9.04695,9.06544,9.01425,9.02748,ok,1307566800,36473
224,9.068,9.11222,9.04273,9.047,ok,1307653200,48715
225,9.068,9.068,9.068,9.068,ok,1307739600,12
226,9.08424,9.08424,9.068,9.068,ok,1307826000,64
227,9.11441,9.13277,9.07892,9.08426,ok,1307912400,55439
228,9.15286,9.16215,9.08367,9.11437,ok,1307998800,48487
229,9.17622,9.19405,9.12036,9.15279,ok,1308085200,41135
230,9.1627,9.21612,9.15607,9.17619,ok,1308171600,56142
231,9.168,9.21695,9.15019,9.16275,ok,1308258000,45085
232,9.168,9.168,9.168,9.168,ok,1308344400,12
233,9.17288,9.1772,9.15701,9.168,ok,1308430800,169
234,9.1619,9.19541,9.14846,9.17254,ok,1308517200,33682
235,9.15613,9.17908,9.12937,9.16175,ok,1308603600,36525
236,9.13241,9.17081,9.12474,9.15633,ok,1308690000,33249
237,9.18968,9.2373,9.11607,9.13226,ok,1308776400,50738
238,9.2091,9.22545,9.16454,9.18987,ok,1308862800,31595
239,9.2091,9.2091,9.2091,9.2091,ok,1308949200,12
240,9.21307,9.2132,9.2045,9.2091,ok,1309035600,20
241,9.19198,9.23624,9.18532,9.21278,ok,1309122000,31932
242,9.24517,9.26904,9.18956,9.19205,ok,1309208400,48835
243,9.15239,9.26691,9.15172,9.24506,ok,1309294800,61268
244,9.17219,9.17441,9.14003,9.15229,ok,1309381200,49465
245,9.0917,9.17219,9.08263,9.17194,ok,1309467600,48038
246,9.0917,9.0917,9.0917,9.0917,ok,1309554000,12
247,9.09475,9.09485,9.08569,9.0917,ok,1309640400,61
248,9.09658,9.11387,9.06798,9.0946,ok,1309726800,33640
249,9.06919,9.11083,9.05187,9.09602,ok,1309813200,57116
250,9.09554,9.10951,9.04281,9.06912,ok,1309899600,56666
251,9.06514,9.10949,9.06514,9.09569,ok,1309986000,42720
252,9.0954,9.15121,9.0627,9.06519,ok,1310072400,56073
253,9.0954,9.0954,9.0954,9.0954,ok,1310158800,12
254,9.10026,9.10149,9.0954,9.0954,ok,1310245200,68
255,9.20291,9.20483,9.0902,9.10004,ok,1310331600,52924
256,9.19998,9.26434,9.16321,9.20275,ok,1310418000,86477
257,9.18144,9.24224,9.15607,9.20011,ok,1310504400,75949
258,9.19538,9.22698,9.15642,9.18101,ok,1310590800,46870
259,9.17655,9.23989,9.1762,9.1955,ok,1310677200,49147
260,9.17655,9.17655,9.17655,9.17655,ok,1310763600,12
