,c,h,l,o,s,t,v
0,1.80198,1.81778,1.80053,1.80928,ok,1287435600,48394
1,1.81872,1.82125,1.80065,1.80203,ok,1287522000,37637
2,1.81176,1.82304,1.80905,1.81864,ok,1287608400,40052
3,1.80807,1.81725,1.80478,1.81171,ok,1287694800,33167
4,1.80839,1.80839,1.80827,1.80827,ok,1287781200,2
5,1.80871,1.81389,1.8071,1.808,ok,1287867600,1334
6,1.80495,1.81879,1.80288,1.80866,ok,1287954000,28031
7,1.79647,1.8097,1.79585,1.8048,ok,1288040400,32831
8,1.79412,1.80262,1.79271,1.79651,ok,1288126800,38797
9,1.80443,1.80715,1.79324,1.79402,ok,1288213200,28941
10,1.8027,1.80768,1.79376,1.80484,ok,1288299600,28380
11,1.80443,1.80636,1.80202,1.80221,ok,1288472400,836
12,1.79422,1.80777,1.79162,1.8045,ok,1288558800,29566
13,1.80715,1.80931,1.79302,1.7943,ok,1288645200,26539
14,1.81738,1.82406,1.80275,1.80726,ok,1288731600,38986
15,1.82113,1.83108,1.81288,1.81733,ok,1288818000,32038
16,1.8024,1.82719,1.802,1.82117,ok,1288904400,35686
17,1.80228,1.80228,1.80228,1.80228,ok,1288990800,1
18,1.80554,1.80554,1.80055,1.80279,ok,1289077200,1590
19,1.79234,1.80859,1.78785,1.80565,ok,1289167200,32150
20,1.77668,1.79316,1.77388,1.79243,ok,1289253600,38308
21,1.77481,1.77952,1.76518,1.77662,ok,1289340000,44216
22,1.76178,1.77631,1.75884,1.77475,ok,1289426400,33683
23,1.77514,1.77956,1.75559,1.7617,ok,1289512800,49918
24,1.7751,1.7751,1.7751,1.7751,ok,1289599200,1
25,1.77792,1.77997,1.76905,1.77536,ok,1289685600,2280
26,1.76987,1.78793,1.76629,1.77802,ok,1289772000,34622
27,1.75984,1.77309,1.75582,1.76993,ok,1289858400,40189
28,1.75998,1.76566,1.75646,1.75979,ok,1289944800,27974
29,1.76755,1.76935,1.75927,1.75994,ok,1290031200,29625
30,1.77038,1.77903,1.76589,1.76761,ok,1290117600,27050
31,1.77006,1.77021,1.77006,1.77021,ok,1290204000,2
32,1.777,1.78047,1.76942,1.76942,ok,1290290400,2315
33,1.7671,1.78335,1.76291,1.77735,ok,1290376800,29425
34,1.75653,1.78099,1.75544,1.76714,ok,1290463200,42686
35,1.74621,1.75944,1.74321,1.75657,ok,1290549600,40253
36,1.74486,1.74899,1.73915,1.74614,ok,1290636000,23419
37,1.74605,1.75152,1.74293,1.74514,ok,1290722400,33163
38,1.74825,1.76053,1.74596,1.74612,ok,1290895200,5304
39,1.73052,1.74974,1.72615,1.7483,ok,1290981600,35976
40,1.71336,1.73184,1.71265,1.73044,ok,1291068000,42541
41,1.72101,1.72547,1.71111,1.71343,ok,1291154400,37071
42,1.72547,1.73071,1.71346,1.72096,ok,1291240800,34558
43,1.74634,1.74993,1.72518,1.72556,ok,1291327200,34455
44,1.74597,1.74628,1.74565,1.74628,ok,1291413600,3
45,1.74041,1.74901,1.74033,1.7453,ok,1291500000,1768
46,1.73636,1.74662,1.73028,1.74034,ok,1291586400,30008
47,1.73752,1.74457,1.73353,1.73589,ok,1291672800,32010
48,1.74219,1.74538,1.73414,1.73742,ok,1291759200,37560
49,1.73431,1.7459,1.7286,1.74212,ok,1291845600,31249
50,1.72744,1.73735,1.72576,1.73438,ok,1291932000,22453
51,1.72751,1.72751,1.72751,1.72751,ok,1292018400,1
52,1.72721,1.72932,1.7249,1.72593,ok,1292104800,770
53,1.74457,1.75108,1.72295,1.72715,ok,1292191200,23489
54,1.74205,1.75404,1.73899,1.74467,ok,1292277600,32746
55,1.74076,1.75208,1.73808,1.74179,ok,1292364000,35039
56,1.73977,1.74361,1.73594,1.74081,ok,1292450400,27232
57,1.7314,1.74974,1.72884,1.74001,ok,1292536800,25839
58,1.73155,1.73155,1.73148,1.73148,ok,1292623200,2
59,1.73214,1.73322,1.72768,1.73106,ok,1292709600,1097
60,1.72855,1.73922,1.72402,1.73219,ok,1292796000,23668
61,1.71814,1.73617,1.71611,1.72849,ok,1292882400,25098
62,1.71133,1.72368,1.70812,1.7183,ok,1292968800,22605
63,1.71138,1.71621,1.70532,1.71145,ok,1293055200,20193
64,1.70353,1.71332,1.7,1.71143,ok,1293141600,11518
65,1.70364,1.70379,1.70364,1.70379,ok,1293228000,2
66,1.7056,1.70678,1.70314,1.70431,ok,1293314400,181
67,1.70961,1.71187,1.70045,1.70586,ok,1293400800,15468
68,1.70418,1.72062,1.69897,1.70968,ok,1293487200,21683
69,1.70825,1.71272,1.69889,1.70431,ok,1293573600,17103
70,1.71153,1.71556,1.7073,1.70829,ok,1293660000,16939
71,1.71682,1.72111,1.70809,1.71149,ok,1293746400,20761
72,1.71615,1.71654,1.71615,1.71654,ok,1293832800,3
73,1.71236,1.71645,1.70782,1.71623,ok,1293919200,968
74,1.716,1.71902,1.70407,1.71232,ok,1294005600,18990
75,1.71211,1.7252,1.7109,1.71596,ok,1294092000,29010
76,1.69897,1.7149,1.69691,1.71199,ok,1294178400,33222
77,1.68333,1.70111,1.68237,1.69903,ok,1294264800,31630
78,1.6685,1.68717,1.6681,1.68327,ok,1294351200,36207
79,1.66686,1.67095,1.66506,1.66876,ok,1294524000,2380
80,1.68017,1.68366,1.66658,1.6669,ok,1294610400,29584
81,1.67737,1.68521,1.67288,1.68009,ok,1294696800,32472
82,1.68946,1.69293,1.67338,1.67733,ok,1294783200,34408
83,1.71741,1.71841,1.68667,1.68955,ok,1294869600,32355
84,1.72286,1.73129,1.71438,1.71735,ok,1294956000,33954
85,1.72267,1.72267,1.72267,1.72267,ok,1295042400,1
