,c,h,l,o,s,t,v
0,1.9692,1.98213,1.96777,1.96873,ok,1287435600,64738
1,1.98545,1.99096,1.96821,1.96938,ok,1287522000,58677
2,1.98446,1.99378,1.97702,1.98563,ok,1287608400,56569
3,1.97804,1.99249,1.97374,1.98416,ok,1287694800,49150
4,1.97838,1.97838,1.97838,1.97838,ok,1287781200,1
5,1.97769,1.9847,1.97455,1.97489,ok,1287867600,926
6,1.97254,1.99041,1.97183,1.97537,ok,1287954000,44643
7,1.97323,1.98385,1.97082,1.9723,ok,1288040400,52075
8,1.98142,1.99441,1.97008,1.97342,ok,1288126800,52931
9,1.98862,1.99401,1.9796,1.9811,ok,1288213200,48617
10,1.98886,1.99523,1.98247,1.98873,ok,1288299600,41922
11,1.98935,1.99215,1.98727,1.98843,ok,1288472400,945
12,1.97648,1.99811,1.9751,1.98928,ok,1288558800,44886
13,1.97747,1.98499,1.97177,1.97643,ok,1288645200,44841
14,1.97958,1.99236,1.97221,1.97756,ok,1288731600,52614
15,1.97767,1.9918,1.97404,1.97948,ok,1288818000,54690
16,1.95093,1.98554,1.94957,1.97773,ok,1288904400,57784
17,1.95113,1.95124,1.95113,1.95124,ok,1288990800,2
18,1.95351,1.95351,1.94769,1.94796,ok,1289077200,1577
19,1.95713,1.97876,1.95084,1.95364,ok,1289167200,49082
20,1.94616,1.96624,1.9443,1.9572,ok,1289253600,59538
21,1.9468,1.95621,1.94198,1.9462,ok,1289340000,65541
22,1.9594,1.9636,1.94591,1.94706,ok,1289426400,58003
23,1.96259,1.9762,1.95243,1.95977,ok,1289512800,78874
24,1.96255,1.96255,1.96255,1.96255,ok,1289599200,1
25,1.96338,1.96821,1.96001,1.96185,ok,1289685600,1968
26,1.96024,1.97747,1.95827,1.96345,ok,1289772000,51273
27,1.96969,1.98559,1.95727,1.96029,ok,1289858400,61592
28,1.96746,1.97849,1.96345,1.96963,ok,1289944800,53063
29,1.96599,1.9763,1.963,1.96727,ok,1290031200,46845
30,1.96204,1.97988,1.96079,1.96605,ok,1290117600,39438
31,1.96803,1.97453,1.95444,1.95454,ok,1290290400,1760
32,1.97742,1.98168,1.9673,1.96745,ok,1290376800,47336
33,1.98095,1.99618,1.96975,1.97752,ok,1290463200,72327
34,1.96635,1.98582,1.96537,1.98075,ok,1290549600,74985
35,1.96005,1.97269,1.95896,1.96655,ok,1290636000,35923
36,1.95919,1.97688,1.95834,1.95989,ok,1290722400,62086
37,1.96513,1.98034,1.96294,1.96328,ok,1290895200,3782
38,1.97006,1.97538,1.95977,1.96524,ok,1290981600,67928
39,1.94811,1.97543,1.94669,1.97017,ok,1291068000,76272
40,1.95129,1.96478,1.94764,1.94806,ok,1291154400,68407
41,1.95591,1.96341,1.9494,1.95138,ok,1291240800,64860
42,1.97057,1.99488,1.95249,1.9561,ok,1291327200,59516
43,1.97094,1.97094,1.97094,1.97094,ok,1291413600,1
44,1.9648,1.97533,1.96474,1.96749,ok,1291500000,1417
45,1.96636,1.97663,1.96473,1.96473,ok,1291586400,51045
46,1.96335,1.97603,1.96161,1.96615,ok,1291672800,54619
47,1.97677,1.9813,1.95861,1.96324,ok,1291759200,61246
48,1.99368,2.00149,1.97333,1.97698,ok,1291845600,55552
49,1.98216,1.99921,1.97719,1.99347,ok,1291932000,40832
50,1.98224,1.98224,1.98224,1.98224,ok,1292018400,1
51,1.98181,1.98969,1.97646,1.97825,ok,1292104800,987
52,2.01138,2.01993,1.98013,1.98205,ok,1292191200,40153
53,2.0199,2.02677,2.00914,2.01144,ok,1292277600,54723
54,2.00973,2.03131,2.00875,2.01956,ok,1292364000,56483
55,2.01154,2.02375,2.00745,2.01041,ok,1292450400,50327
56,2.02954,2.05024,2.01003,2.01091,ok,1292536800,52931
57,2.03003,2.03003,2.03003,2.03003,ok,1292623200,1
58,2.02981,2.02989,2.02597,2.02908,ok,1292709600,950
59,2.04314,2.05438,2.02668,2.02974,ok,1292796000,45148
60,2.03524,2.05324,2.03348,2.04346,ok,1292882400,45051
61,2.02753,2.04324,2.02634,2.03534,ok,1292968800,41446
62,2.0228,2.03814,2.02231,2.0277,ok,1293055200,36910
63,2.0202,2.03283,2.01813,2.0231,ok,1293141600,14424
64,2.02032,2.02051,2.0202,2.02051,ok,1293228000,4
65,2.01994,2.02156,2.01949,2.02103,ok,1293314400,131
66,2.03002,2.0386,2.01817,2.01985,ok,1293400800,22146
67,2.04413,2.06051,2.02951,2.03006,ok,1293487200,35888
68,2.04799,2.0595,2.03822,2.0442,ok,1293573600,34579
69,2.06131,2.06767,2.04651,2.04813,ok,1293660000,31575
70,2.05744,2.07371,2.04966,2.06117,ok,1293746400,29112
71,2.05679,2.05725,2.05679,2.05725,ok,1293832800,2
72,2.04594,2.05178,2.03892,2.05178,ok,1293919200,1018
73,2.07508,2.08614,2.03915,2.04115,ok,1294005600,36813
74,2.04487,2.08083,2.04471,2.07503,ok,1294092000,57308
75,2.02575,2.05335,2.02523,2.04493,ok,1294178400,62814
76,2.01437,2.03453,2.01437,2.02585,ok,1294264800,54363
77,2.02329,2.04022,2.01114,2.01432,ok,1294351200,67242
78,2.01798,2.02177,2.01175,2.01175,ok,1294524000,2566
79,2.03784,2.05396,2.01732,2.01783,ok,1294610400,52477
80,2.04267,2.04931,2.03378,2.0378,ok,1294696800,58327
81,2.04457,2.04944,2.03512,2.04276,ok,1294783200,61352
82,2.06653,2.06954,2.0429,2.04493,ok,1294869600,65470
83,2.06876,2.07825,2.05995,2.06608,ok,1294956000,66479
84,2.06853,2.0686,2.06853,2.0686,ok,1295042400,2
85,2.06722,2.07221,2.06628,2.07221,ok,1295128800,1409
86,2.04569,2.07247,2.04384,2.06715,ok,1295215200,40404
87,2.05832,2.06274,2.03965,2.04591,ok,1295301600,56597
88,2.0824,2.09227,2.05443,2.0584,ok,1295388000,61628
89,2.12979,2.13673,2.07849,2.08262,ok,1295474400,69378
90,2.13275,2.15073,2.12225,2.12983,ok,1295560800,57850
91,2.13286,2.13288,2.13269,2.13269,ok,1295647200,5
92,2.13545,2.13609,2.12865,2.13375,ok,1295733600,1110
93,2.12712,2.14193,2.12189,2.13566,ok,1295820000,49106
94,2.14194,2.14819,2.12321,2.12718,ok,1295906400,57584
95,2.15668,2.16136,2.13853,2.14211,ok,1295992800,57131
96,2.1675,2.17386,2.1474,2.15695,ok,1296079200,59183
97,2.1882,2.2017,2.15943,2.16757,ok,1296165600,54144
98,2.1882,2.1882,2.1882,2.1882,ok,1296252000,12
99,2.18845,2.18845,2.17722,2.1882,ok,1296338400,1350
100,2.19264,2.20228,2.18432,2.19089,ok,1296424800,49486
101,2.17819,2.20146,2.17612,2.19268,ok,1296511200,49882
102,2.17251,2.18737,2.16947,2.17824,ok,1296597600,47195
103,2.16949,2.1923,2.16769,2.17281,ok,1296684000,49400
104,2.14311,2.19387,2.14069,2.16961,ok,1296770400,46033
105,2.14301,2.14301,2.14301,2.14301,ok,1296856800,13
106,2.14413,2.14628,2.13788,2.14301,ok,1296943200,923
107,2.13701,2.16104,2.12749,2.14439,ok,1297029600,40722
108,2.14155,2.15606,2.13572,2.13711,ok,1297116000,48048
109,2.17841,2.18502,2.1411,2.1417,ok,1297202400,46833
110,2.16058,2.18843,2.15643,2.17851,ok,1297288800,45968
111,2.1429,2.16866,2.14029,2.16063,ok,1297375200,45556
112,2.14178,2.14207,2.14178,2.14194,ok,1297461600,7
113,2.13412,2.14541,2.13367,2.14178,ok,1297548000,1753
114,2.14683,2.15852,2.13372,2.13408,ok,1297634400,44639
115,2.14944,2.16547,2.14572,2.14678,ok,1297720800,47358
116,2.14383,2.16347,2.13266,2.14939,ok,1297807200,51480
117,2.13891,2.15185,2.13576,2.14377,ok,1297893600,46008
118,2.15038,2.1625,2.13678,2.13835,ok,1297980000,41683
119,2.15038,2.15038,2.15038,2.15038,ok,1298066400,12
120,2.15019,2.1566,2.14666,2.15038,ok,1298152800,570
121,2.1728,2.17841,2.14811,2.15041,ok,1298239200,23662
122,2.17716,2.1858,2.1649,2.17272,ok,1298325600,52128
123,2.20669,2.21701,2.17654,2.17735,ok,1298412000,44462
124,2.20837,2.22107,2.2051,2.20679,ok,1298498400,46598
125,2.18909,2.21852,2.18446,2.20832,ok,1298584800,35774
126,2.18909,2.18909,2.18909,2.18909,ok,1298671200,14
127,2.1856,2.18909,2.18317,2.18909,ok,1298757600,349
128,2.20155,2.21814,2.18157,2.18567,ok,1298844000,41276
129,2.22107,2.22915,2.20022,2.20162,ok,1298930400,46459
130,2.24022,2.24619,2.21845,2.22103,ok,1299016800,44629
131,2.2265,2.2431,2.22073,2.24092,ok,1299103200,45024
132,2.22586,2.24311,2.22407,2.22589,ok,1299189600,39343
133,2.22637,2.22637,2.22602,2.22602,ok,1299276000,2
134,2.22956,2.23745,2.22637,2.22637,ok,1299362400,597
135,2.22548,2.24934,2.22523,2.22929,ok,1299448800,32996
136,2.20479,2.23485,2.20299,2.22564,ok,1299535200,32149
137,2.19327,2.21171,2.19266,2.20472,ok,1299621600,28664
138,2.18115,2.19883,2.17836,2.19359,ok,1299708000,38720
139,2.19111,2.19984,2.17836,2.18084,ok,1299794400,36366
140,2.19134,2.19144,2.19134,2.19144,ok,1299880800,16
141,2.19884,2.2124,2.19134,2.19134,ok,1299967200,3300
142,2.19019,2.20778,2.18942,2.19863,ok,1300050000,37604
143,2.20539,2.21597,2.18585,2.19014,ok,1300136400,55473
144,2.20763,2.21532,2.19845,2.20552,ok,1300222800,51852
145,2.22447,2.22983,2.20772,2.20772,ok,1300309200,59416
146,2.22929,2.24017,2.21413,2.22412,ok,1300395600,49375
147,2.22929,2.22929,2.22929,2.22929,ok,1300482000,12
148,2.23107,2.23151,2.22697,2.22929,ok,1300568400,1009
149,2.23857,2.24354,2.22773,2.23127,ok,1300654800,32203
150,2.21314,2.24061,2.21093,2.23881,ok,1300741200,29753
151,2.18968,2.22133,2.18922,2.21306,ok,1300827600,39205
152,2.1954,2.20386,2.1879,2.19,ok,1300914000,36452
153,2.18247,2.19859,2.17911,2.19513,ok,1301000400,37941
154,2.18246,2.18246,2.18234,2.18238,ok,1301086800,15
155,2.17685,2.18877,2.17438,2.18246,ok,1301173200,1251
156,2.19474,2.19804,2.1759,2.1772,ok,1301259600,29865
157,2.19094,2.20983,2.18902,2.19466,ok,1301346000,31706
158,2.18786,2.19672,2.18674,2.19099,ok,1301432400,32807
159,2.1834,2.19772,2.18205,2.18797,ok,1301518800,36212
160,2.16854,2.18881,2.16353,2.18312,ok,1301605200,40502
161,2.16854,2.16854,2.16838,2.16838,ok,1301691600,12
162,2.16683,2.17042,2.16372,2.16854,ok,1301778000,332
163,2.17393,2.18724,2.16391,2.16689,ok,1301864400,27952
164,2.16927,2.18142,2.1683,2.17402,ok,1301950800,30480
165,2.1651,2.18045,2.16404,2.16934,ok,1302037200,33571
166,2.15895,2.17157,2.15416,2.16528,ok,1302123600,41506
167,2.17832,2.18345,2.15566,2.15863,ok,1302210000,35112
168,2.17825,2.17825,2.17817,2.17822,ok,1302296400,13
169,2.17522,2.17825,2.16945,2.17825,ok,1302382800,987
170,2.18418,2.18856,2.17249,2.17513,ok,1302469200,31141
171,2.2007,2.20723,2.18049,2.18423,ok,1302555600,43686
172,2.19044,2.20586,2.18905,2.20081,ok,1302642000,38144
173,2.19419,2.20371,2.1898,2.19077,ok,1302728400,42268
174,2.17322,2.20771,2.17189,2.19401,ok,1302814800,35200
175,2.17322,2.17322,2.17322,2.17322,ok,1302901200,11
176,2.17229,2.17459,2.17159,2.17322,ok,1302987600,584
177,2.18929,2.20035,2.17241,2.17241,ok,1303074000,50674
178,2.18827,2.19519,2.18547,2.18921,ok,1303160400,39826
179,2.20339,2.21016,2.18681,2.18847,ok,1303246800,41108
180,2.21066,2.2261,2.2027,2.20356,ok,1303333200,38815
181,2.20071,2.21448,2.19823,2.21046,ok,1303419600,12601
182,2.20071,2.20071,2.20071,2.20071,ok,1303506000,13
183,2.19938,2.2029,2.1964,2.20071,ok,1303592400,91
184,2.22094,2.22641,2.19854,2.19951,ok,1303678800,26611
185,2.22867,2.24053,2.21134,2.221,ok,1303765200,38178
186,2.2376,2.24598,2.22735,2.22875,ok,1303851600,45226
187,2.25575,2.26329,2.23627,2.23772,ok,1303938000,42513
188,2.24264,2.26418,2.24015,2.25551,ok,1304024400,26560
189,2.24264,2.24264,2.24264,2.24264,ok,1304110800,12
190,2.2418,2.24334,2.24065,2.24264,ok,1304197200,108
191,2.2523,2.26333,2.2409,2.24172,ok,1304283600,35150
192,2.26893,2.28436,2.24564,2.25216,ok,1304370000,43187
