,c,h,l,o,s,t,v
0,1.37256,1.40036,1.37126,1.39332,ok,1287435600,89350
1,1.39636,1.39906,1.36973,1.37254,ok,1287522000,71177
2,1.39192,1.40496,1.38713,1.3963,ok,1287608400,77818
3,1.39485,1.39722,1.3857,1.3919,ok,1287694800,60319
4,1.39509,1.39509,1.395,1.395,ok,1287781200,2
5,1.3967,1.39893,1.39431,1.39479,ok,1287867600,1626
6,1.39634,1.40796,1.3934,1.39666,ok,1287954000,54762
7,1.3858,1.39816,1.38255,1.39631,ok,1288040400,64478
8,1.37681,1.38781,1.37338,1.38584,ok,1288126800,71925
9,1.39297,1.39447,1.3763,1.37678,ok,1288213200,55880
10,1.39417,1.39508,1.38067,1.393,ok,1288299600,60805
11,1.39419,1.39419,1.39419,1.39419,ok,1288386000,1
12,1.39585,1.39619,1.39364,1.39379,ok,1288472400,1336
13,1.3892,1.4011,1.38638,1.39587,ok,1288558800,55560
14,1.40326,1.40577,1.38813,1.38922,ok,1288645200,52416
15,1.41377,1.41799,1.39916,1.40324,ok,1288731600,72369
16,1.42065,1.42818,1.4102,1.41375,ok,1288818000,67453
17,1.40273,1.42483,1.40228,1.42068,ok,1288904400,68240
18,1.40264,1.40264,1.40264,1.40264,ok,1288990800,1
19,1.40544,1.40544,1.40133,1.40304,ok,1289077200,2281
20,1.39189,1.4085,1.3887,1.4055,ok,1289167200,62335
21,1.37719,1.3973,1.37509,1.39194,ok,1289253600,75165
22,1.37817,1.38247,1.36702,1.37716,ok,1289340000,86761
23,1.36663,1.38207,1.36371,1.37815,ok,1289426400,72228
24,1.36858,1.37763,1.35733,1.3666,ok,1289512800,89723
25,1.36855,1.36855,1.36855,1.36855,ok,1289599200,1
26,1.37017,1.37173,1.36388,1.36875,ok,1289685600,3788
27,1.35863,1.37504,1.35632,1.37025,ok,1289772000,62554
28,1.34883,1.36552,1.34466,1.35865,ok,1289858400,82694
29,1.35286,1.35655,1.34604,1.34881,ok,1289944800,60086
30,1.36418,1.36669,1.35245,1.35281,ok,1290031200,58872
31,1.36675,1.3731,1.36081,1.36422,ok,1290117600,51678
32,1.37167,1.37437,1.36625,1.36625,ok,1290290400,3247
33,1.36258,1.37857,1.35764,1.37169,ok,1290376800,60488
34,1.33657,1.36322,1.33612,1.36261,ok,1290463200,79084
35,1.33347,1.34207,1.3284,1.33674,ok,1290549600,77873
36,1.33585,1.33867,1.32869,1.33344,ok,1290636000,45558
37,1.32367,1.33619,1.32007,1.33581,ok,1290722400,64322
38,1.32789,1.33522,1.3236,1.32372,ok,1290895200,6811
39,1.31248,1.33013,1.30633,1.32793,ok,1290981600,66719
40,1.2981,1.31498,1.29684,1.31245,ok,1291068000,71820
41,1.31374,1.3181,1.29708,1.29815,ok,1291154400,66591
42,1.32081,1.32467,1.30596,1.31377,ok,1291240800,65688
43,1.34099,1.34336,1.31931,1.32088,ok,1291327200,59751
