,c,h,l,o,s,t,v
0,9.54833,9.66491,9.5339,9.56728,ok,1287435600,25891
1,9.68049,9.6867,9.52354,9.54778,ok,1287522000,20074
2,9.70621,9.71634,9.62684,9.67782,ok,1287608400,22634
3,9.6044,9.72364,9.58545,9.7046,ok,1287694800,19023
4,9.60605,9.60605,9.60543,9.60543,ok,1287781200,2
5,9.62237,9.65001,9.60095,9.60398,ok,1287867600,802
6,9.65411,9.6994,9.60967,9.62196,ok,1287954000,15239
7,9.62259,9.66384,9.59644,9.65478,ok,1288040400,17988
8,9.71905,9.76445,9.58443,9.62147,ok,1288126800,22726
9,9.74507,9.77821,9.70401,9.71851,ok,1288213200,16369
10,9.68272,9.76122,9.64432,9.74414,ok,1288299600,19157
11,9.68313,9.68313,9.68313,9.68313,ok,1288386000,1
12,9.68754,9.6897,9.67322,9.68035,ok,1288472400,459
13,9.67963,9.79911,9.66904,9.68711,ok,1288558800,15965
14,9.66153,9.74525,9.64733,9.68074,ok,1288645200,13864
15,9.69103,9.77444,9.64128,9.66105,ok,1288731600,21311
16,9.65036,9.72631,9.61953,9.69055,ok,1288818000,18257
17,9.43423,9.67399,9.42452,9.65083,ok,1288904400,19818
18,9.43356,9.43356,9.43356,9.43356,ok,1288990800,1
19,9.46987,9.46987,9.41894,9.43625,ok,1289077200,901
20,9.48314,9.57275,9.46741,9.47041,ok,1289167200,16939
21,9.4661,9.52483,9.43508,9.48363,ok,1289253600,20507
22,9.47293,9.50687,9.41045,9.4666,ok,1289340000,24552
23,9.46416,9.52391,9.43395,9.47824,ok,1289426400,20346
24,9.4681,9.5567,9.41989,9.46459,ok,1289512800,28983
25,9.44714,9.47595,9.42921,9.46927,ok,1289685600,1343
26,9.48132,9.56343,9.43175,9.44769,ok,1289772000,18259
27,9.48066,9.5806,9.44647,9.48083,ok,1289858400,24437
28,9.48039,9.55194,9.46713,9.48003,ok,1289944800,18584
29,9.49818,9.55236,9.47491,9.47983,ok,1290031200,19007
30,9.50146,9.59486,9.48513,9.49763,ok,1290117600,15243
31,9.55659,9.56279,9.49437,9.49796,ok,1290290400,1272
32,9.52475,9.602,9.51274,9.55847,ok,1290376800,17554
33,9.49473,9.58361,9.47415,9.52314,ok,1290463200,23559
34,9.41139,9.50718,9.40129,9.49382,ok,1290549600,21522
35,9.3895,9.43222,9.37011,9.40966,ok,1290636000,13003
36,9.40043,9.48794,9.36643,9.38887,ok,1290722400,20409
37,9.38578,9.44607,9.37424,9.40135,ok,1290895200,3141
38,9.31653,9.45557,9.31393,9.38627,ok,1290981600,21913
39,9.20815,9.36816,9.19083,9.31523,ok,1291068000,22923
40,9.21476,9.24017,9.17792,9.20936,ok,1291154400,20618
41,9.09426,9.21724,9.07474,9.21537,ok,1291240800,21121
42,9.1285,9.21045,9.07854,9.0951,ok,1291327200,17746
43,9.11672,9.12927,9.11502,9.12927,ok,1291413600,3
44,9.12077,9.16248,9.11841,9.12845,ok,1291500000,1098
45,9.14013,9.20856,9.12009,9.12009,ok,1291586400,16845
46,9.16324,9.21474,9.13759,9.13794,ok,1291672800,16939
47,9.1602,9.21635,9.14141,9.1628,ok,1291759200,19480
48,9.08393,9.21162,9.05608,9.15969,ok,1291845600,17518
49,9.01175,9.15319,9.00058,9.08465,ok,1291932000,13018
50,8.97921,9.01043,8.97592,9.00465,ok,1292104800,427
51,9.14111,9.17998,8.97594,8.97989,ok,1292191200,11235
52,9.13103,9.19669,9.11775,9.14166,ok,1292277600,15592
53,9.05222,9.13194,9.03865,9.13051,ok,1292364000,16207
54,9.0396,9.09029,9.01783,9.05263,ok,1292450400,13080
55,9.00291,9.11977,8.97395,9.04001,ok,1292536800,14342
56,9.01103,9.01103,9.01103,9.01103,ok,1292623200,1
57,8.96842,8.98467,8.94704,8.98467,ok,1292709600,584
58,8.96386,9.06707,8.94883,8.9691,ok,1292796000,13117
59,8.92521,9.00939,8.91201,8.95986,ok,1292882400,11533
60,8.88593,8.96668,8.8757,8.9263,ok,1292968800,11058
61,8.83401,8.89947,8.81068,8.88911,ok,1293055200,10103
62,8.77095,8.8699,8.75844,8.83504,ok,1293141600,5548
63,8.77149,8.77229,8.77149,8.77229,ok,1293228000,2
64,8.7686,8.77496,8.76527,8.77496,ok,1293314400,81
