,c,h,l,o,s,t,v
0,3781.5,3841.1,3759.9,3810.5,ok,1287435600,15699
1,3816.9,3827.9,3770.9,3791.9,ok,1287522000,11799
2,3841.3,3876.3,3795.8,3812.3,ok,1287608400,15127
3,3853.2,3873.7,3840.2,3853.2,ok,1287694800,10116
4,3843.8,3885.9,3839.8,3879.9,ok,1287954000,9977
5,3847.2,3852.8,3803.2,3850.3,ok,1288040400,12757
6,3821.6,3853.1,3792.1,3827.2,ok,1288126800,14812
7,3827.5,3851.5,3803.0,3830.0,ok,1288213200,12188
8,3822.9,3842.9,3790.4,3804.4,ok,1288299600,12601
9,3805.5,3857.6,3783.5,3850.1,ok,1288558800,16048
10,3849.4,3864.0,3810.5,3816.5,ok,1288645200,11251
11,3847.8,3874.4,3809.8,3852.9,ok,1288731600,12773
12,3911.2,3917.3,3857.8,3858.8,ok,1288818000,12717
13,3906.6,3921.1,3876.6,3906.7,ok,1288904400,13871
14,3906.2,3910.3,3878.8,3896.3,ok,1289167200,9879
15,3903.1,3944.2,3882.2,3894.2,ok,1289253600,11410
16,3898.0,3921.1,3856.0,3911.1,ok,1289340000,14305
17,3868.9,3895.0,3834.4,3890.5,ok,1289426400,13345
18,3817.8,3855.8,3769.3,3828.3,ok,1289512800,21254
19,3848.9,3877.0,3796.0,3811.0,ok,1289772000,12927
20,3761.8,3840.9,3745.8,3831.9,ok,1289858400,16740
21,3789.7,3799.2,3747.3,3762.8,ok,1289944800,12189
22,3865.1,3874.1,3820.2,3820.2,ok,1290031200,11266
23,3872.0,3873.5,3822.5,3865.5,ok,1290117600,10985
24,3828.8,3905.2,3786.8,3887.2,ok,1290376800,12228
25,3732.4,3801.8,3719.4,3793.8,ok,1290463200,17026
26,3762.9,3763.9,3698.9,3740.4,ok,1290549600,14090
27,3747.5,3765.5,3726.5,3749.5,ok,1290636000,5931
28,3722.1,3742.0,3682.6,3728.5,ok,1290722400,13808
29,3664.8,3772.7,3619.8,3730.8,ok,1290981600,22159
30,3619.4,3655.3,3589.4,3641.8,ok,1291068000,19096
31,3684.9,3687.9,3617.9,3628.9,ok,1291154400,15723
32,3756.0,3759.0,3646.5,3681.0,ok,1291240800,19642
33,3761.1,3774.5,3719.0,3745.0,ok,1291327200,13863
34,3746.8,3765.2,3720.7,3757.2,ok,1291586400,10286
35,3797.3,3833.3,3754.8,3762.3,ok,1291672800,13047
36,3839.4,3856.9,3776.4,3785.4,ok,1291759200,11930
37,3864.5,3870.4,3834.4,3857.4,ok,1291845600,10717
38,3874.5,3881.5,3847.5,3877.5,ok,1291932000,7707
39,3894.7,3909.2,3866.2,3868.2,ok,1292191200,8331
40,3896.3,3907.3,3881.3,3896.8,ok,1292277600,7055
41,3871.9,3894.3,3864.4,3884.3,ok,1292364000,9677
42,3895.9,3898.9,3860.9,3879.4,ok,1292450400,8642
43,3876.6,3905.0,3861.6,3897.0,ok,1292536800,7999
44,3888.0,3918.9,3861.9,3872.4,ok,1292796000,7984
45,3925.1,3936.0,3899.0,3907.0,ok,1292882400,6518
46,3926.2,3932.6,3916.7,3923.6,ok,1292968800,4566
