,c,h,l,o,s,t,v
0,1.62106,1.62477,1.59647,1.60493,ok,1287435600,34935
1,1.60518,1.62195,1.60316,1.62125,ok,1287522000,30325
2,1.60662,1.61142,1.59399,1.60556,ok,1287608400,29653
3,1.5943,1.60721,1.59428,1.60653,ok,1287694800,21075
4,1.59369,1.59369,1.59369,1.59369,ok,1287781200,1
5,1.58644,1.59571,1.58437,1.59389,ok,1287867600,1228
6,1.58709,1.59547,1.57638,1.58626,ok,1287954000,21582
7,1.6077,1.61106,1.58595,1.58691,ok,1288040400,24191
8,1.62176,1.63351,1.60545,1.60758,ok,1288126800,27475
9,1.62852,1.63217,1.6152,1.62188,ok,1288213200,21778
10,1.62937,1.64148,1.6278,1.62864,ok,1288299600,24125
11,1.62905,1.62946,1.62905,1.62946,ok,1288386000,2
12,1.62739,1.6316,1.62702,1.62988,ok,1288472400,658
13,1.62411,1.6316,1.618,1.62745,ok,1288558800,20092
14,1.60442,1.62563,1.59695,1.62417,ok,1288645200,20949
15,1.59788,1.62282,1.59788,1.6043,ok,1288731600,28093
16,1.60261,1.60797,1.59775,1.59775,ok,1288818000,23788
17,1.59174,1.60599,1.59056,1.60273,ok,1288904400,26098
18,1.59183,1.59183,1.59183,1.59183,ok,1288990800,1
19,1.59406,1.59773,1.59278,1.59283,ok,1289077200,543
20,1.59194,1.60036,1.58943,1.59417,ok,1289167200,21765
21,1.59242,1.59798,1.58338,1.59204,ok,1289253600,26820
22,1.60331,1.61029,1.58821,1.59252,ok,1289340000,30911
23,1.61532,1.62035,1.59633,1.60319,ok,1289426400,25754
24,1.63524,1.64043,1.612,1.61545,ok,1289512800,37152
25,1.63566,1.63566,1.63566,1.63566,ok,1289599200,1
26,1.63206,1.63655,1.62979,1.63655,ok,1289685600,1185
27,1.62889,1.64235,1.61952,1.63269,ok,1289772000,24439
28,1.62616,1.6382,1.62489,1.62896,ok,1289858400,31881
29,1.62337,1.6321,1.61964,1.62594,ok,1289944800,23704
30,1.6201,1.62485,1.61073,1.6233,ok,1290031200,22455
31,1.61863,1.63465,1.61857,1.62027,ok,1290117600,20232
32,1.61846,1.61856,1.61846,1.61856,ok,1290204000,2
33,1.61785,1.62277,1.61578,1.61912,ok,1290290400,1339
34,1.61356,1.61919,1.60968,1.61767,ok,1290376800,21687
35,1.62205,1.6289,1.6129,1.61377,ok,1290463200,30606
36,1.60616,1.62265,1.60241,1.62223,ok,1290549600,27618
37,1.60646,1.61374,1.60166,1.60632,ok,1290636000,17565
38,1.61504,1.63189,1.60398,1.60658,ok,1290722400,26727
39,1.61471,1.61494,1.61471,1.61484,ok,1290808800,3
40,1.60988,1.61746,1.60631,1.61453,ok,1290895200,2514
41,1.6166,1.62351,1.60952,1.6098,ok,1290981600,27519
42,1.62278,1.62439,1.61117,1.61651,ok,1291068000,31758
43,1.61295,1.63229,1.61075,1.62288,ok,1291154400,29140
