,c,h,l,o,s,t,v
0,1.62292,1.62879,1.60994,1.61452,ok,1287435600,34192
1,1.61792,1.62606,1.61402,1.62326,ok,1287522000,29375
2,1.61213,1.62328,1.60363,1.61802,ok,1287608400,31784
3,1.60717,1.61526,1.60585,1.61201,ok,1287694800,23964
4,1.60699,1.60699,1.60699,1.60699,ok,1287781200,1
5,1.60623,1.61004,1.6036,1.60843,ok,1287867600,723
6,1.60331,1.61033,1.59685,1.60593,ok,1287954000,22764
7,1.622,1.62603,1.59964,1.60338,ok,1288040400,27982
8,1.62081,1.63301,1.62004,1.62207,ok,1288126800,30257
9,1.62799,1.63594,1.61634,1.62098,ok,1288213200,25755
10,1.63356,1.63634,1.62369,1.62805,ok,1288299600,28126
11,1.63409,1.63803,1.63358,1.63484,ok,1288472400,626
12,1.62769,1.63909,1.6252,1.63416,ok,1288558800,22077
13,1.61689,1.6299,1.61285,1.62777,ok,1288645200,22539
14,1.61624,1.6305,1.61432,1.61679,ok,1288731600,31006
15,1.63019,1.63565,1.61578,1.61618,ok,1288818000,26811
16,1.61724,1.63622,1.61717,1.62984,ok,1288904400,27738
17,1.61693,1.61693,1.61693,1.61693,ok,1288990800,1
18,1.61878,1.62025,1.61653,1.61653,ok,1289077200,440
19,1.6195,1.62257,1.61393,1.61887,ok,1289167200,22171
20,1.61104,1.6217,1.60411,1.61943,ok,1289253600,29005
21,1.61331,1.61462,1.60102,1.61096,ok,1289340000,34424
22,1.61734,1.62411,1.61149,1.61339,ok,1289426400,26354
23,1.62979,1.63494,1.61516,1.61707,ok,1289512800,36101
24,1.62995,1.62995,1.62995,1.62995,ok,1289599200,1
25,1.63104,1.63428,1.62585,1.62609,ok,1289685600,664
26,1.62074,1.63382,1.61509,1.63089,ok,1289772000,25406
27,1.62356,1.63243,1.61513,1.6208,ok,1289858400,32901
28,1.62953,1.63112,1.62059,1.6235,ok,1289944800,25262
29,1.63433,1.63917,1.61965,1.62959,ok,1290031200,25196
30,1.62336,1.63938,1.62301,1.63427,ok,1290117600,20920
31,1.62339,1.62339,1.6233,1.6233,ok,1290204000,2
32,1.62323,1.62745,1.62279,1.62378,ok,1290290400,940
33,1.62521,1.62926,1.61899,1.62332,ok,1290376800,21675
34,1.61614,1.6291,1.6138,1.62514,ok,1290463200,29360
35,1.5925,1.61608,1.59236,1.61608,ok,1290549600,27174
36,1.59017,1.59579,1.58769,1.59256,ok,1290636000,16511
37,1.59081,1.60625,1.58834,1.59006,ok,1290722400,23719
38,1.59063,1.59082,1.59059,1.59067,ok,1290808800,5
