,c,h,l,o,s,t,v
0,1.526,1.53395,1.51464,1.52245,ok,1287435600,109398
1,1.52397,1.52686,1.51276,1.52604,ok,1287522000,105046
2,1.51957,1.53014,1.5146,1.52395,ok,1287608400,118815
3,1.53114,1.53649,1.51948,1.51961,ok,1287694800,84039
4,1.53087,1.53096,1.53087,1.53096,ok,1287781200,2
5,1.52697,1.53347,1.52053,1.53287,ok,1287867600,2166
6,1.52625,1.53468,1.5223,1.52741,ok,1287954000,91227
7,1.55935,1.56485,1.52596,1.52635,ok,1288040400,99639
8,1.56131,1.56884,1.55638,1.55938,ok,1288126800,116144
9,1.56775,1.57366,1.55402,1.56128,ok,1288213200,94888
10,1.57459,1.57956,1.56601,1.56781,ok,1288299600,113932
11,1.57463,1.57493,1.57463,1.57493,ok,1288386000,4
12,1.57538,1.577,1.57474,1.57478,ok,1288472400,1037
13,1.58997,1.59657,1.57492,1.57555,ok,1288558800,89644
14,1.57083,1.59366,1.56279,1.59007,ok,1288645200,91017
15,1.5608,1.58277,1.56004,1.57079,ok,1288731600,124111
16,1.55886,1.57487,1.55625,1.56083,ok,1288818000,106038
17,1.55473,1.56281,1.54574,1.55879,ok,1288904400,111207
18,1.55703,1.55703,1.55439,1.55471,ok,1288990800,8
19,1.55671,1.55798,1.55413,1.55449,ok,1289077200,1867
20,1.55889,1.56136,1.55342,1.55649,ok,1289167200,102935
21,1.54737,1.56093,1.54182,1.55887,ok,1289253600,111768
22,1.56469,1.56953,1.5456,1.54707,ok,1289340000,135601
23,1.57178,1.57847,1.5605,1.56471,ok,1289426400,96816
24,1.57962,1.58314,1.55666,1.5718,ok,1289512800,147997
25,1.57959,1.58054,1.57483,1.57692,ok,1289685600,3962
26,1.58013,1.58718,1.57335,1.57966,ok,1289772000,113533
27,1.58171,1.58266,1.57201,1.58011,ok,1289858400,133469
28,1.57631,1.58654,1.57386,1.58187,ok,1289944800,99590
29,1.59694,1.60045,1.57226,1.57653,ok,1290031200,110342
30,1.58484,1.59921,1.58276,1.5969,ok,1290117600,99092
31,1.58493,1.58493,1.58433,1.58471,ok,1290204000,6
32,1.58503,1.5856,1.58204,1.58543,ok,1290290400,3107
33,1.57852,1.59216,1.57436,1.58498,ok,1290376800,98323
34,1.57295,1.5792,1.56888,1.57833,ok,1290463200,133099
35,1.57049,1.57594,1.56303,1.57299,ok,1290549600,120304
36,1.57663,1.57942,1.56885,1.57055,ok,1290636000,84404
37,1.5633,1.57779,1.56142,1.57704,ok,1290722400,86937
38,1.56308,1.56316,1.56308,1.56316,ok,1290808800,3
39,1.56318,1.56603,1.56001,1.56318,ok,1290895200,6683
40,1.55702,1.56584,1.55396,1.56302,ok,1290981600,108602
41,1.56132,1.56283,1.54473,1.55699,ok,1291068000,116560
42,1.56557,1.57376,1.55879,1.56134,ok,1291154400,127205
43,1.54833,1.57013,1.54223,1.56553,ok,1291240800,121833
44,1.53496,1.55604,1.53171,1.5484,ok,1291327200,104595
45,1.53441,1.53511,1.53441,1.53499,ok,1291413600,6
46,1.53671,1.53759,1.53454,1.53587,ok,1291500000,1607
47,1.54226,1.54782,1.53195,1.53679,ok,1291586400,94512
48,1.55586,1.55763,1.54053,1.5423,ok,1291672800,107454
49,1.55803,1.56211,1.54976,1.55578,ok,1291759200,104374
50,1.55044,1.5595,1.54739,1.55807,ok,1291845600,105463
51,1.54923,1.55593,1.54745,1.55049,ok,1291932000,76930
52,1.54917,1.54917,1.54917,1.54917,ok,1292018400,1
53,1.55418,1.55619,1.54759,1.54959,ok,1292104800,1093
54,1.53481,1.55475,1.53021,1.5542,ok,1292191200,80106
55,1.51335,1.53841,1.51059,1.53451,ok,1292277600,103029
56,1.50451,1.51712,1.49789,1.5133,ok,1292364000,113212
57,1.50714,1.51697,1.5025,1.50447,ok,1292450400,99416
58,1.50368,1.50849,1.49155,1.5072,ok,1292536800,93911
59,1.50383,1.50383,1.50362,1.50362,ok,1292623200,3
60,1.5013,1.50526,1.50036,1.50404,ok,1292709600,1445
61,1.49647,1.50621,1.49409,1.50128,ok,1292796000,74802
62,1.48175,1.49902,1.48084,1.49645,ok,1292882400,75351
63,1.46454,1.48313,1.4622,1.48161,ok,1292968800,81849
64,1.47847,1.48799,1.46193,1.46437,ok,1293055200,70317
65,1.48493,1.48862,1.47403,1.47855,ok,1293141600,32804
66,1.48314,1.48497,1.48314,1.48497,ok,1293228000,10
67,1.48374,1.486,1.48374,1.486,ok,1293314400,290
68,1.47961,1.4893,1.47762,1.484,ok,1293400800,55589
69,1.46344,1.48235,1.45537,1.47956,ok,1293487200,74410
70,1.46516,1.47151,1.4599,1.46349,ok,1293573600,69208
71,1.44203,1.46608,1.43971,1.46511,ok,1293660000,63407
72,1.45971,1.46337,1.44097,1.44234,ok,1293746400,61549
73,1.45974,1.45974,1.45974,1.45974,ok,1293832800,1
74,1.45406,1.45878,1.45166,1.45822,ok,1293919200,1216
75,1.44539,1.45585,1.44388,1.45415,ok,1294005600,69067
76,1.47817,1.48286,1.44442,1.44536,ok,1294092000,114248
77,1.4982,1.49936,1.47496,1.47815,ok,1294178400,122761
78,1.49359,1.5057,1.48921,1.49823,ok,1294264800,99539
79,1.50274,1.50463,1.48556,1.49365,ok,1294351200,110930
80,1.50285,1.50285,1.50285,1.50285,ok,1294437600,1
81,1.50295,1.50327,1.49851,1.50184,ok,1294524000,3328
82,1.50632,1.51072,1.49278,1.50308,ok,1294610400,108600
83,1.51841,1.52546,1.504,1.50636,ok,1294696800,101932
84,1.52321,1.53047,1.51254,1.51848,ok,1294783200,120470
85,1.52612,1.53689,1.52158,1.52326,ok,1294869600,122512
86,1.52802,1.53538,1.5197,1.52601,ok,1294956000,93799
87,1.52775,1.528,1.52775,1.528,ok,1295042400,5
88,1.52651,1.53081,1.52592,1.5284,ok,1295128800,2263
89,1.53226,1.53942,1.52663,1.52665,ok,1295215200,66777
90,1.53734,1.54264,1.52443,1.53232,ok,1295301600,109992
91,1.52696,1.54174,1.52229,1.53738,ok,1295388000,96985
92,1.53756,1.53979,1.5192,1.52691,ok,1295474400,125888
93,1.53239,1.54,1.52738,1.53765,ok,1295560800,89056
94,1.53233,1.5324,1.53233,1.53234,ok,1295647200,5
95,1.52945,1.53344,1.52915,1.53222,ok,1295733600,2176
96,1.51731,1.53654,1.51453,1.52965,ok,1295820000,92445
97,1.49026,1.51828,1.4859,1.51724,ok,1295906400,120555
98,1.49991,1.50234,1.48661,1.49031,ok,1295992800,97206
99,1.50567,1.5104,1.4971,1.49985,ok,1296079200,97704
100,1.49289,1.50817,1.49094,1.50562,ok,1296165600,80991
101,1.49259,1.49304,1.49259,1.49304,ok,1296252000,15
102,1.49115,1.49385,1.49054,1.49259,ok,1296338400,3317
103,1.51133,1.51338,1.4896,1.49117,ok,1296424800,82135
104,1.50949,1.52163,1.50712,1.5113,ok,1296511200,94744
105,1.52155,1.52577,1.50782,1.50952,ok,1296597600,94039
106,1.52521,1.53706,1.52058,1.52147,ok,1296684000,101998
107,1.53788,1.54105,1.52413,1.52514,ok,1296770400,76358
108,1.53781,1.53793,1.53781,1.53793,ok,1296856800,15
109,1.54126,1.54179,1.53512,1.53781,ok,1296943200,2142
110,1.53896,1.54959,1.53546,1.54121,ok,1297029600,79665
111,1.54743,1.54905,1.53293,1.53893,ok,1297116000,101449
112,1.54189,1.55352,1.53894,1.54747,ok,1297202400,79716
113,1.55968,1.56163,1.54114,1.54193,ok,1297288800,85983
114,1.55656,1.56204,1.55224,1.55965,ok,1297375200,84508
115,1.55671,1.55671,1.55671,1.55671,ok,1297461600,4
116,1.55729,1.55957,1.55601,1.55671,ok,1297548000,2897
117,1.55537,1.56539,1.55005,1.55738,ok,1297634400,75828
118,1.5592,1.56911,1.5512,1.5554,ok,1297720800,81165
119,1.54388,1.56089,1.53781,1.55922,ok,1297807200,89112
120,1.53556,1.54648,1.53208,1.5439,ok,1297893600,79233
121,1.53439,1.54643,1.53219,1.53559,ok,1297980000,70031
122,1.53439,1.53439,1.53439,1.53439,ok,1298066400,12
123,1.53289,1.53478,1.52987,1.53439,ok,1298152800,1549
124,1.5357,1.53984,1.53293,1.53293,ok,1298239200,43094
125,1.51463,1.53662,1.51138,1.53565,ok,1298325600,85333
126,1.51202,1.52533,1.5088,1.5146,ok,1298412000,76656
127,1.49473,1.51335,1.48898,1.51198,ok,1298498400,96095
128,1.49515,1.49899,1.4898,1.49475,ok,1298584800,73623
129,1.49519,1.49524,1.49515,1.49524,ok,1298671200,18
130,1.49497,1.49735,1.49437,1.49519,ok,1298757600,1268
131,1.50966,1.51251,1.49057,1.49488,ok,1298844000,64842
132,1.50998,1.52014,1.50926,1.50961,ok,1298930400,66679
133,1.50733,1.51145,1.50255,1.50995,ok,1299016800,59395
134,1.51607,1.5183,1.50384,1.50728,ok,1299103200,62835
135,1.50316,1.51916,1.50229,1.51605,ok,1299189600,57183
136,1.50305,1.50305,1.50305,1.50305,ok,1299276000,1
137,1.5059,1.50686,1.50305,1.50305,ok,1299362400,992
138,1.50055,1.51191,1.49795,1.50606,ok,1299448800,44815
139,1.51056,1.51386,1.49979,1.50053,ok,1299535200,51313
140,1.50537,1.51432,1.5004,1.5105,ok,1299621600,50080
141,1.49647,1.51284,1.49319,1.5054,ok,1299708000,61759
142,1.49398,1.49966,1.48526,1.49644,ok,1299794400,62398
143,1.49398,1.49398,1.49398,1.49398,ok,1299880800,14
144,1.49097,1.49676,1.48965,1.49398,ok,1299967200,5389
145,1.49421,1.49783,1.48773,1.49103,ok,1300050000,60702
146,1.47336,1.4963,1.46872,1.49426,ok,1300136400,90528
147,1.45481,1.48066,1.45125,1.47343,ok,1300222800,82817
148,1.44948,1.45845,1.42802,1.45483,ok,1300309200,112010
149,1.46086,1.46785,1.44573,1.44946,ok,1300395600,91088
150,1.46099,1.46099,1.4609,1.4609,ok,1300482000,14
151,1.45999,1.46306,1.45906,1.46099,ok,1300568400,1521
152,1.47508,1.47695,1.45939,1.46011,ok,1300654800,51345
153,1.47799,1.48249,1.46912,1.47503,ok,1300741200,48952
154,1.47436,1.48062,1.46295,1.47801,ok,1300827600,55893
155,1.46436,1.47963,1.45865,1.47439,ok,1300914000,60891
156,1.47471,1.47517,1.46162,1.4644,ok,1301000400,60609
157,1.47471,1.47479,1.47471,1.47476,ok,1301086800,15
158,1.4741,1.4756,1.47268,1.47471,ok,1301173200,1955
159,1.46586,1.47791,1.46413,1.47413,ok,1301259600,50955
160,1.47292,1.47479,1.46332,1.46581,ok,1301346000,53333
161,1.47569,1.4875,1.4727,1.47288,ok,1301432400,57913
162,1.47265,1.48065,1.46247,1.47566,ok,1301518800,55512
163,1.48751,1.49461,1.47216,1.47262,ok,1301605200,69469
164,1.48751,1.48751,1.48694,1.48719,ok,1301691600,15
165,1.48796,1.48974,1.48643,1.48751,ok,1301778000,650
166,1.48877,1.494,1.48352,1.48799,ok,1301864400,43742
167,1.50769,1.50803,1.48501,1.48881,ok,1301950800,52517
168,1.50046,1.51805,1.48936,1.50772,ok,1302037200,63265
169,1.49531,1.50054,1.49188,1.50043,ok,1302123600,60219
170,1.48404,1.50254,1.48265,1.49537,ok,1302210000,59121
171,1.48404,1.48404,1.48401,1.48401,ok,1302296400,14
172,1.48486,1.48981,1.48404,1.48404,ok,1302382800,1848
173,1.48155,1.49498,1.47979,1.48489,ok,1302469200,44264
174,1.45794,1.48251,1.45408,1.48157,ok,1302555600,71421
175,1.45793,1.46296,1.45386,1.45785,ok,1302642000,57687
176,1.45892,1.46161,1.45349,1.45785,ok,1302728400,65754
177,1.45581,1.46299,1.45296,1.45888,ok,1302814800,50045
178,1.45581,1.45581,1.45581,1.45581,ok,1302901200,11
179,1.45505,1.45709,1.45338,1.45581,ok,1302987600,847
180,1.45785,1.46163,1.45175,1.45507,ok,1303074000,68556
181,1.46773,1.47015,1.4539,1.45783,ok,1303160400,55521
182,1.4566,1.47057,1.45577,1.46775,ok,1303246800,66667
183,1.46374,1.46442,1.45413,1.45662,ok,1303333200,65492
184,1.4622,1.46781,1.46044,1.46372,ok,1303419600,20612
185,1.4622,1.4622,1.4622,1.4622,ok,1303506000,13
186,1.46278,1.46278,1.46083,1.4622,ok,1303592400,139
187,1.45337,1.46427,1.45031,1.46286,ok,1303678800,40122
188,1.44212,1.45672,1.44187,1.4534,ok,1303765200,57551
189,1.45364,1.46004,1.43031,1.4421,ok,1303851600,76436
190,1.45266,1.45825,1.45023,1.45362,ok,1303938000,64976
191,1.44461,1.45527,1.44023,1.45271,ok,1304024400,50463
192,1.44461,1.44461,1.44461,1.44461,ok,1304110800,12
193,1.44506,1.44811,1.44398,1.44461,ok,1304197200,329
194,1.44075,1.45087,1.43811,1.44514,ok,1304283600,56050
195,1.41959,1.44273,1.41805,1.4407,ok,1304370000,62340
196,1.42052,1.42667,1.41557,1.41962,ok,1304456400,71397
197,1.42625,1.43059,1.41087,1.42041,ok,1304542800,82245
198,1.43792,1.44101,1.42324,1.4262,ok,1304629200,107434
199,1.43792,1.43792,1.43792,1.43792,ok,1304715600,12
200,1.4365,1.44024,1.42863,1.43792,ok,1304802000,3413
201,1.42968,1.43711,1.42668,1.4364,ok,1304888400,72219
202,1.43953,1.44076,1.42841,1.42962,ok,1304974800,74748
203,1.45076,1.45504,1.43696,1.43961,ok,1305061200,72351
204,1.43992,1.45165,1.43749,1.4508,ok,1305147600,72734
205,1.44508,1.44649,1.43416,1.4399,ok,1305234000,67414
206,1.44508,1.44508,1.44508,1.44508,ok,1305320400,13
207,1.44664,1.44838,1.44508,1.44508,ok,1305406800,1210
208,1.43197,1.44802,1.42837,1.4466,ok,1305493200,65623
209,1.43001,1.44657,1.42943,1.43194,ok,1305579600,74270
210,1.4239,1.43416,1.41726,1.43005,ok,1305666000,68835
211,1.42981,1.4356,1.41843,1.42392,ok,1305752400,71003
212,1.42345,1.43648,1.41837,1.42978,ok,1305838800,72088
213,1.42345,1.42345,1.42345,1.42345,ok,1305925200,12
214,1.42594,1.42713,1.42345,1.42345,ok,1306011600,1212
215,1.42456,1.42816,1.41925,1.42597,ok,1306098000,75029
216,1.42367,1.42955,1.4191,1.42454,ok,1306184400,75085
217,1.4197,1.42587,1.41668,1.42364,ok,1306270800,69639
218,1.4195,1.42389,1.41469,1.41967,ok,1306357200,68708
219,1.40117,1.41973,1.39377,1.41946,ok,1306443600,78798
220,1.40117,1.40117,1.40117,1.40117,ok,1306530000,12
221,1.39999,1.40207,1.39634,1.40117,ok,1306616400,2146
222,1.40377,1.40514,1.39859,1.39995,ok,1306702800,37074
223,1.40428,1.41175,1.39825,1.40379,ok,1306789200,73072
224,1.37479,1.40612,1.37363,1.40425,ok,1306875600,68444
225,1.37893,1.38323,1.37293,1.37481,ok,1306962000,60948
226,1.36859,1.3804,1.3616,1.37889,ok,1307048400,59769
227,1.36859,1.36859,1.36859,1.36859,ok,1307134800,12
228,1.36992,1.37019,1.36759,1.36859,ok,1307221200,757
229,1.36491,1.37514,1.36434,1.36989,ok,1307307600,52192
230,1.37492,1.37962,1.36382,1.36486,ok,1307394000,55199
231,1.37094,1.37633,1.36622,1.37474,ok,1307480400,55479
232,1.37662,1.38213,1.37024,1.3709,ok,1307566800,57961
233,1.36721,1.37795,1.36246,1.37659,ok,1307653200,56110
234,1.3672,1.3672,1.3672,1.3672,ok,1307739600,12
235,1.3678,1.36961,1.36379,1.3672,ok,1307826000,1679
236,1.37076,1.37423,1.36139,1.36782,ok,1307912400,51089
237,1.38356,1.38659,1.36591,1.37078,ok,1307998800,57211
238,1.38096,1.39046,1.37833,1.38359,ok,1308085200,63404
239,1.36882,1.38413,1.36458,1.38093,ok,1308171600,76673
240,1.37437,1.37484,1.36413,1.3687,ok,1308258000,60948
241,1.37437,1.37437,1.37437,1.37437,ok,1308344400,12
242,1.37217,1.37446,1.37045,1.37437,ok,1308430800,1196
243,1.37086,1.37397,1.3625,1.3721,ok,1308517200,54558
244,1.36509,1.37108,1.36364,1.37092,ok,1308603600,46430
245,1.34844,1.36994,1.34558,1.36511,ok,1308690000,57294
246,1.34218,1.35241,1.33538,1.34847,ok,1308776400,66626
247,1.32931,1.34369,1.32693,1.3422,ok,1308862800,56970
248,1.32931,1.32931,1.32931,1.32931,ok,1308949200,12
249,1.32888,1.33215,1.32655,1.32931,ok,1309035600,2190
250,1.33517,1.33768,1.32737,1.32915,ok,1309122000,54604
251,1.33065,1.33625,1.32616,1.3351,ok,1309208400,59475
252,1.33954,1.34227,1.32653,1.33062,ok,1309294800,54851
253,1.34886,1.35471,1.33208,1.33951,ok,1309381200,54126
254,1.36061,1.36559,1.34771,1.34888,ok,1309467600,54220
255,1.36061,1.36061,1.36061,1.36061,ok,1309554000,12
256,1.36171,1.36408,1.35984,1.36061,ok,1309640400,1343
257,1.36346,1.36969,1.35943,1.36168,ok,1309726800,34212
258,1.34971,1.36535,1.3476,1.36348,ok,1309813200,49788
259,1.34301,1.35173,1.33577,1.34965,ok,1309899600,49082
260,1.34822,1.3565,1.33866,1.34307,ok,1309986000,49671
261,1.34251,1.35847,1.33961,1.34819,ok,1310072400,56182
262,1.34251,1.34251,1.34251,1.34251,ok,1310158800,12
263,1.34252,1.34329,1.33997,1.34251,ok,1310245200,1687
264,1.32919,1.3439,1.32527,1.34254,ok,1310331600,53178
265,1.32109,1.3325,1.31545,1.32922,ok,1310418000,82178
266,1.31679,1.32746,1.31637,1.32122,ok,1310504400,68437
267,1.31672,1.32155,1.30496,1.31683,ok,1310590800,79661
268,1.31423,1.32027,1.30942,1.31679,ok,1310677200,56149
269,1.31423,1.31423,1.31423,1.31423,ok,1310763600,12
