,c,h,l,o,s,t,v
0,12.18555,12.36563,12.16622,12.31216,ok,1287435600,39506
1,12.30231,12.32399,12.14433,12.18586,ok,1287522000,37788
2,12.19106,12.30526,12.17971,12.30526,ok,1287608400,37473
3,12.16301,12.23014,12.1515,12.19036,ok,1287694800,29355
4,12.16039,12.18089,12.14401,12.16456,ok,1287867600,930
5,12.19556,12.24109,12.15196,12.16008,ok,1287954000,27864
6,12.29327,12.33131,12.17258,12.19432,ok,1288040400,35610
7,12.23084,12.31003,12.20357,12.29366,ok,1288126800,34359
8,12.36488,12.39301,12.22763,12.23146,ok,1288213200,28452
9,12.42546,12.4305,12.31476,12.36543,ok,1288299600,32326
10,12.4338,12.43589,12.42337,12.42422,ok,1288472400,514
11,12.43038,12.471,12.3966,12.43352,ok,1288558800,27061
12,12.43185,12.46343,12.37073,12.43085,ok,1288645200,27201
13,12.46253,12.53258,12.40708,12.43092,ok,1288731600,38180
14,12.60765,12.63262,12.46071,12.46222,ok,1288818000,32870
15,12.53655,12.6299,12.53248,12.60819,ok,1288904400,37126
16,12.53725,12.53725,12.53725,12.53725,ok,1288990800,1
17,12.54762,12.54824,12.53784,12.53784,ok,1289077200,198
18,12.50719,12.56609,12.48326,12.54847,ok,1289167200,28724
19,12.38913,12.54429,12.3633,12.50664,ok,1289253600,33949
20,12.4946,12.50716,12.37139,12.38944,ok,1289340000,42559
21,12.49485,12.54024,12.46408,12.49351,ok,1289426400,35158
22,12.48448,12.54296,12.39156,12.49478,ok,1289512800,45502
23,12.51415,12.5164,12.4768,12.47866,ok,1289685600,684
24,12.44322,12.52116,12.43515,12.51896,ok,1289772000,30215
25,12.32117,12.4705,12.28296,12.45112,ok,1289858400,40703
26,12.33801,12.36907,12.29537,12.32078,ok,1289944800,30309
27,12.43738,12.44729,12.32045,12.33794,ok,1290031200,32335
28,12.38578,12.47881,12.35638,12.43772,ok,1290117600,26649
29,12.38524,12.38524,12.38524,12.38524,ok,1290204000,1
30,12.38641,12.40786,12.37764,12.38447,ok,1290290400,1275
31,12.3736,12.47248,12.32875,12.38618,ok,1290376800,26914
32,12.23688,12.37982,12.22499,12.37321,ok,1290463200,34889
33,12.23673,12.28717,12.21218,12.23804,ok,1290549600,33385
34,12.22736,12.2536,12.20175,12.23682,ok,1290636000,19383
35,12.0984,12.23711,12.09208,12.22743,ok,1290722400,26879
36,12.0956,12.09731,12.0956,12.09653,ok,1290808800,3
37,12.10131,12.13029,12.09235,12.09638,ok,1290895200,2206
38,12.09276,12.14571,12.05713,12.10162,ok,1290981600,34010
