,c,h,l,o,s,t,v
0,128.093,129.398,127.764,128.98,ok,1287435600,87399
1,128.484,128.766,127.247,128.097,ok,1287522000,71707
2,127.691,129.229,127.484,128.487,ok,1287608400,80790
3,127.495,127.913,127.082,127.694,ok,1287694800,59288
4,127.338,127.695,127.089,127.695,ok,1287867600,1676
5,127.033,127.751,126.444,127.331,ok,1287954000,66349
6,129.002,129.139,126.815,127.038,ok,1288040400,86636
7,128.889,129.591,128.519,129.028,ok,1288126800,93407
8,129.163,129.371,128.079,128.896,ok,1288213200,74589
9,128.865,129.297,127.973,129.167,ok,1288299600,84065
10,128.823,128.854,128.823,128.844,ok,1288386000,4
11,128.766,128.929,128.557,128.768,ok,1288472400,1708
12,129.063,130.397,128.682,128.769,ok,1288558800,73072
13,129.293,129.669,128.956,129.069,ok,1288645200,69121
14,130.352,131.247,129.029,129.316,ok,1288731600,89634
15,131.321,131.51,130.115,130.358,ok,1288818000,81800
16,131.412,132.002,130.49,131.301,ok,1288904400,85805
17,131.436,131.436,131.429,131.429,ok,1288990800,3
18,131.484,131.695,131.366,131.366,ok,1289077200,1246
19,130.991,131.568,130.534,131.46,ok,1289167200,71687
20,130.551,131.068,129.831,130.998,ok,1289253600,94284
21,132.613,133.078,130.357,130.547,ok,1289340000,120654
22,132.962,133.249,132.25,132.599,ok,1289426400,88541
23,132.875,133.555,130.977,132.965,ok,1289512800,118001
24,133.093,133.147,132.639,132.793,ok,1289685600,2191
25,133.331,133.74,132.896,133.098,ok,1289772000,95396
26,132.269,133.763,132.171,133.333,ok,1289858400,101661
27,132.29,132.975,132.206,132.277,ok,1289944800,71513
28,133.942,134.205,132.225,132.308,ok,1290031200,81264
29,133.404,134.204,133.045,133.947,ok,1290117600,67884
30,133.398,133.398,133.398,133.398,ok,1290204000,1
31,133.416,133.501,133.12,133.416,ok,1290290400,3138
32,132.939,134.191,132.615,133.418,ok,1290376800,75739
33,131.148,133.371,130.832,132.915,ok,1290463200,93259
34,131.72,131.994,130.843,131.127,ok,1290549600,90141
35,131.723,132.031,131.364,131.716,ok,1290636000,55483
36,131.037,132.107,130.863,131.718,ok,1290722400,71014
37,130.903,131.014,130.903,131.014,ok,1290808800,2
38,131.021,131.187,130.598,130.973,ok,1290895200,4166
39,131.179,131.371,130.778,131.019,ok,1290981600,79053
40,130.2,131.255,129.347,131.184,ok,1291068000,92076
41,131.491,131.591,129.918,130.196,ok,1291154400,90912
42,130.731,131.755,130.184,131.499,ok,1291240800,84833
43,130.117,131.066,129.384,130.721,ok,1291327200,86263
44,130.114,130.114,130.114,130.114,ok,1291413600,1
45,130.169,130.311,130.05,130.138,ok,1291500000,884
46,129.866,130.621,129.531,130.192,ok,1291586400,62516
47,131.529,131.78,129.534,129.864,ok,1291672800,80279
48,132.758,133.011,131.334,131.518,ok,1291759200,85791
49,132.031,132.911,131.732,132.763,ok,1291845600,80007
50,132.554,132.709,131.94,132.04,ok,1291932000,56765
51,132.636,132.715,132.249,132.551,ok,1292104800,1157
