,c,h,l,o,s,t,v
0,2.10942,2.11132,2.09162,2.10114,ok,1287435600,23669
1,2.09839,2.11252,2.09497,2.10968,ok,1287522000,20178
2,2.10507,2.11034,2.09074,2.0989,ok,1287608400,20356
3,2.09794,2.10777,2.09371,2.10487,ok,1287694800,14365
4,2.08902,2.10144,2.0849,2.0982,ok,1287867600,788
5,2.08939,2.09895,2.07951,2.08861,ok,1287954000,14878
6,2.11409,2.11896,2.08586,2.08919,ok,1288040400,17231
7,2.11485,2.1279,2.11192,2.11424,ok,1288126800,20953
8,2.1139,2.12063,2.10045,2.11496,ok,1288213200,15231
9,2.0906,2.12205,2.08953,2.11405,ok,1288299600,19659
10,2.09308,2.09766,2.09039,2.09039,ok,1288472400,634
11,2.0892,2.10046,2.08552,2.09324,ok,1288558800,15734
12,2.07841,2.10211,2.06684,2.08902,ok,1288645200,16511
13,2.06089,2.0844,2.0604,2.07771,ok,1288731600,20942
14,2.04659,2.06846,2.03861,2.06076,ok,1288818000,19471
15,2.03205,2.05652,2.02809,2.04674,ok,1288904400,17327
16,2.03094,2.03217,2.03094,2.03217,ok,1288990800,2
17,2.03814,2.04555,2.03172,2.03172,ok,1289077200,475
18,2.04731,2.05568,2.03663,2.03827,ok,1289167200,14664
19,2.05459,2.06373,2.03565,2.04718,ok,1289253600,19444
20,2.05846,2.06924,2.03782,2.05449,ok,1289340000,24115
21,2.06513,2.07308,2.0493,2.05821,ok,1289426400,18100
22,2.08111,2.0909,2.0624,2.06531,ok,1289512800,20692
23,2.07724,2.08409,2.07418,2.08015,ok,1289685600,1328
24,2.07624,2.09648,2.06512,2.07813,ok,1289772000,16650
25,2.06808,2.08373,2.06566,2.07761,ok,1289858400,20102
26,2.06403,2.07919,2.05867,2.06639,ok,1289944800,14095
27,2.06014,2.06691,2.04965,2.06443,ok,1290031200,13827
28,2.05001,2.06953,2.0478,2.0598,ok,1290117600,13793
29,2.0486,2.05325,2.04548,2.05063,ok,1290290400,1004
30,2.06627,2.07484,2.04271,2.04879,ok,1290376800,16665
31,2.07831,2.08253,2.06331,2.06615,ok,1290463200,21476
32,2.07489,2.08155,2.06553,2.07817,ok,1290549600,16340
33,2.07291,2.08358,2.06723,2.07462,ok,1290636000,11250
34,2.07715,2.09444,2.06737,2.07303,ok,1290722400,15768
35,2.07664,2.07693,2.07664,2.0768,ok,1290808800,3
36,2.07147,2.08121,2.0674,2.07834,ok,1290895200,1580
37,2.08694,2.09057,2.0701,2.07133,ok,1290981600,16913
38,2.0949,2.09667,2.08046,2.08683,ok,1291068000,17807
39,2.08513,2.10142,2.07791,2.09505,ok,1291154400,18701
40,2.06457,2.08768,2.06259,2.08528,ok,1291240800,17720
41,2.05748,2.0746,2.05442,2.06443,ok,1291327200,16519
42,2.05632,2.05766,2.05632,2.05766,ok,1291413600,2
43,2.06189,2.06424,2.05256,2.05471,ok,1291500000,567
44,2.06238,2.06655,2.05786,2.06253,ok,1291586400,12396
45,2.08044,2.08221,2.05881,2.06211,ok,1291672800,17036
46,2.11308,2.12307,2.07774,2.08138,ok,1291759200,18741
47,2.10562,2.11835,2.10234,2.11367,ok,1291845600,17467
48,2.11334,2.11451,2.10168,2.10575,ok,1291932000,11566
49,2.11446,2.11501,2.10932,2.11297,ok,1292104800,976
50,2.11093,2.1155,2.08757,2.11457,ok,1292191200,11231
