,c,h,l,o,s,t,v
0,4.53685,4.54529,4.44586,4.46665,ok,1287435600,4200
1,4.47883,4.53849,4.47779,4.53793,ok,1287522000,3392
2,4.48508,4.50271,4.42955,4.4774,ok,1287608400,4033
3,4.42325,4.49208,4.42287,4.48447,ok,1287694800,3384
4,4.42085,4.42873,4.40985,4.41651,ok,1287867600,253
5,4.41669,4.45913,4.39505,4.42131,ok,1287954000,2715
6,4.49077,4.51347,4.41653,4.41697,ok,1288040400,3217
7,4.5306,4.54883,4.4892,4.48959,ok,1288126800,3083
8,4.54225,4.56311,4.50619,4.53167,ok,1288213200,2559
9,4.53141,4.60244,4.52996,4.54303,ok,1288299600,3081
10,4.53228,4.53636,4.52929,4.53047,ok,1288472400,64
11,4.57358,4.58552,4.53129,4.5328,ok,1288558800,2528
12,4.50441,4.58058,4.49829,4.57049,ok,1288645200,2303
13,4.44303,4.51964,4.44303,4.50499,ok,1288731600,3471
14,4.45997,4.47585,4.4246,4.44366,ok,1288818000,3283
15,4.48,4.52259,4.44396,4.46058,ok,1288904400,3627
16,4.47987,4.47987,4.47987,4.47987,ok,1288990800,1
17,4.47711,4.49047,4.47566,4.49047,ok,1289077200,367
18,4.5527,4.57325,4.47336,4.47732,ok,1289167200,2577
19,4.52345,4.58836,4.50079,4.55359,ok,1289253600,3254
20,4.54779,4.57339,4.50525,4.52401,ok,1289340000,3608
21,4.62976,4.65195,4.53839,4.54651,ok,1289426400,3207
22,4.60888,4.66894,4.57928,4.63036,ok,1289512800,4677
23,4.61023,4.61023,4.61023,4.61023,ok,1289599200,1
24,4.61863,4.6283,4.60221,4.61583,ok,1289685600,509
25,4.63328,4.66266,4.61782,4.61956,ok,1289772000,2660
26,4.66513,4.67037,4.61708,4.63262,ok,1289858400,3777
27,4.64166,4.67507,4.6399,4.66123,ok,1289944800,2724
28,4.61822,4.64518,4.593,4.64238,ok,1290031200,2936
29,4.56832,4.62871,4.56415,4.6199,ok,1290117600,2033
30,4.55328,4.5717,4.55129,4.5717,ok,1290290400,234
31,4.61451,4.63668,4.55227,4.55267,ok,1290376800,2253
32,4.69054,4.70795,4.61435,4.61435,ok,1290463200,3999
33,4.67741,4.72161,4.65285,4.68999,ok,1290549600,3944
34,4.68793,4.71427,4.67496,4.67762,ok,1290636000,2329
35,4.72017,4.80477,4.68599,4.69257,ok,1290722400,4233
36,4.71149,4.7234,4.69032,4.708,ok,1290895200,646
37,4.84257,4.87882,4.70798,4.71032,ok,1290981600,4776
38,4.81571,4.86824,4.80031,4.84325,ok,1291068000,4909
39,4.7484,4.82682,4.74662,4.8149,ok,1291154400,4627
40,4.70024,4.78242,4.69392,4.74747,ok,1291240800,4497
41,4.64665,4.73726,4.63973,4.69966,ok,1291327200,3530
42,4.65905,4.6602,4.63617,4.63617,ok,1291500000,236
43,4.72641,4.75471,4.64969,4.65576,ok,1291586400,3472
44,4.77612,4.77737,4.72183,4.72727,ok,1291672800,3325
45,4.79396,4.85786,4.77242,4.77507,ok,1291759200,3683
46,4.79917,4.82547,4.77772,4.79463,ok,1291845600,3311
47,4.77912,4.836,4.76792,4.79911,ok,1291932000,4405
48,4.79285,4.79389,4.76921,4.76921,ok,1292104800,128
49,4.72472,4.82653,4.72093,4.79357,ok,1292191200,2449
