,c,h,l,o,s,t,v
0,2.06172,2.07203,2.05374,2.06106,ok,1287435600,20083
1,2.06408,2.0665,2.04949,2.06196,ok,1287522000,17916
2,2.04389,2.06453,2.04128,2.06453,ok,1287608400,18628
3,2.032,2.04767,2.03176,2.04377,ok,1287694800,14454
4,2.02927,2.03649,2.02708,2.03226,ok,1287867600,685
5,2.03217,2.04059,2.02765,2.02939,ok,1287954000,12394
6,2.05385,2.06143,2.03046,2.03195,ok,1288040400,15655
7,2.05443,2.06465,2.05302,2.05392,ok,1288126800,16859
8,2.06534,2.07001,2.04892,2.05459,ok,1288213200,13385
9,2.07326,2.07562,2.06061,2.06548,ok,1288299600,14259
10,2.07374,2.07742,2.07305,2.07305,ok,1288472400,336
11,2.07083,2.07876,2.06795,2.07387,ok,1288558800,12856
12,2.06557,2.07482,2.05635,2.07091,ok,1288645200,11619
13,2.06697,2.07999,2.06142,2.06565,ok,1288731600,17446
14,2.08518,2.09015,2.06672,2.06686,ok,1288818000,14803
15,2.07872,2.08963,2.07492,2.08533,ok,1288904400,16085
16,2.07883,2.07883,2.07883,2.07883,ok,1288990800,1
17,2.08006,2.08156,2.07882,2.08043,ok,1289077200,161
18,2.07803,2.08158,2.07156,2.0802,ok,1289167200,13626
19,2.06195,2.07851,2.05769,2.0779,ok,1289253600,15538
20,2.07595,2.07808,2.0542,2.06205,ok,1289340000,19106
21,2.0782,2.08254,2.07233,2.07571,ok,1289426400,15572
22,2.08951,2.09682,2.07228,2.07832,ok,1289512800,22810
23,2.09527,2.09569,2.08823,2.08854,ok,1289685600,438
24,2.09097,2.10403,2.0888,2.09609,ok,1289772000,15477
25,2.07228,2.09472,2.06796,2.09106,ok,1289858400,18801
26,2.06921,2.07931,2.06721,2.07216,ok,1289944800,13611
27,2.07816,2.08089,2.06295,2.06956,ok,1290031200,14738
28,2.06929,2.08465,2.06772,2.07839,ok,1290117600,12192
29,2.06883,2.0692,2.06883,2.0692,ok,1290204000,3
30,2.06972,2.07296,2.06846,2.06912,ok,1290290400,765
31,2.06912,2.08267,2.06331,2.06983,ok,1290376800,11716
32,2.07291,2.09216,2.06746,2.06925,ok,1290463200,17622
33,2.06511,2.07657,2.06135,2.07299,ok,1290549600,16564
34,2.05842,2.0679,2.05659,2.06527,ok,1290636000,9736
35,2.05599,2.07392,2.05469,2.05853,ok,1290722400,14110
36,2.05557,2.05586,2.05557,2.05572,ok,1290808800,3
37,2.0526,2.06167,2.0526,2.05747,ok,1290895200,1399
38,2.05318,2.05826,2.04965,2.05269,ok,1290981600,15451
39,2.05375,2.06069,2.04685,2.05307,ok,1291068000,17086
40,2.04631,2.0595,2.03865,2.05388,ok,1291154400,17263
41,2.03773,2.05306,2.03273,2.0464,ok,1291240800,16136
42,2.0539,2.05635,2.03589,2.03757,ok,1291327200,16483
43,2.05308,2.05382,2.05308,2.05382,ok,1291413600,2
44,2.05007,2.05291,2.04936,2.05229,ok,1291500000,217
45,2.05037,2.05304,2.04461,2.04981,ok,1291586400,11436
46,2.0645,2.06662,2.04891,2.05029,ok,1291672800,14360
47,2.07605,2.0828,2.061,2.06438,ok,1291759200,17873
