,c,h,l,o,s,t,v
0,1.5704,1.59409,1.56786,1.58731,ok,1287435600,38645
1,1.58471,1.58776,1.56491,1.57044,ok,1287522000,36606
2,1.57028,1.58509,1.56856,1.58509,ok,1287608400,36153
3,1.5676,1.57498,1.56512,1.57019,ok,1287694800,28089
4,1.56704,1.56984,1.56493,1.5678,ok,1287867600,927
5,1.57211,1.57717,1.56594,1.567,ok,1287954000,26480
6,1.58436,1.58956,1.56902,1.57195,ok,1288040400,34222
7,1.5766,1.5865,1.57297,1.58441,ok,1288126800,33057
8,1.59443,1.59775,1.57616,1.57668,ok,1288213200,27405
9,1.60341,1.60407,1.58768,1.5945,ok,1288299600,30671
10,1.60422,1.60449,1.60287,1.60325,ok,1288472400,487
11,1.60337,1.60868,1.59899,1.60428,ok,1288558800,26333
12,1.60389,1.6079,1.59606,1.60343,ok,1288645200,26653
13,1.60795,1.61693,1.60063,1.60377,ok,1288731600,37569
14,1.62668,1.62986,1.60772,1.60791,ok,1288818000,32101
15,1.61778,1.62948,1.61656,1.62675,ok,1288904400,36149
16,1.61787,1.61787,1.61787,1.61787,ok,1288990800,1
17,1.6191,1.61918,1.61795,1.61849,ok,1289077200,196
18,1.61377,1.62123,1.61039,1.61921,ok,1289167200,28179
19,1.59834,1.61837,1.5951,1.6137,ok,1289253600,33235
20,1.61199,1.61353,1.596,1.59838,ok,1289340000,41965
21,1.61208,1.61783,1.60814,1.61185,ok,1289426400,34757
22,1.61095,1.61825,1.59854,1.61216,ok,1289512800,44837
23,1.61475,1.61504,1.60996,1.6102,ok,1289685600,678
24,1.60516,1.61537,1.60407,1.61537,ok,1289772000,29496
25,1.58832,1.60853,1.58387,1.60618,ok,1289858400,39344
26,1.59056,1.59475,1.58538,1.58827,ok,1289944800,29332
27,1.60394,1.60546,1.58878,1.59043,ok,1290031200,31504
28,1.59751,1.60933,1.59357,1.60399,ok,1290117600,25761
29,1.59744,1.59744,1.59744,1.59744,ok,1290204000,1
30,1.59764,1.6004,1.59648,1.59757,ok,1290290400,1250
31,1.59549,1.60834,1.58984,1.59771,ok,1290376800,25530
32,1.57733,1.5963,1.57586,1.59544,ok,1290463200,33098
33,1.57704,1.58371,1.57408,1.57748,ok,1290549600,32190
34,1.57587,1.57932,1.57247,1.57712,ok,1290636000,18586
35,1.55867,1.57713,1.55761,1.57596,ok,1290722400,25810
36,1.55831,1.55853,1.55831,1.55843,ok,1290808800,3
37,1.55909,1.56288,1.55799,1.55959,ok,1290895200,2137
38,1.55717,1.5646,1.5527,1.55913,ok,1290981600,32687
39,1.55603,1.55946,1.54842,1.55709,ok,1291068000,36975
40,1.56208,1.56476,1.55464,1.55608,ok,1291154400,36524
