,c,h,l,o,s,t,v
0,10.92514,10.98,10.87242,10.89853,ok,1287435600,17753
1,10.98626,10.99787,10.88126,10.92618,ok,1287522000,15530
2,10.94995,11.01041,10.83672,10.9837,ok,1287608400,16651
3,10.79389,10.97255,10.78114,10.94933,ok,1287694800,14467
4,10.79642,10.81519,10.7764,10.79527,ok,1287867600,513
5,10.8692,10.91254,10.78918,10.79702,ok,1287954000,11820
6,11.0011,11.01757,10.83105,10.87035,ok,1288040400,14688
7,11.12922,11.17851,10.97282,11.00056,ok,1288126800,17721
8,11.15453,11.19591,11.0947,11.13007,ok,1288213200,13306
9,11.13623,11.23916,11.08292,11.15183,ok,1288299600,15710
10,11.13388,11.13582,11.12388,11.13512,ok,1288472400,219
11,11.17182,11.26188,11.12825,11.13319,ok,1288558800,11871
12,11.04249,11.2,11.01949,11.17252,ok,1288645200,10662
13,11.02203,11.15061,11.0178,11.04094,ok,1288731600,15305
14,11.04987,11.09049,11.00008,11.02142,ok,1288818000,14140
15,10.8809,11.11161,10.87141,11.05069,ok,1288904400,14983
16,10.90993,10.9138,10.85991,10.91346,ok,1289077200,127
17,10.99474,11.11172,10.90138,10.91041,ok,1289167200,12690
18,10.98581,11.07412,10.94413,10.99381,ok,1289253600,15025
19,11.08029,11.13665,10.93655,10.98686,ok,1289340000,18214
20,11.1634,11.20791,11.06313,11.07898,ok,1289426400,15761
21,11.14487,11.26501,11.10912,11.16396,ok,1289512800,21265
22,11.13349,11.15357,11.10776,11.12761,ok,1289685600,419
23,11.20199,11.27106,11.1243,11.13776,ok,1289772000,13847
24,11.16414,11.28047,11.15544,11.20911,ok,1289858400,17844
25,11.14586,11.25108,11.13426,11.16347,ok,1289944800,14394
26,11.16749,11.22801,11.1023,11.14495,ok,1290031200,15296
27,11.10567,11.219,11.08682,11.17102,ok,1290117600,12181
28,11.13108,11.13876,11.09158,11.09667,ok,1290290400,569
29,11.15284,11.22203,11.10847,11.13171,ok,1290376800,12637
30,11.20462,11.27492,11.1338,11.15233,ok,1290463200,16455
31,11.13046,11.24625,11.11777,11.20396,ok,1290549600,15147
32,11.0741,11.15704,11.06121,11.12841,ok,1290636000,8635
33,11.06657,11.23939,11.04561,11.07333,ok,1290722400,14465
34,11.0643,11.06586,11.0643,11.06515,ok,1290808800,3
35,11.01748,11.09167,11.01748,11.05259,ok,1290895200,1111
36,11.05085,11.15217,11.01461,11.01677,ok,1290981600,15666
37,11.03751,11.10252,11.00584,11.0494,ok,1291068000,15948
38,10.95656,11.06103,10.91535,11.03805,ok,1291154400,14998
39,10.74028,10.96201,10.7081,10.95713,ok,1291240800,15698
40,10.73618,10.84239,10.72053,10.73967,ok,1291327200,13728
41,10.72033,10.73709,10.72033,10.73709,ok,1291413600,2
42,10.7436,10.75084,10.73304,10.73413,ok,1291500000,196
43,10.79369,10.88436,10.73766,10.74224,ok,1291586400,11278
44,10.88748,10.90324,10.79022,10.79296,ok,1291672800,12025
45,10.9154,10.96844,10.86827,10.88636,ok,1291759200,14470
46,10.82048,10.96034,10.80076,10.91414,ok,1291845600,13171
47,10.76748,10.95182,10.75845,10.82127,ok,1291932000,10202
48,10.74834,10.76549,10.74145,10.75859,ok,1292104800,228
49,10.82762,10.87356,10.72554,10.74913,ok,1292191200,8995
50,10.7674,10.86837,10.74349,10.82666,ok,1292277600,11632
51,10.64852,10.79076,10.6125,10.76667,ok,1292364000,13043
52,10.6697,10.71565,10.62691,10.64941,ok,1292450400,10080
53,10.60374,10.69614,10.56794,10.67029,ok,1292536800,10848
54,10.61555,10.61555,10.61323,10.61323,ok,1292623200,3
55,10.55323,10.60831,10.53732,10.60831,ok,1292709600,196
56,10.58872,10.71181,10.54423,10.55394,ok,1292796000,9765
57,10.53943,10.62218,10.50849,10.58784,ok,1292882400,8481
58,10.43655,10.5615,10.43092,10.53685,ok,1292968800,8447
59,10.39255,10.45578,10.37254,10.43539,ok,1293055200,8230
60,10.32278,10.4434,10.31159,10.39484,ok,1293141600,5250
61,10.31966,10.32113,10.31839,10.32113,ok,1293228000,4
62,10.32386,10.32596,10.31465,10.32156,ok,1293314400,54
63,10.37102,10.39175,10.32326,10.32326,ok,1293400800,5132
64,10.24138,10.39805,10.22734,10.36904,ok,1293487200,8896
65,10.27892,10.33212,10.19204,10.24081,ok,1293573600,9976
66,10.20703,10.29557,10.17712,10.27885,ok,1293660000,8738
67,10.26879,10.36121,10.16195,10.21067,ok,1293746400,9081
68,10.13287,10.27905,10.11322,10.27208,ok,1293919200,339
69,10.24457,10.29634,10.11764,10.13152,ok,1294005600,6987
70,10.37372,10.4742,10.22565,10.24529,ok,1294092000,12744
71,10.3677,10.50298,10.35771,10.37313,ok,1294178400,12261
72,10.49089,10.5442,10.36461,10.3688,ok,1294264800,13163
73,10.49787,10.60836,10.46571,10.49176,ok,1294351200,14705
74,10.52096,10.52285,10.45931,10.50991,ok,1294524000,785
75,10.59966,10.67277,10.51807,10.52033,ok,1294610400,12751
76,10.71277,10.7527,10.58777,10.59914,ok,1294696800,12367
77,10.74434,10.78505,10.65899,10.71071,ok,1294783200,12942
78,10.81752,10.83211,10.7189,10.75061,ok,1294869600,13272
79,10.91451,11.05371,10.76547,10.81649,ok,1294956000,14512
80,10.92721,10.94484,10.91353,10.91353,ok,1295128800,335
81,10.93397,11.04014,10.92751,10.92792,ok,1295215200,9987
82,11.0041,11.07237,10.91314,10.93316,ok,1295301600,13851
83,11.16545,11.18358,10.97025,11.00352,ok,1295388000,13782
84,11.23572,11.34268,11.09486,11.16604,ok,1295474400,15816
85,11.20602,11.38572,11.20206,11.23501,ok,1295560800,15515
86,11.20863,11.20863,11.20528,11.20528,ok,1295647200,2
87,11.22736,11.23136,11.19489,11.20407,ok,1295733600,540
88,11.17179,11.28683,11.16897,11.2279,ok,1295820000,10974
89,11.14382,11.21105,11.06807,11.17097,ok,1295906400,14678
90,11.24423,11.27062,11.11117,11.14481,ok,1295992800,14330
91,11.22701,11.29719,11.15835,11.24348,ok,1296079200,14158
92,11.30155,11.40967,11.19051,11.22832,ok,1296165600,14802
93,11.29709,11.30051,11.29709,11.30051,ok,1296252000,15
94,11.3272,11.33363,11.27897,11.29709,ok,1296338400,305
95,11.48677,11.52599,11.31351,11.32773,ok,1296424800,13071
96,11.47368,11.54234,11.44525,11.48513,ok,1296511200,13299
97,11.58015,11.60978,11.45523,11.47306,ok,1296597600,11062
98,11.70053,11.79343,11.55546,11.57939,ok,1296684000,13040
99,11.6041,11.79311,11.5615,11.70153,ok,1296770400,12154
100,11.60561,11.60561,11.60338,11.60338,ok,1296856800,14
101,11.60484,11.6161,11.57467,11.60561,ok,1296943200,385
102,11.63645,11.74737,11.59213,11.60422,ok,1297029600,11018
103,11.53826,11.70119,11.50641,11.63527,ok,1297116000,12803
104,11.59428,11.64885,11.5139,11.53917,ok,1297202400,12167
105,11.68997,11.73039,11.57705,11.59356,ok,1297288800,13082
106,11.57267,11.74485,11.54409,11.69059,ok,1297375200,11459
107,11.57267,11.57267,11.57267,11.57267,ok,1297461600,3
108,11.56943,11.5792,11.5488,11.57267,ok,1297548000,244
109,11.66739,11.72502,11.55726,11.5699,ok,1297634400,10944
110,11.81002,11.83633,11.62644,11.66628,ok,1297720800,11989
111,11.65798,11.87368,11.58754,11.81059,ok,1297807200,14653
112,11.56673,11.70434,11.56391,11.65859,ok,1297893600,11845
113,11.52429,11.69247,11.46643,11.56738,ok,1297980000,10916
114,11.52429,11.52429,11.52429,11.52429,ok,1298066400,12
115,11.50334,11.53018,11.50158,11.52429,ok,1298152800,179
116,11.57697,11.62826,11.49138,11.50264,ok,1298239200,6293
117,11.53866,11.67951,11.49056,11.57608,ok,1298325600,12577
118,11.50718,11.60077,11.4689,11.53931,ok,1298412000,12736
119,11.35154,11.57116,11.34883,11.50788,ok,1298498400,12237
