,c,h,l,o,s,t,v
0,6481.7,6548.6,6456.7,6510.1,ok,1287435600,14484
1,6531.8,6540.2,6464.8,6493.2,ok,1287522000,12272
2,6598.3,6624.8,6508.3,6518.8,ok,1287608400,13749
3,6620.4,6626.9,6589.4,6607.8,ok,1287694800,8846
4,6641.2,6672.6,6629.2,6661.6,ok,1287954000,9480
5,6635.8,6650.2,6584.3,6643.7,ok,1288040400,11120
6,6599.9,6632.9,6557.0,6607.4,ok,1288126800,12110
7,6610.1,6651.0,6579.6,6605.5,ok,1288213200,11980
8,6618.1,6634.6,6573.1,6578.1,ok,1288299600,11013
9,6594.0,6674.4,6561.0,6661.4,ok,1288558800,12933
10,6676.1,6678.6,6598.1,6604.5,ok,1288645200,10514
11,6654.2,6685.1,6603.7,6669.1,ok,1288731600,12240
12,6751.7,6761.7,6660.2,6665.7,ok,1288818000,12197
13,6762.8,6778.8,6715.3,6740.3,ok,1288904400,11609
14,6769.6,6771.1,6731.1,6749.1,ok,1289167200,9038
15,6762.8,6814.2,6736.2,6749.2,ok,1289253600,10837
16,6759.9,6786.8,6686.9,6771.3,ok,1289340000,12874
17,6745.0,6764.4,6704.0,6752.4,ok,1289426400,12378
18,6720.1,6763.1,6621.6,6677.1,ok,1289512800,17139
19,6782.4,6816.4,6681.9,6706.4,ok,1289772000,12663
20,6670.1,6773.0,6651.6,6757.5,ok,1289858400,15082
21,6700.7,6709.7,6657.1,6671.6,ok,1289944800,12016
22,6837.7,6839.2,6756.2,6757.2,ok,1290031200,10749
23,6866.8,6868.8,6795.3,6841.8,ok,1290117600,11201
24,6843.2,6904.1,6796.2,6884.6,ok,1290376800,13066
25,6721.4,6830.3,6708.8,6799.3,ok,1290463200,15897
26,6848.9,6851.4,6702.4,6744.4,ok,1290549600,13909
27,6876.0,6887.0,6822.5,6831.0,ok,1290636000,6753
28,6837.1,6872.6,6779.1,6847.6,ok,1290722400,12729
29,6749.0,6907.9,6686.0,6859.4,ok,1290981600,17961
30,6707.1,6764.6,6659.1,6726.1,ok,1291068000,17845
31,6885.7,6886.7,6723.7,6725.2,ok,1291154400,15683
32,6965.3,6965.3,6841.3,6874.2,ok,1291240800,16573
33,6969.4,6978.4,6914.9,6954.3,ok,1291327200,12151
34,6954.8,6977.2,6926.7,6967.7,ok,1291586400,10633
35,6989.4,7042.3,6961.3,6973.3,ok,1291672800,12706
36,6985.5,7013.4,6955.9,6980.4,ok,1291759200,12350
37,6981.6,7028.0,6948.1,7009.5,ok,1291845600,11923
38,7023.2,7027.7,6973.6,7004.1,ok,1291932000,9156
39,7019.1,7045.0,7012.5,7012.5,ok,1292191200,8274
