,c,h,l,o,s,t,v
0,1293.87,1316.07,1289.56,1312.65,ok,1287435600,52443
1,1294.11,1298.21,1282.17,1293.91,ok,1287522000,42023
2,1282.39,1300.67,1274.26,1294.15,ok,1287608400,52131
3,1296.11,1299.77,1279.29,1282.44,ok,1287694800,40865
4,1295.88,1295.88,1295.88,1295.88,ok,1287781200,1
5,1292.93,1297.53,1290.94,1297.53,ok,1287867600,824
6,1300.38,1307.85,1292.42,1292.76,ok,1287954000,35160
7,1318.89,1322.98,1295.3,1300.5,ok,1288040400,37719
8,1312.05,1323.44,1307.6,1318.82,ok,1288126800,44139
9,1321.24,1323.15,1305.85,1311.98,ok,1288213200,36308
10,1333.49,1337.57,1318.68,1321.38,ok,1288299600,42675
11,1333.52,1333.77,1333.49,1333.77,ok,1288386000,6
12,1332.46,1334.75,1332.09,1333.69,ok,1288472400,296
13,1342.29,1349.16,1332.11,1332.54,ok,1288558800,37090
14,1329.09,1345.66,1320.34,1342.4,ok,1288645200,31531
15,1308.57,1337.76,1296.74,1329.29,ok,1288731600,59698
16,1333.98,1335.77,1307.07,1308.64,ok,1288818000,46573
17,1337.95,1342.43,1320.56,1334.02,ok,1288904400,55897
18,1339.81,1339.81,1337.58,1337.73,ok,1288990800,7
19,1339.46,1341.12,1336.93,1339.11,ok,1289077200,947
20,1361.04,1362.18,1336.67,1339.38,ok,1289167200,39003
21,1347.99,1371.99,1340.36,1360.98,ok,1289253600,53247
22,1362.28,1369.02,1345.0,1348.25,ok,1289340000,65334
23,1372.79,1377.12,1358.59,1362.17,ok,1289426400,51472
24,1340.68,1376.41,1331.78,1372.84,ok,1289512800,68648
25,1338.74,1341.32,1335.92,1339.07,ok,1289685600,1442
26,1339.06,1354.01,1335.61,1338.64,ok,1289772000,53669
27,1333.66,1342.65,1319.92,1338.99,ok,1289858400,58522
28,1324.12,1337.53,1322.43,1333.74,ok,1289944800,45384
29,1347.18,1354.08,1322.31,1324.21,ok,1290031200,41890
30,1341.28,1357.03,1338.81,1347.12,ok,1290117600,43472
31,1341.63,1341.63,1341.35,1341.35,ok,1290204000,2
32,1341.77,1342.36,1336.11,1341.24,ok,1290290400,1032
33,1352.01,1353.95,1336.48,1341.68,ok,1290376800,39762
34,1372.4,1374.06,1340.46,1352.65,ok,1290463200,52081
35,1367.07,1377.74,1359.1,1372.33,ok,1290549600,39532
36,1375.0,1376.52,1362.62,1366.93,ok,1290636000,22019
37,1366.05,1375.86,1353.69,1374.9,ok,1290722400,33308
38,1366.18,1366.18,1365.84,1365.84,ok,1290808800,3
39,1365.39,1366.11,1360.37,1366.11,ok,1290895200,2684
40,1365.82,1370.74,1356.46,1365.25,ok,1290981600,42739
41,1390.43,1393.28,1357.73,1365.78,ok,1291068000,47124
42,1390.6,1404.84,1386.21,1390.39,ok,1291154400,46358
43,1374.65,1399.64,1371.86,1390.54,ok,1291240800,52092
44,1374.83,1383.44,1367.68,1374.54,ok,1291327200,43080
45,1374.24,1374.66,1374.24,1374.66,ok,1291413600,3
46,1378.01,1378.25,1375.25,1376.11,ok,1291500000,787
47,1396.91,1400.64,1373.75,1377.93,ok,1291586400,36756
48,1383.78,1398.98,1379.08,1396.96,ok,1291672800,47063
49,1362.14,1387.11,1354.25,1383.74,ok,1291759200,49705
50,1363.41,1373.7,1360.18,1362.05,ok,1291845600,45851
51,1357.95,1367.66,1349.01,1363.56,ok,1291932000,36155
52,1357.85,1357.85,1357.85,1357.85,ok,1292018400,1
53,1362.0,1363.22,1356.37,1357.99,ok,1292104800,492
54,1348.65,1370.39,1346.86,1362.07,ok,1292191200,32368
55,1338.96,1361.72,1337.98,1348.56,ok,1292277600,42092
56,1335.98,1343.98,1330.31,1339.12,ok,1292364000,41815
57,1320.62,1346.46,1318.95,1336.15,ok,1292450400,40168
58,1330.53,1338.34,1314.06,1320.69,ok,1292536800,38274
59,1330.37,1330.37,1330.37,1330.37,ok,1292623200,1
60,1329.25,1332.41,1328.96,1331.29,ok,1292709600,593
61,1336.01,1343.42,1329.1,1329.32,ok,1292796000,30133
62,1326.88,1337.82,1322.33,1336.09,ok,1292882400,28177
63,1318.47,1331.29,1316.26,1326.77,ok,1292968800,25876
64,1322.35,1331.33,1316.09,1318.39,ok,1293055200,27038
65,1328.33,1332.45,1318.76,1322.48,ok,1293141600,9849
66,1327.37,1328.33,1327.37,1328.13,ok,1293228000,7
67,1325.64,1328.39,1325.24,1326.89,ok,1293314400,99
68,1327.22,1333.8,1318.96,1325.88,ok,1293400800,20664
69,1338.5,1339.27,1315.53,1327.26,ok,1293487200,30038
70,1334.44,1344.51,1331.32,1338.33,ok,1293573600,24164
71,1312.74,1334.94,1312.74,1334.34,ok,1293660000,23670
72,1326.5,1328.21,1311.33,1313.07,ok,1293746400,20121
73,1326.48,1327.67,1322.95,1322.95,ok,1293919200,325
74,1319.96,1333.47,1318.34,1326.53,ok,1294005600,26137
75,1308.98,1332.72,1301.28,1319.91,ok,1294092000,39116
76,1330.58,1331.2,1306.3,1309.17,ok,1294178400,45258
77,1323.63,1335.41,1316.11,1330.63,ok,1294264800,38759
78,1322.8,1329.24,1305.62,1323.56,ok,1294351200,45902
79,1322.9,1322.9,1322.9,1322.9,ok,1294437600,1
80,1325.32,1325.58,1322.17,1322.23,ok,1294524000,687
81,1330.34,1332.46,1319.36,1325.26,ok,1294610400,34252
82,1344.64,1351.66,1327.62,1330.29,ok,1294696800,36229
83,1341.11,1351.76,1336.3,1344.59,ok,1294783200,37605
84,1323.13,1350.93,1320.64,1341.16,ok,1294869600,39958
85,1310.38,1329.1,1307.02,1323.18,ok,1294956000,42354
86,1310.16,1310.27,1310.16,1310.27,ok,1295042400,3
87,1309.37,1312.46,1308.76,1310.64,ok,1295128800,795
88,1312.33,1318.11,1309.37,1309.48,ok,1295215200,23037
89,1317.62,1321.05,1306.02,1312.38,ok,1295301600,34500
90,1307.48,1323.25,1305.14,1317.68,ok,1295388000,33892
91,1301.22,1311.31,1290.29,1307.55,ok,1295474400,41915
92,1284.93,1305.56,1283.49,1301.33,ok,1295560800,34964
93,1281.94,1286.3,1281.66,1285.42,ok,1295733600,678
94,1265.96,1298.24,1263.89,1281.89,ok,1295820000,28803
95,1255.11,1270.66,1248.8,1265.91,ok,1295906400,37444
96,1266.63,1270.03,1248.3,1255.19,ok,1295992800,33099
97,1241.24,1271.1,1238.7,1266.51,ok,1296079200,35156
98,1257.31,1270.12,1236.82,1241.18,ok,1296165600,39031
99,1257.56,1257.56,1257.4,1257.4,ok,1296252000,15
100,1257.96,1261.29,1257.42,1257.56,ok,1296338400,911
101,1257.45,1267.43,1244.45,1258.03,ok,1296424800,34782
102,1254.05,1263.59,1246.84,1257.38,ok,1296511200,34377
103,1254.56,1259.82,1247.16,1254.1,ok,1296597600,31931
104,1280.01,1282.51,1249.99,1254.46,ok,1296684000,37841
105,1286.41,1300.62,1276.05,1280.06,ok,1296770400,33063
106,1286.41,1286.41,1286.41,1286.41,ok,1296856800,12
107,1290.8,1291.84,1284.19,1286.41,ok,1296943200,798
108,1290.62,1294.65,1282.48,1290.73,ok,1297029600,26744
109,1313.19,1314.67,1286.77,1290.66,ok,1297116000,29142
110,1305.53,1317.34,1302.94,1313.25,ok,1297202400,26892
111,1320.93,1321.6,1302.84,1305.6,ok,1297288800,27698
112,1318.57,1330.32,1317.52,1320.86,ok,1297375200,30153
113,1318.69,1318.69,1318.69,1318.69,ok,1297461600,4
114,1320.8,1321.22,1317.98,1318.69,ok,1297548000,1194
115,1320.34,1326.48,1317.39,1320.75,ok,1297634400,22489
116,1327.81,1338.11,1319.71,1320.44,ok,1297720800,24393
117,1318.03,1337.27,1313.23,1327.87,ok,1297807200,30511
118,1313.75,1323.77,1308.91,1318.1,ok,1297893600,24544
119,1311.07,1322.29,1307.53,1313.71,ok,1297980000,24825
120,1311.12,1311.12,1311.12,1311.12,ok,1298066400,13
121,1308.82,1311.34,1307.35,1311.12,ok,1298152800,604
122,1330.99,1333.42,1308.88,1308.88,ok,1298239200,17335
123,1312.89,1337.0,1310.2,1330.92,ok,1298325600,34911
124,1316.51,1320.56,1308.41,1312.96,ok,1298412000,27184
125,1298.85,1318.34,1289.28,1316.38,ok,1298498400,36665
126,1307.43,1311.85,1294.61,1298.93,ok,1298584800,27562
127,1307.49,1307.49,1307.49,1307.49,ok,1298671200,15
128,1306.97,1309.68,1306.45,1307.49,ok,1298757600,653
129,1310.21,1315.9,1304.67,1306.9,ok,1298844000,25703
130,1330.37,1333.67,1308.46,1310.11,ok,1298930400,25484
131,1323.92,1331.54,1320.75,1330.27,ok,1299016800,26444
132,1318.24,1328.01,1313.5,1324.09,ok,1299103200,35796
133,1321.24,1328.18,1314.3,1318.15,ok,1299189600,27455
134,1321.14,1321.14,1321.14,1321.14,ok,1299276000,1
135,1324.2,1325.83,1321.14,1321.14,ok,1299362400,438
136,1326.07,1335.23,1322.08,1324.29,ok,1299448800,28017
137,1335.46,1339.69,1322.71,1326.02,ok,1299535200,26977
138,1329.05,1337.53,1325.26,1335.37,ok,1299621600,22787
139,1314.99,1336.59,1308.72,1329.12,ok,1299708000,31948
140,1316.21,1323.95,1309.57,1314.92,ok,1299794400,31849
141,1316.21,1316.21,1316.21,1316.21,ok,1299880800,14
142,1314.7,1316.21,1310.46,1316.21,ok,1299967200,1957
143,1317.73,1330.21,1313.54,1314.82,ok,1300050000,29336
144,1278.5,1320.46,1270.72,1317.77,ok,1300136400,45973
145,1269.6,1288.89,1263.7,1278.59,ok,1300222800,37158
146,1260.88,1271.1,1247.6,1269.65,ok,1300309200,49745
147,1275.67,1286.14,1257.41,1260.84,ok,1300395600,37499
148,1276.08,1276.08,1275.99,1275.99,ok,1300482000,14
149,1275.82,1278.34,1274.93,1276.08,ok,1300568400,589
150,1290.54,1298.77,1275.76,1275.76,ok,1300654800,24634
151,1289.05,1296.15,1282.83,1290.65,ok,1300741200,23107
152,1304.66,1307.9,1282.72,1289.13,ok,1300827600,22416
153,1298.9,1313.28,1292.66,1304.77,ok,1300914000,29322
154,1313.39,1315.98,1298.73,1299.02,ok,1301000400,27096
155,1313.34,1313.43,1313.34,1313.43,ok,1301086800,15
156,1315.29,1316.16,1312.81,1313.34,ok,1301173200,450
157,1301.57,1316.31,1296.29,1315.2,ok,1301259600,23123
158,1304.61,1310.4,1295.97,1301.53,ok,1301346000,21606
159,1306.02,1321.7,1303.22,1304.66,ok,1301432400,26587
160,1315.74,1317.77,1305.05,1306.06,ok,1301518800,25480
161,1317.97,1325.41,1314.72,1315.9,ok,1301605200,35288
162,1317.97,1321.79,1317.64,1318.16,ok,1301691600,17
163,1318.94,1319.85,1317.34,1317.97,ok,1301778000,257
164,1323.01,1327.43,1318.58,1318.87,ok,1301864400,19911
165,1346.73,1347.9,1320.9,1322.93,ok,1301950800,26113
166,1340.78,1349.46,1332.05,1346.66,ok,1302037200,27470
167,1335.52,1345.39,1330.7,1340.72,ok,1302123600,27961
168,1334.98,1346.19,1333.51,1335.59,ok,1302210000,26022
169,1334.93,1334.94,1334.21,1334.94,ok,1302296400,13
170,1335.78,1340.1,1333.76,1334.93,ok,1302382800,1090
171,1326.02,1342.84,1322.77,1335.84,ok,1302469200,26902
172,1302.64,1327.53,1296.36,1325.97,ok,1302555600,36956
173,1305.73,1312.36,1298.2,1302.69,ok,1302642000,28233
174,1315.02,1315.88,1298.05,1305.77,ok,1302728400,32970
175,1324.9,1329.4,1312.63,1315.08,ok,1302814800,29356
176,1324.9,1324.9,1324.9,1324.9,ok,1302901200,11
177,1325.11,1326.71,1324.02,1324.9,ok,1302987600,416
178,1339.77,1344.75,1324.44,1325.03,ok,1303074000,36523
179,1345.91,1347.7,1332.71,1339.89,ok,1303160400,27764
180,1333.47,1347.86,1330.96,1345.95,ok,1303246800,31364
181,1332.87,1338.53,1318.93,1333.53,ok,1303333200,29593
182,1332.38,1338.48,1330.22,1332.81,ok,1303419600,5792
183,1332.37,1332.37,1332.37,1332.37,ok,1303506000,13
184,1331.0,1332.37,1330.63,1332.37,ok,1303592400,99
185,1327.28,1343.72,1323.47,1331.06,ok,1303678800,32090
186,1317.65,1329.95,1311.62,1327.21,ok,1303765200,30419
187,1334.98,1338.56,1306.46,1317.69,ok,1303851600,38584
188,1341.43,1342.01,1326.9,1335.06,ok,1303938000,37236
189,1351.25,1354.15,1329.68,1341.51,ok,1304024400,32726
190,1351.25,1351.25,1351.25,1351.25,ok,1304110800,12
191,1351.11,1352.55,1349.92,1351.25,ok,1304197200,124
192,1336.68,1361.17,1334.03,1351.05,ok,1304283600,56820
193,1322.13,1341.86,1315.88,1336.6,ok,1304370000,53673
194,1305.98,1327.51,1294.56,1322.21,ok,1304456400,54173
195,1282.92,1312.65,1272.65,1305.94,ok,1304542800,71342
196,1312.97,1313.63,1279.5,1282.86,ok,1304629200,69615
197,1312.97,1312.97,1312.97,1312.97,ok,1304715600,12
198,1312.12,1316.1,1302.75,1312.97,ok,1304802000,1566
199,1319.02,1323.65,1305.83,1312.03,ok,1304888400,45267
200,1333.35,1339.02,1314.0,1318.97,ok,1304974800,39135
201,1332.24,1343.06,1325.97,1333.28,ok,1305061200,44165
202,1330.66,1334.3,1313.46,1332.29,ok,1305147600,53665
203,1332.96,1340.44,1325.57,1330.7,ok,1305234000,44153
204,1332.96,1332.96,1332.96,1332.96,ok,1305320400,13
205,1332.07,1333.88,1331.52,1332.96,ok,1305406800,364
