,c,h,l,o,s,t,v
0,970.05,983.9,965.31,981.77,ok,1287435600,73399
1,963.63,973.6,959.82,970.0,ok,1287522000,55526
2,951.97,968.08,947.08,963.66,ok,1287608400,62327
3,950.84,955.19,945.64,952.01,ok,1287694800,49761
4,950.68,950.74,950.68,950.74,ok,1287781200,2
5,949.6,951.21,948.07,950.88,ok,1287867600,1156
6,959.16,960.61,949.07,949.64,ok,1287954000,43983
7,966.87,967.7,955.65,959.24,ok,1288040400,47899
8,962.21,970.37,958.43,966.84,ok,1288126800,57297
9,964.53,966.31,957.08,962.24,ok,1288213200,45826
10,973.46,977.19,962.36,964.63,ok,1288299600,51196
11,971.67,973.83,971.26,973.72,ok,1288472400,685
12,974.13,978.71,970.32,971.64,ok,1288558800,44068
13,966.99,974.83,962.77,974.23,ok,1288645200,38756
14,953.49,971.95,944.72,967.02,ok,1288731600,69077
15,979.76,980.66,952.42,953.56,ok,1288818000,56437
16,991.98,994.74,972.79,979.7,ok,1288904400,64845
17,991.99,991.99,991.93,991.93,ok,1288990800,2
18,990.81,993.56,990.81,991.71,ok,1289077200,1485
19,1012.23,1012.88,990.33,990.75,ok,1289167200,50651
20,1011.03,1027.89,1005.19,1012.19,ok,1289253600,70462
21,1018.24,1021.09,1010.3,1011.22,ok,1289340000,83035
22,1030.14,1033.4,1015.59,1018.33,ok,1289426400,66683
23,998.46,1034.41,993.91,1030.09,ok,1289512800,88234
24,998.21,1001.9,996.86,998.33,ok,1289685600,2154
25,1001.02,1010.96,996.67,998.15,ok,1289772000,67653
26,992.8,1003.59,984.31,1000.99,ok,1289858400,80309
27,987.13,995.86,985.66,992.82,ok,1289944800,58994
28,991.64,998.71,985.62,987.16,ok,1290031200,54435
29,988.78,998.06,982.62,991.7,ok,1290117600,53445
30,985.99,988.41,983.2,988.41,ok,1290290400,1981
31,1002.71,1003.95,984.09,985.8,ok,1290376800,53282
32,1029.5,1031.43,999.39,1002.86,ok,1290463200,68850
33,1029.42,1037.89,1021.9,1029.37,ok,1290549600,55437
34,1028.64,1031.85,1026.03,1029.45,ok,1290636000,27496
35,1028.4,1034.4,1019.89,1028.57,ok,1290722400,47131
36,1028.24,1028.24,1028.24,1028.24,ok,1290808800,1
37,1025.33,1028.24,1019.3,1028.19,ok,1290895200,4690
38,1040.57,1044.61,1022.65,1025.28,ok,1290981600,56602
39,1067.28,1067.95,1039.3,1040.65,ok,1291068000,62393
40,1055.92,1070.34,1054.72,1067.24,ok,1291154400,61240
41,1048.26,1063.5,1045.28,1055.88,ok,1291240800,64697
42,1052.79,1055.37,1045.19,1048.2,ok,1291327200,56240
43,1052.6,1052.6,1052.6,1052.6,ok,1291413600,1
44,1056.1,1056.15,1050.6,1052.92,ok,1291500000,1612
