,c,h,l,o,s,t,v
0,10332.65,10635.08,10306.77,10613.38,ok,1287435600,66304
1,10447.23,10456.79,10325.05,10332.8,ok,1287522000,53926
2,10288.74,10475.87,10233.13,10447.54,ok,1287608400,61850
3,10297.98,10315.16,10213.48,10288.97,ok,1287694800,49791
4,10299.44,10299.44,10298.4,10299.04,ok,1287867600,6
5,10390.95,10471.31,10291.19,10299.63,ok,1287954000,45354
6,10397.71,10423.97,10302.12,10390.41,ok,1288040400,46517
7,10278.68,10424.71,10234.03,10398.26,ok,1288126800,56463
8,10420.69,10439.67,10263.22,10278.45,ok,1288213200,47377
9,10524.77,10536.68,10356.3,10421.86,ok,1288299600,51580
10,10517.48,10517.92,10515.78,10515.78,ok,1288472400,20
11,10492.99,10586.01,10458.49,10517.29,ok,1288558800,41012
12,10519.27,10540.01,10466.71,10493.85,ok,1288645200,37655
13,10449.4,10577.2,10273.27,10518.42,ok,1288731600,63995
14,10789.29,10801.06,10439.31,10449.94,ok,1288818000,58214
15,10790.57,10836.41,10645.07,10789.6,ok,1288904400,69547
16,10790.03,10790.03,10790.03,10790.03,ok,1288990800,1
17,10796.95,10797.66,10790.54,10790.54,ok,1289077200,4
18,10920.86,10931.02,10750.32,10796.63,ok,1289167200,51268
19,10794.0,11040.63,10715.79,10920.62,ok,1289253600,75122
20,10878.51,10929.83,10724.91,10796.1,ok,1289340000,87568
21,10913.07,10988.76,10829.28,10878.69,ok,1289426400,71393
22,10597.56,10929.28,10537.86,10913.01,ok,1289512800,96850
23,10605.14,10605.8,10604.92,10604.92,ok,1289685600,8
24,10544.05,10673.77,10509.54,10604.34,ok,1289772000,78648
25,10389.43,10580.06,10309.49,10543.74,ok,1289858400,87471
26,10360.43,10432.24,10321.6,10388.27,ok,1289944800,66003
27,10491.4,10538.69,10342.94,10360.54,ok,1290031200,58665
28,10485.4,10568.29,10402.02,10491.62,ok,1290117600,61809
29,10487.73,10487.73,10479.94,10484.75,ok,1290290400,26
30,10597.31,10607.05,10456.82,10487.6,ok,1290376800,55515
31,10676.36,10725.45,10521.58,10596.69,ok,1290463200,68419
32,10652.62,10717.17,10624.28,10675.82,ok,1290549600,45575
33,10663.83,10669.32,10612.68,10652.75,ok,1290636000,16704
34,10574.09,10672.5,10486.81,10663.13,ok,1290722400,37608
35,10572.46,10572.46,10572.46,10572.46,ok,1290808800,1
36,10571.57,10572.6,10571.24,10571.92,ok,1290895200,60
37,10607.39,10633.11,10497.22,10571.48,ok,1290981600,54842
38,10761.24,10793.08,10581.43,10606.07,ok,1291068000,55320
39,10777.66,10850.23,10731.48,10761.94,ok,1291154400,58780
40,10753.94,10860.79,10735.32,10777.23,ok,1291240800,61446
41,10966.48,10978.7,10750.82,10753.7,ok,1291327200,57073
42,10966.25,10966.25,10966.25,10966.25,ok,1291413600,1
43,10969.17,10969.41,10966.64,10968.89,ok,1291500000,19
44,11046.12,11078.0,10935.55,10970.51,ok,1291586400,51643
45,10877.1,11110.48,10837.82,11046.35,ok,1291672800,69565
46,10729.62,10901.92,10649.67,10876.79,ok,1291759200,70432
47,10777.59,10836.81,10716.98,10728.77,ok,1291845600,55299
48,10762.77,10821.2,10667.52,10778.73,ok,1291932000,54090
49,10763.57,10764.5,10761.37,10763.73,ok,1292104800,33
50,10840.49,10882.85,10727.91,10763.85,ok,1292191200,46632
51,10847.1,10946.58,10819.01,10840.1,ok,1292277600,55690
52,10732.07,10861.04,10714.48,10847.41,ok,1292364000,50213
53,10651.02,10780.84,10584.7,10731.68,ok,1292450400,55005
54,10685.41,10721.05,10614.16,10650.63,ok,1292536800,49921
55,10679.85,10684.62,10679.36,10684.62,ok,1292709600,16
56,10766.17,10797.69,10679.69,10679.69,ok,1292796000,38113
57,10766.88,10821.87,10734.25,10765.76,ok,1292882400,33648
58,10772.61,10815.37,10757.67,10767.26,ok,1292968800,27749
