,c,h,l,o,s,t,v
0,108631,111509,108312,111177,ok,1287435600,18339
1,109116,109236,108305,108623,ok,1287522000,13699
2,107771,109827,107088,109126,ok,1287608400,17951
3,107930,108078,106730,107778,ok,1287694800,13248
4,107820,108022,107662,107893,ok,1287867600,303
5,108232,108879,107439,107831,ok,1287954000,12200
6,109122,109253,107923,108241,ok,1288040400,12714
7,108314,109520,107624,109098,ok,1288126800,16550
8,108856,108947,107539,108322,ok,1288213200,12741
9,109140,109379,107745,108872,ok,1288299600,14230
10,109103,109129,109103,109121,ok,1288386000,4
11,108913,109201,108793,109088,ok,1288472400,368
12,108959,110597,108750,108926,ok,1288558800,13690
13,109404,109873,108722,108969,ok,1288645200,9937
14,109294,110313,107940,109422,ok,1288731600,21610
15,112390,112392,109115,109304,ok,1288818000,16342
16,113097,113700,111447,112400,ok,1288904400,20063
17,113105,113105,113105,113105,ok,1288990800,1
18,113135,113345,113064,113064,ok,1289077200,242
19,114374,114517,112477,113126,ok,1289167200,13754
20,113752,115529,113301,114384,ok,1289253600,21237
21,115472,115875,113606,113770,ok,1289340000,25810
22,116131,116568,115030,115482,ok,1289426400,19867
23,112786,116300,112273,116140,ok,1289512800,26458
24,112807,112937,112681,112681,ok,1289685600,534
25,112991,114077,112735,112799,ok,1289772000,21377
26,111536,113475,110954,112981,ok,1289858400,23242
27,111086,112085,111007,111548,ok,1289944800,17012
28,113006,113680,110935,111105,ok,1290031200,15671
29,112920,113866,111963,113021,ok,1290117600,16724
30,112927,112927,112927,112927,ok,1290204000,1
31,112967,113021,112382,112859,ok,1290290400,509
32,113858,113876,112542,112956,ok,1290376800,14817
33,114443,114599,113064,113847,ok,1290463200,18808
34,114672,114991,114011,114432,ok,1290549600,13040
35,114884,114992,114168,114658,ok,1290636000,5731
36,114503,115093,113394,114877,ok,1290722400,10953
37,114392,114510,114392,114510,ok,1290808800,3
38,114440,114476,114120,114454,ok,1290895200,620
39,115078,115412,113786,114431,ok,1290981600,14340
40,115952,116169,114618,115063,ok,1291068000,15503
41,116794,117334,115536,115961,ok,1291154400,16238
42,116060,117302,115906,116778,ok,1291240800,16430
43,116541,116908,115347,115993,ok,1291327200,15781
44,116523,116523,116523,116523,ok,1291413600,1
45,116724,116796,116452,116452,ok,1291500000,244
46,117627,117937,116568,116743,ok,1291586400,13154
47,116978,118417,116554,117612,ok,1291672800,18289
48,116052,117370,115331,116970,ok,1291759200,20135
49,116094,116845,115833,116045,ok,1291845600,16509
50,116189,116507,115209,116107,ok,1291932000,13795
51,116260,116267,115802,116105,ok,1292104800,210
52,116208,117370,115851,116269,ok,1292191200,12592
53,116757,117355,116117,116193,ok,1292277600,15605
54,116244,117109,116081,116767,ok,1292364000,15163
55,114899,116620,114687,116256,ok,1292450400,14670
56,115334,115837,114800,114908,ok,1292536800,13294
57,115324,115334,115324,115324,ok,1292623200,3
58,115264,115449,115114,115340,ok,1292709600,232
59,116005,116431,115164,115257,ok,1292796000,10315
60,115985,116452,115478,116023,ok,1292882400,8866
61,115723,116520,115537,115978,ok,1292968800,7633
62,114359,115970,113897,115730,ok,1293055200,8402
63,114420,114908,114301,114370,ok,1293141600,3503
64,114149,114378,114141,114378,ok,1293314400,198
65,114534,114736,113649,114138,ok,1293400800,6500
66,115766,115976,114362,114541,ok,1293487200,9431
67,115167,115877,115070,115790,ok,1293573600,8324
68,114453,115305,114406,115176,ok,1293660000,8292
69,115162,115342,114372,114446,ok,1293746400,6260
70,115226,115236,115155,115155,ok,1293832800,3
71,115257,115524,114973,115264,ok,1293919200,359
72,115597,116290,114646,115267,ok,1294005600,9302
73,113202,116428,112443,115586,ok,1294092000,13562
74,114687,114776,113109,113209,ok,1294178400,15110
75,114247,114747,113422,114679,ok,1294264800,13901
76,113713,114430,112729,114237,ok,1294351200,16893
77,113733,113733,113733,113733,ok,1294437600,1
78,113878,113925,113669,113669,ok,1294524000,256
79,113730,114400,113053,113896,ok,1294610400,11524
80,114956,115293,113625,113744,ok,1294696800,11295
81,115147,115380,114716,114949,ok,1294783200,11068
82,113692,115302,113406,115132,ok,1294869600,12762
83,112692,113907,112278,113680,ok,1294956000,14879
84,112633,112778,112455,112664,ok,1295128800,265
85,112489,113240,111995,112643,ok,1295215200,6394
86,112918,113362,112437,112498,ok,1295301600,10717
87,112323,113469,112125,112927,ok,1295388000,11438
88,111656,112591,111192,112312,ok,1295474400,13511
89,110704,111970,110583,111668,ok,1295560800,11712
90,110728,110857,110691,110724,ok,1295733600,230
91,110073,111970,109874,110716,ok,1295820000,9570
92,109547,110475,108949,110083,ok,1295906400,12365
93,110554,110779,109032,109556,ok,1295992800,11113
94,108869,111560,108567,110567,ok,1296079200,13358
95,109616,110519,107762,108860,ok,1296165600,14552
96,109631,109631,109604,109624,ok,1296252000,18
97,109616,109717,109303,109631,ok,1296338400,647
98,109281,110621,108609,109624,ok,1296424800,13141
99,109082,109784,108173,109289,ok,1296511200,11876
100,108843,109421,108497,109092,ok,1296597600,10832
101,110516,110676,108370,108834,ok,1296684000,11927
102,110673,111180,109544,110506,ok,1296770400,12102
103,110685,110685,110666,110666,ok,1296856800,14
104,110763,110902,110685,110685,ok,1296943200,326
105,111209,111340,110441,110770,ok,1297029600,8524
106,112291,112365,110838,111201,ok,1297116000,9428
107,112259,112809,112003,112281,ok,1297202400,9418
108,113453,113612,112131,112267,ok,1297288800,9889
109,113044,114234,112951,113445,ok,1297375200,10288
110,113044,113044,113044,113044,ok,1297461600,3
111,113152,113255,112913,113044,ok,1297548000,336
112,113431,113902,112834,113160,ok,1297634400,7920
113,115020,115413,113306,113421,ok,1297720800,8830
114,114964,115563,114696,115029,ok,1297807200,10312
115,115257,115415,114850,114953,ok,1297893600,7698
116,115459,115782,115038,115250,ok,1297980000,8587
117,115459,115459,115459,115459,ok,1298066400,12
118,115298,115459,115159,115459,ok,1298152800,281
