,c,h,l,o,s,t,v
0,10.512,10.556,10.46,10.474,ok,1287435600,826
1,10.444,10.521,10.417,10.51,ok,1287522000,540
2,10.474,10.538,10.42,10.447,ok,1287608400,1188
3,10.476,10.497,10.431,10.472,ok,1287694800,574
4,10.465,10.484,10.45,10.472,ok,1287867600,92
5,10.415,10.489,10.362,10.467,ok,1287954000,579
6,10.495,10.521,10.391,10.418,ok,1288040400,672
7,10.537,10.564,10.481,10.492,ok,1288126800,933
8,10.446,10.54,10.426,10.54,ok,1288213200,634
9,10.364,10.453,10.362,10.443,ok,1288299600,683
10,10.362,10.362,10.362,10.362,ok,1288386000,1
11,10.351,10.372,10.341,10.359,ok,1288472400,95
12,10.383,10.509,10.346,10.354,ok,1288558800,1128
13,10.399,10.445,10.378,10.386,ok,1288645200,505
14,10.458,10.524,10.397,10.401,ok,1288731600,1123
15,10.417,10.477,10.395,10.46,ok,1288818000,898
16,10.479,10.508,10.399,10.419,ok,1288904400,939
17,10.474,10.492,10.472,10.475,ok,1289077200,51
18,10.473,10.503,10.449,10.472,ok,1289167200,583
19,10.537,10.573,10.391,10.471,ok,1289253600,919
20,10.614,10.681,10.522,10.54,ok,1289340000,1163
21,10.642,10.657,10.583,10.62,ok,1289426400,818
22,10.638,10.663,10.533,10.639,ok,1289512800,1199
23,10.632,10.644,10.625,10.629,ok,1289685600,169
24,10.716,10.739,10.629,10.634,ok,1289772000,890
25,10.735,10.776,10.687,10.718,ok,1289858400,986
26,10.722,10.771,10.705,10.738,ok,1289944800,632
27,10.771,10.803,10.714,10.724,ok,1290031200,702
28,10.764,10.785,10.722,10.769,ok,1290117600,561
29,10.766,10.766,10.766,10.766,ok,1290204000,1
30,10.765,10.771,10.719,10.759,ok,1290290400,148
31,10.742,10.774,10.731,10.763,ok,1290376800,603
32,10.718,10.806,10.665,10.745,ok,1290463200,989
33,10.764,10.779,10.693,10.716,ok,1290549600,736
34,10.774,10.785,10.749,10.761,ok,1290636000,355
35,10.823,10.843,10.769,10.771,ok,1290722400,617
36,10.816,10.816,10.816,10.816,ok,1290808800,1
37,10.821,10.824,10.791,10.822,ok,1290895200,203
38,10.848,10.87,10.798,10.818,ok,1290981600,612
39,10.774,10.856,10.737,10.851,ok,1291068000,775
40,10.837,10.864,10.737,10.771,ok,1291154400,804
41,10.793,10.858,10.751,10.84,ok,1291240800,746
42,10.623,10.798,10.623,10.786,ok,1291327200,949
43,10.637,10.646,10.615,10.615,ok,1291500000,64
44,10.649,10.686,10.638,10.64,ok,1291586400,567
45,10.753,10.776,10.606,10.646,ok,1291672800,780
46,10.815,10.852,10.75,10.756,ok,1291759200,972
47,10.771,10.828,10.742,10.816,ok,1291845600,868
48,10.79,10.803,10.734,10.768,ok,1291932000,501
49,10.797,10.797,10.758,10.783,ok,1292104800,59
50,10.719,10.843,10.684,10.8,ok,1292191200,656
51,10.763,10.776,10.655,10.716,ok,1292277600,938
52,10.831,10.867,10.754,10.766,ok,1292364000,907
53,10.787,10.855,10.784,10.833,ok,1292450400,768
54,10.79,10.823,10.763,10.785,ok,1292536800,733
55,10.79,10.804,10.777,10.792,ok,1292709600,51
56,10.772,10.814,10.751,10.79,ok,1292796000,483
57,10.771,10.791,10.742,10.776,ok,1292882400,455
58,10.742,10.785,10.725,10.774,ok,1292968800,494
59,10.66,10.743,10.652,10.739,ok,1293055200,624
60,10.644,10.688,10.642,10.662,ok,1293141600,465
61,10.633,10.646,10.629,10.641,ok,1293314400,43
62,10.64,10.662,10.623,10.629,ok,1293400800,462
63,10.588,10.646,10.516,10.643,ok,1293487200,707
64,10.486,10.598,10.486,10.589,ok,1293573600,540
65,10.475,10.515,10.444,10.489,ok,1293660000,676
