,c,h,l,o,s,t,v
0,23811.0,23819.0,23569.0,23595.0,ok,1287435600,10404
1,23553.9,23713.9,23351.9,23538.9,ok,1287522000,11916
2,23669.8,23767.8,23464.8,23684.8,ok,1287608400,11958
3,23482.7,23689.7,23480.7,23654.7,ok,1287694800,9975
4,23707.3,23825.3,23544.4,23572.4,ok,1287954000,10613
5,23616.2,23707.3,23559.2,23644.3,ok,1288040400,10229
6,23108.1,23711.1,23096.1,23567.1,ok,1288126800,12151
7,23171.9,23265.0,23147.0,23192.0,ok,1288213200,3181
8,23022.9,23230.8,22861.9,23149.6,ok,1288299600,11060
9,23683.2,23698.3,23308.9,23317.9,ok,1288558800,10110
10,23720.6,23724.6,23540.7,23601.8,ok,1288645200,8822
11,24114.6,24185.8,23662.2,23765.4,ok,1288731600,10900
12,24584.7,24594.7,24326.7,24370.8,ok,1288818000,10869
13,24837.4,24931.0,24728.3,24852.9,ok,1288904400,9675
14,24906.0,24983.2,24738.3,24827.4,ok,1289167200,9254
15,24722.0,24947.7,24671.3,24843.6,ok,1289253600,11091
16,24446.8,24730.7,24433.1,24616.5,ok,1289340000,11199
17,24731.4,24882.7,24490.5,24555.7,ok,1289426400,10983
18,24229.0,24594.8,24186.0,24486.8,ok,1289512800,12541
19,23978.4,24410.3,23957.4,24355.3,ok,1289772000,11714
20,23616.3,24064.2,23538.3,23952.1,ok,1289858400,11826
21,23210.3,23618.0,23161.3,23455.0,ok,1289944800,11689
22,23556.9,23653.0,23311.0,23393.2,ok,1290031200,11273
23,23669.2,23696.3,23236.2,23632.7,ok,1290117600,12699
24,23585.0,23669.5,23429.3,23472.4,ok,1290376800,10790
25,22959.0,23365.7,22863.0,23320.7,ok,1290463200,12178
26,22944.4,23212.9,22937.4,23103.9,ok,1290549600,11141
27,23041.7,23300.9,23001.7,23157.2,ok,1290636000,10824
28,22865.0,23115.4,22771.1,22995.5,ok,1290722400,9796
29,22955.6,22966.4,22767.5,22815.5,ok,1290981600,3425
30,22770.2,22936.2,22566.9,22804.5,ok,1291068000,11333
31,23017.1,23112.9,22577.7,22748.7,ok,1291154400,11109
32,23141.3,23351.9,23135.4,23345.9,ok,1291240800,9782
33,23040.0,23394.3,23039.0,23270.3,ok,1291327200,9876
34,22967.4,23417.3,22957.5,23236.7,ok,1291586400,10788
35,23257.5,23301.5,22877.6,22944.8,ok,1291672800,11380
36,22888.2,23199.4,22782.8,23189.4,ok,1291759200,11372
