,c,h,l,o,s,t,v
0,4751.9,4891.2,4722.0,4863.8,ok,1314306000,13655
1,4943.5,4951.5,4813.2,4813.4,ok,1314565200,12319
2,5018.7,5024.8,4927.4,4985.5,ok,1314651600,13882
3,5048.0,5066.6,4991.9,5048.2,ok,1314910800,12280
4,5016.6,5025.8,4957.0,4992.8,ok,1315170000,12566
5,5070.2,5074.7,4935.3,4987.6,ok,1315256400,13401
6,5122.7,5151.5,5080.9,5093.2,ok,1315342800,12748
7,5164.3,5175.5,5092.5,5124.5,ok,1315429200,12622
8,5046.3,5156.7,5045.3,5156.7,ok,1315515600,12777
9,4944.9,4981.4,4902.9,4966.8,ok,1315774800,13591
10,4942.3,5041.9,4905.8,4974.9,ok,1315861200,13687
11,5030.6,5033.9,4909.7,4949.7,ok,1315947600,14210
12,5099.6,5101.6,4959.8,5040.3,ok,1316034000,14261
13,5088.7,5156.1,5072.6,5110.6,ok,1316120400,13824
14,5041.9,5064.1,5018.8,5048.0,ok,1316379600,12185
15,5167.5,5167.7,5036.7,5043.7,ok,1316466000,12617
16,5136.9,5174.9,5114.0,5151.3,ok,1316552400,12160
17,4909.5,5062.5,4899.3,5048.6,ok,1316638800,13758
18,4865.9,4935.7,4820.1,4879.7,ok,1316725200,15298
19,4840.2,4879.0,4757.4,4848.4,ok,1316984400,14591
20,4981.6,4988.9,4906.5,4909.3,ok,1317070800,12876
21,4942.7,4990.2,4906.5,4990.2,ok,1317157200,12655
22,5058.1,5069.9,4935.5,4942.6,ok,1317243600,12062
23,4951.8,5053.1,4941.7,5012.1,ok,1317330000,13547
24,4886.6,4896.5,4831.8,4883.1,ok,1317589200,13161
25,4796.8,4903.1,4743.9,4842.3,ok,1317675600,13983
26,4791.8,4861.4,4764.8,4807.3,ok,1317762000,13535
27,4909.8,4955.2,4889.1,4922.1,ok,1317934800,12857
28,5013.3,5017.5,4904.2,4918.9,ok,1318194000,12766
29,4993.0,5068.4,4983.0,5039.4,ok,1318280400,13496
30,5127.3,5130.9,5013.4,5031.0,ok,1318366800,13661
31,5078.3,5151.8,5077.8,5149.5,ok,1318453200,13893
32,5152.9,5164.6,5073.3,5073.3,ok,1318539600,12753
33,5130.6,5170.3,5090.0,5165.6,ok,1318798800,12512
34,5062.6,5071.3,5020.8,5066.4,ok,1318885200,12216
35,5153.1,5163.8,5077.0,5077.0,ok,1318971600,11880
36,5111.9,5116.9,5039.4,5099.0,ok,1319058000,12666
37,5074.0,5136.2,5043.6,5107.3,ok,1319144400,12274
38,5107.6,5159.7,5095.6,5125.3,ok,1319403600,11143
39,5199.0,5201.8,5066.2,5105.0,ok,1319490000,11584
40,5338.7,5357.4,5310.7,5327.3,ok,1319749200,10438
41,5306.6,5337.5,5295.4,5335.0,ok,1320008400,9980
42,5252.4,5297.1,5224.0,5281.2,ok,1320094800,10783
43,5238.2,5298.9,5216.5,5216.5,ok,1320181200,10940
44,5275.8,5277.8,5187.6,5217.9,ok,1320267600,10862
45,5284.1,5320.9,5252.1,5305.0,ok,1320354000,11427
46,5284.9,5306.0,5244.4,5292.5,ok,1320703200,10323
47,5206.0,5306.4,5202.1,5306.1,ok,1320789600,11058
48,5178.9,5194.8,5141.1,5178.9,ok,1320962400,11714
49,5134.5,5231.4,5132.2,5229.0,ok,1321221600,10019
50,5051.2,5160.5,5049.7,5117.4,ok,1321308000,11438
51,5066.3,5067.4,4985.1,5022.0,ok,1321394400,12583
52,4914.5,5039.8,4904.4,5023.7,ok,1321480800,12115
53,4914.8,4915.7,4838.1,4898.6,ok,1321567200,13006
54,4782.3,4872.5,4764.6,4872.5,ok,1321826400,12177
55,4800.7,4856.5,4779.1,4795.2,ok,1321912800,12669
56,4702.4,4762.0,4630.9,4758.0,ok,1321999200,13325
57,4766.5,4787.5,4647.6,4704.0,ok,1322085600,13041
58,4697.0,4767.5,4678.8,4723.6,ok,1322172000,13336
59,4862.3,4864.7,4753.5,4754.2,ok,1322431200,11464
60,4803.2,4875.5,4778.8,4862.5,ok,1322517600,12545
61,4834.2,4852.7,4747.2,4765.0,ok,1322604000,12652
62,4947.8,5005.4,4928.3,4986.6,ok,1322690400,11795
63,5085.0,5085.1,4930.4,4930.4,ok,1322776800,11352
64,5066.2,5077.9,5014.6,5052.1,ok,1323036000,11536
65,5059.6,5126.7,5047.8,5049.8,ok,1323208800,11977
66,4941.9,5066.6,4931.7,5055.1,ok,1323295200,12908
67,4876.7,4936.3,4843.8,4865.7,ok,1323381600,13677
68,4763.9,4909.5,4757.0,4909.5,ok,1323640800,13904
69,4831.3,4834.6,4726.3,4732.7,ok,1323727200,13038
70,4758.5,4842.8,4746.5,4793.2,ok,1323813600,13434
71,4759.4,4779.7,4668.4,4710.7,ok,1323900000,13375
72,4622.5,4835.7,4621.1,4776.1,ok,1323986400,13223
73,4612.0,4631.0,4558.7,4591.7,ok,1324245600,12900
74,4564.1,4635.9,4535.4,4618.3,ok,1324332000,12753
75,4720.6,4722.5,4611.5,4646.5,ok,1324418400,12049
76,4749.9,4755.6,4638.2,4674.6,ok,1324504800,12565
77,4721.7,4772.2,4694.7,4770.1,ok,1324591200,11217
78,4781.4,4800.0,4719.6,4724.4,ok,1324850400,9712
79,4704.2,4744.7,4686.9,4738.1,ok,1325023200,10257
80,4646.0,4702.3,4639.4,4689.2,ok,1325109600,12013
81,4588.0,4669.2,4576.8,4648.7,ok,1325196000,10390
82,4616.3,4621.4,4558.4,4603.5,ok,1325455200,10984
83,4742.4,4760.5,4656.6,4658.6,ok,1325541600,11032
84,4722.3,4766.4,4707.5,4746.4,ok,1325628000,11053
85,4722.9,4760.8,4709.6,4728.9,ok,1325714400,10348
86,4752.6,4790.3,4665.9,4704.9,ok,1325800800,11460
87,4732.6,4752.7,4680.4,4719.8,ok,1326060000,10769
88,4847.9,4852.3,4758.1,4758.1,ok,1326146400,11126
89,4851.6,4866.2,4826.3,4842.3,ok,1326232800,10600
90,4845.6,4866.1,4798.0,4825.7,ok,1326319200,11606
91,4865.4,4897.9,4824.7,4847.8,ok,1326405600,10670
92,4881.6,4884.5,4820.1,4838.5,ok,1326664800,10334
93,4958.6,4974.0,4900.9,4903.5,ok,1326751200,10858
94,4934.7,4967.2,4922.9,4963.8,ok,1326837600,10894
95,5009.4,5016.1,4979.8,4984.5,ok,1326924000,10149
96,5049.4,5055.3,4997.2,5031.1,ok,1327010400,10207
97,5047.2,5057.0,5031.1,5033.8,ok,1327269600,8977
98,5106.6,5145.6,5045.4,5058.8,ok,1327356000,10851
99,5117.6,5138.1,5094.5,5109.9,ok,1327442400,9579
100,5157.2,5168.3,5116.5,5153.9,ok,1327615200,10466
101,5056.5,5132.3,5052.6,5130.1,ok,1327874400,10811
102,5181.9,5186.3,5087.3,5090.7,ok,1327960800,9740
103,5223.8,5225.5,5133.1,5166.8,ok,1328047200,10075
104,5229.1,5255.4,5188.4,5243.0,ok,1328133600,11841
105,5296.7,5315.0,5223.1,5238.7,ok,1328220000,9833
106,5325.8,5361.2,5296.6,5350.1,ok,1328479200,12062
107,5324.2,5378.9,5306.0,5364.1,ok,1328565600,11066
108,5362.8,5392.2,5312.3,5325.8,ok,1328652000,11467
109,5418.6,5421.1,5330.4,5340.1,ok,1328738400,10778
110,5360.1,5414.3,5322.4,5391.4,ok,1328824800,11697
111,5393.3,5421.9,5346.9,5379.5,ok,1329084000,10228
112,5432.7,5434.4,5376.5,5382.2,ok,1329170400,9913
113,5533.2,5546.6,5463.9,5464.1,ok,1329256800,11222
114,5514.0,5531.2,5485.8,5516.8,ok,1329343200,10484
115,5582.5,5605.3,5551.8,5561.0,ok,1329429600,11346
116,5615.3,5628.2,5572.4,5573.9,ok,1329775200,10127
117,5515.7,5629.5,5500.6,5625.9,ok,1329861600,11653
118,5500.5,5554.3,5466.6,5518.1,ok,1329948000,11588
119,5449.9,5527.9,5422.0,5497.1,ok,1330034400,12284
120,5298.4,5443.7,5295.5,5442.7,ok,1330293600,12351
121,5414.2,5428.0,5327.3,5327.3,ok,1330380000,11334
122,5405.2,5485.4,5370.4,5454.7,ok,1330466400,12226
123,5350.6,5398.1,5312.9,5395.1,ok,1330552800,11583
124,5364.5,5409.7,5324.3,5373.5,ok,1330639200,11664
125,5296.4,5348.8,5271.0,5345.4,ok,1330898400,10725
126,5209.3,5403.2,5209.3,5256.5,ok,1330984800,14065
127,5235.1,5255.9,5179.9,5195.9,ok,1331071200,12610
128,5348.8,5352.7,5291.3,5291.3,ok,1331244000,11293
129,5370.5,5405.4,5328.8,5401.3,ok,1331499600,10753
130,5458.4,5459.4,5413.3,5417.7,ok,1331586000,9706
131,5493.1,5526.0,5456.3,5526.0,ok,1331672400,10642
132,5398.8,5480.1,5383.0,5478.3,ok,1331758800,11530
133,5320.8,5466.3,5318.3,5405.1,ok,1331845200,13603
134,5263.9,5349.3,5249.0,5349.3,ok,1332104400,11556
135,5280.9,5316.5,5242.1,5267.7,ok,1332190800,11034
136,5395.0,5396.5,5267.3,5285.7,ok,1332277200,11039
137,5218.6,5401.4,5213.6,5367.5,ok,1332363600,12120
138,5292.9,5322.1,5225.5,5258.7,ok,1332450000,12516
139,5188.2,5271.6,5178.0,5271.6,ok,1332709200,12258
140,5263.6,5292.8,5185.9,5237.7,ok,1332795600,12865
141,5197.9,5245.5,5171.1,5229.7,ok,1332882000,11771
142,5179.4,5186.9,5133.3,5146.6,ok,1332968400,12989
143,5254.2,5278.7,5171.6,5179.6,ok,1333054800,11630
144,5296.7,5310.8,5248.6,5257.9,ok,1333314000,10342
145,5324.3,5343.0,5308.9,5319.8,ok,1333400400,9691
146,5293.8,5300.2,5269.3,5293.6,ok,1333486800,9119
147,5209.9,5258.1,5202.7,5250.6,ok,1333918800,9181
148,5224.4,5237.4,5186.2,5221.4,ok,1334005200,9811
149,5229.5,5254.2,5166.3,5181.0,ok,1334091600,10446
150,5249.8,5271.5,5225.2,5229.2,ok,1334178000,10211
151,5178.6,5296.6,5165.7,5270.5,ok,1334264400,10894
152,5231.2,5232.9,5159.9,5159.9,ok,1334523600,9930
153,5299.1,5302.1,5199.3,5206.8,ok,1334610000,11696
154,5294.7,5341.0,5292.4,5326.1,ok,1334696400,9232
155,5346.0,5347.5,5294.5,5311.5,ok,1334782800,9134
156,5287.8,5337.2,5224.8,5322.8,ok,1334869200,9192
157,5176.4,5306.3,5174.7,5287.2,ok,1335128400,10821
158,5224.1,5233.6,5180.5,5197.6,ok,1335214800,10192
159,5194.3,5232.0,5150.6,5209.9,ok,1335301200,10996
160,5188.9,5211.0,5175.4,5205.4,ok,1335387600,10327
161,5196.0,5236.0,5154.8,5189.2,ok,1335474000,10473
162,5255.4,5275.1,5214.6,5217.9,ok,1335733200,9687
163,5232.7,5289.5,5224.3,5270.1,ok,1335906000,8969
164,5194.7,5222.5,5178.2,5208.0,ok,1335992400,9679
165,5079.8,5170.4,5072.3,5162.7,ok,1336078800,10515
166,5129.3,5129.4,4991.6,5014.5,ok,1336338000,11530
167,4986.2,5116.8,4978.2,5111.8,ok,1336424400,11696
168,4976.0,5019.1,4946.5,4961.4,ok,1336510800,11974
169,4966.9,5037.2,4938.2,4980.4,ok,1336597200,11031
170,4921.3,4968.9,4893.3,4933.3,ok,1336683600,11451
171,4871.5,4943.4,4862.3,4924.3,ok,1336942800,8204
172,4932.8,4948.3,4858.1,4858.1,ok,1337029200,11550
173,4847.3,4872.3,4821.7,4863.2,ok,1337115600,11509
174,4847.4,4906.0,4825.8,4871.3,ok,1337202000,11392
175,4900.0,4901.0,4762.5,4774.7,ok,1337288400,12570
176,4882.1,4927.1,4878.7,4883.1,ok,1337547600,10116
177,4841.9,4934.4,4827.1,4934.4,ok,1337634000,9737
178,4807.1,4834.4,4779.1,4816.9,ok,1337720400,11973
179,4920.2,4922.1,4810.3,4827.3,ok,1337806800,11902
180,4924.9,4930.6,4875.8,4897.6,ok,1337893200,10750
181,4986.0,4986.3,4925.5,4935.0,ok,1338152400,10055
182,4975.2,5007.2,4968.1,4999.1,ok,1338238800,10167
183,4930.3,4963.6,4925.8,4949.2,ok,1338325200,9369
184,4962.4,4964.6,4915.7,4930.8,ok,1338411600,11719
185,4849.6,4944.4,4846.7,4934.9,ok,1338498000,11500
186,4879.4,4880.3,4788.7,4803.0,ok,1338757200,11871
187,4871.2,4906.4,4849.7,4887.6,ok,1338843600,11467
188,5002.0,5014.6,4913.1,4913.4,ok,1338930000,12152
189,5059.1,5062.8,5006.7,5044.1,ok,1339016400,11159
190,5101.0,5103.8,4989.5,5034.9,ok,1339102800,11709
191,5059.7,5145.4,5056.6,5121.5,ok,1339362000,12438
192,5141.4,5157.8,5042.0,5042.3,ok,1339448400,12459
193,5145.8,5163.8,5109.5,5139.1,ok,1339534800,11872
194,5069.2,5155.8,5065.3,5132.9,ok,1339621200,12052
195,5157.3,5171.9,5089.2,5089.2,ok,1339707600,11538
