,c,h,l,o,s,t,v
0,9498.7,9608.9,9448.6,9508.9,ok,1287435600,549
1,9503.5,9528.5,9348.5,9498.7,ok,1287522000,525
2,9413.3,9513.5,9358.2,9513.5,ok,1287608400,548
3,9473.1,9488.2,9408.2,9413.3,ok,1287694800,278
4,9392.6,9487.8,9392.6,9437.8,ok,1287954000,322
5,9482.5,9492.6,9367.4,9412.6,ok,1288040400,431
6,9427.3,9482.4,9347.2,9462.4,ok,1288126800,493
7,9357.0,9452.3,9342.0,9432.2,ok,1288213200,421
8,9196.8,9362.0,9171.7,9357.0,ok,1288299600,458
9,9141.2,9296.5,9096.2,9191.4,ok,1288558800,431
10,9226.1,9241.2,9141.2,9146.2,ok,1288645200,272
11,9311.0,9311.0,9185.9,9226.1,ok,1288731600,576
12,9490.9,9516.0,9280.9,9306.0,ok,1288818000,458
13,9715.9,9725.9,9515.9,9515.9,ok,1288904400,526
14,9730.4,9760.5,9690.4,9715.5,ok,1289167200,309
15,9745.2,9810.2,9675.3,9700.3,ok,1289253600,448
16,9870.1,9915.2,9750.2,9755.2,ok,1289340000,674
17,9854.9,9900.1,9804.9,9825.0,ok,1289426400,445
18,9744.7,9869.9,9664.7,9819.9,ok,1289512800,597
19,9889.2,9914.3,9749.3,9749.3,ok,1289772000,443
20,9713.9,9919.2,9678.9,9889.2,ok,1289858400,602
21,9933.9,9933.9,9703.9,9713.9,ok,1289944800,496
22,10138.8,10168.8,9818.8,9833.8,ok,1290031200,600
23,10108.6,10153.7,10023.6,10133.7,ok,1290117600,395
24,10113.0,10183.2,9998.0,10133.2,ok,1290376800,460
25,9877.8,10133.0,9807.8,10113.0,ok,1290463200,639
26,10202.7,10202.7,9892.7,9902.8,ok,1290549600,589
27,10117.5,10127.6,10062.6,10122.6,ok,1290636000,149
28,10017.3,10147.4,10007.3,10117.4,ok,1290722400,349
29,10096.7,10166.9,9991.7,10051.9,ok,1290981600,750
30,9931.5,10116.7,9861.5,10091.7,ok,1291068000,707
31,10181.4,10211.4,9926.5,9951.5,ok,1291154400,613
32,10316.2,10321.2,10156.3,10186.3,ok,1291240800,487
33,10176.0,10311.2,10116.0,10311.2,ok,1291327200,524
34,10195.4,10210.4,10135.5,10180.6,ok,1291586400,367
35,10215.3,10250.3,10100.4,10175.4,ok,1291672800,457
36,10280.1,10285.1,10190.2,10220.2,ok,1291759200,397
