,c,h,l,o,s,t,v
0,3.501,3.502,3.367,3.384,ok,1287435600,2159
1,3.502,3.587,3.483,3.502,ok,1287522000,2354
2,3.372,3.518,3.327,3.494,ok,1287608400,3210
3,3.317,3.384,3.275,3.37,ok,1287694800,2048
4,3.316,3.323,3.312,3.32,ok,1287781200,14
5,3.339,3.362,3.246,3.283,ok,1287954000,1998
6,3.408,3.443,3.319,3.337,ok,1288040400,3231
7,3.444,3.489,3.375,3.406,ok,1288126800,2627
8,3.571,3.578,3.332,3.446,ok,1288213200,5665
9,3.724,3.729,3.501,3.573,ok,1288299600,5552
10,3.701,3.725,3.698,3.721,ok,1288386000,30
11,3.545,3.862,3.533,3.713,ok,1288558800,4984
12,3.605,3.638,3.473,3.547,ok,1288645200,5101
13,3.574,3.622,3.522,3.602,ok,1288731600,3553
14,3.598,3.632,3.488,3.57,ok,1288818000,4921
15,3.686,3.69,3.588,3.596,ok,1288904400,3110
16,3.691,3.693,3.685,3.685,ok,1288990800,6
17,3.892,3.892,3.715,3.724,ok,1289167200,3858
18,3.993,4.004,3.843,3.894,ok,1289253600,5236
19,3.865,4.035,3.818,3.992,ok,1289340000,5206
20,3.75,3.927,3.734,3.867,ok,1289426400,3754
21,3.642,3.765,3.628,3.754,ok,1289512800,3470
22,3.643,3.652,3.639,3.639,ok,1289599200,13
23,3.744,3.747,3.581,3.64,ok,1289772000,4133
24,3.71,3.793,3.662,3.742,ok,1289858400,3634
25,3.92,3.922,3.683,3.707,ok,1289944800,3918
26,3.917,3.955,3.755,3.917,ok,1290031200,6172
27,4.082,4.082,3.884,3.915,ok,1290117600,4433
28,4.077,4.083,4.077,4.08,ok,1290204000,12
29,4.2,4.236,4.07,4.097,ok,1290376800,3993
30,4.25,4.298,4.143,4.201,ok,1290463200,2976
31,4.257,4.364,4.188,4.253,ok,1290549600,4570
32,4.257,4.333,4.21,4.259,ok,1290636000,1006
33,4.273,4.322,4.223,4.264,ok,1290722400,1656
