,c,h,l,o,s,t,v
0,338.027,340.724,336.527,339.523,ok,1287435600,6185
1,338.932,339.132,336.431,338.13,ok,1287522000,4108
2,339.487,342.085,336.986,338.285,ok,1287608400,5268
3,339.793,341.591,339.191,340.44,ok,1287694800,3633
4,341.109,343.655,340.309,342.856,ok,1287954000,3787
5,340.015,341.112,337.465,340.762,ok,1288040400,4704
6,336.772,339.769,336.372,339.069,ok,1288126800,5113
7,336.528,340.075,335.678,338.874,ok,1288213200,4981
8,336.633,337.582,334.132,335.281,ok,1288299600,5409
9,337.55,339.797,336.099,339.197,ok,1288558800,5672
10,341.054,341.654,337.603,338.203,ok,1288645200,4303
11,338.761,342.558,337.911,341.807,ok,1288731600,4373
12,344.665,345.714,340.813,340.813,ok,1288818000,5347
13,346.72,347.969,344.619,345.418,ok,1288904400,5329
14,346.988,347.338,345.285,345.935,ok,1289167200,3316
15,346.943,348.442,345.491,346.541,ok,1289253600,3565
16,347.649,347.998,344.599,346.396,ok,1289340000,5294
17,345.505,348.202,343.504,347.552,ok,1289426400,5510
18,341.511,344.21,339.159,343.158,ok,1289512800,7981
19,345.778,346.178,341.126,341.575,ok,1289772000,5622
20,339.284,344.081,338.284,342.931,ok,1289858400,6160
21,341.539,341.889,338.137,339.187,ok,1289944800,4470
22,345.595,346.744,343.143,343.292,ok,1290031200,4303
23,344.761,346.349,341.664,345.6,ok,1290117600,4609
24,340.831,347.86,339.882,346.961,ok,1290376800,4988
25,335.51,341.293,334.11,339.594,ok,1290463200,6790
26,337.577,337.825,332.127,335.62,ok,1290549600,6192
27,338.097,339.144,336.79,337.688,ok,1290636000,2601
28,335.671,337.91,332.368,336.86,ok,1290722400,6128
29,329.44,339.171,328.34,336.272,ok,1290981600,9161
30,328.91,330.849,324.811,330.849,ok,1291068000,8969
31,336.673,336.972,328.673,329.57,ok,1291154400,6757
32,340.99,341.887,334.592,337.083,ok,1291240800,9293
33,342.259,343.504,339.858,341.101,ok,1291327200,6773
34,342.472,343.662,340.417,343.012,ok,1291586400,4381
35,346.491,347.986,343.133,343.283,ok,1291672800,5307
36,346.862,348.358,343.354,343.853,ok,1291759200,5166
37,349.032,350.721,348.075,349.322,ok,1291845600,5287
38,350.703,350.8,349.195,350.693,ok,1291932000,3453
39,351.467,352.762,350.815,351.107,ok,1292191200,3763
40,352.038,352.237,349.93,350.928,ok,1292277600,3255
41,350.61,351.657,349.102,350.35,ok,1292364000,4311
42,351.731,351.931,349.929,350.471,ok,1292450400,3260
43,352.757,352.95,350.806,351.75,ok,1292536800,3558
44,353.765,355.258,351.111,351.71,ok,1292796000,3256
45,356.031,356.576,354.575,355.173,ok,1292882400,2755
46,356.001,356.796,354.895,355.792,ok,1292968800,1949
47,355.872,356.614,355.418,356.561,ok,1293055200,1565
48,355.687,356.532,355.486,355.533,ok,1293141600,337
49,356.152,356.591,352.748,356.591,ok,1293400800,2960
