,c,h,l,o,s,t,v
0,0.76903,0.77391,0.76633,0.76776,ok,1287435600,50014
1,0.77059,0.77349,0.76718,0.76898,ok,1287522000,42063
2,0.76541,0.77119,0.76482,0.77048,ok,1287608400,54198
3,0.76404,0.76919,0.76333,0.76523,ok,1287694800,39732
4,0.76395,0.76395,0.76395,0.76395,ok,1287781200,1
5,0.76675,0.76761,0.76374,0.76398,ok,1287867600,600
6,0.76692,0.76964,0.76465,0.76649,ok,1287954000,35497
7,0.76681,0.76837,0.76509,0.76698,ok,1288040400,39670
8,0.76587,0.76905,0.76228,0.76678,ok,1288126800,54336
9,0.76967,0.77412,0.76526,0.7658,ok,1288213200,36887
10,0.77934,0.78058,0.76617,0.7697,ok,1288299600,45734
11,0.78001,0.78057,0.77792,0.77911,ok,1288472400,1050
12,0.77866,0.78365,0.7771,0.78008,ok,1288558800,33548
13,0.77745,0.78125,0.77296,0.77863,ok,1288645200,37850
14,0.78381,0.78632,0.77706,0.7774,ok,1288731600,48292
15,0.79609,0.79917,0.78225,0.78374,ok,1288818000,46558
16,0.79375,0.79726,0.79164,0.79623,ok,1288904400,42888
17,0.79356,0.79356,0.79356,0.79356,ok,1288990800,1
18,0.7923,0.79325,0.78981,0.79206,ok,1289077200,1009
19,0.79051,0.79315,0.78788,0.7922,ok,1289167200,31460
20,0.7836,0.79066,0.78184,0.79048,ok,1289253600,50324
21,0.78337,0.78559,0.77914,0.78348,ok,1289340000,50901
22,0.78269,0.78683,0.77989,0.78341,ok,1289426400,36112
23,0.78092,0.78595,0.77844,0.78265,ok,1289512800,59107
24,0.781,0.781,0.781,0.781,ok,1289599200,1
25,0.7835,0.78518,0.77912,0.77914,ok,1289685600,1687
26,0.78015,0.78474,0.77732,0.78347,ok,1289772000,35598
27,0.78465,0.78575,0.77718,0.78018,ok,1289858400,47542
28,0.78906,0.79008,0.78196,0.78458,ok,1289944800,37347
29,0.79285,0.79478,0.78755,0.78889,ok,1290031200,34404
30,0.78986,0.79461,0.78888,0.79282,ok,1290117600,32212
31,0.78973,0.78973,0.78973,0.78973,ok,1290204000,1
32,0.79194,0.79293,0.7899,0.7899,ok,1290290400,827
33,0.7861,0.79454,0.78282,0.79191,ok,1290376800,42855
34,0.77717,0.78751,0.77527,0.78607,ok,1290463200,49050
35,0.76712,0.77832,0.76698,0.77685,ok,1290549600,40559
36,0.76668,0.77014,0.76346,0.76718,ok,1290636000,27317
37,0.76375,0.769,0.76295,0.76674,ok,1290722400,40072
38,0.76386,0.76386,0.76386,0.76386,ok,1290808800,1
39,0.76401,0.76433,0.75919,0.76198,ok,1290895200,1030
40,0.75916,0.7665,0.75856,0.76408,ok,1290981600,41304
41,0.76206,0.76557,0.75705,0.7592,ok,1291068000,45305
42,0.7613,0.76401,0.75829,0.76198,ok,1291154400,52319
43,0.75709,0.76542,0.7531,0.76138,ok,1291240800,52955
44,0.76728,0.76855,0.75507,0.75693,ok,1291327200,43647
45,0.767,0.767,0.767,0.767,ok,1291413600,1
46,0.76439,0.76809,0.76379,0.76789,ok,1291500000,656
47,0.76568,0.76809,0.76371,0.76413,ok,1291586400,34554
48,0.76618,0.76963,0.76328,0.7658,ok,1291672800,40149
49,0.75569,0.76671,0.75246,0.76583,ok,1291759200,50638
50,0.75629,0.75853,0.75259,0.75541,ok,1291845600,46018
51,0.75175,0.75996,0.75175,0.75627,ok,1291932000,29342
52,0.75318,0.75487,0.75154,0.75169,ok,1292104800,865
53,0.75626,0.76261,0.75278,0.75308,ok,1292191200,28833
54,0.756,0.76191,0.755,0.75616,ok,1292277600,31968
55,0.74318,0.75666,0.74013,0.75607,ok,1292364000,45817
56,0.74468,0.74525,0.73929,0.74323,ok,1292450400,35500
57,0.74479,0.74676,0.7425,0.74462,ok,1292536800,28436
58,0.7447,0.7447,0.74458,0.74458,ok,1292623200,2
59,0.74424,0.74587,0.74296,0.74483,ok,1292709600,594
60,0.75417,0.75693,0.74369,0.74435,ok,1292796000,30108
61,0.75656,0.76044,0.75311,0.75423,ok,1292882400,26313
62,0.74963,0.75735,0.7466,0.75659,ok,1292968800,26997
63,0.75393,0.75749,0.74885,0.74953,ok,1293055200,24197
64,0.75341,0.75692,0.75117,0.7539,ok,1293141600,9900
65,0.75126,0.752,0.74958,0.75091,ok,1293314400,209
66,0.75505,0.75648,0.75101,0.7513,ok,1293400800,12642
67,0.756,0.76029,0.75371,0.75486,ok,1293487200,26461
68,0.76884,0.76929,0.75487,0.75598,ok,1293573600,25674
69,0.77032,0.77236,0.76621,0.76886,ok,1293660000,19591
70,0.77673,0.77696,0.77,0.77021,ok,1293746400,23607
71,0.77608,0.77645,0.77608,0.77645,ok,1293832800,2
72,0.77018,0.77574,0.76924,0.77574,ok,1293919200,557
73,0.76822,0.77302,0.76655,0.7701,ok,1294005600,20143
74,0.76505,0.76874,0.761,0.76819,ok,1294092000,39255
75,0.75358,0.76637,0.75319,0.76513,ok,1294178400,40156
76,0.75384,0.75661,0.75186,0.75349,ok,1294264800,37176
77,0.75292,0.75781,0.74976,0.75387,ok,1294351200,44203
78,0.75352,0.75352,0.75352,0.75352,ok,1294437600,1
79,0.75215,0.75429,0.74978,0.75302,ok,1294524000,737
80,0.75822,0.75935,0.7515,0.7521,ok,1294610400,33561
81,0.75296,0.75879,0.75026,0.7582,ok,1294696800,39775
82,0.75274,0.75378,0.74623,0.753,ok,1294783200,41185
83,0.7627,0.76276,0.75012,0.75281,ok,1294869600,38791
84,0.7572,0.76492,0.7558,0.76267,ok,1294956000,41032
85,0.75727,0.75727,0.75727,0.75727,ok,1295042400,1
86,0.75841,0.75897,0.75546,0.75643,ok,1295128800,536
87,0.76182,0.76583,0.75694,0.75833,ok,1295215200,20061
88,0.76486,0.76551,0.75937,0.76187,ok,1295301600,33426
89,0.7652,0.77316,0.76355,0.76478,ok,1295388000,32077
90,0.75467,0.76531,0.75449,0.76524,ok,1295474400,52322
91,0.75013,0.75575,0.75011,0.75453,ok,1295560800,32034
92,0.75043,0.7511,0.7502,0.7511,ok,1295647200,4
93,0.75238,0.75399,0.75044,0.75222,ok,1295733600,425
94,0.75802,0.76054,0.75218,0.75241,ok,1295820000,24856
95,0.76606,0.7664,0.75765,0.75797,ok,1295906400,33109
96,0.76784,0.76841,0.76007,0.76594,ok,1295992800,37676
97,0.7669,0.77195,0.76542,0.76779,ok,1296079200,44138
98,0.77278,0.77543,0.76683,0.76687,ok,1296165600,30760
99,0.77274,0.77274,0.77274,0.77274,ok,1296252000,13
100,0.76921,0.77324,0.7683,0.77274,ok,1296338400,1433
101,0.77343,0.77655,0.76772,0.76923,ok,1296424800,34411
102,0.77378,0.77613,0.77034,0.77339,ok,1296511200,32736
103,0.7637,0.77463,0.76068,0.77375,ok,1296597600,32637
104,0.76627,0.76714,0.76122,0.76366,ok,1296684000,34934
105,0.75824,0.77293,0.75693,0.76623,ok,1296770400,35290
106,0.75824,0.75824,0.75824,0.75824,ok,1296856800,12
107,0.75978,0.76102,0.75742,0.75824,ok,1296943200,659
108,0.76255,0.76437,0.75833,0.7597,ok,1297029600,22573
109,0.77106,0.77366,0.76221,0.76252,ok,1297116000,31479
110,0.76735,0.77174,0.76572,0.77104,ok,1297202400,31070
111,0.76052,0.76786,0.75902,0.76732,ok,1297288800,33809
112,0.74906,0.76067,0.74778,0.76056,ok,1297375200,37178
113,0.7488,0.74891,0.7488,0.74891,ok,1297461600,6
114,0.74767,0.7512,0.74638,0.7488,ok,1297548000,1215
115,0.74822,0.74987,0.74338,0.74763,ok,1297634400,28030
116,0.74389,0.74906,0.74126,0.74817,ok,1297720800,28428
117,0.74259,0.74643,0.74084,0.74393,ok,1297807200,28615
118,0.7468,0.74887,0.74064,0.74261,ok,1297893600,29467
119,0.74956,0.75458,0.74614,0.74683,ok,1297980000,29209
120,0.74956,0.74956,0.74956,0.74956,ok,1298066400,12
121,0.75104,0.75264,0.749,0.74956,ok,1298152800,267
122,0.75055,0.75468,0.74801,0.751,ok,1298239200,18748
123,0.73923,0.75082,0.73516,0.7506,ok,1298325600,48718
124,0.73766,0.74243,0.73571,0.73932,ok,1298412000,44100
125,0.73406,0.73882,0.73242,0.73762,ok,1298498400,43934
126,0.73273,0.73875,0.73163,0.73411,ok,1298584800,32543
127,0.73273,0.73273,0.73273,0.73273,ok,1298671200,14
128,0.73355,0.73568,0.7319,0.73273,ok,1298757600,769
129,0.73078,0.73849,0.73042,0.73352,ok,1298844000,32532
130,0.72802,0.73233,0.72736,0.7308,ok,1298930400,35824
131,0.72304,0.72865,0.71936,0.72806,ok,1299016800,40017
132,0.72001,0.72731,0.71895,0.72307,ok,1299103200,33166
133,0.71632,0.72021,0.71348,0.71996,ok,1299189600,33501
134,0.71621,0.71625,0.71621,0.71625,ok,1299276000,2
135,0.71563,0.71657,0.71268,0.71621,ok,1299362400,1148
136,0.71696,0.71858,0.71437,0.71558,ok,1299448800,26311
137,0.7181,0.72218,0.71639,0.71701,ok,1299535200,32240
138,0.71317,0.71979,0.70918,0.71807,ok,1299621600,30482
139,0.71756,0.71789,0.71136,0.7132,ok,1299708000,38319
140,0.72077,0.72539,0.71429,0.71753,ok,1299794400,39695
141,0.72077,0.72077,0.72077,0.72077,ok,1299880800,14
142,0.72038,0.72237,0.71897,0.72077,ok,1299967200,1176
143,0.71971,0.72194,0.71614,0.72035,ok,1300050000,32585
144,0.72119,0.72526,0.71531,0.71963,ok,1300136400,72215
145,0.72162,0.72523,0.71856,0.72126,ok,1300222800,65678
146,0.70667,0.72248,0.70532,0.7216,ok,1300309200,69677
147,0.71745,0.72121,0.70665,0.70665,ok,1300395600,47842
148,0.71745,0.71745,0.71745,0.71745,ok,1300482000,12
149,0.71967,0.71974,0.71616,0.71745,ok,1300568400,406
150,0.71915,0.72084,0.71545,0.71964,ok,1300654800,31968
151,0.72536,0.7286,0.71797,0.71909,ok,1300741200,37923
152,0.7267,0.72835,0.72429,0.72549,ok,1300827600,33577
153,0.73051,0.73328,0.72601,0.72667,ok,1300914000,36375
154,0.73657,0.74153,0.7303,0.7306,ok,1301000400,32104
155,0.73675,0.73675,0.73661,0.73661,ok,1301086800,14
156,0.73622,0.73738,0.73361,0.73675,ok,1301173200,702
157,0.73451,0.73971,0.73129,0.73635,ok,1301259600,27445
158,0.73654,0.73904,0.732,0.73449,ok,1301346000,28955
159,0.73985,0.7417,0.73564,0.73652,ok,1301432400,30510
160,0.73881,0.7427,0.73664,0.73983,ok,1301518800,30621
161,0.7376,0.74121,0.73491,0.73876,ok,1301605200,33390
162,0.7376,0.73779,0.73756,0.73764,ok,1301691600,15
163,0.73968,0.74022,0.73757,0.7376,ok,1301778000,348
164,0.7425,0.74337,0.73883,0.73966,ok,1301864400,25563
165,0.74041,0.74531,0.73922,0.74253,ok,1301950800,30867
166,0.74874,0.74903,0.73902,0.74043,ok,1302037200,33437
167,0.74615,0.74929,0.74358,0.7487,ok,1302123600,36868
168,0.74586,0.74871,0.74295,0.74612,ok,1302210000,33571
169,0.74589,0.74589,0.74589,0.74589,ok,1302296400,11
170,0.74715,0.74842,0.74525,0.74589,ok,1302382800,468
171,0.74565,0.7501,0.74461,0.74713,ok,1302469200,26872
172,0.75445,0.7587,0.74534,0.74563,ok,1302555600,50369
173,0.75942,0.76321,0.75281,0.75451,ok,1302642000,39792
174,0.76264,0.76415,0.75786,0.75938,ok,1302728400,44722
175,0.76494,0.76868,0.76137,0.76261,ok,1302814800,36022
176,0.76494,0.76494,0.76494,0.76494,ok,1302901200,11
177,0.76488,0.76575,0.76343,0.76494,ok,1302987600,508
178,0.76241,0.76712,0.75813,0.76491,ok,1303074000,45947
179,0.75401,0.76281,0.75262,0.76238,ok,1303160400,40111
180,0.75999,0.76126,0.75317,0.75395,ok,1303246800,39636
181,0.76266,0.76498,0.75722,0.75989,ok,1303333200,37050
182,0.76322,0.76552,0.7624,0.76275,ok,1303419600,5758
183,0.76322,0.76322,0.76322,0.76322,ok,1303506000,13
184,0.76149,0.76326,0.76149,0.76322,ok,1303592400,83
185,0.76261,0.76573,0.76112,0.7614,ok,1303678800,18854
186,0.76638,0.7685,0.76206,0.76259,ok,1303765200,32267
187,0.76588,0.77,0.76425,0.76641,ok,1303851600,43900
188,0.76261,0.766,0.75822,0.76584,ok,1303938000,41510
189,0.76372,0.76953,0.76091,0.76245,ok,1304024400,30786
190,0.76372,0.76372,0.76372,0.76372,ok,1304110800,12
191,0.7634,0.76462,0.76265,0.76372,ok,1304197200,137
192,0.76629,0.76993,0.76033,0.76343,ok,1304283600,30491
193,0.76045,0.76685,0.75864,0.76633,ok,1304370000,40118
194,0.75728,0.76127,0.75288,0.76041,ok,1304456400,50059
195,0.7581,0.76165,0.75596,0.75718,ok,1304542800,63338
196,0.76218,0.76734,0.75524,0.75806,ok,1304629200,76263
197,0.76218,0.76218,0.76218,0.76218,ok,1304715600,12
198,0.76346,0.7637,0.76162,0.76218,ok,1304802000,203
199,0.76479,0.76643,0.76059,0.76343,ok,1304888400,46096
200,0.7593,0.766,0.7593,0.76475,ok,1304974800,46265
201,0.7588,0.76168,0.75572,0.75925,ok,1305061200,51751
202,0.76564,0.77002,0.757,0.75878,ok,1305147600,64743
203,0.76064,0.7663,0.75916,0.76561,ok,1305234000,52383
204,0.76064,0.76064,0.76064,0.76064,ok,1305320400,13
205,0.75962,0.76064,0.75741,0.76064,ok,1305406800,373
206,0.76062,0.76333,0.75597,0.75956,ok,1305493200,54033
207,0.76279,0.76336,0.75798,0.76064,ok,1305579600,56570
208,0.76518,0.76832,0.76121,0.76282,ok,1305666000,46993
209,0.76501,0.7683,0.76171,0.76509,ok,1305752400,46626
210,0.77329,0.77651,0.76472,0.76497,ok,1305838800,47155
211,0.77329,0.77329,0.77329,0.77329,ok,1305925200,12
212,0.77227,0.77329,0.77028,0.77329,ok,1306011600,220
213,0.77261,0.77437,0.76978,0.77238,ok,1306098000,49064
214,0.77742,0.78395,0.77121,0.77259,ok,1306184400,47454
215,0.78013,0.78176,0.77537,0.77739,ok,1306270800,49132
216,0.79315,0.79469,0.779,0.7799,ok,1306357200,50515
217,0.79767,0.8004,0.79019,0.79313,ok,1306443600,48193
218,0.79767,0.79767,0.79767,0.79767,ok,1306530000,12
219,0.79953,0.80024,0.79563,0.79767,ok,1306616400,236
220,0.79736,0.80262,0.79642,0.79942,ok,1306702800,15505
221,0.79754,0.80478,0.79509,0.79738,ok,1306789200,44933
222,0.7959,0.80105,0.79368,0.79757,ok,1306875600,50072
223,0.79568,0.798,0.79334,0.79593,ok,1306962000,51571
224,0.79606,0.79943,0.79267,0.79575,ok,1307048400,47701
225,0.79606,0.79606,0.79606,0.79606,ok,1307134800,12
226,0.79667,0.79765,0.7949,0.79606,ok,1307221200,259
227,0.79869,0.80199,0.79628,0.79661,ok,1307307600,37079
228,0.79937,0.80295,0.79688,0.79871,ok,1307394000,37064
229,0.79664,0.80134,0.79618,0.79939,ok,1307480400,44696
230,0.80227,0.8091,0.79668,0.79668,ok,1307566800,50734
231,0.80296,0.80649,0.80031,0.80224,ok,1307653200,46373
232,0.80296,0.80296,0.80296,0.80296,ok,1307739600,12
233,0.80119,0.80304,0.80047,0.80296,ok,1307826000,325
234,0.7956,0.8043,0.79296,0.80115,ok,1307912400,40059
235,0.79181,0.79971,0.7904,0.79558,ok,1307998800,40131
236,0.78953,0.79355,0.78701,0.79178,ok,1308085200,47291
237,0.78945,0.7913,0.78453,0.78947,ok,1308171600,60596
238,0.79405,0.79712,0.78894,0.78941,ok,1308258000,51571
239,0.79405,0.79405,0.79405,0.79405,ok,1308344400,12
240,0.79324,0.79514,0.79234,0.79405,ok,1308430800,137
241,0.79334,0.7962,0.79118,0.79327,ok,1308517200,38890
