,c,h,l,o,s,t,v
0,0.72288,0.72871,0.72049,0.7243,ok,1287435600,18850
1,0.72577,0.72765,0.72072,0.72295,ok,1287522000,15066
2,0.72139,0.72654,0.7187,0.72556,ok,1287608400,16718
3,0.72867,0.7313,0.72091,0.72124,ok,1287694800,11991
4,0.72859,0.72859,0.72859,0.72859,ok,1287781200,1
5,0.72977,0.73148,0.7272,0.72847,ok,1287867600,761
6,0.73002,0.7335,0.72854,0.7299,ok,1287954000,10874
7,0.73712,0.74009,0.72949,0.73007,ok,1288040400,12254
8,0.73775,0.73971,0.7338,0.73706,ok,1288126800,15461
9,0.74112,0.74285,0.73696,0.73769,ok,1288213200,10813
10,0.75206,0.75324,0.738,0.74102,ok,1288299600,14430
11,0.75208,0.75222,0.75206,0.75222,ok,1288386000,5
12,0.75164,0.75234,0.7498,0.75177,ok,1288472400,488
13,0.76063,0.7645,0.75059,0.75168,ok,1288558800,12164
14,0.75522,0.76197,0.75316,0.76054,ok,1288645200,12220
15,0.7568,0.76181,0.75376,0.75537,ok,1288731600,17175
16,0.76112,0.77098,0.75509,0.75686,ok,1288818000,14936
17,0.76404,0.76616,0.75462,0.76117,ok,1288904400,14791
18,0.76556,0.76556,0.76383,0.76388,ok,1288990800,6
19,0.76283,0.76516,0.75973,0.76516,ok,1289077200,902
20,0.76083,0.76502,0.75645,0.76275,ok,1289167200,11082
21,0.75257,0.76164,0.75145,0.76023,ok,1289253600,14587
22,0.75965,0.76185,0.74958,0.75249,ok,1289340000,18015
23,0.76059,0.76324,0.75594,0.75959,ok,1289426400,12868
24,0.75793,0.76135,0.74964,0.76053,ok,1289512800,17958
25,0.75946,0.76057,0.75573,0.75703,ok,1289685600,1728
26,0.76062,0.7653,0.75274,0.75962,ok,1289772000,13025
27,0.76426,0.76546,0.75744,0.76056,ok,1289858400,14752
28,0.76348,0.76589,0.76012,0.76432,ok,1289944800,11029
29,0.77475,0.77564,0.76285,0.76353,ok,1290031200,10795
30,0.77187,0.77752,0.76783,0.77469,ok,1290117600,10620
31,0.77208,0.77208,0.77208,0.77208,ok,1290204000,1
32,0.77284,0.77322,0.76921,0.77181,ok,1290290400,871
33,0.76353,0.77668,0.76267,0.77276,ok,1290376800,13061
34,0.75636,0.76458,0.75487,0.76389,ok,1290463200,17148
35,0.75629,0.75999,0.75439,0.75641,ok,1290549600,13260
36,0.76009,0.76217,0.75325,0.75636,ok,1290636000,9880
37,0.75147,0.76226,0.74947,0.76016,ok,1290722400,12350
38,0.75165,0.75165,0.75161,0.75161,ok,1290808800,2
39,0.75372,0.75428,0.74993,0.75135,ok,1290895200,1997
40,0.74561,0.75499,0.74416,0.75364,ok,1290981600,13279
41,0.74475,0.74815,0.73915,0.74567,ok,1291068000,16208
42,0.75035,0.75334,0.74237,0.74481,ok,1291154400,14686
43,0.74955,0.75677,0.74548,0.75029,ok,1291240800,14494
44,0.74492,0.75226,0.74352,0.7495,ok,1291327200,13370
45,0.74408,0.7448,0.74408,0.7448,ok,1291413600,4
46,0.74409,0.74674,0.74311,0.74467,ok,1291500000,805
47,0.74732,0.7506,0.74292,0.74389,ok,1291586400,10562
48,0.74736,0.75006,0.74422,0.74718,ok,1291672800,12861
49,0.73684,0.74839,0.7337,0.74703,ok,1291759200,14484
50,0.73589,0.74036,0.73375,0.73675,ok,1291845600,14432
51,0.73202,0.73901,0.73202,0.736,ok,1291932000,9248
52,0.73194,0.73194,0.73194,0.73194,ok,1292018400,1
53,0.73378,0.73487,0.73145,0.73201,ok,1292104800,993
54,0.72658,0.73768,0.72465,0.73373,ok,1292191200,8802
55,0.72065,0.72846,0.72043,0.7265,ok,1292277600,13261
56,0.71565,0.722,0.71337,0.72072,ok,1292364000,14813
57,0.71362,0.71765,0.71034,0.71574,ok,1292450400,12966
58,0.71247,0.71561,0.70739,0.71366,ok,1292536800,11770
59,0.71238,0.71238,0.71238,0.71238,ok,1292623200,1
60,0.71187,0.71465,0.71156,0.71287,ok,1292709600,724
61,0.71564,0.71824,0.7116,0.71191,ok,1292796000,10644
62,0.71264,0.72024,0.71068,0.71571,ok,1292882400,11421
63,0.70441,0.7138,0.70189,0.71258,ok,1292968800,10734
64,0.71601,0.72235,0.7038,0.70435,ok,1293055200,10537
65,0.71998,0.72108,0.71402,0.71609,ok,1293141600,5296
66,0.71931,0.71998,0.71931,0.71986,ok,1293228000,7
67,0.7174,0.71979,0.71617,0.71859,ok,1293314400,180
68,0.71976,0.72159,0.71641,0.71756,ok,1293400800,7179
69,0.71935,0.72395,0.7104,0.72013,ok,1293487200,10532
70,0.72641,0.72783,0.71736,0.71923,ok,1293573600,9008
71,0.72026,0.72708,0.7188,0.72647,ok,1293660000,9890
72,0.72831,0.72895,0.7197,0.72044,ok,1293746400,11216
73,0.72796,0.72796,0.72796,0.72796,ok,1293832800,1
74,0.72473,0.72749,0.72342,0.72601,ok,1293919200,346
75,0.72146,0.72937,0.72126,0.7248,ok,1294005600,7519
76,0.72679,0.73003,0.72067,0.72135,ok,1294092000,13518
77,0.73092,0.73641,0.72359,0.72671,ok,1294178400,15674
78,0.7302,0.7352,0.72787,0.73086,ok,1294264800,12008
79,0.73403,0.73726,0.7263,0.73026,ok,1294351200,14254
80,0.73469,0.73469,0.73464,0.73464,ok,1294437600,2
81,0.73385,0.73586,0.7312,0.73275,ok,1294524000,575
82,0.73841,0.74021,0.73063,0.73392,ok,1294610400,11113
83,0.74021,0.74218,0.73317,0.73845,ok,1294696800,13487
84,0.73802,0.74246,0.73493,0.74026,ok,1294783200,14778
85,0.74305,0.74796,0.73656,0.73809,ok,1294869600,14280
86,0.73732,0.74502,0.73531,0.74283,ok,1294956000,13438
87,0.7372,0.73726,0.7372,0.73726,ok,1295042400,2
88,0.73884,0.7398,0.73619,0.73619,ok,1295128800,647
89,0.74465,0.74799,0.73841,0.7389,ok,1295215200,9256
90,0.74327,0.74507,0.73844,0.74454,ok,1295301600,12114
91,0.73364,0.74787,0.73223,0.74338,ok,1295388000,12362
92,0.73187,0.73557,0.72606,0.7337,ok,1295474400,17919
93,0.72523,0.73296,0.72432,0.73196,ok,1295560800,12947
94,0.72516,0.72546,0.72516,0.72546,ok,1295647200,2
95,0.72374,0.72732,0.72332,0.72465,ok,1295733600,690
