,c,h,l,o,s,t,v
0,5.77285,5.89555,5.76452,5.85442,ok,1287435600,18363
1,5.85868,5.87482,5.76326,5.77122,ok,1287522000,14460
2,5.78778,5.86101,5.77266,5.85899,ok,1287608400,13710
3,5.78984,5.83055,5.77428,5.7863,ok,1287694800,10754
4,5.81332,5.82194,5.78659,5.79044,ok,1287867600,351
5,5.83306,5.86757,5.79415,5.81433,ok,1287954000,10079
6,5.81104,5.85153,5.79671,5.83267,ok,1288040400,10955
7,5.77928,5.81961,5.74534,5.81136,ok,1288126800,16380
8,5.84529,5.85971,5.77324,5.77873,ok,1288213200,11130
9,5.93573,5.9385,5.82207,5.8449,ok,1288299600,14853
10,5.93268,5.93485,5.9167,5.93333,ok,1288472400,564
11,5.94614,5.96138,5.91803,5.93208,ok,1288558800,11688
12,5.97738,5.99996,5.9168,5.94574,ok,1288645200,13565
13,6.04351,6.0499,5.96896,5.97956,ok,1288731600,16658
14,6.15625,6.18138,6.02904,6.04405,ok,1288818000,15023
15,6.16164,6.17566,6.11112,6.1565,ok,1288904400,14300
16,6.16536,6.16536,6.16536,6.16536,ok,1288990800,1
17,6.14888,6.16566,6.12446,6.16566,ok,1289077200,470
18,6.10506,6.15001,6.07754,6.14826,ok,1289167200,10170
19,6.02598,6.1329,6.01385,6.10433,ok,1289253600,14819
20,6.06604,6.0839,5.99682,6.02474,ok,1289340000,18450
21,6.04637,6.10225,6.02391,6.06449,ok,1289426400,12795
22,5.99118,6.05397,5.96727,6.04598,ok,1289512800,18041
23,6.01648,6.02547,5.98509,5.98537,ok,1289685600,1147
24,5.98928,6.02779,5.95497,6.01749,ok,1289772000,11752
25,5.95385,6.01155,5.93423,5.98967,ok,1289858400,14762
26,5.97376,5.99218,5.9182,5.95866,ok,1289944800,11419
27,6.03329,6.03695,5.96768,5.97266,ok,1290031200,10421
28,6.03404,6.04741,6.00681,6.03443,ok,1290117600,10267
29,6.04083,6.04841,6.03042,6.03369,ok,1290290400,606
30,5.9845,6.07623,5.9667,6.04044,ok,1290376800,14471
31,5.88403,5.99407,5.87851,5.98311,ok,1290463200,17019
32,5.8935,5.92982,5.88186,5.88442,ok,1290549600,13780
33,5.89473,5.9183,5.86428,5.89385,ok,1290636000,9605
34,5.81699,5.9133,5.80643,5.89525,ok,1290722400,11439
35,5.83569,5.85261,5.81257,5.81722,ok,1290895200,763
36,5.79077,5.84895,5.76738,5.83648,ok,1290981600,12576
37,5.76416,5.80022,5.74656,5.79051,ok,1291068000,16863
38,5.81545,5.83217,5.74641,5.7644,ok,1291154400,13525
39,5.86365,5.87459,5.79041,5.81489,ok,1291240800,13895
40,5.94221,5.95252,5.85633,5.86412,ok,1291327200,12392
41,5.93766,5.94166,5.93766,5.94166,ok,1291413600,2
42,5.92341,5.94908,5.91914,5.94232,ok,1291500000,506
43,5.9094,5.9421,5.8882,5.92154,ok,1291586400,10472
