,c,h,l,o,s,t,v
0,60.689,61.703,60.55,61.351,ok,1287435600,32700
1,61.192,61.335,60.467,60.706,ok,1287522000,27976
2,60.624,61.346,60.427,61.18,ok,1287608400,32106
3,60.558,60.957,60.503,60.629,ok,1287694800,21155
4,60.732,60.891,60.416,60.665,ok,1287867600,741
5,60.761,61.043,60.556,60.744,ok,1287954000,23492
6,60.985,61.071,60.669,60.765,ok,1288040400,27791
7,60.892,61.173,60.488,60.988,ok,1288126800,39222
8,61.06,61.157,60.828,60.895,ok,1288213200,25760
9,61.429,61.633,60.669,61.064,ok,1288299600,32542
10,61.408,61.423,61.408,61.418,ok,1288386000,4
11,61.445,61.473,61.104,61.352,ok,1288472400,1156
12,61.737,62.26,61.378,61.449,ok,1288558800,29670
13,62.172,62.58,61.435,61.734,ok,1288645200,28515
14,63.228,63.34,62.099,62.182,ok,1288731600,37666
15,64.141,64.386,63.092,63.225,ok,1288818000,36937
16,64.454,64.78,63.687,64.15,ok,1288904400,33451
17,64.459,64.459,64.457,64.457,ok,1288990800,2
18,64.302,64.429,64.16,64.309,ok,1289077200,964
19,63.946,64.397,63.643,64.296,ok,1289167200,25182
20,63.505,64.022,63.12,63.943,ok,1289253600,35498
21,64.39,64.563,63.147,63.503,ok,1289340000,49979
22,64.342,64.76,64.026,64.387,ok,1289426400,29197
23,63.621,64.358,63.065,64.334,ok,1289512800,40095
24,63.888,63.975,63.547,63.579,ok,1289685600,1924
25,64.185,64.441,63.556,63.893,ok,1289772000,33135
26,63.923,64.435,63.797,64.19,ok,1289858400,38078
27,64.053,64.23,63.675,63.921,ok,1289944800,26393
28,64.971,65.066,63.995,64.051,ok,1290031200,27548
29,64.862,65.12,64.553,64.99,ok,1290117600,25397
30,64.865,64.865,64.865,64.865,ok,1290204000,1
31,65.037,65.098,64.683,64.748,ok,1290290400,1533
32,64.306,65.37,64.196,65.033,ok,1290376800,30560
33,63.068,64.43,62.89,64.295,ok,1290463200,38057
34,63.451,63.686,62.985,63.057,ok,1290549600,30807
35,63.509,63.716,63.052,63.447,ok,1290636000,20875
36,62.858,63.77,62.701,63.507,ok,1290722400,27896
37,62.809,62.866,62.809,62.866,ok,1290808800,2
38,63.155,63.155,62.753,62.88,ok,1290895200,1673
39,62.826,63.27,62.652,63.159,ok,1290981600,28231
40,62.113,62.921,61.876,62.822,ok,1291068000,37789
41,63.024,63.234,61.805,62.115,ok,1291154400,33198
42,63.288,63.451,62.771,63.021,ok,1291240800,30711
43,63.034,63.502,62.532,63.285,ok,1291327200,30589
44,63.03,63.03,63.03,63.03,ok,1291413600,1
45,62.908,63.236,62.822,63.077,ok,1291500000,762
46,62.936,63.38,62.759,62.914,ok,1291586400,22783
47,63.182,63.478,62.515,62.931,ok,1291672800,34552
48,62.788,63.317,62.482,63.155,ok,1291759200,35810
49,62.666,63.07,62.437,62.771,ok,1291845600,35387
50,62.509,62.924,62.509,62.675,ok,1291932000,20417
51,62.602,62.685,62.425,62.523,ok,1292104800,1173
52,62.608,63.308,62.427,62.598,ok,1292191200,22807
53,62.864,63.037,62.514,62.593,ok,1292277600,27990
54,62.29,62.938,62.105,62.86,ok,1292364000,31521
55,62.104,62.426,61.81,62.296,ok,1292450400,26746
56,61.629,62.335,61.61,62.1,ok,1292536800,21869
57,61.625,61.64,61.621,61.64,ok,1292623200,6
58,61.693,61.817,61.604,61.678,ok,1292709600,822
59,62.144,62.287,61.661,61.698,ok,1292796000,20172
60,62.26,62.618,61.992,62.135,ok,1292882400,20844
61,61.821,62.336,61.524,62.264,ok,1292968800,21584
62,61.93,62.201,61.717,61.818,ok,1293055200,17679
63,61.897,62.229,61.83,61.926,ok,1293141600,9324
64,61.669,61.747,61.562,61.747,ok,1293314400,402
65,62.1,62.148,61.645,61.661,ok,1293400800,14456
66,62.174,62.657,61.838,62.088,ok,1293487200,18544
67,62.695,62.731,62.091,62.178,ok,1293573600,19119
68,62.802,63.017,62.422,62.699,ok,1293660000,20104
69,63.104,63.372,62.766,62.798,ok,1293746400,16827
70,63.112,63.146,63.1,63.1,ok,1293832800,4
71,62.848,63.139,62.771,63.063,ok,1293919200,778
72,63.181,63.431,62.772,62.851,ok,1294005600,14334
73,62.863,63.368,62.556,63.177,ok,1294092000,29697
74,62.997,63.478,62.512,62.861,ok,1294178400,31521
