,c,h,l,o,s,t,v
0,0.97673,0.98667,0.97439,0.98019,ok,1287435600,11656
1,0.983,0.98384,0.97489,0.97647,ok,1287522000,9351
2,0.97035,0.98334,0.96816,0.98293,ok,1287608400,9282
3,0.96727,0.97687,0.96689,0.9702,ok,1287694800,6646
4,0.97012,0.97182,0.96687,0.96709,ok,1287867600,286
5,0.97194,0.9764,0.96764,0.97033,ok,1287954000,6269
6,0.97086,0.97503,0.97,0.97207,ok,1288040400,6826
7,0.97074,0.97418,0.96552,0.97078,ok,1288126800,10249
8,0.97641,0.97878,0.96977,0.97083,ok,1288213200,6701
9,0.99041,0.99068,0.97302,0.97658,ok,1288299600,8704
10,0.98951,0.99192,0.98742,0.99001,ok,1288472400,328
11,0.99054,0.99322,0.9871,0.98944,ok,1288558800,7293
12,0.99315,0.99689,0.98389,0.99068,ok,1288645200,7662
13,1.00231,1.00415,0.99143,0.99322,ok,1288731600,9864
14,1.01821,1.02301,1.0,1.00244,ok,1288818000,8982
15,1.02168,1.02423,1.01276,1.01831,ok,1288904400,8532
16,1.02229,1.02229,1.02229,1.02229,ok,1288990800,1
17,1.01932,1.02308,1.01589,1.02308,ok,1289077200,335
18,1.0144,1.0195,1.01023,1.01922,ok,1289167200,6589
19,1.00292,1.01558,1.00143,1.01432,ok,1289253600,9148
20,1.00783,1.01022,0.99702,1.0027,ok,1289340000,11230
21,1.00566,1.01229,1.00298,1.00757,ok,1289426400,7643
22,1.00274,1.00914,0.99785,1.00557,ok,1289512800,11322
23,1.0073,1.00888,1.00177,1.00177,ok,1289685600,874
24,1.0065,1.01253,0.99957,1.00753,ok,1289772000,8339
25,1.00137,1.00834,0.99786,1.00638,ok,1289858400,9851
26,1.00192,1.00527,0.99611,1.00218,ok,1289944800,6862
27,1.00812,1.00891,1.00068,1.00184,ok,1290031200,6989
28,1.00817,1.0104,1.00452,1.00821,ok,1290117600,6598
29,1.00793,1.00802,1.00793,1.00802,ok,1290204000,2
30,1.00943,1.01068,1.00738,1.00807,ok,1290290400,432
31,1.00078,1.01318,0.99853,1.00936,ok,1290376800,8404
32,0.99682,1.00991,0.99506,1.00052,ok,1290463200,11347
33,0.99463,1.00057,0.99434,0.99698,ok,1290549600,8656
34,0.99233,0.99683,0.99067,0.99479,ok,1290636000,5855
35,0.98849,0.99813,0.98729,0.99245,ok,1290722400,8185
36,0.98986,0.99416,0.98857,0.98945,ok,1290895200,574
37,0.98319,0.99226,0.98126,0.98999,ok,1290981600,8492
38,0.97972,0.98654,0.97906,0.98312,ok,1291068000,9625
39,0.9807,0.98413,0.97553,0.97982,ok,1291154400,8843
40,0.98639,0.98973,0.97798,0.98058,ok,1291240800,8729
41,0.99696,0.99935,0.98561,0.98667,ok,1291327200,8033
42,0.99582,0.99683,0.99582,0.99683,ok,1291413600,3
43,0.99294,0.99747,0.99233,0.99544,ok,1291500000,341
44,0.99352,0.9965,0.99057,0.99268,ok,1291586400,6193
45,0.99174,0.99799,0.9899,0.99365,ok,1291672800,8343
46,0.98173,0.99325,0.97776,0.99162,ok,1291759200,10299
47,0.98043,0.98689,0.97741,0.98152,ok,1291845600,8596
48,0.97534,0.98446,0.97534,0.98057,ok,1291932000,5534
49,0.97651,0.97749,0.97445,0.97445,ok,1292104800,679
50,0.97833,0.98732,0.97502,0.97708,ok,1292191200,5141
51,0.97819,0.98438,0.97569,0.97818,ok,1292277600,7118
52,0.97411,0.98446,0.97026,0.97831,ok,1292364000,9484
53,0.97226,0.97538,0.96672,0.97427,ok,1292450400,6860
54,0.96634,0.97477,0.96634,0.9721,ok,1292536800,5893
55,0.96663,0.96972,0.96561,0.96725,ok,1292709600,396
56,0.97657,0.97888,0.96515,0.9668,ok,1292796000,5868
57,0.97567,0.98439,0.97286,0.97632,ok,1292882400,5713
58,0.96672,0.97735,0.96296,0.97585,ok,1292968800,5358
59,0.97485,0.9794,0.96616,0.96661,ok,1293055200,4627
60,0.97226,0.97765,0.96972,0.97495,ok,1293141600,2243
61,0.97206,0.97206,0.97206,0.97206,ok,1293228000,1
62,0.97108,0.97261,0.969,0.97109,ok,1293314400,135
63,0.97411,0.97493,0.96886,0.97123,ok,1293400800,3597
64,0.98142,0.98799,0.97193,0.97403,ok,1293487200,4484
65,0.99236,0.99288,0.97871,0.98114,ok,1293573600,4442
66,0.99206,0.99652,0.98867,0.99245,ok,1293660000,4668
67,1.00056,1.00117,0.98958,0.99196,ok,1293746400,6528
68,0.99991,1.0004,0.99991,1.0004,ok,1293832800,2
69,0.99557,0.99964,0.99383,0.99964,ok,1293919200,161
70,0.99293,0.99948,0.99224,0.99549,ok,1294005600,4278
71,0.98603,0.99441,0.98189,0.993,ok,1294092000,7381
72,0.97791,0.98909,0.97679,0.98629,ok,1294178400,8500
73,0.97928,0.98279,0.97715,0.97781,ok,1294264800,7071
74,0.98189,0.98857,0.97805,0.9792,ok,1294351200,7259
75,0.98269,0.98269,0.98269,0.98269,ok,1294437600,1
76,0.98117,0.98411,0.97843,0.98306,ok,1294524000,360
77,0.99031,0.992,0.98079,0.98126,ok,1294610400,6365
78,0.98297,0.9909,0.97897,0.99038,ok,1294696800,7616
79,0.98242,0.98443,0.97682,0.98304,ok,1294783200,7602
80,0.99098,0.99098,0.97925,0.98253,ok,1294869600,7135
81,0.98566,0.99331,0.98455,0.99053,ok,1294956000,7223
82,0.9883,0.98866,0.98431,0.98431,ok,1295128800,205
83,0.99401,0.99696,0.98688,0.98822,ok,1295215200,4756
84,0.98946,0.99516,0.98679,0.99389,ok,1295301600,6226
85,0.98558,0.99619,0.98371,0.98929,ok,1295388000,6647
86,0.97439,0.98577,0.97186,0.98571,ok,1295474400,9707
87,0.97147,0.97572,0.96919,0.97427,ok,1295560800,7287
88,0.97139,0.97179,0.97139,0.97179,ok,1295647200,2
89,0.97126,0.97402,0.97049,0.97074,ok,1295733600,346
90,0.97715,0.9803,0.97058,0.97115,ok,1295820000,4781
91,0.98316,0.98386,0.97648,0.97708,ok,1295906400,6863
92,0.98779,0.98814,0.97662,0.98323,ok,1295992800,6976
93,0.98688,0.99053,0.98225,0.9877,ok,1296079200,7096
94,0.99316,0.99667,0.9855,0.98675,ok,1296165600,6354
95,0.99316,0.99316,0.99316,0.99316,ok,1296252000,12
96,0.98859,0.99316,0.98758,0.99316,ok,1296338400,588
97,0.98847,0.9943,0.98555,0.98868,ok,1296424800,6095
98,0.99241,0.99406,0.98555,0.9884,ok,1296511200,6833
99,0.98348,0.99618,0.97914,0.99257,ok,1296597600,5855
100,0.9848,0.98624,0.97984,0.98336,ok,1296684000,5718
101,0.9806,0.98657,0.97706,0.98487,ok,1296770400,5516
102,0.98089,0.98089,0.9808,0.9808,ok,1296856800,14
103,0.98006,0.98262,0.97633,0.98089,ok,1296943200,340
104,0.97972,0.98419,0.97876,0.97994,ok,1297029600,4805
105,0.98653,0.98993,0.97946,0.97981,ok,1297116000,6119
106,0.98363,0.98701,0.98048,0.98646,ok,1297202400,5477
107,0.97643,0.98388,0.97428,0.98355,ok,1297288800,6390
108,0.97423,0.97658,0.96969,0.97636,ok,1297375200,7133
109,0.97397,0.97406,0.97397,0.97406,ok,1297461600,5
110,0.96966,0.97581,0.96885,0.97397,ok,1297548000,494
111,0.96892,0.97183,0.96696,0.96957,ok,1297634400,4662
112,0.96261,0.97108,0.96086,0.96911,ok,1297720800,5803
113,0.96466,0.96726,0.96066,0.96253,ok,1297807200,6469
114,0.96775,0.97024,0.96314,0.96473,ok,1297893600,5316
115,0.9691,0.97496,0.96712,0.96766,ok,1297980000,5226
116,0.9691,0.9691,0.9691,0.9691,ok,1298066400,12
117,0.97121,0.97244,0.96866,0.9691,ok,1298152800,188
118,0.97346,0.97543,0.96986,0.97131,ok,1298239200,3844
119,0.95548,0.97422,0.95373,0.97339,ok,1298325600,10712
120,0.95186,0.96006,0.94885,0.95563,ok,1298412000,8373
121,0.95387,0.9581,0.95053,0.95193,ok,1298498400,7584
122,0.95559,0.96019,0.95201,0.95397,ok,1298584800,6036
123,0.9557,0.9557,0.9557,0.9557,ok,1298671200,15
124,0.95418,0.95696,0.95179,0.9557,ok,1298757600,360
125,0.95621,0.96093,0.95401,0.95425,ok,1298844000,5030
126,0.95108,0.95736,0.95057,0.95612,ok,1298930400,5459
127,0.9428,0.95206,0.93949,0.95117,ok,1299016800,7033
128,0.93892,0.94789,0.93655,0.9429,ok,1299103200,5297
129,0.93388,0.93892,0.92982,0.93849,ok,1299189600,5394
130,0.93342,0.93503,0.9299,0.93388,ok,1299362400,539
131,0.93221,0.93596,0.92998,0.93335,ok,1299448800,4232
132,0.93693,0.93984,0.93189,0.93229,ok,1299535200,5513
133,0.93373,0.94023,0.92864,0.93701,ok,1299621600,5800
134,0.93527,0.93641,0.93143,0.93381,ok,1299708000,6388
